日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601999,出版传媒,6.8,6.98,6.6,6.75,6.75,0.05,0.7407,0.9079,5001781,34223626.0,3746219960.0,3746219960.0
2019-04-25,'601999,出版传媒,6.75,7.27,6.72,7.27,7.34,-0.59,-8.0381,1.5521,8550712,60156673.0,3718674225.0,3718674225.0
2019-04-24,'601999,出版传媒,7.34,7.37,7.08,7.2,7.18,0.16,2.2284,1.2105,6668665,48198713.0,4043713898.0,4043713898.0
2019-04-23,'601999,出版传媒,7.18,7.36,7.16,7.21,7.21,-0.03,-0.4161,1.2729,7012496,50997078.0,3955567546.0,3955567546.0
2019-04-22,'601999,出版传媒,7.21,7.47,7.17,7.43,7.4,-0.19,-2.5676,1.8785,10348978,75814962.0,3972094987.0,3972094987.0
2019-04-19,'601999,出版传媒,7.4,7.8,7.3,7.75,7.86,-0.46,-5.8524,3.8444,21179484,158440645.0,4076768780.0,4076768780.0
2019-04-18,'601999,出版传媒,7.86,8.97,7.78,7.98,8.15,-0.29,-3.5583,4.5545,25091220,203394019.0,4330189542.0,4330189542.0
2019-04-17,'601999,出版传媒,8.15,8.31,7.67,7.83,7.79,0.36,4.6213,5.5961,30829518,247334778.0,4489954805.0,4489954805.0
2019-04-16,'601999,出版传媒,7.79,7.79,6.95,7.0,7.08,0.71,10.0282,4.3135,23763564,177579720.0,4291625513.0,4291625513.0
2019-04-15,'601999,出版传媒,7.08,7.43,6.97,6.97,6.9,0.18,2.6087,2.3923,13179525,95182115.0,3900476076.0,3900476076.0
2019-04-12,'601999,出版传媒,6.9,6.94,6.75,6.89,6.87,0.03,0.4367,0.5317,2929053,20091271.0,3801311430.0,3801311430.0
2019-04-11,'601999,出版传媒,6.87,7.03,6.83,7.03,7.0,-0.13,-1.8571,0.5898,3249560,22499489.0,3784783989.0,3784783989.0
2019-04-10,'601999,出版传媒,7.0,7.07,6.91,7.07,7.02,-0.02,-0.2849,0.7376,4063401,28396686.0,3856402900.0,3856402900.0
2019-04-09,'601999,出版传媒,7.02,7.08,6.83,6.84,6.85,0.17,2.4818,1.0404,5731975,40048329.0,3867421194.0,3867421194.0
2019-04-08,'601999,出版传媒,6.85,7.08,6.73,6.96,6.96,-0.11,-1.5805,0.8297,4571037,31571504.0,3773765695.0,3773765695.0
2019-04-04,'601999,出版传媒,6.96,7.1,6.89,7.0,6.98,-0.02,-0.2865,0.7273,4006736,27955577.0,3834366312.0,3834366312.0
2019-04-03,'601999,出版传媒,6.98,7.03,6.84,6.88,6.87,0.11,1.6012,1.0692,5890563,40690261.0,3845384606.0,3845384606.0
