日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601366,利群股份,6.95,7.1,6.95,7.04,7.06,-0.11,-1.5581,1.2209,5799500,40821554.0,5980478197.0,3301445823.2
2019-04-25,'601366,利群股份,7.06,7.33,7.06,7.33,7.34,-0.28,-3.8147,1.4906,7080805,50902356.0,6075133247.6,3353698922.56
2019-04-24,'601366,利群股份,7.34,7.34,7.24,7.26,7.24,0.1,1.3812,0.9489,4507682,32879638.0,6316073376.4,3486706811.84
2019-04-23,'601366,利群股份,7.24,7.38,7.23,7.38,7.39,-0.15,-2.0298,1.424,6764274,49360183.0,6230023330.4,3439203994.24
2019-04-22,'601366,利群股份,7.39,7.55,7.36,7.51,7.51,-0.12,-1.5979,1.343,6379800,47519964.0,6359098399.4,3510458220.64
2019-04-19,'601366,利群股份,7.51,7.53,7.4,7.48,7.49,0.02,0.267,1.3267,6302279,47104970.0,6462358454.6,3567461601.76
2019-04-18,'601366,利群股份,7.49,7.6,7.45,7.59,7.57,-0.08,-1.0568,2.0296,9641081,72428160.0,6445148445.4,3557961038.24
2019-04-17,'601366,利群股份,7.57,7.7,7.51,7.68,7.64,-0.07,-0.9162,2.9524,14024933,106436953.0,6513988482.2,3595963292.32
2019-04-16,'601366,利群股份,7.64,7.81,7.53,7.66,7.8,-0.16,-2.0513,4.5187,21464894,164398019.0,6574223514.4,3629215264.64
2019-04-15,'601366,利群股份,7.8,8.06,7.8,7.94,7.87,-0.07,-0.8895,2.7008,12829500,102181369.0,6711903588.0,3705219772.8
2019-04-12,'601366,利群股份,7.87,7.88,7.76,7.81,7.79,0.08,1.027,1.2082,5739204,44883212.0,6772138620.2,3738471745.12
2019-04-11,'601366,利群股份,7.79,7.98,7.78,7.95,7.96,-0.17,-2.1357,1.9082,9064500,71198416.0,6703298583.4,3700469491.04
2019-04-10,'601366,利群股份,7.96,8.03,7.87,7.91,7.95,0.01,0.1258,1.6777,7969419,63318065.0,6849583661.6,3781224280.96
2019-04-09,'601366,利群股份,7.95,7.96,7.84,7.92,7.93,0.02,0.2522,1.9229,9134470,72195472.0,6840978657.0,3776473999.2
2019-04-08,'601366,利群股份,7.93,8.19,7.89,8.17,8.14,-0.21,-2.5799,3.1788,15100154,121129258.0,6823768647.8,3766973435.68
2019-04-04,'601366,利群股份,8.14,8.29,7.98,8.2,8.12,0.02,0.2463,5.0926,24191419,196837433.0,7004473744.4,3866729352.64
2019-04-03,'601366,利群股份,8.12,8.17,7.86,7.91,7.91,0.21,2.6549,4.64,22041540,177483294.0,6987263735.2,3857228789.12
2019-04-02,'601366,利群股份,7.91,7.98,7.84,7.92,7.91,0.0,0.0,3.0065,14281678,112952608.0,6806558638.6,3757472872.16
2019-04-01,'601366,利群股份,7.91,8.02,7.8,7.86,7.8,0.11,1.4103,5.5496,26362192,208514270.0,6806558638.6,3757472872.16
2019-03-29,'601366,利群股份,7.8,7.92,7.26,7.35,7.35,0.45,6.1224,3.7928,18016790,137688789.0,6711903588.0,3705219772.8
2019-03-28,'601366,利群股份,7.35,7.54,7.34,7.47,7.48,-0.13,-1.738,1.3478,6402561,47545806.0,6324678381.0,3491457093.6
2019-03-27,'601366,利群股份,7.48,7.58,7.34,7.53,7.45,0.03,0.4027,1.1772,5592113,41627958.0,6436543440.8,3553210756.48
2019-03-26,'601366,利群股份,7.45,7.85,7.43,7.78,7.78,-0.33,-4.2416,1.9823,9416661,71557408.0,6410728427.0,3538959911.2
2019-03-25,'601366,利群股份,7.78,7.97,7.74,7.96,8.05,-0.27,-3.354,2.4152,11472700,90137194.0,6694693578.8,3695719209.28
2019-03-22,'601366,利群股份,8.05,8.1,7.89,8.03,8.06,-0.01,-0.1241,3.2086,15241607,122039976.0,6927028703.0,3823976816.8
2019-03-21,'601366,利群股份,8.06,8.13,7.77,7.8,7.83,0.23,2.9374,5.4282,25785272,206565986.0,6935633707.6,3828727098.56
2019-03-20,'601366,利群股份,7.83,7.84,7.51,7.64,7.71,0.12,1.5564,3.9485,18756711,144186107.0,6737718601.8,3719470618.08
2019-03-19,'601366,利群股份,7.71,7.99,7.21,7.24,7.26,0.45,6.1983,5.2963,25159009,190805582.0,6634458546.6,3662467236.96
2019-03-18,'601366,利群股份,7.26,7.28,7.1,7.13,7.12,0.14,1.9663,1.5153,7198100,51764524.0,6247233339.6,3448704557.76
2019-03-15,'601366,利群股份,7.12,7.22,7.05,7.07,7.06,0.06,0.8499,1.3481,6403783,45737000.0,6126763275.2,3382200613.12
2019-03-14,'601366,利群股份,7.06,7.3,6.99,7.2,7.27,-0.21,-2.8886,1.6744,7954105,56429074.0,6075133247.6,3353698922.56
2019-03-13,'601366,利群股份,7.27,7.45,7.25,7.45,7.45,-0.18,-2.4161,2.2998,10924638,80367172.0,6255838344.2,3453454839.52
2019-03-12,'601366,利群股份,7.45,7.45,7.23,7.28,7.22,0.23,3.1856,3.6097,17147032,125866495.0,6410728427.0,3538959911.2
2019-03-11,'601366,利群股份,7.22,7.23,7.01,7.01,6.99,0.23,3.2904,2.191,10407673,74130740.0,6212813321.2,3429703430.72
2019-03-08,'601366,利群股份,6.99,7.34,6.98,7.34,7.39,-0.4,-5.4127,3.7617,17869105,128162505.0,6014898215.4,3320446950.24
2019-03-07,'601366,利群股份,7.39,7.48,7.13,7.2,7.21,0.18,2.4965,4.8813,23187498,169779831.0,6359098399.4,3510458220.64
2019-03-06,'601366,利群股份,7.21,7.23,6.95,7.06,7.02,0.19,2.7066,4.2006,19953976,141736308.0,6204208316.6,3424953148.96
2019-03-05,'601366,利群股份,7.02,7.03,6.8,6.83,6.83,0.19,2.7818,3.1828,15119095,104520046.0,6040713229.2,3334697795.52
2019-03-04,'601366,利群股份,6.83,6.94,6.78,6.8,6.76,0.07,1.0355,3.3956,16130291,110590317.0,5877218141.8,3244442442.08
2019-03-01,'601366,利群股份,6.76,6.84,6.68,6.82,6.81,-0.05,-0.7342,2.4071,11434488,77116784.0,5816983109.6,3211190469.76
2019-02-28,'601366,利群股份,6.81,6.87,6.75,6.8,6.79,0.02,0.2946,1.9767,9389800,63889463.0,5860008132.6,3234941878.56
2019-02-27,'601366,利群股份,6.79,6.92,6.74,6.82,6.84,-0.05,-0.731,2.1465,10196321,69828035.0,5842798123.4,3225441315.04
2019-02-26,'601366,利群股份,6.84,6.97,6.8,6.87,6.84,0.0,0.0,2.4377,11579748,79742075.0,5885823146.4,3249192723.84
