日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000065,北方国际,11.37,11.77,11.28,11.5,11.52,-0.15,-1.3021,2.4157,15193339,174386011.65,8749276511.7,7151088811.59
2019-04-25,'000065,北方国际,11.52,12.6,11.5,12.6,12.61,-1.09,-8.6439,3.5529,22345594,266032997.17,8864702323.2,7245430352.64
2019-04-24,'000065,北方国际,12.61,12.75,12.31,12.48,12.5,0.11,0.88,1.9851,12485090,156363011.88,9703463220.1,7930978884.27
2019-04-23,'000065,北方国际,12.5,13.4,12.45,13.39,13.5,-1.0,-7.4074,3.9324,24732867,317171627.72,9618817625.0,7861795087.5
2019-04-22,'000065,北方国际,13.5,14.68,13.39,14.36,14.24,-0.74,-5.1966,4.2717,26866879,377099434.86,10388323035.0,8490738694.5
2019-04-19,'000065,北方国际,14.24,14.57,13.43,13.44,13.56,0.68,5.0147,3.8518,24225786,342683515.65,10957757038.4,8956156963.68
2019-04-18,'000065,北方国际,13.56,13.79,13.13,13.4,13.42,0.14,1.0432,2.2834,14361463,193653559.36,10434493359.6,8528475310.92
2019-04-17,'000065,北方国际,13.42,13.95,13.22,13.9,13.87,-0.45,-3.2444,2.7088,17036740,230382503.01,10326762602.2,8440423205.94
2019-04-16,'000065,北方国际,13.87,13.87,13.06,13.21,13.25,0.62,4.6792,2.3695,14903100,201541275.5,10673040036.7,8723447829.09
2019-04-15,'000065,北方国际,13.25,13.85,13.2,13.72,13.46,-0.21,-1.5602,2.682,16868311,229401535.43,10195946682.5,8333502792.75
2019-04-12,'000065,北方国际,13.46,13.8,12.88,13.62,13.62,-0.16,-1.1747,3.369,21188893,280890944.86,10357542818.6,8465580950.22
2019-04-11,'000065,北方国际,13.62,13.94,13.51,13.7,13.62,0.0,0.0,2.4301,15283932,209454918.78,10480663684.2,8566211927.34
2019-04-10,'000065,北方国际,13.62,14.11,13.57,13.85,13.85,-0.23,-1.6606,3.0983,19486480,270019634.13,10480663684.2,8566211927.34
2019-04-09,'000065,北方国际,13.85,14.44,13.72,14.4,14.51,-0.66,-4.5486,3.0214,19003028,265514243.01,10657649928.5,8710868956.95
2019-04-08,'000065,北方国际,14.51,14.8,14.08,14.6,14.5,0.01,0.069,3.4224,21524968,309773536.55,11165523499.1,9125971737.57
2019-04-04,'000065,北方国际,14.5,14.88,13.51,14.17,13.92,0.58,4.1667,6.0756,38212399,542124850.82,11157828445.0,9119682301.5
2019-04-03,'000065,北方国际,13.92,14.28,12.65,12.8,12.98,0.94,7.2419,4.9484,31122559,423368072.07,10711515307.2,8754895009.44
2019-04-02,'000065,北方国际,12.98,13.35,12.04,12.46,12.28,0.7,5.7003,4.5271,28473033,359993504.3,9988180221.8,8163688018.86
2019-04-01,'000065,北方国际,12.28,12.31,11.3,11.3,11.19,1.09,9.7408,3.7944,23864874,286442668.89,9449526434.8,7723427493.96
2019-03-29,'000065,北方国际,11.19,11.2,10.58,10.82,10.85,0.34,3.1336,2.4172,15203066,166947852.37,8610765537.9,7037878962.33
2019-03-28,'000065,北方国际,10.85,11.03,10.51,10.74,10.74,0.11,1.0242,1.9035,11972004,129009191.0,8349133698.5,6824038135.95
2019-03-27,'000065,北方国际,10.74,10.88,10.54,10.8,10.68,0.06,0.5618,1.4331,9013499,96517236.69,8264488103.4,6754854339.18
2019-03-26,'000065,北方国际,10.68,11.44,10.53,11.37,11.37,-0.69,-6.0686,3.1927,20080452,218500570.71,8218317778.8,6717117722.76
2019-03-25,'000065,北方国际,11.37,11.68,11.07,11.12,11.35,0.02,0.1762,2.8574,17971309,205469198.98,8749276511.7,7151088811.59
2019-03-22,'000065,北方国际,11.35,11.52,10.94,11.49,11.47,-0.12,-1.0462,2.9056,18274528,203781263.62,8733886403.5,7138509939.45
2019-03-21,'000065,北方国际,11.47,11.74,11.3,11.58,11.44,0.03,0.2622,3.6737,23105655,266299715.84,8826227052.7,7213983172.29
2019-03-20,'000065,北方国际,11.44,11.98,11.25,11.36,11.34,0.1,0.8818,4.1368,26017927,300063716.54,8803141890.4,7195114864.08
2019-03-19,'000065,北方国际,11.34,11.9,11.14,11.9,11.58,-0.24,-2.0725,6.0502,38052430,437556501.86,8726191349.4,7132220503.38
2019-03-18,'000065,北方国际,11.58,11.58,10.54,10.56,10.53,1.05,9.9715,5.1988,32697258,371219556.43,8910872647.8,7283166969.06
2019-03-15,'000065,北方国际,10.53,10.73,9.83,9.88,9.75,0.78,8.0,4.4651,28082785,293091829.96,8102891967.3,6622776181.71
2019-03-14,'000065,北方国际,9.75,10.15,9.61,9.85,9.94,-0.19,-1.9115,1.3793,8675020,84929059.0,7502677747.5,6132200168.25
2019-03-13,'000065,北方国际,9.94,10.38,9.85,10.21,10.19,-0.25,-2.4534,2.3139,14552940,147496025.62,7648883775.4,6251699453.58
2019-03-12,'000065,北方国际,10.19,10.47,9.63,9.74,9.7,0.49,5.0515,3.0405,19123168,192586276.56,7841260127.9,6408935355.33
2019-03-11,'000065,北方国际,9.7,9.91,9.49,9.51,9.37,0.33,3.5219,1.6411,10321358,99871456.07,7464202477.0,6100752987.9
2019-03-08,'000065,北方国际,9.37,9.87,9.32,9.61,9.9,-0.53,-5.3535,2.0873,13127809,126089856.02,7210265691.7,5893201597.59
2019-03-07,'000065,北方国际,9.9,10.12,9.77,9.86,9.98,-0.08,-0.8016,1.7984,11310906,112413285.48,7618103559.0,6226541709.3
2019-03-06,'000065,北方国际,9.98,10.19,9.22,9.29,9.3,0.68,7.3118,3.1055,19531574,189584717.5,7679663991.8,6276857197.86
2019-03-05,'000065,北方国际,9.3,9.41,9.08,9.21,9.21,0.09,0.9772,1.5136,9519901,87741171.38,7156400313.0,5849175545.1
2019-03-04,'000065,北方国际,9.21,9.42,9.15,9.27,9.21,0.0,0.0,1.8708,11766131,109307631.01,7087144826.1,5792570620.47
2019-03-01,'000065,北方国际,9.21,9.28,9.0,9.2,9.21,0.0,0.0,1.0453,6574354,59999759.5,7087144826.1,5792570620.47
2019-02-28,'000065,北方国际,9.21,9.32,8.91,9.03,9.0,0.21,2.3333,1.8452,11605454,106630760.56,7087144826.1,5792570620.47
2019-02-27,'000065,北方国际,9.0,9.25,8.83,9.14,9.12,-0.12,-1.3158,2.2017,13847710,125164961.49,6925548690.0,5660492463.0
2019-02-26,'000065,北方国际,9.12,9.59,8.58,8.83,8.72,0.4,4.5872,3.8779,24389881,226030652.61,7017889339.2,5735965695.84
2019-02-25,'000065,北方国际,8.72,8.77,8.4,8.4,8.37,0.35,4.1816,1.6194,10184908,87501142.86,6710087175.2,5484388253.04
2019-02-22,'000065,北方国际,8.37,8.37,8.14,8.27,8.29,0.08,0.965,0.9294,5845202,48255520.13,6440760281.7,5264257990.59
2019-02-21,'000065,北方国际,8.29,8.46,8.2,8.37,8.3,-0.01,-0.1205,1.0666,6708361,55751840.89,6379199848.9,5213942502.03
2019-02-20,'000065,北方国际,8.3,8.38,8.2,8.2,8.2,0.1,1.2195,0.7039,4426928,36710101.62,6386894903.0,5220231938.1
2019-02-19,'000065,北方国际,8.2,8.43,8.09,8.28,8.26,-0.06,-0.7264,0.8806,5538699,45664704.43,6309944362.0,5157337577.4
2019-02-18,'000065,北方国际,8.26,8.3,8.03,8.03,7.99,0.27,3.3792,0.7143,4492712,36978355.98,6356114686.6,5195074193.82
2019-02-15,'000065,北方国际,7.99,8.1,7.97,8.05,8.04,-0.05,-0.6219,0.5178,3256403,26183398.22,6148348225.9,5025259419.93
2019-02-14,'000065,北方国际,8.04,8.08,7.93,8.0,8.03,0.01,0.1245,0.5122,3221411,25839189.9,6186823496.4,5056706600.28
2019-02-13,'000065,北方国际,8.03,8.08,7.85,7.88,7.88,0.15,1.9036,0.6031,3793356,30271698.14,6179128442.3,5050417164.21
2019-02-12,'000065,北方国际,7.88,7.93,7.8,7.83,7.81,0.07,0.8963,0.3981,2503807,19749502.17,6063702630.8,4956075623.16
2019-02-11,'000065,北方国际,7.81,7.82,7.66,7.66,7.65,0.16,2.0915,0.3196,2009977,15622681.51,6009837252.1,4912049570.67
2019-02-01,'000065,北方国际,7.65,7.67,7.37,7.37,7.39,0.26,3.5183,0.3435,2160589,16415741.07,5886716386.5,4811418593.55
2019-01-31,'000065,北方国际,7.39,7.61,7.38,7.47,7.55,-0.16,-2.1192,0.4004,2518350,18811338.5,5686644979.9,4647893255.73
2019-01-30,'000065,北方国际,7.55,7.69,7.5,7.5,7.55,0.0,0.0,0.213,1339525,10175116.5,5809765845.5,4748524232.85
2019-01-29,'000065,北方国际,7.55,7.72,7.3,7.71,7.66,-0.11,-1.436,0.3346,2104175,15894234.5,5809765845.5,4748524232.85
2019-01-28,'000065,北方国际,7.66,7.82,7.63,7.8,7.75,-0.09,-1.1613,0.3038,1911000,14771882.25,5894411440.6,4817708029.62
2019-01-25,'000065,北方国际,7.75,7.86,7.73,7.82,7.81,-0.06,-0.7682,0.2784,1750900,13625173.84,5963666927.5,4874312954.25
2019-01-24,'000065,北方国际,7.81,7.84,7.72,7.78,7.82,-0.01,-0.1279,0.2688,1690849,13178422.78,6009837252.1,4912049570.67
2019-01-23,'000065,北方国际,7.82,7.85,7.7,7.76,7.76,0.06,0.7732,0.2494,1568824,12222709.62,6017532306.2,4918339006.74
2019-01-22,'000065,北方国际,7.76,7.96,7.72,7.95,7.95,-0.19,-2.3899,0.4585,2883708,22563975.15,5971361981.6,4880602390.32
2019-01-21,'000065,北方国际,7.95,8.0,7.9,7.92,7.92,0.03,0.3788,0.3452,2171368,17264257.1,6117568009.5,5000101675.65
2019-01-18,'000065,北方国际,7.92,7.97,7.83,7.92,7.87,0.05,0.6353,0.3049,1917577,15141386.01,6094482847.2,4981233367.44
2019-01-17,'000065,北方国际,7.87,8.01,7.87,7.98,7.93,-0.06,-0.7566,0.3383,2127725,16865200.5,6056007576.7,4949786187.09
2019-01-16,'000065,北方国际,7.93,8.05,7.9,7.97,7.97,-0.04,-0.5019,0.4007,2520269,20089581.67,6102177901.3,4987522803.51
2019-01-15,'000065,北方国际,7.97,7.98,7.84,7.85,7.87,0.1,1.2706,0.3312,2083231,16528356.63,6132958117.7,5012680547.79
2019-01-14,'000065,北方国际,7.87,8.03,7.83,7.96,7.99,-0.12,-1.5019,0.3828,2407293,19053292.35,6056007576.7,4949786187.09
2019-01-11,'000065,北方国际,7.99,7.99,7.9,7.92,7.94,0.05,0.6297,0.2886,1815293,14434464.76,6148348225.9,5025259419.93
2019-01-10,'000065,北方国际,7.94,8.02,7.89,7.97,7.94,0.0,0.0,0.3506,2204776,17532852.12,6109872955.4,4993812239.58
2019-01-09,'000065,北方国际,7.94,8.08,7.89,7.94,7.94,0.0,0.0,0.483,3037772,24305248.86,6109872955.4,4993812239.58
2019-01-08,'000065,北方国际,7.94,8.0,7.86,8.0,7.99,-0.05,-0.6258,0.3861,2428326,19264770.31,6109872955.4,4993812239.58
2019-01-07,'000065,北方国际,7.99,8.05,7.78,7.85,7.74,0.25,3.23,0.5884,3700977,29317962.69,6148348225.9,5025259419.93
2019-01-04,'000065,北方国际,7.74,7.79,7.4,7.4,7.57,0.17,2.2457,0.519,3264081,25003179.92,5955971873.4,4868023518.18
2019-01-03,'000065,北方国际,7.57,7.72,7.5,7.58,7.59,-0.02,-0.2635,0.4374,2751036,20996160.58,5825155953.7,4761103104.99
2019-01-02,'000065,北方国际,7.59,7.8,7.5,7.67,7.68,-0.09,-1.1719,0.6158,3872835,29560656.61,5840546061.9,4773681977.13
2018-12-28,'000065,北方国际,7.68,8.03,7.67,7.91,7.9,-0.22,-2.7848,0.6328,3979932,31067591.22,5909801548.8,4830286901.76
2018-12-27,'000065,北方国际,7.9,8.31,7.9,8.2,8.1,-0.2,-2.4691,0.3494,2197517,17791630.91,6079092739.0,4968654495.3
2018-12-26,'000065,北方国际,8.1,8.24,8.05,8.12,8.14,-0.04,-0.4914,0.2069,1301003,10586330.48,6232993821.0,5094443216.7
