日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600980,北矿科技,12.35,12.51,12.22,12.27,12.29,0.06,0.4882,1.4705,2238253,27693146.0,1916842018.0,1879792018.0
2019-04-25,'600980,北矿科技,12.29,13.13,12.26,12.96,12.96,-0.67,-5.1698,1.9186,2920258,37260095.0,1907529425.2,1870659425.2
2019-04-24,'600980,北矿科技,12.96,13.07,12.61,13.0,12.9,0.06,0.4651,1.5134,2303502,29620946.0,2011520044.8,1972640044.8
2019-04-23,'600980,北矿科技,12.9,13.3,12.84,13.2,13.21,-0.31,-2.3467,1.9987,3042212,39603222.0,2002207452.0,1963507452.0
2019-04-22,'600980,北矿科技,13.21,13.83,13.13,13.68,13.71,-0.5,-3.647,2.7808,4232585,56490492.0,2050322514.8,2010692514.8
2019-04-19,'600980,北矿科技,13.71,13.75,13.29,13.57,13.57,0.14,1.0317,2.469,3758048,50992777.0,2127927454.8,2086797454.8
2019-04-18,'600980,北矿科技,13.57,14.07,13.47,13.79,13.8,-0.23,-1.6667,3.5744,5440640,74552448.0,2106198071.6,2065488071.6
2019-04-17,'600980,北矿科技,13.8,14.35,13.77,14.18,14.49,-0.69,-4.7619,6.7301,10243850,144049708.0,2141896344.0,2100496344.0
2019-04-16,'600980,北矿科技,14.49,14.76,13.21,13.4,13.51,0.98,7.2539,8.9259,13586046,190154316.0,2248991161.2,2205521161.2
2019-04-15,'600980,北矿科技,13.51,13.83,13.06,13.35,13.25,0.26,1.9623,6.2177,9463951,127096906.0,2096885478.8,2056355478.8
2019-04-12,'600980,北矿科技,13.25,13.85,12.51,12.61,12.59,0.66,5.2423,6.8264,10390434,138463729.0,2056530910.0,2016780910.0
2019-04-11,'600980,北矿科技,12.59,12.93,12.56,12.83,12.83,-0.24,-1.8706,1.9289,2936022,37454136.0,1954092389.2,1916322389.2
2019-04-10,'600980,北矿科技,12.83,12.97,12.79,12.97,13.06,-0.23,-1.7611,1.9775,3009902,38717147.0,1991342760.4,1952852760.4
2019-04-09,'600980,北矿科技,13.06,13.1,12.67,13.05,12.94,0.12,0.9274,1.8227,2774397,36004533.0,2027041032.8,1987861032.8
2019-04-08,'600980,北矿科技,12.94,13.35,12.76,13.11,13.1,-0.16,-1.2214,2.9422,4478298,58457250.0,2008415847.2,1969595847.2
2019-04-04,'600980,北矿科技,13.1,13.23,12.9,13.18,13.12,-0.02,-0.1524,2.6461,4027602,52649078.0,2033249428.0,1993949428.0
2019-04-03,'600980,北矿科技,13.12,13.12,12.91,13.05,13.17,-0.05,-0.3797,2.1566,3282503,42742163.0,2036353625.6,1996993625.6
2019-04-02,'600980,北矿科技,13.17,13.27,12.86,12.88,12.88,0.29,2.2516,3.3408,5085009,66402007.0,2044114119.6,2004604119.6
2019-04-01,'600980,北矿科技,12.88,12.98,12.43,12.43,12.43,0.45,3.6203,2.3089,3514298,44827470.0,1999103254.4,1960463254.4
2019-03-29,'600980,北矿科技,12.43,12.44,12.0,12.14,12.06,0.37,3.068,1.4271,2172211,26663393.0,1929258808.4,1891968808.4
2019-03-28,'600980,北矿科技,12.06,12.33,12.01,12.09,12.11,-0.05,-0.4129,1.1339,1725960,21000480.0,1871831152.8,1835651152.8
2019-03-27,'600980,北矿科技,12.11,12.36,11.95,12.2,12.24,-0.13,-1.0621,1.6455,2504590,30297376.0,1879591646.8,1843261646.8
2019-03-26,'600980,北矿科技,12.24,12.76,12.15,12.61,12.61,-0.37,-2.9342,2.3143,3522611,44043784.0,1899768931.2,1863048931.2
2019-03-25,'600980,北矿科技,12.61,12.74,12.41,12.53,12.79,-0.18,-1.4073,1.798,2736782,34410230.0,1957196586.8,1919366586.8
2019-03-22,'600980,北矿科技,12.79,12.8,12.4,12.8,12.8,-0.01,-0.0781,2.7567,4195946,52974161.0,1985134365.2,1946764365.2
2019-03-21,'600980,北矿科技,12.8,12.85,12.48,12.58,12.45,0.35,2.8112,3.4129,5194721,65901445.0,1986686464.0,1948286464.0
2019-03-20,'600980,北矿科技,12.45,12.67,12.22,12.58,12.58,-0.13,-1.0334,1.6654,2534869,31621890.0,1932363006.0,1895013006.0
2019-03-19,'600980,北矿科技,12.58,12.67,12.42,12.5,12.63,-0.05,-0.3959,1.9292,2936397,36775616.0,1952540290.4,1914800290.4
2019-03-18,'600980,北矿科技,12.63,12.79,12.46,12.47,12.26,0.37,3.0179,2.3987,3651067,46080650.0,1960300784.4,1922410784.4
2019-03-15,'600980,北矿科技,12.26,12.44,12.07,12.16,12.13,0.13,1.0717,1.8748,2853699,34986232.0,1902873128.8,1866093128.8
2019-03-14,'600980,北矿科技,12.13,12.69,11.88,12.34,12.43,-0.3,-2.4135,2.1695,3302207,40570064.0,1882695844.4,1846305844.4
2019-03-13,'600980,北矿科技,12.43,12.78,12.29,12.68,12.63,-0.2,-1.5835,2.185,3325751,41930221.0,1929258808.4,1891968808.4
2019-03-12,'600980,北矿科技,12.63,12.88,12.39,12.45,12.43,0.2,1.609,2.9414,4477071,56588080.0,1960300784.4,1922410784.4
2019-03-11,'600980,北矿科技,12.43,12.49,12.06,12.09,11.97,0.46,3.8429,1.9937,3034613,37342511.0,1929258808.4,1891968808.4
2019-03-08,'600980,北矿科技,11.97,12.6,11.95,12.18,12.59,-0.62,-4.9245,3.0976,4714904,57943276.0,1857862263.6,1821952263.6
