日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002373,千方科技,18.65,19.0,18.3,18.35,18.5,0.15,0.8108,1.1842,14340234,268242302.84,27725570703.8,22584065689.0
2019-04-25,'002373,千方科技,18.5,19.85,18.43,19.75,19.81,-1.31,-6.6128,1.7015,20603621,392373796.08,27502576837.5,22402424410.0
2019-04-24,'002373,千方科技,19.81,19.81,18.47,19.01,18.89,0.92,4.8703,1.9833,24016167,461015621.6,29450056602.8,23988758246.6
2019-04-23,'002373,千方科技,18.89,19.51,18.7,19.4,19.63,-0.74,-3.7697,1.6362,19813836,376580295.05,28082360889.8,22874691735.4
2019-04-22,'002373,千方科技,19.63,20.75,19.2,20.35,21.05,-1.42,-6.7458,2.9556,32488012,640554897.63,29182463963.2,21577094046.6
2019-04-19,'002373,千方科技,21.05,21.29,20.69,21.29,21.41,-0.36,-1.6815,1.5054,16546945,347013309.09,31293472563.8,23137943437.6
2019-04-18,'002373,千方科技,21.41,21.6,20.65,20.85,20.94,0.47,2.2445,1.8415,20241382,429882563.47,31828657842.8,23533651733.9
2019-04-17,'002373,千方科技,20.94,21.82,20.68,20.95,20.94,0.0,0.0,2.2299,24510845,520872971.99,31129943728.5,23017032569.3
2019-04-16,'002373,千方科技,20.94,21.06,19.74,20.0,20.47,0.47,2.296,2.3977,26355665,540648832.28,31129943728.5,23017032569.3
2019-04-15,'002373,千方科技,20.47,21.2,19.91,19.91,19.83,0.64,3.2274,2.4653,27098684,559578348.55,30431229614.2,22500413404.6
2019-04-12,'002373,千方科技,19.83,20.18,19.55,19.78,20.0,-0.17,-0.85,1.1841,13015252,258738199.55,29479789118.2,21796931989.0
2019-04-11,'002373,千方科技,20.0,20.99,19.86,20.38,20.32,-0.32,-1.5748,1.7375,19098761,386694161.04,29732515500.0,21983794240.0
2019-04-10,'002373,千方科技,20.32,20.68,19.82,20.34,20.34,-0.02,-0.0983,1.8424,20251039,410182412.2,30208235748.0,22335534947.8
2019-04-09,'002373,千方科技,20.34,20.8,19.92,19.93,20.3,0.04,0.197,1.9281,21193692,431105499.78,30237968263.5,22357518742.1
2019-04-08,'002373,千方科技,20.3,21.8,20.03,21.8,21.8,-1.5,-6.8807,3.708,40757963,839549879.96,30178503232.5,22313551153.6
2019-04-04,'002373,千方科技,21.8,22.4,21.13,21.9,21.8,0.0,0.0,2.9911,32878005,716153237.89,32408441895.0,23962335721.6
2019-04-03,'002373,千方科技,21.8,23.06,21.4,21.79,22.06,-0.26,-1.1786,3.3444,36761765,813959244.05,32408441895.0,23962335721.6
2019-04-02,'002373,千方科技,22.06,22.9,21.07,21.07,20.82,1.24,5.9558,5.4987,60441348,1336195370.29,32794964596.5,24248125046.7
2019-04-01,'002373,千方科技,20.82,20.82,19.3,19.3,18.93,1.89,9.9842,4.2811,47057527,960638085.34,30951548635.5,22885129803.8
2019-03-29,'002373,千方科技,18.93,19.36,18.5,19.0,18.64,0.29,1.5558,2.8077,30861951,584267463.81,28141825920.8,20807661248.2
2019-03-28,'002373,千方科技,18.64,19.31,18.41,18.5,18.95,-0.31,-1.6359,2.2403,24624846,464062697.74,27710704446.0,20488896231.7
2019-03-27,'002373,千方科技,18.95,18.99,17.31,18.12,17.88,1.07,5.9843,2.3361,25677821,467231723.86,28171558436.2,20829645042.4
2019-03-26,'002373,千方科技,17.88,19.05,17.82,18.26,18.71,-0.83,-4.4361,2.1057,23145870,425763989.13,26580868857.0,19653512050.6
2019-03-25,'002373,千方科技,18.71,19.41,17.86,18.05,18.6,0.11,0.5914,3.2893,36155774,678132190.85,27814768250.2,20565839511.5
2019-03-22,'002373,千方科技,18.6,18.68,17.27,18.05,18.05,0.55,3.0471,2.7256,29959302,535706982.82,27651239415.0,20444928643.2
2019-03-21,'002373,千方科技,18.05,18.38,17.7,18.03,17.64,0.41,2.3243,2.3964,26341412,477256493.02,26833595238.8,19840374301.6
2019-03-20,'002373,千方科技,17.64,18.1,17.09,17.63,17.74,-0.1,-0.5637,1.9572,21513261,378261841.93,26224078671.0,19389706519.7
2019-03-19,'002373,千方科技,17.74,18.2,17.33,17.35,17.35,0.39,2.2478,2.0978,23058419,411121553.67,26372741248.5,19499625490.9
2019-03-18,'002373,千方科技,17.35,17.6,16.82,17.1,16.94,0.41,2.4203,2.218,24379756,421102702.92,25792957196.2,19070941503.2
2019-03-15,'002373,千方科技,16.94,17.79,16.89,17.05,16.92,0.02,0.1182,2.491,27380774,472716153.2,25183440628.5,18620273721.3
2019-03-14,'002373,千方科技,16.92,18.26,16.5,17.86,18.29,-1.37,-7.4904,3.2569,35799004,615464891.61,25153708113.0,18598289927.0
2019-03-13,'002373,千方科技,18.29,20.0,18.04,20.0,19.81,-1.52,-7.6729,4.3766,48107382,898868541.9,27190385424.8,20104179832.5
2019-03-12,'002373,千方科技,19.81,20.08,19.05,19.81,19.8,0.01,0.0505,4.6255,50843104,992468373.32,29450056602.8,21774948194.7
2019-03-11,'002373,千方科技,19.8,20.38,18.5,19.55,19.98,-0.18,-0.9009,4.3887,48239973,940916551.62,29435190345.0,21763956297.6
2019-03-08,'002373,千方科技,19.98,20.79,17.55,17.8,18.9,1.08,5.7143,6.5313,71791113,1396461939.23,29702782984.5,21961810445.8
2019-03-07,'002373,千方科技,18.9,19.34,18.06,18.19,17.59,1.31,7.4474,4.9802,54742188,1022157188.47,28097227147.5,20774685556.8
2019-03-06,'002373,千方科技,17.59,17.59,15.92,15.96,15.99,1.6,10.0063,4.3933,48290548,826460028.67,26149747382.2,19334747034.1
2019-03-05,'002373,千方科技,15.99,16.1,15.6,15.97,15.82,0.17,1.0746,2.1724,23879336,376856200.68,23771146142.2,17576043494.9
2019-03-04,'002373,千方科技,15.82,16.15,15.3,15.35,15.01,0.81,5.3964,2.9602,32538401,513412495.13,23518419760.5,17389181243.8
2019-03-01,'002373,千方科技,15.01,15.33,14.66,15.07,14.98,0.03,0.2003,1.1876,13053674,195701343.14,22314252882.8,16498837577.1
2019-02-28,'002373,千方科技,14.98,15.6,14.3,14.33,14.23,0.75,5.2706,2.2886,25156468,378341839.78,22269654109.5,16465861885.8
2019-02-27,'002373,千方科技,14.23,14.68,14.03,14.58,14.56,-0.33,-2.2665,1.1822,12995096,186798474.74,21154684778.2,15641469601.8
2019-02-26,'002373,千方科技,14.56,15.3,14.49,15.3,15.31,-0.75,-4.8988,2.3254,25560838,376269009.85,21645271284.0,16004202206.7
