日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002685,华东重机,6.01,6.07,5.93,6.06,6.09,-0.08,-1.3136,0.5102,4226305,25405960.44,6056220752.41,4978075475.48
2019-04-25,'002685,华东重机,6.09,6.46,6.07,6.46,6.43,-0.34,-5.2877,0.7278,6028161,37617889.23,6136836003.69,5044339375.32
2019-04-24,'002685,华东重机,6.43,6.44,6.18,6.18,6.18,0.25,4.0453,0.7078,5862969,37156194.3,6479450821.63,5325960949.64
2019-04-23,'002685,华东重机,6.18,6.44,6.15,6.44,6.44,-0.26,-4.0373,0.8417,6971900,43558132.0,6227528161.38,5118886262.64
2019-04-22,'002685,华东重机,6.44,6.66,6.42,6.66,6.6,-0.16,-2.4242,0.5099,4223312,27493087.2,6489527728.04,5334243937.12
2019-04-19,'002685,华东重机,6.6,6.66,6.49,6.62,6.62,-0.02,-0.3021,0.4785,3963820,26037540.0,6650758230.6,5466771736.8
2019-04-18,'002685,华东重机,6.62,6.69,6.58,6.61,6.61,0.01,0.1513,0.4054,3358320,22291310.4,6670912043.42,5483337711.76
2019-04-17,'002685,华东重机,6.61,6.64,6.5,6.5,6.51,0.1,1.5361,0.6453,5344853,35178120.46,6660835137.01,5475054724.28
2019-04-16,'002685,华东重机,6.51,6.54,6.29,6.36,6.36,0.15,2.3585,0.6167,5108240,32897877.0,6560066072.91,5392224849.48
2019-04-15,'002685,华东重机,6.36,6.59,6.34,6.51,6.48,-0.12,-1.8519,0.6476,5364200,34836027.0,6408912476.76,5267980037.28
2019-04-12,'002685,华东重机,6.48,6.64,6.43,6.62,6.67,-0.19,-2.8486,0.8048,6665900,43388039.16,6529835353.68,5367375887.04
2019-04-11,'002685,华东重机,6.67,6.94,6.64,6.77,6.77,-0.1,-1.4771,0.6658,5514400,37154355.79,6721296575.47,5524752649.16
2019-04-10,'002685,华东重机,6.77,6.83,6.66,6.78,6.83,-0.06,-0.8785,0.7362,6098323,41098056.14,6822065639.57,5607582523.96
2019-04-09,'002685,华东重机,6.83,6.89,6.77,6.88,6.91,-0.08,-1.1577,0.8464,7010872,47831331.64,6882527078.03,5657280448.84
2019-04-08,'002685,华东重机,6.91,6.93,6.69,6.73,6.73,0.18,2.6746,1.2906,10690137,72767189.53,6963142329.31,5723544348.68
2019-04-04,'002685,华东重机,6.73,6.85,6.72,6.83,6.81,-0.08,-1.1747,0.8534,7068692,47794685.24,6781758013.93,5574450574.04
2019-04-03,'002685,华东重机,6.81,6.82,6.64,6.71,6.75,0.06,0.8889,1.0694,8858009,59643687.87,6862373265.21,5640714473.88
2019-04-02,'002685,华东重机,6.75,6.92,6.72,6.9,6.92,-0.17,-2.4566,1.4213,11772751,80052668.59,6801911826.75,5591016549.0
2019-04-01,'002685,华东重机,6.92,6.98,6.61,6.69,6.79,0.13,1.9146,2.3071,19109888,129265086.53,6973219235.72,5731827336.16
2019-03-29,'002685,华东重机,6.79,6.82,6.51,6.65,6.66,0.13,1.952,0.7384,6116520,40995443.15,6842219452.39,5624148498.92
2019-03-28,'002685,华东重机,6.66,6.88,6.62,6.75,6.78,-0.12,-1.7699,0.6684,5536696,37365733.39,6711219669.06,5516469661.68
2019-03-27,'002685,华东重机,6.78,6.8,6.53,6.73,6.7,0.08,1.194,0.8158,6757233,44890472.25,6832142545.98,5615865511.44
2019-03-26,'002685,华东重机,6.7,7.08,6.66,6.98,6.99,-0.29,-4.1488,1.2395,10266965,70318829.35,6751527294.7,5549601611.6
2019-03-25,'002685,华东重机,6.99,7.38,6.7,6.7,6.86,0.13,1.895,1.6143,13370865,93351902.0,7043757580.59,5789808248.52
2019-03-22,'002685,华东重机,6.86,6.9,6.67,6.7,6.67,0.19,2.8486,1.2248,10145252,68970664.57,6912757797.26,5682129411.28
2019-03-21,'002685,华东重机,6.67,6.79,6.6,6.67,6.7,-0.03,-0.4478,0.7823,6479617,43336547.96,6721296575.47,5524752649.16
2019-03-20,'002685,华东重机,6.7,6.74,6.54,6.7,6.7,0.0,0.0,0.7439,6162056,40884019.64,6751527294.7,5549601611.6
2019-03-19,'002685,华东重机,6.7,6.85,6.62,6.79,6.76,-0.06,-0.8876,0.9539,7901032,53065202.92,6751527294.7,5549601611.6
2019-03-18,'002685,华东重机,6.76,6.76,6.36,6.5,6.49,0.27,4.1602,1.415,11720498,78016717.9,6811988733.16,5599299536.48
2019-03-15,'002685,华东重机,6.49,6.49,6.25,6.25,6.2,0.29,4.6774,0.7333,6074279,38686706.06,6539912260.09,5375658874.52
2019-03-14,'002685,华东重机,6.2,6.41,6.15,6.41,6.41,-0.21,-3.2761,0.7972,6602884,41250468.34,6247681974.2,5135452237.6
2019-03-13,'002685,华东重机,6.41,6.62,6.38,6.6,6.65,-0.24,-3.609,1.3412,9373277,60951187.44,6459297008.81,4479666261.31
2019-03-12,'002685,华东重机,6.65,6.75,6.46,6.46,6.45,0.2,3.1008,1.9839,13864690,91610644.26,6701142762.65,4647391675.15
2019-03-11,'002685,华东重机,6.45,6.45,6.22,6.22,6.21,0.24,3.8647,1.3941,9743064,62298376.81,6499604634.45,4507620496.95
2019-03-08,'002685,华东重机,6.21,6.54,6.09,6.41,6.64,-0.43,-6.4759,1.8143,12679088,80591096.63,6257758880.61,4339895083.11
2019-03-07,'002685,华东重机,6.64,6.71,6.41,6.5,6.54,0.1,1.5291,1.8278,12773496,84332007.86,6691065856.24,4640403116.24
2019-03-06,'002685,华东重机,6.54,6.61,6.43,6.43,6.28,0.26,4.1401,2.2042,15404060,100360158.43,6590296792.14,4570517527.14
2019-03-05,'002685,华东重机,6.28,6.29,6.12,6.22,6.22,0.06,0.9646,1.3156,9194341,57233804.01,6328297225.48,4388814995.48
2019-03-04,'002685,华东重机,6.22,6.45,6.18,6.3,6.24,-0.02,-0.3205,2.1943,15335122,96813867.36,6267835787.02,4346883642.02
2019-03-01,'002685,华东重机,6.24,6.32,6.01,6.1,6.07,0.17,2.8007,1.3456,9403836,57827733.08,6287989599.84,4360860759.84
2019-02-28,'002685,华东重机,6.07,6.14,6.0,6.06,6.04,0.03,0.4967,0.8882,6207525,37686739.37,6116682190.87,4242055258.37
2019-02-27,'002685,华东重机,6.04,6.29,6.0,6.08,6.21,-0.17,-2.7375,1.8652,13034951,79996251.88,6086451471.64,4221089581.64
2019-02-26,'002685,华东重机,6.21,6.48,5.86,5.92,5.89,0.32,5.4329,2.4722,17277297,107608822.08,6257758880.61,4339895083.11
2019-02-25,'002685,华东重机,5.89,5.94,5.64,5.64,5.64,0.25,4.4326,1.4342,10022779,58219944.3,5935297875.49,4116261197.99
2019-02-22,'002685,华东重机,5.64,5.64,5.47,5.56,5.61,0.03,0.5348,0.9573,6690487,37189512.8,5683375215.24,3941547225.24
2019-02-21,'002685,华东重机,5.61,5.68,5.55,5.65,5.62,-0.01,-0.1779,0.9919,6931782,38993228.68,5653144496.01,3920581548.51
2019-02-20,'002685,华东重机,5.62,5.67,5.5,5.51,5.52,0.1,1.8116,0.9577,6693119,37465068.14,5663221402.42,3927570107.42
2019-02-19,'002685,华东重机,5.52,5.61,5.43,5.59,5.53,-0.01,-0.1808,0.7732,5403836,29876658.04,5562452338.32,3857684518.32
2019-02-18,'002685,华东重机,5.53,5.54,5.4,5.4,5.36,0.17,3.1716,0.7827,5469896,30062227.12,5572529244.73,3864673077.23
2019-02-15,'002685,华东重机,5.36,5.48,5.33,5.38,5.38,-0.02,-0.3717,0.664,4640301,25054510.05,5401221835.76,3745867575.76
2019-02-14,'002685,华东重机,5.38,5.42,5.31,5.37,5.37,0.01,0.1862,0.7275,5084438,27305810.36,5421375648.58,3759844693.58
2019-02-13,'002685,华东重机,5.37,5.39,5.2,5.21,5.22,0.15,2.8736,1.0277,7182258,38293550.67,5411298742.17,3752856134.67
2019-02-12,'002685,华东重机,5.22,5.26,5.12,5.12,5.15,0.07,1.3592,0.6558,4583230,23816993.08,5260145146.02,3648027751.02
2019-02-11,'002685,华东重机,5.15,5.16,5.02,5.02,5.03,0.12,2.3857,0.6407,4477698,22861079.86,5189606801.15,3599107838.65
2019-02-01,'002685,华东重机,5.03,5.04,4.91,4.92,4.9,0.13,2.6531,0.3791,2649500,13249792.36,5068683924.23,3515245131.73
2019-01-31,'002685,华东重机,4.9,5.01,4.87,4.99,4.93,-0.03,-0.6085,0.5093,3559037,17574366.49,4937684140.9,3424393865.9
2019-01-30,'002685,华东重机,4.93,5.05,4.93,4.99,4.98,-0.05,-1.004,0.3107,2171491,10849784.26,4967914860.13,3445359542.63
2019-01-29,'002685,华东重机,4.98,5.11,4.92,5.1,5.1,-0.12,-2.3529,0.5597,3911484,19546380.8,5018299392.18,3480302337.18
2019-01-28,'002685,华东重机,5.1,5.21,5.02,5.03,5.17,-0.07,-1.354,0.6285,4392300,22491288.5,5139222269.1,3564165044.1
2019-01-25,'002685,华东重机,5.17,5.25,5.16,5.23,5.23,-0.06,-1.1472,0.4508,3150700,16338845.0,5209760613.97,3613084956.47
2019-01-24,'002685,华东重机,5.23,5.26,5.18,5.25,5.25,-0.02,-0.381,0.5187,3624800,18897425.0,5270222052.43,3655016309.93
2019-01-23,'002685,华东重机,5.25,5.27,5.17,5.2,5.24,0.01,0.1908,0.3846,2687869,14043532.42,5290375865.25,3668993427.75
2019-01-22,'002685,华东重机,5.24,5.32,5.2,5.28,5.25,-0.01,-0.1905,0.3589,2508337,13161235.25,5280298958.84,3662004868.84
2019-01-21,'002685,华东重机,5.25,5.43,5.22,5.28,5.26,-0.01,-0.1901,0.6115,4273507,22584366.01,5290375865.25,3668993427.75
2019-01-18,'002685,华东重机,5.26,5.39,5.11,5.17,5.17,0.09,1.7408,0.6224,4349548,22737956.48,5300452771.66,3675981986.66
2019-01-17,'002685,华东重机,5.17,5.32,5.17,5.32,5.29,-0.12,-2.2684,0.6123,4279174,22350423.28,5209760613.97,3613084956.47
2019-01-16,'002685,华东重机,5.29,5.43,5.25,5.4,5.44,-0.15,-2.7574,1.1177,7811300,41496430.4,5330683490.89,3696947663.39
2019-01-15,'002685,华东重机,5.44,5.59,5.22,5.26,5.25,0.19,3.619,1.0886,7607963,41150995.53,5481837087.04,3801776047.04
2019-01-14,'002685,华东重机,5.25,5.31,5.19,5.24,5.26,-0.01,-0.1901,0.3769,2633860,13856190.31,5290375865.25,3668993427.75
2019-01-11,'002685,华东重机,5.26,5.29,5.21,5.27,5.26,0.0,0.0,0.3141,2194961,11509922.29,5300452771.66,3675981986.66
2019-01-10,'002685,华东重机,5.26,5.32,5.2,5.22,5.2,0.06,1.1538,0.5252,3670374,19294678.54,5300452771.66,3675981986.66
2019-01-09,'002685,华东重机,5.2,5.33,5.14,5.26,5.26,-0.06,-1.1407,0.7291,5095580,26859776.97,5239991333.2,3634050633.2
2019-01-08,'002685,华东重机,5.26,5.34,5.13,5.16,5.16,0.1,1.938,0.7277,5085657,26619901.09,5300452771.66,3675981986.66
2019-01-07,'002685,华东重机,5.16,5.22,5.07,5.11,5.08,0.08,1.5748,0.5379,3759443,19328022.88,5199683707.56,3606096397.56
2019-01-04,'002685,华东重机,5.08,5.12,4.79,4.88,4.91,0.17,3.4623,0.6532,4564833,22838306.32,5119068456.28,3550187926.28
2019-01-03,'002685,华东重机,4.91,4.93,4.83,4.9,4.88,0.03,0.6148,0.4017,2807195,13728292.15,4947761047.31,3431382424.81
2019-01-02,'002685,华东重机,4.88,4.98,4.83,4.92,4.92,-0.04,-0.813,0.616,4305018,21053897.3,4917530328.08,3410416748.08
2018-12-28,'002685,华东重机,4.92,5.01,4.85,4.99,4.99,-0.07,-1.4028,0.4233,2958041,14576097.0,4957837953.72,3438370983.72
2018-12-27,'002685,华东重机,4.99,5.21,4.99,5.18,5.08,-0.09,-1.7717,0.4755,3323246,16901236.54,5028376298.59,3487290896.09
2018-12-26,'002685,华东重机,5.08,5.2,5.08,5.17,5.17,-0.09,-1.7408,0.3913,2734900,13999721.32,5119068456.28,3550187926.28
2018-12-25,'002685,华东重机,5.17,5.28,5.07,5.28,5.31,-0.14,-2.6365,0.5749,4017960,20659354.0,5209760613.97,3613084956.47
2018-12-24,'002685,华东重机,5.31,5.35,5.25,5.31,5.34,-0.03,-0.5618,0.397,2774247,14694656.46,5350837303.71,3710924781.21
2018-12-21,'002685,华东重机,5.34,5.35,5.23,5.26,5.28,0.06,1.1364,0.4751,3320073,17560901.54,5381068022.94,3731890457.94
2018-12-20,'002685,华东重机,5.28,5.34,5.18,5.26,5.31,-0.03,-0.565,0.6184,4321457,22771027.71,5320606584.48,3689959104.48
2018-12-19,'002685,华东重机,5.31,5.45,5.3,5.42,5.42,-0.11,-2.0295,0.4181,2921762,15648601.14,5350837303.71,3710924781.21
