日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300110,华仁药业,6.26,6.52,6.21,6.35,6.28,-0.02,-0.3185,5.6995,67379820,427310322.35,7400653267.32,7400653267.32
2019-04-25,'300110,华仁药业,6.28,6.81,6.1,6.7,6.74,-0.46,-6.8249,7.3935,87407383,563070993.94,7424297526.96,7424297526.96
2019-04-24,'300110,华仁药业,6.74,7.02,6.65,6.92,7.0,-0.26,-3.7143,5.6064,66279698,450886565.12,7968115498.68,7968115498.68
2019-04-23,'300110,华仁药业,7.0,7.13,6.6,6.99,6.92,0.08,1.1561,6.6584,78716334,542820491.17,8275490874.0,8275490874.0
2019-04-22,'300110,华仁药业,6.92,7.43,6.74,7.31,7.36,-0.44,-5.9783,8.4974,100456841,701060883.41,8180913835.44,8180913835.44
2019-04-19,'300110,华仁药业,7.36,7.61,7.02,7.08,7.2,0.16,2.2222,8.4996,100483117,744698752.24,8701087547.52,8701087547.52
2019-04-18,'300110,华仁药业,7.2,7.98,7.16,7.73,7.95,-0.75,-9.434,11.2743,133286146,1019304993.12,8511933470.4,8511933470.4
2019-04-17,'300110,华仁药业,7.95,8.16,7.26,7.6,7.67,0.28,3.6506,14.0404,165986889,1273809950.92,9398593206.9,9398593206.9
2019-04-16,'300110,华仁药业,7.67,7.9,7.07,7.24,7.35,0.32,4.3537,13.8555,163801488,1239581166.81,9067573571.94,9067573571.94
2019-04-15,'300110,华仁药业,7.35,7.45,6.86,6.98,6.8,0.55,8.0882,11.1245,131515784,948498407.92,8689265417.7,8689265417.7
2019-04-12,'300110,华仁药业,6.8,7.61,6.8,7.48,7.55,-0.75,-9.9338,12.6067,149038164,1053612599.28,8039048277.6,8039048277.6
2019-04-11,'300110,华仁药业,7.55,8.54,7.47,8.01,8.15,-0.6,-7.362,14.2062,167947064,1351529495.19,8925708014.1,8925708014.1
2019-04-10,'300110,华仁药业,8.15,8.72,7.59,7.74,7.93,0.22,2.7743,15.0006,177338947,1484259442.09,9635035803.3,9635035803.3
2019-04-09,'300110,华仁药业,7.93,7.93,7.44,7.58,7.21,0.72,9.9861,14.8359,175392119,1369993181.35,9374948947.26,9374948947.26
2019-04-08,'300110,华仁药业,7.21,7.21,6.36,6.47,6.55,0.66,10.0763,11.8936,140607504,982994032.75,8523755600.22,8523755600.22
2019-04-04,'300110,华仁药业,6.55,6.68,5.95,6.11,6.07,0.48,7.9077,17.3865,205545601,1328682192.45,7743495032.1,7743495032.1
2019-04-03,'300110,华仁药业,6.07,6.07,5.33,5.33,5.52,0.55,9.9638,16.3599,193408283,1103702938.84,7176032800.74,7176032800.74
2019-04-02,'300110,华仁药业,5.52,6.25,5.51,5.66,5.75,-0.23,-4.0,17.2759,204237889,1204393868.3,6525815660.64,6525815660.64
2019-04-01,'300110,华仁药业,5.75,5.75,5.23,5.75,5.23,0.52,9.9426,16.469,194699107,1082416256.96,6797724646.5,6797724646.5
2019-03-29,'300110,华仁药业,5.23,5.23,5.23,5.23,4.75,0.48,10.1053,2.4067,28452112,148804545.76,6182973895.86,6182973895.86
2019-03-28,'300110,华仁药业,4.75,4.75,4.15,4.26,4.32,0.43,9.9537,9.5124,112456963,519263773.55,5615511664.5,5615511664.5
2019-03-27,'300110,华仁药业,4.32,4.36,4.01,4.06,3.98,0.34,8.5427,9.4226,111395258,470334979.9,5107160082.24,5107160082.24
2019-03-26,'300110,华仁药业,3.98,3.98,3.7,3.87,3.84,0.14,3.6458,3.6381,43010594,165033369.75,4705207668.36,4705207668.36
2019-03-25,'300110,华仁药业,3.84,3.9,3.81,3.84,3.9,-0.06,-1.5385,1.8437,21796447,84019154.27,4539697850.88,4539697850.88
2019-03-22,'300110,华仁药业,3.9,3.94,3.82,3.93,3.92,-0.02,-0.5102,1.7895,21155934,82092885.93,4610630629.8,4610630629.8
2019-03-21,'300110,华仁药业,3.92,3.97,3.85,3.88,3.88,0.04,1.0309,2.4775,29289770,114942292.57,4634274889.44,4634274889.44
2019-03-20,'300110,华仁药业,3.88,3.88,3.75,3.88,3.88,0.0,0.0,1.8719,22130416,84784002.56,4586986370.16,4586986370.16
2019-03-19,'300110,华仁药业,3.88,3.95,3.84,3.9,3.89,-0.01,-0.2571,1.9609,23182021,89971933.64,4586986370.16,4586986370.16
2019-03-18,'300110,华仁药业,3.89,3.91,3.72,3.74,3.74,0.15,4.0107,2.5277,29882576,114315606.47,4598808499.98,4598808499.98
2019-03-15,'300110,华仁药业,3.74,3.77,3.68,3.68,3.68,0.06,1.6304,1.6016,18934239,70640578.27,4421476552.68,4421476552.68
2019-03-14,'300110,华仁药业,3.68,3.84,3.62,3.8,3.83,-0.15,-3.9164,2.211,26138762,96985798.9,4350543773.76,4350543773.76
2019-03-13,'300110,华仁药业,3.83,3.96,3.77,3.95,3.95,-0.12,-3.038,2.5658,30333811,117936170.64,4527875721.06,4527875721.06
2019-03-12,'300110,华仁药业,3.95,4.02,3.88,3.95,3.9,0.05,1.2821,3.4738,41068071,162357795.83,4669741278.9,4669741278.9
2019-03-11,'300110,华仁药业,3.9,3.9,3.7,3.7,3.72,0.18,4.8387,2.8589,33798237,128670782.03,4610630629.8,4610630629.8
2019-03-08,'300110,华仁药业,3.72,3.99,3.7,3.97,4.04,-0.32,-7.9208,3.9908,47180162,183029342.44,4397832293.04,4397832293.04
