日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600290,华仪电气,6.25,6.58,6.22,6.45,6.6,-0.35,-5.303,3.7825,28743250,184239424.0,4749396943.75,4749396943.75
2019-04-25,'600290,华仪电气,6.6,6.97,6.54,6.8,6.85,-0.25,-3.6496,5.587,42455750,290419045.0,5015363172.6,5015363172.6
2019-04-24,'600290,华仪电气,6.85,6.99,6.51,6.71,6.75,0.1,1.4815,5.9486,45203715,305153202.0,5205339050.35,5205339050.35
2019-04-23,'600290,华仪电气,6.75,6.84,6.13,6.46,6.5,0.25,3.8462,7.1,53953427,354729276.0,5129348699.25,5129348699.25
2019-04-22,'600290,华仪电气,6.5,6.79,6.46,6.77,6.72,-0.22,-3.2738,3.7792,28718601,189641990.0,4939372821.5,4939372821.5
2019-04-19,'600290,华仪电气,6.72,6.75,6.58,6.66,6.61,0.11,1.6641,4.0228,30569062,204430526.0,5106551593.92,5106551593.92
2019-04-18,'600290,华仪电气,6.61,6.72,6.58,6.7,6.71,-0.1,-1.4903,3.2869,24977400,165948105.0,5022962207.71,5022962207.71
2019-04-17,'600290,华仪电气,6.71,6.87,6.68,6.78,6.77,-0.06,-0.8863,4.1803,31766586,215344256.0,5098952558.81,5098952558.81
2019-04-16,'600290,华仪电气,6.77,6.77,6.38,6.63,6.63,0.14,2.1116,4.7761,36293892,238384774.0,5144546769.47,5144546769.47
2019-04-15,'600290,华仪电气,6.63,7.15,6.6,7.02,6.96,-0.33,-4.7414,5.2866,40172892,276350107.0,5038160277.93,5038160277.93
2019-04-12,'600290,华仪电气,6.96,7.16,6.91,7.15,7.18,-0.22,-3.0641,4.4842,34075503,238355104.0,5288928436.56,5288928436.56
2019-04-11,'600290,华仪电气,7.18,7.4,6.86,6.97,6.9,0.28,4.058,8.7573,66546951,475599156.0,5456107208.98,5456107208.98
2019-04-10,'600290,华仪电气,6.9,7.01,6.83,6.99,7.05,-0.15,-2.1277,4.2034,31941685,220631261.0,5243334225.9,5243334225.9
2019-04-09,'600290,华仪电气,7.05,7.17,6.81,6.99,6.99,0.06,0.8584,4.6121,35047502,246354537.0,5357319752.55,5357319752.55
2019-04-08,'600290,华仪电气,6.99,7.38,6.9,7.34,7.33,-0.34,-4.6385,6.5283,49608983,352248133.0,5311725541.89,5311725541.89
