日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'900933,华新Ｂ股,2.867,2.9,2.835,2.835,2.833,0.034,1.2001,0.3073,1612514,4633031.0,28898509410.3,10127021989.1
2019-04-25,'900933,华新Ｂ股,2.833,2.914,2.833,2.91,2.91,-0.077,-2.646,0.3226,1693000,4856413.0,28555799497.6,10006924762.9
2019-04-24,'900933,华新Ｂ股,2.91,2.928,2.875,2.901,2.898,0.012,0.4141,0.2062,1081916,3141858.0,29287485740.9,10263332544.0
2019-04-23,'900933,华新Ｂ股,2.898,2.934,2.866,2.888,2.901,-0.003,-0.1034,0.3363,1765071,5107833.0,29113331074.9,10202302817.3
2019-04-22,'900933,华新Ｂ股,2.901,3.013,2.865,3.013,3.01,-0.109,-3.6213,0.6404,3360611,9809571.0,29123050163.1,10205708716.8
2019-04-19,'900933,华新Ｂ股,3.01,3.038,2.922,2.96,2.938,0.072,2.4506,0.4111,2157580,6431115.0,30220903976.9,10590434086.4
2019-04-18,'900933,华新Ｂ股,2.938,2.994,2.76,2.765,2.758,0.18,6.5265,0.7137,3745468,10869595.0,29439933709.6,10316755504.6
2019-04-17,'900933,华新Ｂ股,2.758,2.769,2.696,2.714,2.715,0.043,1.5838,0.3063,1607567,4388317.0,27718454805.0,9713490662.4
2019-04-16,'900933,华新Ｂ股,2.715,2.715,2.658,2.664,2.664,0.051,1.9144,0.2806,1472802,3957738.0,27281010477.0,9560195270.4
2019-04-15,'900933,华新Ｂ股,2.664,2.733,2.66,2.68,2.654,0.01,0.3768,0.3592,1885118,5093516.0,26774533801.8,9382708592.64
2019-04-12,'900933,华新Ｂ股,2.654,2.669,2.602,2.63,2.644,0.01,0.3782,0.2846,1493760,3962507.0,26716953981.4,9362530662.4
2019-04-11,'900933,华新Ｂ股,2.644,2.7,2.566,2.669,2.663,-0.019,-0.7135,0.7374,3869636,10125309.0,26564020799.6,9308937666.56
2019-04-10,'900933,华新Ｂ股,2.663,2.75,2.663,2.683,2.631,0.032,1.2163,0.7008,3677686,9986832.0,26763685694.6,9378907046.4
2019-04-09,'900933,华新Ｂ股,2.631,2.694,2.55,2.69,2.68,-0.049,-1.8284,0.4306,2260012,5927388.0,26454687609.9,9270623592.96
2019-04-08,'900933,华新Ｂ股,2.68,2.68,2.548,2.548,2.541,0.139,5.4703,0.7535,3954187,10371449.0,26971061883.8,9451578726.4
2019-04-04,'900933,华新Ｂ股,2.541,2.692,2.483,2.588,2.538,0.003,0.1182,1.0014,5255473,13568084.0,25516631844.8,8941896902.4
2019-04-03,'900933,华新Ｂ股,2.538,2.538,2.296,2.316,2.307,0.231,10.013,0.9764,5123961,12467650.0,25539337571.9,8949853762.56
2019-04-02,'900933,华新Ｂ股,2.307,2.35,2.209,2.209,2.209,0.098,4.4364,0.7344,3854331,8853666.0,23203434055.8,8131273608.96
2019-04-01,'900933,华新Ｂ股,2.209,2.23,2.098,2.098,2.027,0.182,8.9788,1.6209,8506530,18559913.0,22228351888.0,7789571605.76
2019-03-29,'900933,华新Ｂ股,2.027,2.032,1.987,1.999,1.993,0.034,1.706,0.3804,1996348,4025618.0,20440058239.7,7162892601.6
2019-03-28,'900933,华新Ｂ股,1.993,1.996,1.981,1.994,1.994,-0.001,-0.0502,0.0773,405700,806778.0,20075716208.7,7035214744.32
2019-03-27,'900933,华新Ｂ股,1.994,1.995,1.945,1.945,1.944,0.05,2.572,0.1728,906633,1792085.0,20049358204.6,7025978001.92
2019-03-26,'900933,华新Ｂ股,1.944,1.988,1.931,1.977,1.967,-0.023,-1.1693,0.1963,1030053,2024229.0,19517794364.2,6839699927.04
2019-03-25,'900933,华新Ｂ股,1.967,1.988,1.965,1.987,2.0,-0.033,-1.65,0.1951,1023800,2023110.0,19765210818.4,6926403079.68
2019-03-22,'900933,华新Ｂ股,2.0,2.011,1.982,2.011,2.015,-0.015,-0.7444,0.134,703322,1402375.0,20050682956.2,7026442240.0
2019-03-21,'900933,华新Ｂ股,2.015,2.035,1.997,2.013,2.011,0.004,0.1989,0.2167,1137103,2293991.0,20172697579.9,7069200320.0
2019-03-20,'900933,华新Ｂ股,2.011,2.015,1.969,1.986,1.986,0.025,1.2588,0.231,1212239,2416754.0,20208244082.6,7081657025.28
