日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002274,华昌化工,13.68,15.29,13.52,14.6,14.96,-1.28,-8.5561,14.667,91761584,1317329450.98,8685565571.52,8558656061.04
2019-04-25,'002274,华昌化工,14.96,16.58,14.82,15.9,16.47,-1.51,-9.1682,18.5065,115782995,1795924857.22,9498250069.44,9359465984.88
2019-04-24,'002274,华昌化工,16.47,16.47,13.77,14.01,14.97,1.5,10.02,19.6946,123216175,1915487698.91,10456963813.1,10304171441.9
2019-04-23,'002274,华昌化工,14.97,14.98,14.09,14.6,13.62,1.35,9.9119,19.5464,122288978,1806741922.88,9504599167.08,9365722312.41
2019-04-22,'002274,华昌化工,13.62,13.62,12.61,12.7,12.38,1.24,10.0162,9.2477,57856737,777391499.84,8647470985.68,8521118095.86
2019-04-19,'002274,华昌化工,12.38,12.63,11.61,11.86,12.21,0.17,1.3923,8.9616,56066464,679953672.74,7860182878.32,7745333482.14
2019-04-18,'002274,华昌化工,12.21,12.89,12.05,12.65,12.93,-0.72,-5.5684,11.429,71503553,888750228.49,7752248218.44,7638975914.13
2019-04-17,'002274,华昌化工,12.93,13.1,11.62,11.8,11.96,0.97,8.1104,13.8421,86600790,1076603711.02,8209383248.52,8089431496.29
2019-04-16,'002274,华昌化工,11.96,11.99,11.25,11.26,11.49,0.47,4.0905,9.541,59691503,689716599.26,7593520777.44,7482567725.88
2019-04-15,'002274,华昌化工,11.49,12.2,11.19,11.58,12.12,-0.63,-5.198,12.2737,76788401,891889513.61,7295113188.36,7188520331.97
2019-04-12,'002274,华昌化工,12.12,13.46,12.04,12.94,12.76,-0.64,-5.0157,17.0601,106733880,1358578590.68,7695106339.68,7582668966.36
2019-04-11,'002274,华昌化工,12.76,12.76,11.51,11.71,11.6,1.16,10.0,17.577,109967230,1376624196.3,8101448588.64,7983073928.28
2019-04-10,'002274,华昌化工,11.6,12.35,11.13,11.15,11.27,0.33,2.9281,11.1343,69659819,821298333.99,7364953262.4,7257339934.8
2019-04-09,'002274,华昌化工,11.27,11.99,11.08,11.9,12.3,-1.03,-8.374,10.7801,67443718,771349039.83,7155433040.28,7050881126.31
2019-04-08,'002274,华昌化工,12.3,12.7,11.81,12.16,11.65,0.65,5.5794,12.7255,79614723,973041668.93,7809390097.2,7695282861.9
2019-04-04,'002274,华昌化工,11.65,12.13,10.88,11.14,11.03,0.62,5.621,13.6545,85427042,986386945.89,7396698750.6,7288621572.45
2019-04-03,'002274,华昌化工,11.03,11.28,10.62,10.8,11.27,-0.24,-2.1295,10.6792,66812406,728649191.99,7003054696.92,6900729265.59
2019-04-02,'002274,华昌化工,11.27,11.99,10.9,10.96,10.96,0.31,2.8285,16.3007,101982311,1164763110.91,7155433040.28,7050881126.31
2019-04-01,'002274,华昌化工,10.96,11.57,10.83,11.48,10.52,0.44,4.1825,17.3948,108827849,1228730882.34,6958611013.44,6856934972.88
2019-03-29,'002274,华昌化工,10.52,10.52,9.4,9.56,9.56,0.96,10.0418,13.5124,84537977,850797349.57,6679250717.28,6581656561.56
2019-03-28,'002274,华昌化工,9.56,9.56,9.25,9.5,8.69,0.87,10.0115,7.8649,49205510,468492106.54,6069737343.84,5981049118.68
2019-03-27,'002274,华昌化工,8.69,8.82,8.26,8.39,8.02,0.67,8.3541,7.8994,49421174,424857338.99,5517365849.16,5436748623.57
