日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600308,华泰股份,5.2,5.28,5.16,5.18,5.2,0.0,0.0,1.1949,13951664,72802213.0,6071319378.8,6071319378.8
2019-04-25,'600308,华泰股份,5.2,5.43,5.19,5.42,5.45,-0.25,-4.5872,1.7768,20745532,109919055.0,6071319378.8,6071319378.8
2019-04-24,'600308,华泰股份,5.45,5.45,5.31,5.39,5.36,0.09,1.6791,1.349,15750175,84735682.0,6363209733.55,6363209733.55
2019-04-23,'600308,华泰股份,5.36,5.54,5.27,5.53,5.54,-0.18,-3.2491,2.7595,32218944,174097535.0,6258129205.84,6258129205.84
2019-04-22,'600308,华泰股份,5.54,5.68,5.53,5.67,5.66,-0.12,-2.1201,1.7754,20729120,116137317.0,6468290261.26,6468290261.26
2019-04-19,'600308,华泰股份,5.66,5.66,5.58,5.65,5.63,0.03,0.5329,1.3993,16337314,91930070.0,6608397631.54,6608397631.54
2019-04-18,'600308,华泰股份,5.63,5.72,5.61,5.72,5.72,-0.09,-1.5734,1.7714,20681620,116973601.0,6573370788.97,6573370788.97
2019-04-17,'600308,华泰股份,5.72,5.79,5.66,5.7,5.69,0.03,0.5272,2.224,25966504,148693426.0,6678451316.68,6678451316.68
2019-04-16,'600308,华泰股份,5.69,5.69,5.52,5.55,5.57,0.12,2.1544,1.8811,21963173,123028242.0,6643424474.11,6643424474.11
2019-04-15,'600308,华泰股份,5.57,5.77,5.57,5.73,5.69,-0.12,-2.109,3.0496,35605919,202847161.0,6503317103.83,6503317103.83
2019-04-12,'600308,华泰股份,5.69,5.82,5.63,5.75,5.78,-0.09,-1.5571,2.6078,30447850,173850168.0,6643424474.11,6643424474.11
2019-04-11,'600308,华泰股份,5.78,6.08,5.77,5.95,5.99,-0.21,-3.5058,3.2289,37699127,222116855.0,6748505001.82,6748505001.82
2019-04-10,'600308,华泰股份,5.99,6.03,5.82,5.85,5.97,0.02,0.335,3.9698,46350323,274373288.0,6993692899.81,6993692899.81
2019-04-09,'600308,华泰股份,5.97,6.21,5.66,6.11,6.29,-0.32,-5.0874,6.1239,71499918,427516333.0,6970341671.43,6970341671.43
2019-04-08,'600308,华泰股份,6.29,6.45,6.08,6.3,5.86,0.43,7.3379,10.9434,127770648,797890567.0,7343961325.51,7343961325.51
2019-04-04,'600308,华泰股份,5.86,6.04,5.81,5.94,5.91,-0.05,-0.846,5.3966,63008983,373302773.0,6841909915.34,6841909915.34
