日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600521,华海药业,13.99,14.66,13.82,14.66,14.54,-0.55,-3.7827,1.8595,22992083,323711379.0,17499232545.6,17298269791.0
2019-04-25,'600521,华海药业,14.54,15.22,14.5,15.1,14.97,-0.43,-2.8724,1.082,13378490,198013513.0,18187193796.5,17978330433.3
2019-04-24,'600521,华海药业,14.97,15.48,14.75,15.4,15.35,-0.38,-2.4756,1.7037,21065830,314433455.0,18725054410.9,18510014208.2
2019-04-23,'600521,华海药业,15.35,15.72,15.18,15.32,15.32,0.03,0.1958,1.0555,13051365,201128346.0,19200373093.3,18979874288.2
2019-04-22,'600521,华海药业,15.32,15.88,15.04,15.77,15.8,-0.48,-3.038,1.8323,22656306,348290402.0,19162847934.2,18942780071.4
2019-04-19,'600521,华海药业,15.8,16.06,15.6,16.0,15.9,-0.1,-0.6289,0.9101,11252849,177749326.0,19763250480.4,19536287541.0
2019-04-18,'600521,华海药业,15.9,16.27,15.88,16.26,16.2,-0.3,-1.8519,0.7705,9527352,152153328.0,19888334344.2,19659934930.5
2019-04-17,'600521,华海药业,16.2,16.36,16.1,16.28,16.26,-0.06,-0.369,0.6838,8455112,137157420.0,20263585935.6,20030877099.0
2019-04-16,'600521,华海药业,16.26,16.35,15.79,16.04,16.15,0.11,0.6811,1.3347,16503733,264931192.0,20338636253.9,20105065532.7
2019-04-15,'600521,华海药业,16.15,17.25,16.08,16.89,16.77,-0.62,-3.6971,1.2645,15635830,260576327.0,20201044003.7,19969053404.2
2019-04-12,'600521,华海药业,16.77,17.1,16.45,16.85,16.94,-0.17,-1.0035,0.9724,12024019,200965101.0,20976563959.3,20735667219.2
2019-04-11,'600521,华海药业,16.94,17.85,16.83,17.46,17.59,-0.65,-3.6953,1.1868,14674348,252317515.0,21189206527.7,20945867781.3
2019-04-10,'600521,华海药业,17.59,17.8,17.0,17.26,17.27,0.32,1.8529,1.1779,14564731,255671559.0,22002251642.4,21749575813.0
2019-04-09,'600521,华海药业,17.27,17.5,16.75,17.09,17.09,0.18,1.0532,1.0005,12370310,213467806.0,21601983278.3,21353904166.7
2019-04-08,'600521,华海药业,17.09,17.68,16.82,17.38,17.04,0.05,0.2934,1.4799,18298066,314955916.0,21376832323.4,21131338865.5
2019-04-04,'600521,华海药业,17.04,17.25,16.79,16.89,16.89,0.15,0.8881,1.2565,15536246,264700434.0,21314290391.5,21069515170.8
2019-04-03,'600521,华海药业,16.89,17.28,16.4,16.6,16.6,0.29,1.747,1.4655,18120416,307099919.0,21126664595.8,20884044086.5
2019-04-02,'600521,华海药业,16.6,16.86,15.75,15.95,15.89,0.71,4.4682,2.1623,26736525,441025445.0,20763921390.8,20525466657.0
2019-04-01,'600521,华海药业,15.89,16.09,15.56,15.6,15.5,0.39,2.5161,1.3658,16887498,267582578.0,19875825957.8,19647570191.5
2019-03-29,'600521,华海药业,15.5,15.57,15.02,15.17,15.03,0.47,3.1271,0.9199,11374364,174238384.0,19387998889.0,19165345372.5
2019-03-28,'600521,华海药业,15.03,15.6,15.01,15.6,15.57,-0.54,-3.4682,0.9779,12090979,184385835.0,18800104729.1,18584202641.8
2019-03-27,'600521,华海药业,15.57,15.8,15.26,15.63,15.42,0.15,0.9728,1.0022,12392433,192739084.0,19475557593.7,19251898545.2
2019-03-26,'600521,华海药业,15.42,16.18,15.15,16.05,16.14,-0.72,-4.461,1.586,19610901,306082260.0,19287931798.0,19066427460.9
2019-03-25,'600521,华海药业,16.14,16.45,15.8,15.92,16.14,0.0,0.0,1.0386,12842636,207217306.0,20188535617.3,19956688665.3
2019-03-22,'600521,华海药业,16.14,16.21,15.9,16.15,16.14,0.0,0.0,0.9842,12169645,195157996.0,20188535617.3,19956688665.3
2019-03-21,'600521,华海药业,16.14,16.35,16.01,16.19,16.2,-0.06,-0.3704,1.1655,14411410,232890763.0,20188535617.3,19956688665.3
2019-03-20,'600521,华海药业,16.2,16.61,15.91,16.6,16.66,-0.46,-2.7611,1.8068,22340279,363066471.0,20263585935.6,20030877099.0
2019-03-19,'600521,华海药业,16.66,16.8,15.8,16.1,16.13,0.53,3.2858,2.2384,27677017,451703369.0,20838971709.1,20599655090.7
2019-03-18,'600521,华海药业,16.13,16.7,15.71,16.26,16.2,-0.07,-0.4321,3.2244,39868500,642702536.0,20176027230.9,19944323926.3
2019-03-15,'600521,华海药业,16.2,16.2,15.4,15.4,14.73,1.47,9.9796,3.9044,48276923,773259993.0,20263585935.6,20030877099.0
2019-03-14,'600521,华海药业,14.73,15.08,14.33,14.57,14.54,0.19,1.3067,1.8902,23371572,343311048.0,18424853137.7,18213260473.3
2019-03-13,'600521,华海药业,14.54,15.1,14.45,14.6,14.58,-0.04,-0.2743,2.3707,29312653,432880679.0,18187193796.5,17978330433.3
2019-03-12,'600521,华海药业,14.58,14.85,14.14,14.14,13.97,0.61,4.3665,2.953,36513401,529370095.0,18237227342.0,18027789389.1
2019-03-11,'600521,华海药业,13.97,14.07,13.32,13.32,13.31,0.66,4.9587,1.7899,22131932,305099068.0,17474215772.9,17273540313.2
2019-03-08,'600521,华海药业,13.31,13.95,13.15,13.6,13.9,-0.59,-4.2446,1.8077,22351853,303572815.0,16648662271.8,16457467542.5
