日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600623,华谊集团,9.08,9.34,9.05,9.21,9.27,-0.19,-2.0496,0.8929,16628249,152364297.0,19116094608.0,16908746608.0
2019-04-25,'600623,华谊集团,9.27,9.69,9.22,9.69,9.73,-0.46,-4.7276,1.164,21675285,204835844.0,19516100993.0,17262563993.0
2019-04-24,'600623,华谊集团,9.73,9.9,9.5,9.89,9.84,-0.11,-1.1179,0.9781,18214064,175860504.0,20484537504.0,18119174504.0
2019-04-23,'600623,华谊集团,9.84,10.1,9.8,10.09,10.07,-0.23,-2.284,0.7797,14520365,144240886.0,20716120147.9,18324016147.9
2019-04-22,'600623,华谊集团,10.07,10.17,9.95,10.01,10.0,0.07,0.7,0.7417,13811774,138823493.0,21200338403.4,18752321403.4
2019-04-19,'600623,华谊集团,10.0,10.04,9.78,9.91,9.92,0.08,0.8065,0.7474,13918623,138071680.0,21052967630.0,18621967630.0
2019-04-18,'600623,华谊集团,9.92,10.17,9.9,10.14,10.12,-0.2,-1.9763,0.7954,14812401,148170168.0,20884543889.0,18472991889.0
2019-04-17,'600623,华谊集团,10.12,10.22,10.01,10.07,10.14,-0.02,-0.1972,0.9619,17911749,181614411.0,21305603241.6,18845431241.6
2019-04-16,'600623,华谊集团,10.14,10.15,9.85,9.95,10.0,0.14,1.4,0.8443,15722982,157657262.0,21347709176.8,18882675176.8
2019-04-15,'600623,华谊集团,10.0,10.4,9.93,10.36,10.24,-0.24,-2.3438,0.905,16852556,171700454.0,21052967630.0,18621967630.0
2019-04-12,'600623,华谊集团,10.24,10.38,10.15,10.3,10.22,0.02,0.1957,0.5341,9945163,102133606.0,21558238853.1,19068894853.1
2019-04-11,'600623,华谊集团,10.22,10.59,10.2,10.49,10.59,-0.37,-3.4939,0.895,16666806,172395759.0,21516132917.9,19031650917.9
2019-04-10,'600623,华谊集团,10.59,10.84,10.44,10.65,10.71,-0.12,-1.1204,1.2162,22647146,239513322.0,22295092720.2,19720663720.2
