日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603358,华达科技,13.02,13.46,12.8,13.36,13.36,-0.34,-2.5449,2.3969,3300552,43197717.0,4083072000.0,1792874363.28
2019-04-25,'603358,华达科技,13.36,14.64,13.3,14.28,14.49,-1.13,-7.7985,3.7929,5222900,72769029.0,4189696000.0,1839692895.04
2019-04-24,'603358,华达科技,14.49,14.78,14.34,14.44,14.46,0.03,0.2075,1.8777,2585688,37590398.0,4544064000.0,1995295662.36
2019-04-23,'603358,华达科技,14.46,15.37,13.72,15.22,15.23,-0.77,-5.0558,4.1044,5651796,83083032.0,4534656000.0,1991164615.44
2019-04-22,'603358,华达科技,15.23,15.52,15.06,15.5,15.51,-0.28,-1.8053,3.2835,4521390,69116882.0,4776128000.0,2097194819.72
2019-04-19,'603358,华达科技,15.51,15.56,14.4,14.8,14.84,0.67,4.5148,4.9463,6811197,102752212.0,4863936000.0,2135751257.64
2019-04-18,'603358,华达科技,14.84,15.36,14.76,15.05,15.25,-0.41,-2.6885,3.1751,4372160,65625998.0,4653824000.0,2043491209.76
2019-04-17,'603358,华达科技,15.25,15.34,14.39,14.56,14.56,0.69,4.739,4.8132,6627896,99298933.0,4782400000.0,2099948851.0
2019-04-16,'603358,华达科技,14.56,14.59,13.88,14.34,14.38,0.18,1.2517,2.052,2825665,40352030.0,4566016000.0,2004934771.84
2019-04-15,'603358,华达科技,14.38,14.92,14.31,14.7,14.64,-0.26,-1.776,1.9981,2751380,40359139.0,4509568000.0,1980148490.32
2019-04-12,'603358,华达科技,14.64,14.8,14.0,14.78,14.75,-0.11,-0.7458,2.6448,3641883,52529369.0,4591104000.0,2015950896.96
2019-04-11,'603358,华达科技,14.75,14.84,14.36,14.41,14.41,0.34,2.3595,3.4678,4775213,70038773.0,4625600000.0,2031098069.0
2019-04-10,'603358,华达科技,14.41,14.54,14.04,14.39,14.41,0.0,0.0,1.7361,2390640,34278543.0,4518976000.0,1984279537.24
2019-04-09,'603358,华达科技,14.41,14.5,14.23,14.48,14.39,0.02,0.139,1.4642,2016224,28990684.0,4518976000.0,1984279537.24
2019-04-08,'603358,华达科技,14.39,14.92,14.0,14.78,14.77,-0.38,-2.5728,2.785,3834993,55579366.0,4512704000.0,1981525505.96
2019-04-04,'603358,华达科技,14.77,14.95,14.42,14.45,14.44,0.33,2.2853,3.1729,4369095,64061569.0,4631872000.0,2033852100.28
2019-04-03,'603358,华达科技,14.44,14.5,14.23,14.3,14.36,0.08,0.5571,1.5592,2147040,30879255.0,4528384000.0,1988410584.16
2019-04-02,'603358,华达科技,14.36,14.55,14.2,14.45,14.42,-0.06,-0.4161,2.0938,2883132,41498482.0,4503296000.0,1977394459.04
