日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000948,南天信息,11.1,11.6,10.83,10.97,10.85,0.25,2.3041,2.8498,9135997,101987474.18,3558525234.9,3558525234.9
2019-04-25,'000948,南天信息,10.85,11.64,10.78,11.48,11.48,-0.63,-5.4878,2.2359,7168060,80611903.7,3478378270.15,3478378270.15
2019-04-24,'000948,南天信息,11.48,11.61,11.25,11.37,11.35,0.13,1.1454,1.5652,5017742,57437648.89,3680348621.32,3680348621.32
2019-04-23,'000948,南天信息,11.35,11.85,11.27,11.6,11.58,-0.23,-1.9862,1.5274,4896736,56561332.22,3638672199.65,3638672199.65
2019-04-22,'000948,南天信息,11.58,12.08,11.54,12.06,12.03,-0.45,-3.7406,2.1534,6903660,81171851.8,3712407407.22,3712407407.22
2019-04-19,'000948,南天信息,12.03,12.25,11.9,12.25,12.0,0.03,0.25,1.4757,4730927,57090186.46,3856671943.77,3856671943.77
2019-04-18,'000948,南天信息,12.0,12.48,11.96,12.25,12.13,-0.13,-1.0717,1.6324,5233300,63736258.51,3847054308.0,3847054308.0
2019-04-17,'000948,南天信息,12.13,12.58,12.1,12.2,12.2,-0.07,-0.5738,2.3635,7577188,93599089.04,3888730729.67,3888730729.67
2019-04-16,'000948,南天信息,12.2,12.2,11.37,11.81,11.91,0.29,2.4349,2.6815,8596475,101274708.84,3911171879.8,3911171879.8
2019-04-15,'000948,南天信息,11.91,12.58,11.91,12.44,12.5,-0.59,-4.72,2.7898,8943789,109226641.47,3818201400.69,3818201400.69
2019-04-12,'000948,南天信息,16.3,16.39,15.8,16.0,16.04,0.26,1.6209,1.6628,4100574,65875904.46,4019678549.8,4019678549.8
2019-04-11,'000948,南天信息,16.04,16.43,15.95,16.26,16.24,-0.2,-1.2315,1.8602,4587340,74063877.91,3955560977.84,3955560977.84
2019-04-10,'000948,南天信息,16.24,16.65,16.06,16.65,16.79,-0.55,-3.2758,3.4661,8547582,139098053.1,4004882187.04,4004882187.04
2019-04-09,'000948,南天信息,16.79,16.99,16.26,16.44,16.44,0.35,2.129,2.3725,5850743,97876546.38,4140515512.34,4140515512.34
2019-04-08,'000948,南天信息,16.44,17.08,16.16,16.98,16.63,-0.19,-1.1425,2.6827,6615620,109956542.72,4054203396.24,4054203396.24
2019-04-04,'000948,南天信息,16.63,17.19,16.6,17.05,17.0,-0.37,-2.1765,3.3982,8380274,140946827.53,4101058544.98,4101058544.98
2019-04-03,'000948,南天信息,17.0,17.05,16.63,17.0,17.12,-0.12,-0.7009,3.0404,7497709,126501305.48,4192302782.0,4192302782.0
2019-04-02,'000948,南天信息,17.12,17.88,17.02,17.27,17.18,-0.06,-0.3492,4.86,11984962,208902924.8,4221895507.52,4221895507.52
2019-04-01,'000948,南天信息,17.18,17.58,16.57,16.58,16.52,0.66,3.9952,5.6874,14025459,240365020.21,4236691870.28,4236691870.28
2019-03-29,'000948,南天信息,16.52,16.59,15.59,16.41,16.35,0.17,1.0398,4.034,9948114,160652565.25,4073931879.92,4073931879.92
2019-03-28,'000948,南天信息,16.35,16.76,16.0,16.18,16.25,0.1,0.6154,2.9795,7347569,120758875.05,4032008852.1,4032008852.1
2019-03-27,'000948,南天信息,16.25,16.35,15.79,16.3,16.17,0.08,0.4947,2.9247,7212546,116308825.94,4007348247.5,4007348247.5
2019-03-26,'000948,南天信息,16.17,17.27,15.92,17.03,17.01,-0.84,-4.9383,4.4337,10933751,181109152.73,3987619763.82,3987619763.82
2019-03-25,'000948,南天信息,17.01,17.46,16.68,16.96,17.46,-0.45,-2.5773,4.0254,9926892,169377558.96,4194768842.46,4194768842.46
2019-03-22,'000948,南天信息,17.46,17.52,16.68,17.25,17.1,0.36,2.1053,5.3995,13315483,228327781.6,4305741563.16,4305741563.16
2019-03-21,'000948,南天信息,17.1,17.5,16.8,17.14,17.1,0.0,0.0,5.7717,14233255,244549996.98,4216963386.6,4216963386.6
2019-03-20,'000948,南天信息,17.1,17.18,16.45,16.82,17.1,0.0,0.0,4.9954,12318955,207054078.36,4216963386.6,4216963386.6
2019-03-19,'000948,南天信息,17.1,18.0,16.93,17.19,16.96,0.14,0.8255,7.5526,18625277,323883827.59,4216963386.6,4216963386.6
2019-03-18,'000948,南天信息,16.96,16.96,15.34,15.56,15.42,1.54,9.987,7.1719,17686314,285748708.69,4182438540.16,4182438540.16
2019-03-15,'000948,南天信息,15.42,16.19,15.13,15.76,15.76,-0.34,-2.1574,5.4641,13474924,210992796.24,3802665229.32,3802665229.32
2019-03-14,'000948,南天信息,15.76,16.97,15.76,16.56,17.51,-1.75,-9.9943,8.7002,21455306,343805736.51,3886511284.96,3886511284.96
2019-03-13,'000948,南天信息,17.51,18.82,16.8,17.88,17.11,0.4,2.3378,14.5087,35779240,653626055.5,4318071865.46,4318071865.46
2019-03-12,'000948,南天信息,17.11,17.11,16.0,16.2,15.55,1.56,10.0322,9.1022,22446517,374829515.21,4219429447.06,4219429447.06
2019-03-11,'000948,南天信息,15.55,15.55,14.54,14.54,14.5,1.05,7.2414,7.6825,18945540,284557122.68,3834724015.3,3834724015.3
