日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600815,厦工股份,3.36,3.53,3.36,3.5,3.49,-0.13,-3.7249,1.2213,11711550,40454130.0,3222139163.04,3222139163.04
2019-04-25,'600815,厦工股份,3.49,3.67,3.47,3.67,3.68,-0.19,-5.163,1.6499,15821894,56451540.0,3346805261.61,3346805261.61
2019-04-24,'600815,厦工股份,3.68,3.76,3.65,3.75,3.73,-0.05,-1.3405,1.1609,11132291,41105811.0,3529009559.52,3529009559.52
2019-04-23,'600815,厦工股份,3.73,3.81,3.68,3.75,3.83,-0.1,-2.611,1.8916,18139865,67887725.0,3576958058.97,3576958058.97
2019-04-22,'600815,厦工股份,3.83,4.02,3.83,3.96,4.02,-0.19,-4.7264,2.8837,27653811,108050028.0,3672855057.87,3672855057.87
2019-04-19,'600815,厦工股份,4.02,4.16,3.93,4.14,4.21,-0.19,-4.5131,6.0149,57680932,232484943.0,3855059355.78,3855059355.78
2019-04-18,'600815,厦工股份,4.21,4.21,3.71,3.84,3.83,0.38,9.9217,3.6397,34903318,139203963.0,4037263653.69,4037263653.69
2019-04-17,'600815,厦工股份,3.83,3.9,3.66,3.67,3.66,0.17,4.6448,3.4777,33349970,126234230.0,3672855057.87,3672855057.87
2019-04-16,'600815,厦工股份,3.66,3.69,3.46,3.5,3.54,0.12,3.3898,1.3075,12538333,45383705.0,3509830159.74,3509830159.74
2019-04-15,'600815,厦工股份,3.54,3.76,3.51,3.69,3.66,-0.12,-3.2787,1.2702,12181053,44605489.0,3394753761.06,3394753761.06
2019-04-12,'600815,厦工股份,3.66,3.73,3.6,3.66,3.69,-0.03,-0.813,1.2262,11759165,43046313.0,3509830159.74,3509830159.74
2019-04-11,'600815,厦工股份,3.69,3.79,3.66,3.7,3.79,-0.1,-2.6385,1.7875,17141582,63711452.0,3538599259.41,3538599259.41
2019-04-10,'600815,厦工股份,3.79,3.92,3.67,3.73,3.73,0.06,1.6086,2.8665,27488502,104953103.0,3634496258.31,3634496258.31
2019-04-09,'600815,厦工股份,3.73,3.75,3.59,3.75,3.76,-0.03,-0.7979,1.2471,11959447,44048455.0,3576958058.97,3576958058.97
2019-04-08,'600815,厦工股份,3.76,3.93,3.66,3.74,3.73,0.03,0.8043,2.0422,19584045,73937916.0,3605727158.64,3605727158.64
2019-04-04,'600815,厦工股份,3.73,3.96,3.68,3.89,3.75,-0.02,-0.5333,2.1688,20797735,78959098.0,3576958058.97,3576958058.97
