日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600057,厦门象屿,4.98,5.15,4.95,5.09,5.11,-0.13,-2.544,0.8071,17413500,88100608.0,10744121343.3,10744121343.3
2019-04-25,'600057,厦门象屿,5.11,5.34,5.1,5.27,5.27,-0.16,-3.0361,0.8447,18222995,95007402.0,11024590374.4,11024590374.4
2019-04-24,'600057,厦门象屿,5.27,5.31,5.19,5.28,5.28,-0.01,-0.1894,0.6171,13314212,69945257.0,11369783028.0,11369783028.0
2019-04-23,'600057,厦门象屿,5.28,5.35,5.21,5.25,5.29,-0.01,-0.189,0.7047,15204158,80210728.0,11391357568.8,11391357568.8
2019-04-22,'600057,厦门象屿,5.29,5.45,5.27,5.44,5.44,-0.15,-2.7574,0.8815,19017652,101748043.0,11412932109.6,11412932109.6
2019-04-19,'600057,厦门象屿,5.44,5.49,5.34,5.43,5.54,-0.1,-1.8051,1.435,30958621,167187856.0,11736550222.4,11736550222.4
2019-04-18,'600057,厦门象屿,5.54,5.72,5.3,5.45,5.42,0.12,2.214,3.0679,66187989,367355898.0,11952295630.9,11952295630.9
2019-04-17,'600057,厦门象屿,5.42,5.65,5.16,5.19,5.22,0.2,3.8314,2.203,47529125,256673857.0,11693401140.7,11693401140.7
2019-04-16,'600057,厦门象屿,5.22,5.22,5.07,5.12,5.14,0.08,1.5564,0.6262,13510664,69472600.0,11261910323.7,11261910323.7
2019-04-15,'600057,厦门象屿,5.14,5.29,5.14,5.25,5.21,-0.07,-1.3436,0.8168,17621791,92168345.0,11089313996.9,11089313996.9
2019-04-12,'600057,厦门象屿,5.21,5.22,5.1,5.14,5.14,0.07,1.3619,0.6685,14422575,74292172.0,11240335782.9,11240335782.9
2019-04-11,'600057,厦门象屿,5.14,5.3,5.14,5.27,5.25,-0.11,-2.0952,0.8382,18083715,94106213.0,11089313996.9,11089313996.9
2019-04-10,'600057,厦门象屿,5.25,5.28,5.14,5.17,5.2,0.05,0.9615,0.8146,17574321,91645314.0,11326633946.2,11326633946.2
2019-04-09,'600057,厦门象屿,5.2,5.24,5.16,5.22,5.22,-0.02,-0.3831,0.5195,11208596,58273371.0,11218761242.0,11218761242.0
2019-04-08,'600057,厦门象屿,5.22,5.34,5.13,5.33,5.3,-0.08,-1.5094,1.1448,24697539,129447472.0,11261910323.7,11261910323.7
2019-04-04,'600057,厦门象屿,5.3,5.37,5.2,5.28,5.3,0.0,0.0,1.3477,29076018,153261732.0,11434506650.5,11434506650.5
2019-04-03,'600057,厦门象屿,5.3,5.32,5.05,5.1,5.13,0.17,3.3138,2.1084,45487642,238934945.0,11434506650.5,11434506650.5
2019-04-02,'600057,厦门象屿,5.13,5.14,5.06,5.12,5.11,0.02,0.3914,0.8826,19042016,96937505.0,11067739456.0,11067739456.0
2019-04-01,'600057,厦门象屿,5.11,5.13,4.99,4.99,4.97,0.14,2.8169,1.0416,22472740,114075943.0,11024590374.4,11024590374.4
2019-03-29,'600057,厦门象屿,4.97,4.97,4.83,4.85,4.86,0.11,2.2634,0.6061,13075791,64345684.0,10722546802.5,10722546802.5
2019-03-28,'600057,厦门象屿,4.86,5.0,4.85,4.99,4.99,-0.13,-2.6052,0.6591,14220390,69924106.0,10485226853.1,10485226853.1
2019-03-27,'600057,厦门象屿,4.99,5.03,4.92,5.01,4.99,0.0,0.0,0.4692,10123766,50347759.0,10765695884.1,10765695884.1
2019-03-26,'600057,厦门象屿,4.99,5.12,4.95,5.11,5.1,-0.11,-2.1569,0.8198,17686568,88855212.0,10765695884.1,10765695884.1
2019-03-25,'600057,厦门象屿,5.1,5.14,4.99,5.04,5.13,-0.03,-0.5848,0.9714,20957788,106562118.0,11003015833.5,11003015833.5
2019-03-22,'600057,厦门象屿,5.13,5.14,5.01,5.09,5.12,0.01,0.1953,0.9792,21124947,107254056.0,11067739456.0,11067739456.0
2019-03-21,'600057,厦门象屿,5.12,5.19,5.05,5.05,5.04,0.08,1.5873,1.1877,25624979,131347288.0,11046164915.2,11046164915.2
2019-03-20,'600057,厦门象屿,5.04,5.13,4.96,5.07,5.12,-0.08,-1.5625,1.1838,25539267,128592577.0,10873568588.4,10873568588.4
2019-03-19,'600057,厦门象屿,5.12,5.2,4.93,4.98,4.98,0.14,2.8112,1.8955,40895175,207707324.0,11046164915.2,11046164915.2
2019-03-18,'600057,厦门象屿,4.98,5.01,4.85,4.87,4.84,0.14,2.8926,0.9074,19576403,96602619.0,10744121343.3,10744121343.3
2019-03-15,'600057,厦门象屿,4.84,4.88,4.79,4.83,4.81,0.03,0.6237,0.6739,14539306,70410284.0,10442077771.4,10442077771.4
2019-03-14,'600057,厦门象屿,4.81,4.96,4.74,4.92,4.93,-0.12,-2.4341,0.8118,17514156,84413616.0,10377354148.9,10377354148.9
2019-03-13,'600057,厦门象屿,4.93,5.03,4.91,5.03,5.02,-0.09,-1.7928,0.9279,20019360,99363665.0,10636248639.0,10636248639.0
2019-03-12,'600057,厦门象屿,5.02,5.11,4.96,5.04,5.02,0.0,0.0,1.1457,24717365,124704670.0,10830419506.7,10830419506.7
2019-03-11,'600057,厦门象屿,5.02,5.04,4.82,4.82,4.86,0.16,3.2922,1.2076,26053976,128490204.0,10830419506.7,10830419506.7
2019-03-08,'600057,厦门象屿,4.86,5.03,4.85,4.98,5.08,-0.22,-4.3307,1.7383,37502139,184809813.0,10485226853.1,10485226853.1
2019-03-07,'600057,厦门象屿,5.08,5.13,4.92,4.99,4.99,0.09,1.8036,1.2464,26889866,134744983.0,10959866751.8,10959866751.8
2019-03-06,'600057,厦门象屿,4.99,5.02,4.82,4.85,4.85,0.14,2.8866,1.423,30699812,150755059.0,10765695884.1,10765695884.1
2019-03-05,'600057,厦门象屿,4.85,4.85,4.77,4.81,4.8,0.05,1.0417,0.7855,16947527,81456932.0,10463652312.2,10463652312.2
2019-03-04,'600057,厦门象屿,4.8,4.9,4.76,4.78,4.76,0.04,0.8403,1.152,24853284,120027749.0,10355779608.0,10355779608.0
2019-03-01,'600057,厦门象屿,4.76,4.79,4.69,4.77,4.76,0.0,0.0,0.5437,11730104,55448759.0,10269481444.6,10269481444.6
2019-02-28,'600057,厦门象屿,4.76,4.82,4.72,4.8,4.79,-0.03,-0.6263,0.6653,14353477,68450757.0,10269481444.6,10269481444.6
2019-02-27,'600057,厦门象屿,4.79,4.87,4.73,4.74,4.76,0.03,0.6303,1.552,33484043,160783282.0,10334205067.1,10334205067.1
2019-02-26,'600057,厦门象屿,4.76,4.87,4.66,4.68,4.71,0.05,1.0616,1.7337,37403837,177822644.0,10269481444.6,10269481444.6
2019-02-25,'600057,厦门象屿,4.71,4.74,4.53,4.56,4.54,0.17,3.7445,1.7696,38178392,177152936.0,10161608740.4,10161608740.4
2019-02-22,'600057,厦门象屿,4.54,4.55,4.39,4.42,4.42,0.12,2.7149,1.2462,26885363,120819033.0,9794841545.9,9794841545.9
2019-02-21,'600057,厦门象屿,4.42,4.49,4.4,4.45,4.46,-0.04,-0.8969,0.6424,13858515,61552217.0,9535947055.7,9535947055.7
