日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600549,厦门钨业,13.85,14.19,13.83,14.11,14.15,-0.3,-2.1201,0.7238,10176989,141948897.0,19574292393.5,19473739870.0
2019-04-25,'600549,厦门钨业,14.15,14.88,14.11,14.6,14.71,-0.56,-3.8069,1.1583,16286872,235895919.0,19998284286.5,19895553730.0
2019-04-24,'600549,厦门钨业,14.71,14.88,14.55,14.8,14.77,-0.06,-0.4062,0.6191,8704660,127756074.0,20789735820.1,20682939602.0
2019-04-23,'600549,厦门钨业,14.77,15.12,14.6,14.88,14.92,-0.15,-1.0054,1.0007,14070652,208325302.0,20874534198.7,20767302374.0
2019-04-22,'600549,厦门钨业,14.92,15.36,14.88,15.35,15.4,-0.48,-3.1169,1.3025,18314251,275823384.0,21086530145.2,20978209304.0
2019-04-19,'600549,厦门钨业,15.4,15.45,15.03,15.2,15.24,0.16,1.0499,1.1549,16237725,247969884.0,21764917174.0,21653111480.0
2019-04-18,'600549,厦门钨业,15.24,15.56,15.2,15.32,15.32,-0.08,-0.5222,0.8575,12056535,185476124.0,21538788164.4,21428144088.0
2019-04-17,'600549,厦门钨业,15.32,15.49,15.25,15.31,15.34,-0.02,-0.1304,1.1192,15736105,241599729.0,21651852669.2,21540627784.0
2019-04-16,'600549,厦门钨业,15.34,15.42,14.8,14.93,15.02,0.32,2.1305,1.1583,16286226,248093656.0,21680118795.4,21568748708.0
2019-04-15,'600549,厦门钨业,15.02,15.46,15.0,15.31,15.17,-0.15,-0.9888,1.0177,14309999,218435803.0,21227860776.2,21118813924.0
2019-04-12,'600549,厦门钨业,15.17,15.25,15.03,15.14,15.15,0.02,0.132,0.6183,8693182,131640673.0,21439856722.7,21329720854.0
2019-04-11,'600549,厦门钨业,15.15,15.56,15.13,15.41,15.44,-0.29,-1.8782,0.9279,13047320,199927479.0,21411590596.5,21301599930.0
2019-04-10,'600549,厦门钨业,15.44,15.59,15.21,15.5,15.55,-0.11,-0.7074,1.0287,14464425,222162617.0,21821449426.4,21709353328.0
2019-04-09,'600549,厦门钨业,15.55,15.83,15.44,15.8,15.87,-0.32,-2.0164,1.1351,15959739,248864278.0,21976913120.5,21864018410.0
2019-04-08,'600549,厦门钨业,15.87,16.14,15.6,15.96,15.76,0.11,0.698,2.2068,31028267,492752562.0,22429171139.7,22313953194.0
2019-04-04,'600549,厦门钨业,15.76,15.94,15.5,15.75,15.7,0.06,0.3822,1.7821,25056918,394859046.0,22273707445.6,22159288112.0
2019-04-03,'600549,厦门钨业,15.7,15.82,15.54,15.7,15.87,-0.17,-1.0712,1.4773,20771252,325583819.0,22188909067.0,22074925340.0
2019-04-02,'600549,厦门钨业,15.87,16.15,15.4,15.6,15.58,0.29,1.8614,2.7101,38105055,598946339.0,22429171139.7,22313953194.0
2019-04-01,'600549,厦门钨业,15.58,15.8,15.2,15.21,15.08,0.5,3.3156,2.3454,32976905,513127383.0,22019312309.8,21906199796.0
2019-03-29,'600549,厦门钨业,15.08,15.1,14.58,14.66,14.63,0.45,3.0759,1.056,14847552,221779753.0,21312659154.8,21203176696.0
2019-03-28,'600549,厦门钨业,14.63,14.82,14.52,14.66,14.75,-0.12,-0.8136,0.6784,9539273,140274796.0,20676671315.3,20570455906.0
2019-03-27,'600549,厦门钨业,14.75,14.98,14.6,14.94,14.8,-0.05,-0.3378,0.7778,10936586,161250002.0,20846268072.5,20739181450.0
2019-03-26,'600549,厦门钨业,14.8,15.38,14.71,15.29,15.2,-0.4,-2.6316,1.3562,19068692,285488637.0,20916933388.0,20809483760.0
2019-03-25,'600549,厦门钨业,15.2,15.49,15.12,15.36,15.7,-0.5,-3.1847,2.0367,28636713,437086143.0,21482255912.0,21371902240.0
2019-03-22,'600549,厦门钨业,15.7,15.9,15.52,15.6,15.75,-0.05,-0.3175,1.2864,18087034,283469558.0,22188909067.0,22074925340.0
2019-03-21,'600549,厦门钨业,15.75,16.08,15.62,15.9,15.74,0.01,0.0635,1.9336,27187302,431374510.0,22259574382.5,22145227650.0
2019-03-20,'600549,厦门钨业,15.74,16.1,15.48,15.91,16.11,-0.37,-2.2967,1.9716,27720934,435549808.0,22245441319.4,22131167188.0
2019-03-19,'600549,厦门钨业,16.11,16.16,15.31,15.4,15.69,0.42,2.6769,2.877,40452102,639363073.0,22768364654.1,22651404282.0
2019-03-18,'600549,厦门钨业,15.69,16.4,15.5,15.93,15.22,0.47,3.088,2.9087,40898367,647615927.0,22174776003.9,22060864878.0
2019-03-15,'600549,厦门钨业,15.22,15.22,14.83,14.99,14.86,0.36,2.4226,1.538,21624507,325116528.0,21510522038.2,21400023164.0
2019-03-14,'600549,厦门钨业,14.86,15.49,14.6,15.14,15.14,-0.28,-1.8494,2.0119,28288632,426743035.0,21001731766.6,20893846532.0
2019-03-13,'600549,厦门钨业,15.14,15.52,15.04,15.29,15.27,-0.13,-0.8513,1.9761,27784477,424852396.0,21397457533.4,21287539468.0
2019-03-12,'600549,厦门钨业,15.27,15.4,15.03,15.1,14.96,0.31,2.0722,2.2882,32172979,490970191.0,21581187353.7,21470325474.0
2019-03-11,'600549,厦门钨业,14.96,14.96,14.45,14.45,14.5,0.46,3.1724,1.5446,21717298,321907073.0,21143062397.6,21034451152.0
2019-03-08,'600549,厦门钨业,14.5,15.44,14.31,15.11,15.74,-1.24,-7.878,2.8733,40399503,606614664.0,20492941495.0,20387669900.0
2019-03-07,'600549,厦门钨业,15.74,16.24,14.99,15.14,15.23,0.51,3.3487,3.5708,50206956,788362917.0,22245441319.4,22131167188.0
2019-03-06,'600549,厦门钨业,15.23,15.45,14.91,14.95,14.71,0.52,3.535,3.281,46132036,700641067.0,21524655101.3,21414083626.0
2019-03-05,'600549,厦门钨业,14.71,14.79,14.31,14.42,14.44,0.27,1.8698,1.6568,23295684,339371493.0,20789735820.1,20682939602.0
2019-03-04,'600549,厦门钨业,14.44,14.73,14.3,14.42,14.29,0.15,1.0497,2.1803,30655585,446036793.0,20408143116.4,20303307128.0
2019-03-01,'600549,厦门钨业,14.29,14.43,14.08,14.39,14.28,0.01,0.07,0.9262,13023220,185277731.0,20196147169.9,20092400198.0
2019-02-28,'600549,厦门钨业,14.28,14.49,14.19,14.39,14.34,-0.06,-0.4184,0.9574,13461117,192402762.0,20182014106.8,20078339736.0
2019-02-27,'600549,厦门钨业,14.34,14.78,14.1,14.46,14.56,-0.22,-1.511,1.909,26841901,387937564.0,20266812485.4,20162702508.0
2019-02-26,'600549,厦门钨业,14.56,15.25,14.17,14.5,14.5,0.06,0.4138,3.7912,53305681,786757837.0,20577739873.6,20472032672.0
2019-02-25,'600549,厦门钨业,14.5,14.5,13.12,13.12,13.19,1.31,9.9318,3.0497,42880047,599090741.0,20492941495.0,20387669900.0
2019-02-22,'600549,厦门钨业,13.19,13.2,12.86,12.91,13.0,0.19,1.4615,0.8653,12166025,158872222.0,18641510228.9,18545749378.0
2019-02-21,'600549,厦门钨业,13.0,13.24,12.93,13.13,13.1,-0.1,-0.7634,1.0083,14177532,185696981.0,18372982030.0,18278600600.0
2019-02-20,'600549,厦门钨业,13.1,13.43,12.96,13.01,12.95,0.15,1.1583,1.1917,16755986,221184296.0,18514312661.0,18419205220.0
2019-02-19,'600549,厦门钨业,12.95,13.08,12.82,13.04,13.03,-0.08,-0.614,0.7565,10636680,137808141.0,18302316714.5,18208298290.0
2019-02-18,'600549,厦门钨业,13.03,13.03,12.67,12.7,12.67,0.36,2.8414,0.918,12906895,166280703.0,18415381219.3,18320781986.0
2019-02-15,'600549,厦门钨业,12.67,12.83,12.61,12.66,12.72,-0.05,-0.3931,0.5707,8023757,102010375.0,17906590947.7,17814605354.0
2019-02-14,'600549,厦门钨业,12.72,12.79,12.62,12.64,12.72,0.0,0.0,0.5484,7711408,98049460.0,17977256263.2,17884907664.0
