»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'002718,”—∞Óµı∂•,31.8,32.3,31.69,31.69,32.0,-0.2,-0.625,0.4623,405141,12953289.31,2786693974.8,2786693974.8
2019-04-25,'002718,”—∞Óµı∂•,32.0,33.56,32.0,33.42,33.74,-1.74,-5.1571,0.7247,635062,20837052.49,2804220352.0,2804220352.0
2019-04-24,'002718,”—∞Óµı∂•,33.74,34.12,33.12,33.12,33.31,0.43,1.2909,0.5494,481439,16134953.72,2956699833.64,2956699833.64
2019-04-23,'002718,”—∞Óµı∂•,33.31,33.89,33.02,33.82,34.09,-0.78,-2.2881,0.708,620392,20778663.32,2919018122.66,2919018122.66
2019-04-22,'002718,”—∞Óµı∂•,34.09,35.78,33.88,35.5,35.49,-1.4,-3.9448,1.3746,1204559,41546732.66,2987370993.74,2987370993.74
2019-04-19,'002718,”—∞Óµı∂•,35.49,35.88,33.41,33.6,33.6,1.89,5.625,1.7988,1576351,54955562.66,3110055634.14,3110055634.14
2019-04-18,'002718,”—∞Óµı∂•,33.6,34.11,33.04,33.26,33.28,0.32,0.9615,1.0826,948683,31953019.26,2944431369.6,2944431369.6
2019-04-17,'002718,”—∞Óµı∂•,33.28,33.35,32.8,32.91,32.95,0.33,1.0015,0.7346,643759,21282043.95,2916389166.08,2916389166.08
2019-04-16,'002718,”—∞Óµı∂•,32.95,33.1,32.44,32.6,32.61,0.34,1.0426,0.5797,508012,16665295.96,2887470643.7,2887470643.7
2019-04-15,'002718,”—∞Óµı∂•,32.61,33.35,32.61,33.05,32.83,-0.22,-0.6701,0.488,427638,14103618.46,2857675802.46,2857675802.46
