日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002277,友阿股份,3.86,3.95,3.85,3.92,3.92,-0.06,-1.5306,1.098,15307829,59695540.55,5381507008.0,5381507008.0
2019-04-25,'002277,友阿股份,3.92,4.1,3.89,4.1,4.1,-0.18,-4.3902,1.359,18946592,75893120.52,5465157376.0,5465157376.0
2019-04-24,'002277,友阿股份,4.1,4.12,4.03,4.1,4.08,0.02,0.4902,1.0831,15100942,61543835.82,5716108480.0,5716108480.0
2019-04-23,'002277,友阿股份,4.08,4.22,4.05,4.22,4.22,-0.14,-3.3175,1.621,22599785,92802817.8,5688225024.0,5688225024.0
2019-04-22,'002277,友阿股份,4.22,4.28,4.16,4.22,4.2,0.02,0.4762,1.219,16994518,71638988.34,5883409216.0,5883409216.0
2019-04-19,'002277,友阿股份,4.2,4.24,4.11,4.21,4.18,0.02,0.4785,1.1556,16111703,67278241.6,5855525760.0,5855525760.0
2019-04-18,'002277,友阿股份,4.18,4.26,4.18,4.23,4.22,-0.04,-0.9479,0.8876,12374419,52249786.59,5827642304.0,5827642304.0
2019-04-17,'002277,友阿股份,4.22,4.25,4.16,4.19,4.19,0.03,0.716,1.2233,17055509,71864428.77,5883409216.0,5883409216.0
2019-04-16,'002277,友阿股份,4.19,4.19,4.05,4.14,4.15,0.04,0.9639,1.3713,19118944,78943299.65,5841584032.0,5841584032.0
2019-04-15,'002277,友阿股份,4.15,4.32,4.11,4.3,4.26,-0.11,-2.5822,1.6585,23122363,98110397.2,5785817120.0,5785817120.0
2019-04-12,'002277,友阿股份,4.26,4.3,4.21,4.25,4.23,0.03,0.7092,1.1491,16020578,68155829.4,5939176128.0,5939176128.0
2019-04-11,'002277,友阿股份,4.23,4.36,4.22,4.35,4.34,-0.11,-2.5346,1.6445,22926754,98502754.86,5897350944.0,5897350944.0
2019-04-10,'002277,友阿股份,4.34,4.43,4.26,4.26,4.29,0.05,1.1655,2.1281,29669190,128738364.16,6050709952.0,6050709952.0
2019-04-09,'002277,友阿股份,4.29,4.32,4.25,4.31,4.3,-0.01,-0.2326,1.0098,14078465,60458437.97,5981001312.0,5981001312.0
2019-04-08,'002277,友阿股份,4.3,4.36,4.23,4.35,4.32,-0.02,-0.463,1.8631,25975172,111893926.5,5994943040.0,5994943040.0
2019-04-04,'002277,友阿股份,4.32,4.35,4.25,4.29,4.3,0.02,0.4651,1.5749,21956225,94457823.64,6022826496.0,6022826496.0
2019-04-03,'002277,友阿股份,4.3,4.39,4.18,4.22,4.2,0.1,2.381,2.1795,30386153,130544571.23,5994943040.0,5994943040.0
2019-04-02,'002277,友阿股份,4.2,4.25,4.18,4.23,4.21,-0.01,-0.2375,1.4139,19712803,83127277.17,5855525760.0,5855525760.0
2019-04-01,'002277,友阿股份,4.21,4.22,4.07,4.08,4.07,0.14,3.4398,1.5211,21206293,88566397.56,5869467488.0,5869467488.0
2019-03-29,'002277,友阿股份,4.07,4.07,3.89,3.94,3.9,0.17,4.359,1.3545,18883627,75463420.93,5674283296.0,5674283296.0
2019-03-28,'002277,友阿股份,3.9,4.01,3.9,3.99,4.0,-0.1,-2.5,0.9531,13287393,52610056.42,5437273920.0,5437273920.0
2019-03-27,'002277,友阿股份,4.0,4.04,3.93,4.04,4.01,-0.01,-0.2494,0.9733,13570027,54133518.0,5576691200.0,5576691200.0
2019-03-26,'002277,友阿股份,4.01,4.2,3.98,4.17,4.16,-0.15,-3.6058,1.4543,20275131,82574802.41,5590632928.0,5590632928.0
2019-03-25,'002277,友阿股份,4.16,4.22,4.14,4.16,4.22,-0.06,-1.4218,1.0481,14612835,61209634.8,5799758848.0,5799758848.0
2019-03-22,'002277,友阿股份,4.22,4.28,4.15,4.25,4.24,-0.02,-0.4717,1.2285,17127310,71969751.71,5883409216.0,5883409216.0
2019-03-21,'002277,友阿股份,4.24,4.26,4.18,4.23,4.22,0.02,0.4739,1.8622,25962284,109703362.86,5911292672.0,5911292672.0
2019-03-20,'002277,友阿股份,4.22,4.22,4.09,4.15,4.15,0.07,1.6867,1.7024,23733949,98982252.29,5883409216.0,5883409216.0
2019-03-19,'002277,友阿股份,4.15,4.22,4.13,4.16,4.16,-0.01,-0.2404,1.2222,17039481,71033164.23,5785817120.0,5785817120.0
2019-03-18,'002277,友阿股份,4.16,4.16,4.04,4.06,4.07,0.09,2.2113,1.4663,20443208,83843886.87,5799758848.0,5799758848.0
2019-03-15,'002277,友阿股份,4.07,4.12,4.01,4.06,4.04,0.03,0.7426,1.1617,16195944,65932139.65,5674283296.0,5674283296.0
