日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002381,双箭股份,9.31,9.51,9.25,9.49,9.52,-0.21,-2.2059,1.2765,5469900,51337520.37,3989335000.0,3989335000.0
2019-04-25,'002381,双箭股份,9.52,10.12,9.48,9.94,10.0,-0.48,-4.8,1.651,7074328,69188499.95,4079320000.0,4079320000.0
2019-04-24,'002381,双箭股份,10.0,10.0,9.75,9.88,9.85,0.15,1.5228,1.4177,6074912,60069735.62,4285000000.0,4285000000.0
2019-04-23,'002381,双箭股份,9.85,10.24,9.73,10.17,10.15,-0.3,-2.9557,2.2077,9459791,93996665.73,4220725000.0,4220725000.0
2019-04-22,'002381,双箭股份,10.15,10.57,10.13,10.57,10.59,-0.44,-4.1549,2.836,12152418,124843038.84,4349275000.0,4349275000.0
2019-04-19,'002381,双箭股份,10.59,10.78,10.33,10.78,10.84,-0.25,-2.3063,3.2196,13795852,145337543.63,4537815000.0,4537815000.0
2019-04-18,'002381,双箭股份,10.84,11.35,10.8,11.31,11.79,-0.95,-8.0577,5.9435,25467733,280621307.18,4644940000.0,4644940000.0
2019-04-17,'002381,双箭股份,11.79,12.04,11.22,11.3,11.43,0.36,3.1496,9.8208,42082020,489501538.51,5052015000.0,5052015000.0
2019-04-16,'002381,双箭股份,11.43,11.67,10.5,10.53,10.95,0.48,4.3836,2.9442,12615937,140266214.92,4897755000.0,4897755000.0
2019-04-15,'002381,双箭股份,10.95,12.08,10.9,11.4,11.34,-0.39,-3.4392,4.2293,18122608,208320780.51,4692075000.0,4692075000.0
2019-04-12,'002381,双箭股份,11.34,11.49,10.59,10.93,10.83,0.51,4.7091,3.4769,14898616,166804803.15,4859190000.0,4859190000.0
2019-04-11,'002381,双箭股份,10.83,11.35,10.3,10.4,10.39,0.44,4.2348,3.4257,14679192,157109207.82,4640655000.0,4640655000.0
2019-04-10,'002381,双箭股份,10.39,10.55,10.08,10.3,10.39,0.0,0.0,1.5935,6828073,70663649.98,4452115000.0,4452115000.0
2019-04-09,'002381,双箭股份,10.39,10.55,10.04,10.1,10.15,0.24,2.3645,2.1638,9271782,95905025.44,4452115000.0,4452115000.0
2019-04-08,'002381,双箭股份,10.15,10.5,9.98,10.27,10.24,-0.09,-0.8789,1.7839,7643976,77886439.88,4349275000.0,4349275000.0
2019-04-04,'002381,双箭股份,10.24,10.35,9.93,10.0,9.97,0.27,2.7081,2.9454,12621190,128142463.96,4387840000.0,4387840000.0
2019-04-03,'002381,双箭股份,9.97,10.13,9.82,10.04,10.15,-0.18,-1.7734,2.2086,9463936,94271214.28,4272145000.0,4272145000.0
2019-04-02,'002381,双箭股份,10.34,10.65,10.18,10.65,10.68,-0.34,-3.1835,3.3667,14426271,149981743.44,4430690000.0,4430690000.0
2019-04-01,'002381,双箭股份,10.68,10.89,10.3,10.6,10.6,0.08,0.7547,3.2505,13928381,147328090.62,4576380000.0,4576380000.0
2019-03-29,'002381,双箭股份,10.6,10.62,9.5,9.62,9.65,0.95,9.8446,4.5791,19621515,203009098.32,4542100000.0,4542100000.0
2019-03-28,'002381,双箭股份,9.65,10.15,9.6,10.05,10.0,-0.35,-3.5,1.5028,6439350,63404326.38,4135025000.0,4135025000.0
2019-03-27,'002381,双箭股份,10.0,10.06,9.75,9.85,9.85,0.15,1.5228,1.5679,6718630,66745713.38,4285000000.0,4285000000.0
2019-03-26,'002381,双箭股份,9.85,10.14,9.66,9.94,9.94,-0.09,-0.9054,1.8408,7887807,78533306.9,4220725000.0,4220725000.0
2019-03-25,'002381,双箭股份,9.94,10.19,9.6,9.96,10.21,-0.27,-2.6445,1.9906,8529600,84643734.7,4259290000.0,4259290000.0
2019-03-22,'002381,双箭股份,10.21,10.37,9.8,10.09,10.15,0.06,0.5911,2.7405,11743101,118798958.95,4374985000.0,4374985000.0
2019-03-21,'002381,双箭股份,10.15,10.37,9.3,9.3,9.43,0.72,7.6352,4.427,18969651,189290642.79,4349275000.0,4349275000.0
2019-03-20,'002381,双箭股份,9.43,9.65,9.07,9.07,9.11,0.32,3.5126,2.737,11728106,110428056.21,4040755000.0,4040755000.0
2019-03-19,'002381,双箭股份,9.11,9.17,8.91,9.09,9.11,0.0,0.0,1.1511,4932605,44667006.3,3903635000.0,3903635000.0
2019-03-18,'002381,双箭股份,9.11,9.31,8.91,9.2,9.15,-0.04,-0.4372,1.943,8325811,75526088.57,3903635000.0,3903635000.0
2019-03-15,'002381,双箭股份,9.15,9.35,8.58,8.59,8.5,0.65,7.6471,3.4268,14683941,133131675.06,3920775000.0,3920775000.0
2019-03-14,'002381,双箭股份,8.5,9.06,8.27,8.95,8.96,-0.46,-5.1339,2.678,11475414,99470536.72,3642250000.0,3642250000.0
2019-03-13,'002381,双箭股份,8.96,9.42,8.88,9.38,9.38,-0.42,-4.4776,3.9762,17038222,154348393.76,3839360000.0,3839360000.0
2019-03-12,'002381,双箭股份,9.38,9.8,9.23,9.62,9.66,-0.28,-2.8986,2.4706,10586680,100564073.12,4019330000.0,4019330000.0
2019-03-11,'002381,双箭股份,9.66,9.69,9.06,9.29,9.29,0.37,3.9828,2.3252,9963537,94056535.66,4139310000.0,4139310000.0
