日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000633,合金投资,5.87,6.07,5.83,5.83,5.95,-0.08,-1.3445,1.7772,6844000,40924825.0,2260574409.51,2260574409.51
2019-04-25,'000633,合金投资,5.95,6.47,5.92,6.3,6.3,-0.35,-5.5556,2.7303,10514675,65741869.02,2291382919.35,2291382919.35
2019-04-24,'000633,合金投资,6.3,6.33,6.1,6.2,6.16,0.14,2.2727,1.8635,7176327,44579815.48,2426170149.9,2426170149.9
2019-04-23,'000633,合金投资,6.16,6.59,6.05,6.58,6.6,-0.44,-6.6667,3.2398,12476670,78397736.03,2372255257.68,2372255257.68
2019-04-22,'000633,合金投资,6.6,6.89,6.55,6.75,6.74,-0.14,-2.0772,2.8881,11122428,74731452.05,2541702061.8,2541702061.8
2019-04-19,'000633,合金投资,6.74,6.76,6.54,6.64,6.71,0.03,0.4471,2.615,10070574,67210833.16,2595616954.02,2595616954.02
2019-04-18,'000633,合金投资,6.71,6.83,6.46,6.65,6.68,0.03,0.4491,3.5326,13604159,90245910.42,2584063762.83,2584063762.83
2019-04-17,'000633,合金投资,6.68,6.74,6.6,6.69,6.69,-0.01,-0.1495,2.5548,9838639,65617065.47,2572510571.64,2572510571.64
2019-04-16,'000633,合金投资,6.69,6.71,6.41,6.53,6.55,0.14,2.1374,2.6938,10373934,68622357.28,2576361635.37,2576361635.37
2019-04-15,'000633,合金投资,6.55,6.93,6.55,6.92,6.83,-0.28,-4.0996,4.2702,16444718,109916772.71,2522446743.15,2522446743.15
2019-04-12,'000633,合金投资,6.83,6.93,6.57,6.69,6.62,0.21,3.1722,4.3279,16667184,113131259.99,2630276527.59,2630276527.59
2019-04-11,'000633,合金投资,6.62,6.78,6.55,6.6,6.66,-0.04,-0.6006,3.0991,11934808,79340972.09,2549404189.26,2549404189.26
2019-04-10,'000633,合金投资,6.66,6.89,6.52,6.68,6.75,-0.09,-1.3333,4.9121,18916732,126675618.85,2564808444.18,2564808444.18
2019-04-09,'000633,合金投资,6.75,6.95,6.65,6.92,7.1,-0.35,-4.9296,6.4403,24802116,168206730.86,2599468017.75,2599468017.75
2019-04-08,'000633,合金投资,7.1,7.41,6.54,6.74,6.86,0.24,3.4985,11.6194,44746907,308372010.65,2734255248.3,2734255248.3
2019-04-04,'000633,合金投资,6.86,7.18,6.48,6.52,6.53,0.33,5.0536,12.7877,49246374,342432756.8,2641829718.78,2641829718.78
2019-04-03,'000633,合金投资,6.53,6.57,6.34,6.42,6.6,-0.07,-1.0606,6.3841,24585503,159196858.08,2514744615.69,2514744615.69
2019-04-02,'000633,合金投资,6.6,6.98,6.45,6.56,6.45,0.15,2.3256,13.3114,51263067,341957560.43,2541702061.8,2541702061.8
2019-04-01,'000633,合金投资,6.45,6.45,5.88,5.88,5.86,0.59,10.0683,7.573,29164240,183810416.61,2483936105.85,2483936105.85
2019-03-29,'000633,合金投资,5.86,5.89,5.54,5.71,5.73,0.13,2.2688,2.4823,9559614,54986330.56,2256723345.78,2256723345.78
2019-03-28,'000633,合金投资,5.73,5.93,5.73,5.92,5.92,-0.19,-3.2095,2.0531,7906600,46011729.97,2206659517.29,2206659517.29
2019-03-27,'000633,合金投资,5.92,6.01,5.75,5.91,5.91,0.01,0.1692,2.7529,10601702,62168724.79,2279829728.16,2279829728.16
2019-03-26,'000633,合金投资,5.91,6.2,5.88,6.06,6.09,-0.18,-2.9557,3.6452,14038001,84931872.05,2275978664.43,2275978664.43
2019-03-25,'000633,合金投资,6.09,6.22,5.85,6.0,6.19,-0.1,-1.6155,3.4722,13371735,81454802.05,2345297811.57,2345297811.57
2019-03-22,'000633,合金投资,6.19,6.29,5.94,6.2,6.38,-0.19,-2.9781,5.3787,20713815,127845558.44,2383808448.87,2383808448.87
2019-03-21,'000633,合金投资,6.38,6.68,6.17,6.39,6.45,-0.07,-1.0853,10.6583,41045660,262574216.45,2456978659.74,2456978659.74
2019-03-20,'000633,合金投资,6.45,6.45,5.69,5.86,5.86,0.59,10.0683,7.5997,29266738,178306646.68,2483936105.85,2483936105.85
2019-03-19,'000633,合金投资,5.86,6.09,5.74,5.78,5.76,0.1,1.7361,4.2615,16411409,96792795.35,2256723345.78,2256723345.78
2019-03-18,'000633,合金投资,5.76,5.8,5.5,5.66,5.64,0.12,2.1277,3.1954,12305627,70259970.15,2218212708.48,2218212708.48
2019-03-15,'000633,合金投资,5.64,5.73,5.56,5.62,5.59,0.05,0.8945,2.6001,10013228,56639746.95,2171999943.72,2171999943.72
2019-03-14,'000633,合金投资,5.59,5.97,5.45,5.97,5.96,-0.37,-6.2081,4.5367,17471007,98659045.68,2152744625.07,2152744625.07
2019-03-13,'000633,合金投资,5.96,6.38,5.92,6.2,6.2,-0.24,-3.871,5.1948,20005696,123863909.2,2295233983.08,2295233983.08
2019-03-12,'000633,合金投资,6.2,6.32,6.1,6.15,6.19,0.01,0.1616,4.9166,18934246,117639359.27,2387659512.6,2387659512.6
2019-03-11,'000633,合金投资,6.19,6.23,5.78,6.0,6.19,0.0,0.0,6.2852,24204603,145951309.01,2383808448.87,2383808448.87
2019-03-08,'000633,合金投资,6.19,6.6,6.19,6.5,6.88,-0.69,-10.0291,8.6429,33284282,210845808.85,2383808448.87,2383808448.87
2019-03-07,'000633,合金投资,6.88,6.88,6.06,6.13,6.25,0.63,10.08,12.1458,46774133,310666448.15,2649531846.24,2649531846.24
2019-03-06,'000633,合金投资,6.25,6.34,6.0,6.3,6.15,0.1,1.626,8.8631,34132295,209743259.64,2406914831.25,2406914831.25
2019-03-05,'000633,合金投资,6.15,6.3,5.95,6.28,6.09,0.06,0.9852,11.5947,44651929,272878351.94,2368404193.95,2368404193.95
2019-03-04,'000633,合金投资,6.09,6.09,5.41,5.53,5.54,0.55,9.9278,10.6071,40848709,244751617.41,2345297811.57,2345297811.57
2019-03-01,'000633,合金投资,5.54,5.61,5.29,5.58,5.67,-0.13,-2.2928,5.7307,22069200,120508049.58,2133489306.42,2133489306.42
2019-02-28,'000633,合金投资,5.67,5.92,5.35,5.38,5.38,0.29,5.3903,9.0911,35010420,201694147.32,2183553134.91,2183553134.91
2019-02-27,'000633,合金投资,5.38,5.51,5.27,5.45,5.38,0.0,0.0,4.4879,17283377,93126815.66,2071872286.74,2071872286.74
2019-02-26,'000633,合金投资,5.38,5.73,5.18,5.3,5.37,0.01,0.1862,6.9603,26804660,146331892.26,2071872286.74,2071872286.74
2019-02-25,'000633,合金投资,5.37,5.52,5.06,5.13,5.15,0.22,4.2718,6.2343,24008601,127126035.3,2068021223.01,2068021223.01
2019-02-22,'000633,合金投资,5.15,5.24,4.84,4.91,4.91,0.24,4.888,4.7766,18395010,93183680.55,1983297820.95,1983297820.95
2019-02-21,'000633,合金投资,4.91,5.06,4.88,5.04,5.01,-0.1,-1.996,2.6544,10222201,50938346.69,1890872291.43,1890872291.43
2019-02-20,'000633,合金投资,5.01,5.07,4.88,5.06,5.08,-0.07,-1.378,2.6139,10066290,50187301.08,1929382928.73,1929382928.73
2019-02-19,'000633,合金投资,5.08,5.26,4.98,5.06,5.04,0.04,0.7937,3.6852,14191801,72492322.51,1956340374.84,1956340374.84
2019-02-18,'000633,合金投资,5.04,5.05,4.92,4.96,4.9,0.14,2.8571,2.7378,10543263,52684535.53,1940936119.92,1940936119.92
2019-02-15,'000633,合金投资,4.9,4.98,4.85,4.92,4.93,-0.03,-0.6085,1.8392,7082742,34854639.3,1887021227.7,1887021227.7
2019-02-14,'000633,合金投资,4.93,5.04,4.91,5.0,5.01,-0.08,-1.5968,2.2397,8625080,42752359.61,1898574418.89,1898574418.89
2019-02-13,'000633,合金投资,5.01,5.07,4.9,4.98,5.07,-0.06,-1.1834,3.2672,12582085,62817202.69,1929382928.73,1929382928.73
2019-02-12,'000633,合金投资,5.07,5.25,4.83,4.85,4.91,0.16,3.2587,4.3098,16597214,82627178.84,1952489311.11,1952489311.11
2019-02-11,'000633,合金投资,4.91,4.94,4.72,4.78,4.86,0.05,1.0288,3.5672,13737560,66261451.6,1890872291.43,1890872291.43
2019-02-01,'000633,合金投资,4.86,5.01,4.56,4.75,4.68,0.18,3.8462,4.3168,16624384,79059105.37,1871616972.78,1871616972.78
2019-01-31,'000633,合金投资,4.68,4.68,4.36,4.36,4.25,0.43,10.1176,1.5418,5937540,27620127.2,1802297825.64,1802297825.64
2019-01-30,'000633,合金投资,4.25,4.38,4.23,4.32,4.32,-0.07,-1.6204,0.7427,2860204,12350968.4,1636702085.25,1636702085.25
2019-01-29,'000633,合金投资,4.32,4.54,4.18,4.51,4.56,-0.24,-5.2632,1.8913,7283400,31469287.0,1663659531.36,1663659531.36
2019-01-28,'000633,合金投资,4.56,4.61,4.44,4.55,4.52,0.04,0.885,1.0733,4133200,18751465.0,1756085060.88,1756085060.88
2019-01-25,'000633,合金投资,4.52,4.75,4.51,4.72,4.66,-0.14,-3.0043,1.1602,4468000,20623382.0,1740680805.96,1740680805.96
2019-01-24,'000633,合金投资,4.66,4.8,4.65,4.75,4.69,-0.03,-0.6397,1.0971,4224900,19976352.0,1794595698.18,1794595698.18
2019-01-23,'000633,合金投资,4.69,4.86,4.6,4.81,4.8,-0.11,-2.2917,1.5051,5796095,27365332.75,1806148889.37,1806148889.37
2019-01-22,'000633,合金投资,4.8,4.95,4.76,4.89,4.95,-0.15,-3.0303,1.356,5221895,25304264.5,1848510590.4,1848510590.4
2019-01-21,'000633,合金投资,4.95,4.97,4.85,4.94,4.92,0.03,0.6098,1.3796,5312877,26080927.62,1906276546.35,1906276546.35
