日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603011,合锻智能,5.8,5.88,5.64,5.82,5.81,-0.01,-0.1721,0.9193,4102000,23566449.0,2628326805.2,2587953005.2
2019-04-25,'603011,合锻智能,5.81,6.14,5.78,6.1,6.14,-0.33,-5.3746,1.1552,5154513,30634855.0,2632858403.14,2592414993.14
2019-04-24,'603011,合锻智能,6.14,6.18,6.0,6.08,6.04,0.1,1.6556,0.7577,3381000,20576784.0,2782401135.16,2739660595.16
2019-04-23,'603011,合锻智能,6.04,6.32,6.03,6.3,6.3,-0.26,-4.127,1.4145,6311300,38669329.0,2737085155.76,2695040715.76
2019-04-22,'603011,合锻智能,6.3,6.45,6.25,6.36,6.37,-0.07,-1.0989,0.9399,4193902,26588956.0,2854906702.2,2811052402.2
2019-04-19,'603011,合锻智能,6.37,6.38,6.25,6.34,6.36,0.01,0.1572,1.0468,4671000,29512697.0,2886627887.78,2842286317.78
2019-04-18,'603011,合锻智能,6.36,6.5,6.34,6.5,6.47,-0.11,-1.7002,1.2622,5631900,36019722.0,2882096289.84,2837824329.84
2019-04-17,'603011,合锻智能,6.47,6.58,6.34,6.4,6.41,0.06,0.936,1.7712,7902868,51245485.0,2931943867.18,2886906197.18
2019-04-16,'603011,合锻智能,6.41,6.43,6.13,6.28,6.35,0.06,0.9449,1.7807,7945337,49798805.0,2904754279.54,2860134269.54
2019-04-15,'603011,合锻智能,6.35,6.7,6.31,6.69,6.74,-0.39,-5.7864,3.3921,15135600,99144611.0,2877564691.9,2833362341.9
2019-04-12,'603011,合锻智能,6.74,6.96,6.23,6.28,6.33,0.41,6.4771,4.5739,20408790,135322660.0,3054297011.56,3007379871.56
2019-04-11,'603011,合锻智能,6.33,6.45,6.29,6.31,6.3,0.03,0.4762,1.941,8660791,55139933.0,2868501496.02,2824438366.02
2019-04-10,'603011,合锻智能,6.3,6.38,6.15,6.23,6.27,0.03,0.4785,1.6217,7236222,45501995.0,2854906702.2,2811052402.2
2019-04-09,'603011,合锻智能,6.27,6.32,6.12,6.18,6.16,0.11,1.7857,1.2915,5762681,35839366.0,2841311908.38,2797666438.38
2019-04-08,'603011,合锻智能,6.16,6.33,6.08,6.3,6.3,-0.14,-2.2222,1.6455,7342222,45553610.0,2791464331.04,2748584571.04
2019-04-04,'603011,合锻智能,6.3,6.48,6.25,6.46,6.41,-0.11,-1.7161,2.0909,9329628,58979689.0,2854906702.2,2811052402.2
2019-04-03,'603011,合锻智能,6.41,6.41,6.14,6.16,6.19,0.22,3.5541,2.83,12627334,79534088.0,2904754279.54,2860134269.54
2019-04-02,'603011,合锻智能,6.19,6.25,6.13,6.24,6.22,-0.03,-0.4823,1.7056,7610400,47102242.0,2805059124.86,2761970534.86
2019-04-01,'603011,合锻智能,6.22,6.23,6.03,6.08,6.01,0.21,3.4942,1.6657,7432528,45867519.0,2818653918.68,2775356498.68
2019-03-29,'603011,合锻智能,6.01,6.03,5.7,5.83,5.81,0.2,3.4423,1.4541,6488300,38244246.0,2723490361.94,2681654751.94
2019-03-28,'603011,合锻智能,5.81,5.98,5.8,5.94,5.94,-0.13,-2.1886,1.2014,5360700,31582304.0,2632858403.14,2592414993.14
2019-03-27,'603011,合锻智能,5.94,6.12,5.81,6.08,6.05,-0.11,-1.8182,1.3364,5962894,35420989.0,2691769176.36,2650420836.36
2019-03-26,'603011,合锻智能,6.05,6.23,6.0,6.15,6.17,-0.12,-1.9449,1.6548,7383596,45264511.0,2741616753.7,2699502703.7
