日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300033,同花顺,94.25,99.0,92.3,95.7,101.43,-7.18,-7.0788,3.2792,16276831,1564704183.7,50668800000.0,46782671841.8
2019-04-25,'300033,同花顺,101.43,106.48,101.27,103.1,103.98,-2.55,-2.4524,2.0537,10193772,1056582552.2,54528768000.0,50346593155.5
2019-04-24,'300033,同花顺,103.98,104.9,99.96,101.55,102.44,1.54,1.5033,1.9743,9799637,1005994368.34,55899648000.0,51612331226.6
2019-04-23,'300033,同花顺,102.44,105.92,98.8,100.61,102.06,0.38,0.3723,2.4846,12332886,1260481670.72,55071744000.0,50847924705.2
2019-04-22,'300033,同花顺,102.06,108.0,100.53,107.92,106.51,-4.45,-4.178,2.3328,11579397,1191291415.82,54867456000.0,50659304914.3
2019-04-19,'300033,同花顺,106.51,110.65,105.0,105.0,105.0,1.51,1.4381,2.1711,10776537,1162876204.16,57259776000.0,52868141940.2
2019-04-18,'300033,同花顺,105.0,108.75,103.0,106.0,106.42,-1.42,-1.3343,1.8111,8989961,947280697.73,56448000000.0,52118626455.0
2019-04-17,'300033,同花顺,106.42,109.33,104.65,107.2,108.28,-1.86,-1.7178,1.715,8512709,908135608.79,57211392000.0,52823468831.8
2019-04-16,'300033,同花顺,108.28,109.49,102.8,103.54,103.9,4.38,4.2156,2.6543,13175242,1399692125.55,58211328000.0,53746713071.9
2019-04-15,'300033,同花顺,103.9,114.99,101.31,114.8,111.31,-7.41,-6.6571,3.4142,16946764,1826442339.74,55856640000.0,51572621796.9
2019-04-12,'300033,同花顺,111.31,114.37,108.88,111.7,110.66,0.65,0.5874,2.1422,10633046,1193561794.9,59840256000.0,55250707721.0
2019-04-11,'300033,同花顺,110.66,114.37,107.0,114.0,115.02,-4.36,-3.7906,3.6468,18101639,2014212173.49,59490816000.0,54928068604.9
2019-04-10,'300033,同花顺,115.02,119.49,115.02,116.0,127.8,-12.78,-10.0,3.6407,18071490,2090637612.91,61834752000.0,57092232522.4
2019-04-09,'300033,同花顺,127.8,134.56,125.0,126.0,130.99,-3.19,-2.4353,3.275,16255840,2088382949.32,68705280000.0,63435813913.8
2019-04-08,'300033,同花顺,130.99,130.99,119.8,121.8,119.08,11.91,10.0017,3.1545,15658066,1964934136.06,70420224000.0,65019227422.3
2019-04-04,'300033,同花顺,119.08,126.19,116.0,125.0,122.99,-3.91,-3.1791,2.9879,14831201,1783726560.04,64017408000.0,59107486078.7
2019-04-03,'300033,同花顺,122.99,122.99,112.74,112.74,111.81,11.18,9.9991,3.8953,19334783,2281741086.77,66119424000.0,61048284454.3
2019-04-02,'300033,同花顺,111.81,120.82,110.0,113.0,109.84,1.97,1.7935,4.0377,20042068,2350436043.62,60109056000.0,55498891656.5
2019-04-01,'300033,同花顺,109.84,109.84,104.0,104.57,99.85,9.99,10.005,1.6828,8352963,896992665.72,59049984000.0,54521046950.6
2019-03-29,'300033,同花顺,99.85,99.85,89.3,91.0,90.77,9.08,10.0033,3.8218,18969984,1831802648.1,53679360000.0,49562331919.3
2019-03-28,'300033,同花顺,91.25,96.69,90.9,93.15,94.91,-3.66,-3.8563,1.7037,8456622,791912590.53,49056000000.0,45293568228.8
2019-03-27,'300033,同花顺,94.91,98.75,90.01,97.0,96.41,-1.5,-1.5559,2.3364,11597001,1093420010.58,51023616000.0,47110274636.6
2019-03-26,'300033,同花顺,96.41,97.8,92.89,94.8,93.21,3.2,3.4331,2.2764,11299401,1079058272.02,51830016000.0,47854826443.1
2019-03-25,'300033,同花顺,93.21,98.48,91.99,92.88,96.03,-2.82,-2.9366,2.3522,11675550,1113136341.94,50109696000.0,46266449255.9
2019-03-22,'300033,同花顺,96.03,100.07,93.33,99.0,97.0,-0.97,-1.0,3.3473,16614847,1608459969.75,51625728000.0,47666206652.1
2019-03-21,'300033,同花顺,97.0,97.33,87.01,88.4,88.48,8.52,9.6293,3.0519,15148764,1418449112.44,52147200000.0,48147683487.0
2019-03-20,'300033,同花顺,88.48,89.6,84.7,85.59,86.3,2.18,2.5261,2.2099,10969077,965234504.46,47566848000.0,43918629226.1
2019-03-19,'300033,同花顺,86.3,89.5,85.89,88.78,88.8,-2.5,-2.8153,1.8554,9209488,806681579.66,46394880000.0,42836547267.3
2019-03-18,'300033,同花顺,88.8,89.47,81.3,82.98,83.46,5.34,6.3983,2.3611,11719806,999088442.07,47738880000.0,44077466944.8
2019-03-15,'300033,同花顺,83.46,85.5,82.28,84.8,82.9,0.56,0.6755,2.0744,10296625,863675469.8,44868096000.0,41426862513.7
2019-03-14,'300033,同花顺,82.9,88.15,79.37,85.02,88.0,-5.1,-5.7955,3.0474,15126094,1264449073.22,44567040000.0,41148896505.9
2019-03-13,'300033,同花顺,88.0,96.36,86.7,93.0,90.55,-2.55,-2.8161,4.3803,21742351,1984321644.39,47308800000.0,43680372648.0
