日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603617,君禾股份,23.5,24.66,21.56,22.21,22.5,1.0,4.4444,21.8783,6659084,152530104.0,2392041500.0,715269500.0
2019-04-25,'603617,君禾股份,22.5,23.2,21.86,22.09,22.6,-0.1,-0.4425,18.8931,5750505,128974475.0,2290252500.0,684832500.0
2019-04-24,'603617,君禾股份,22.6,22.86,21.6,21.61,21.73,0.87,4.0037,13.2357,4028540,89803610.0,2300431400.0,687876200.0
2019-04-23,'603617,君禾股份,21.73,22.0,21.05,21.41,21.39,0.34,1.5895,11.5683,3521052,75870246.0,2211874970.0,661396010.0
2019-04-22,'603617,君禾股份,21.39,22.4,20.15,20.28,20.42,0.97,4.7502,17.4372,5307360,112542099.0,2177266710.0,651047430.0
2019-04-19,'603617,君禾股份,20.42,20.5,19.66,19.88,19.88,0.54,2.7163,7.5362,2293780,46195040.0,2078531380.0,621523540.0
2019-04-18,'603617,君禾股份,19.88,20.13,19.82,19.87,19.86,0.02,0.1007,3.704,1127396,22454973.0,2023565320.0,605087560.0
2019-04-17,'603617,君禾股份,19.86,20.02,19.71,19.78,19.78,0.08,0.4044,2.9576,900200,17893765.0,2021529540.0,604478820.0
2019-04-16,'603617,君禾股份,19.78,19.83,19.25,19.54,19.67,0.11,0.5592,4.0786,1241392,24220533.0,2013386420.0,602043860.0
2019-04-15,'603617,君禾股份,19.67,20.3,19.52,20.05,20.0,-0.33,-1.65,4.8592,1479000,29552929.0,2002189630.0,598695790.0
2019-04-12,'603617,君禾股份,20.0,20.04,19.77,19.84,19.84,0.16,0.8065,2.9049,884178,17585604.0,2035780000.0,608740000.0
2019-04-11,'603617,君禾股份,19.84,20.27,19.78,20.22,20.22,-0.38,-1.8793,4.8668,1481304,29607913.0,2019493760.0,603870080.0
2019-04-10,'603617,君禾股份,20.22,20.23,19.72,19.86,19.93,0.29,1.4551,6.1721,1878600,37704142.0,2058173580.0,615436140.0
2019-04-09,'603617,君禾股份,19.93,19.95,19.57,19.68,19.65,0.28,1.4249,3.8962,1185893,23412810.0,2028654770.0,606609410.0
2019-04-08,'603617,君禾股份,19.65,20.16,19.52,20.14,19.97,-0.32,-1.6024,5.9973,1825392,36089197.0,2000153850.0,598087050.0
2019-04-04,'603617,君禾股份,19.97,20.8,19.88,20.23,20.28,-0.31,-1.5286,6.5627,1997500,40280540.0,2032726330.0,607826890.0
2019-04-03,'603617,君禾股份,20.28,20.35,19.83,19.9,19.9,0.38,1.9095,6.1331,1866738,37566280.0,2064280920.0,617262360.0
2019-04-02,'603617,君禾股份,19.9,20.12,19.78,20.12,20.04,-0.14,-0.6986,4.4249,1346800,26801255.0,2025601100.0,605696300.0
2019-04-01,'603617,君禾股份,20.04,20.05,19.6,19.65,19.58,0.46,2.3493,4.9759,1514500,30156467.0,2039851560.0,609957480.0
2019-03-29,'603617,君禾股份,19.58,19.66,19.1,19.44,19.3,0.28,1.4508,4.0562,1234592,23944237.0,1993028620.0,595956460.0
2019-03-28,'603617,君禾股份,19.3,19.57,19.18,19.54,19.54,-0.24,-1.2282,3.4392,1046800,20277121.0,1964527700.0,587434100.0
2019-03-27,'603617,君禾股份,19.54,19.58,19.18,19.43,19.37,0.17,0.8776,4.323,1315800,25515904.0,1988957060.0,594738980.0
2019-03-26,'603617,君禾股份,19.37,19.84,19.37,19.72,19.73,-0.36,-1.8246,6.0883,1853085,36231070.0,1971652930.0,589564690.0
2019-03-25,'603617,君禾股份,19.73,20.16,19.7,19.89,20.18,-0.45,-2.2299,5.5626,1693100,33648754.0,2008296970.0,600522010.0
2019-03-22,'603617,君禾股份,20.18,20.34,19.78,19.92,19.92,0.26,1.3052,6.9004,2100284,42094290.0,2054102020.0,614218660.0
2019-03-21,'603617,君禾股份,19.92,20.48,19.52,19.65,19.65,0.27,1.374,9.7142,2859724,56828638.0,2027636880.0,586414920.0
2019-03-20,'603617,君禾股份,19.65,19.88,19.3,19.7,19.74,-0.09,-0.4559,7.6482,2327888,45580498.0,2001038100.0,598087050.0
2019-03-19,'603617,君禾股份,19.74,20.45,19.17,19.17,19.17,0.57,2.9734,12.4851,3800093,75652091.0,2010203160.0,600826380.0
2019-03-18,'603617,君禾股份,19.17,19.23,18.7,18.89,18.77,0.4,2.1311,7.8054,2375734,45246641.0,1952157780.0,583477290.0
2019-03-15,'603617,君禾股份,18.77,18.78,18.37,18.39,18.39,0.38,2.0663,5.7356,1745733,32493195.0,1911424180.0,571302490.0
2019-03-14,'603617,君禾股份,18.39,18.99,18.18,18.87,18.78,-0.39,-2.0767,6.3514,1933178,35716087.0,1872727260.0,559736430.0
2019-03-13,'603617,君禾股份,18.78,19.19,18.64,18.96,18.95,-0.17,-0.8971,7.4195,2258278,42668857.0,1912442520.0,571606860.0
2019-03-12,'603617,君禾股份,18.95,19.25,18.6,18.82,18.7,0.25,1.3369,8.7438,2661340,50482668.0,1929754300.0,576781150.0
2019-03-11,'603617,君禾股份,18.7,18.7,18.23,18.23,18.1,0.6,3.3149,6.2937,1915624,35426572.0,1904295800.0,569171900.0
2019-03-08,'603617,君禾股份,18.1,19.07,18.0,18.9,19.15,-1.05,-5.483,8.9532,2725100,50762827.0,1843195400.0,550909700.0
2019-03-07,'603617,君禾股份,19.15,19.37,18.79,18.89,19.05,0.1,0.5249,9.258,2817864,53780654.0,1950121100.0,582868550.0
2019-03-06,'603617,君禾股份,19.05,19.09,18.51,18.7,18.65,0.4,2.1448,10.5478,3210449,60307582.0,1939937700.0,579824850.0
2019-03-05,'603617,君禾股份,18.65,18.67,18.27,18.27,18.45,0.2,1.084,6.1126,1860501,34387304.0,1899204100.0,567650050.0
2019-03-04,'603617,君禾股份,18.45,18.73,18.33,18.39,18.37,0.08,0.4355,8.7988,2678100,49549316.0,1878837300.0,561562650.0
2019-03-01,'603617,君禾股份,18.37,18.5,18.22,18.39,18.32,0.05,0.2729,5.1,1552302,28501165.0,1870690580.0,559127690.0
2019-02-28,'603617,君禾股份,18.32,18.32,18.05,18.15,18.06,0.26,1.4396,5.3934,1641592,29806428.0,1865598880.0,557605840.0
2019-02-27,'603617,君禾股份,18.06,18.38,17.85,18.19,18.23,-0.17,-0.9325,7.5504,2298126,41713639.0,1839122040.0,549692220.0
2019-02-26,'603617,君禾股份,18.23,18.6,18.03,18.5,18.46,-0.23,-1.2459,8.8727,2700592,49447728.0,1856433820.0,554866510.0
2019-02-25,'603617,君禾股份,18.46,18.55,17.88,18.0,17.84,0.62,3.4753,10.4498,3180600,57870433.0,1879855640.0,561867020.0
2019-02-22,'603617,君禾股份,17.84,17.89,17.47,17.5,17.54,0.3,1.7104,5.3593,1631200,28951390.0,1816718560.0,542996080.0
2019-02-21,'603617,君禾股份,17.54,17.92,17.52,17.7,17.72,-0.18,-1.0158,6.0508,1841692,32674858.0,1786168360.0,533864980.0
2019-02-20,'603617,君禾股份,17.72,17.78,17.48,17.59,17.68,0.04,0.2262,3.9079,1189455,20979515.0,1804498480.0,539343640.0
2019-02-19,'603617,君禾股份,17.68,17.94,17.55,17.79,17.84,-0.16,-0.8969,5.6431,1717600,30433746.0,1800425120.0,538126160.0
2019-02-18,'603617,君禾股份,17.84,17.87,17.44,17.44,17.45,0.39,2.235,6.1044,1857992,32870917.0,1816718560.0,542996080.0
