日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300292,吴通控股,6.67,6.67,5.94,5.95,6.06,0.61,10.066,5.8877,75058959,486116320.4,8503252674.92,8503252674.92
2019-04-25,'300292,吴通控股,6.06,6.55,5.96,6.07,6.26,-0.2,-3.1949,10.6228,135425199,842034862.78,7725593884.56,7725593884.56
2019-04-24,'300292,吴通控股,6.26,6.45,5.84,5.84,5.9,0.36,6.1017,10.3526,131979796,811472857.43,7980563979.76,7980563979.76
2019-04-23,'300292,吴通控股,5.9,6.45,5.78,6.3,6.42,-0.52,-8.0997,12.4103,158213304,969932957.4,7521617808.4,7521617808.4
2019-04-22,'300292,吴通控股,6.42,6.69,5.9,5.98,6.17,0.25,4.0519,15.7778,201143127,1280758293.23,8184540055.92,8184540055.92
2019-04-19,'300292,吴通控股,6.17,6.59,5.65,6.1,6.06,0.11,1.8152,19.7839,252215393,1527337837.6,7865827436.92,7865827436.92
2019-04-18,'300292,吴通控股,6.06,6.06,5.63,5.8,5.51,0.55,9.9819,17.0527,217396363,1289159659.4,7725593884.56,7725593884.56
2019-04-17,'300292,吴通控股,5.51,5.51,5.51,5.51,5.01,0.5,9.98,0.7718,9839904,54217871.04,7024426122.76,7024426122.76
2019-04-16,'300292,吴通控股,5.01,5.01,4.41,4.44,4.55,0.46,10.1099,4.6817,59684231,285491050.6,6387000884.76,6387000884.76
2019-04-15,'300292,吴通控股,4.55,4.93,4.55,4.79,4.67,-0.12,-2.5696,5.422,69122746,329142817.25,5800569665.8,5800569665.8
2019-04-12,'300292,吴通控股,4.67,4.75,4.44,4.57,4.47,0.2,4.4743,4.7331,60340371,278089226.72,5953551722.92,5953551722.92
2019-04-11,'300292,吴通控股,4.47,4.67,4.46,4.56,4.59,-0.12,-2.6144,3.634,46328459,210446930.28,5698581627.72,5698581627.72
2019-04-10,'300292,吴通控股,4.59,4.75,4.45,4.48,4.41,0.18,4.0816,5.6078,71491394,326787470.02,5851563684.84,5851563684.84
2019-04-09,'300292,吴通控股,4.41,4.44,4.3,4.35,4.32,0.09,2.0833,2.0445,26064388,114611710.78,5622090599.16,5622090599.16
2019-04-08,'300292,吴通控股,4.32,4.5,4.26,4.47,4.46,-0.14,-3.139,2.2026,28080487,122764478.84,5507354056.32,5507354056.32
2019-04-04,'300292,吴通控股,4.46,4.53,4.43,4.53,4.5,-0.04,-0.8889,1.9249,24539999,109568220.55,5685833122.96,5685833122.96
2019-04-03,'300292,吴通控股,4.5,4.5,4.42,4.46,4.5,0.0,0.0,2.2206,28308708,126374576.42,5736827142.0,5736827142.0
2019-04-02,'300292,吴通控股,4.5,4.62,4.43,4.48,4.47,0.03,0.6711,3.7371,47642342,216139038.12,5736827142.0,5736827142.0
2019-04-01,'300292,吴通控股,4.47,4.51,4.36,4.37,4.34,0.13,2.9954,2.8698,36585687,162511307.06,5698581627.72,5698581627.72
2019-03-29,'300292,吴通控股,4.34,4.34,4.14,4.24,4.25,0.09,2.1176,2.2621,28837918,122826852.54,5532851065.84,5532851065.84
2019-03-28,'300292,吴通控股,4.25,4.43,4.14,4.19,4.24,0.01,0.2358,2.4935,31788200,137202914.0,5418114523.0,5418114523.0
2019-03-27,'300292,吴通控股,4.24,4.29,4.08,4.14,4.13,0.11,2.6634,1.9492,24849660,103301545.8,5405366018.24,5405366018.24
2019-03-26,'300292,吴通控股,4.13,4.42,4.1,4.42,4.38,-0.25,-5.7078,2.8205,35957194,152528616.15,5265132465.88,5265132465.88
2019-03-25,'300292,吴通控股,4.38,4.46,4.37,4.39,4.47,-0.09,-2.0134,1.8766,23924360,105433911.6,5583845084.88,5583845084.88
2019-03-22,'300292,吴通控股,4.47,4.54,4.36,4.49,4.48,-0.01,-0.2232,2.4494,31226698,138248031.56,5698581627.72,5698581627.72
2019-03-21,'300292,吴通控股,4.48,4.58,4.41,4.46,4.45,0.03,0.6742,3.0743,39192343,176410396.07,5711330132.48,5711330132.48
2019-03-20,'300292,吴通控股,4.45,4.55,4.33,4.52,4.5,-0.05,-1.1111,2.4056,30667800,136086814.0,5673084618.2,5673084618.2
2019-03-19,'300292,吴通控股,4.5,4.61,4.46,4.52,4.55,-0.05,-1.0989,2.4423,31135961,140716269.71,5736827142.0,5736827142.0
2019-03-18,'300292,吴通控股,4.55,4.57,4.38,4.47,4.43,0.12,2.7088,2.6925,34324759,153927190.71,5800569665.8,5800569665.8
2019-03-15,'300292,吴通控股,4.43,4.54,4.33,4.46,4.45,-0.02,-0.4494,2.9974,38212364,169865348.51,5647587608.68,5647587608.68
2019-03-14,'300292,吴通控股,4.45,4.68,4.3,4.61,4.6,-0.15,-3.2609,3.6704,46792465,209084674.2,5673084618.2,5673084618.2
2019-03-13,'300292,吴通控股,4.6,4.84,4.52,4.84,4.81,-0.21,-4.3659,4.1542,52959886,247539826.96,5864312189.6,5864312189.6
2019-03-12,'300292,吴通控股,4.81,4.97,4.68,4.85,4.77,0.04,0.8386,5.8777,74932169,362399140.74,6132030789.56,6132030789.56
2019-03-11,'300292,吴通控股,4.77,4.77,4.53,4.6,4.49,0.28,6.2361,4.5556,58077569,270073281.69,6081036770.52,6081036770.52
2019-03-08,'300292,吴通控股,4.49,4.83,4.47,4.65,4.83,-0.34,-7.0393,6.4941,82790645,385612809.12,5724078637.24,5724078637.24
2019-03-07,'300292,吴通控股,4.83,5.04,4.7,4.83,4.67,0.16,3.4261,7.1424,91054457,442948589.33,6157527799.08,6157527799.08
2019-03-06,'300292,吴通控股,4.67,4.78,4.52,4.73,4.63,0.04,0.8639,7.2387,92282284,428867114.62,5953551722.92,5953551722.92
2019-03-05,'300292,吴通控股,4.63,4.65,4.36,4.38,4.35,0.28,6.4368,7.3593,93820049,423566659.83,5902557703.88,5902557703.88
2019-03-04,'300292,吴通控股,4.35,4.43,4.23,4.3,4.25,0.1,2.3529,5.2872,67403666,292249180.15,5545599570.6,5545599570.6
2019-03-01,'300292,吴通控股,4.25,4.28,4.17,4.24,4.23,0.02,0.4728,2.4137,30770652,129910152.83,5418114523.0,5418114523.0
2019-02-28,'300292,吴通控股,4.23,4.33,4.17,4.3,4.35,-0.12,-2.7586,4.2038,53592655,227321434.35,5392617513.48,5392617513.48
2019-02-27,'300292,吴通控股,4.35,4.55,4.13,4.25,4.18,0.17,4.067,7.4914,95504226,414552715.04,5545599570.6,5545599570.6
2019-02-26,'300292,吴通控股,4.18,4.35,4.13,4.34,4.34,-0.16,-3.6866,6.3015,80335011,340337715.49,5328874989.68,5328874989.68
2019-02-25,'300292,吴通控股,4.34,4.37,4.18,4.23,4.18,0.16,3.8278,5.9033,75258096,322320107.8,5532851065.84,5532851065.84
2019-02-22,'300292,吴通控股,4.18,4.2,4.04,4.07,4.11,0.07,1.7032,4.8313,61591403,254356124.47,5328874989.68,5328874989.68
2019-02-21,'300292,吴通控股,4.11,4.36,4.04,4.09,4.19,-0.08,-1.9093,5.9836,76281799,320457851.95,5239635456.36,5239635456.36
2019-02-20,'300292,吴通控股,4.19,4.19,3.92,4.0,4.0,0.19,4.75,4.4103,56224555,228525815.54,5341623494.44,5341623494.44
2019-02-19,'300292,吴通控股,4.0,4.09,3.92,4.07,4.06,-0.06,-1.4778,3.1663,40365779,161694838.26,5099401904.0,5099401904.0
2019-02-18,'300292,吴通控股,4.06,4.08,3.95,3.96,3.93,0.13,3.3079,2.9721,37889872,152630110.8,5175892932.56,5175892932.56
2019-02-15,'300292,吴通控股,3.93,4.06,3.85,3.88,3.88,0.05,1.2887,3.0902,39395376,156187596.08,5010162370.68,5010162370.68
2019-02-14,'300292,吴通控股,3.88,3.92,3.81,3.89,3.9,-0.02,-0.5128,2.048,26109100,101111258.0,4946419846.88,4946419846.88
2019-02-13,'300292,吴通控股,3.9,3.94,3.78,3.85,3.84,0.06,1.5625,2.8222,35978784,139870659.56,4971916856.4,4971916856.4
2019-02-12,'300292,吴通控股,3.84,3.94,3.74,3.79,3.77,0.07,1.8568,2.8923,36872127,141695360.29,4895425827.84,4895425827.84
2019-02-11,'300292,吴通控股,3.77,3.79,3.52,3.54,3.52,0.25,7.1023,2.8659,36536200,135141895.0,4806186294.52,4806186294.52
2019-02-01,'300292,吴通控股,3.52,3.54,3.4,3.42,3.43,0.09,2.6239,1.9478,24831027,86846205.88,4487473675.52,4487473675.52
2019-01-31,'300292,吴通控股,3.43,3.6,3.43,3.43,3.81,-0.38,-9.9738,5.2028,66328323,230471334.28,4372737132.68,4372737132.68
2019-01-30,'300292,吴通控股,3.81,4.15,3.79,4.15,4.21,-0.4,-9.5012,3.6253,46217487,182901490.69,4857180313.56,4857180313.56
2019-01-29,'300292,吴通控股,4.21,4.34,4.12,4.33,4.38,-0.17,-3.8813,2.0351,25943887,109904581.53,5367120503.96,5367120503.96
2019-01-28,'300292,吴通控股,4.38,4.39,4.25,4.32,4.31,0.07,1.6241,2.2032,28088113,121366101.44,5583845084.88,5583845084.88
2019-01-25,'300292,吴通控股,4.31,4.47,4.31,4.43,4.45,-0.14,-3.1461,2.8207,35959187,157549540.29,5494605551.56,5494605551.56
2019-01-24,'300292,吴通控股,4.45,4.55,4.38,4.54,4.51,-0.06,-1.3304,3.4437,43901908,196091280.46,5673084618.2,5673084618.2
2019-01-23,'300292,吴通控股,4.51,4.62,4.42,4.57,4.56,-0.05,-1.0965,4.1934,53459497,240193041.85,5749575646.76,5749575646.76
2019-01-22,'300292,吴通控股,4.56,4.75,4.55,4.74,4.63,-0.07,-1.5119,7.5986,96871153,450438102.43,5813318170.56,5813318170.56
2019-01-21,'300292,吴通控股,4.63,4.63,4.22,4.26,4.21,0.42,9.9762,6.8997,87961389,398611282.58,5902557703.88,5902557703.88
2019-01-18,'300292,吴通控股,4.21,4.29,4.11,4.28,4.27,-0.06,-1.4052,2.8229,35987580,151351141.81,5367120503.96,5367120503.96
2019-01-17,'300292,吴通控股,4.27,4.41,4.23,4.33,4.35,-0.08,-1.8391,2.7465,35014400,151147499.16,5443611532.52,5443611532.52
2019-01-16,'300292,吴通控股,4.35,4.48,4.3,4.38,4.38,-0.03,-0.6849,3.632,46301964,202897166.72,5545599570.6,5545599570.6
2019-01-15,'300292,吴通控股,4.38,4.49,4.32,4.41,4.53,-0.15,-3.3113,5.2058,66366696,291974320.7,5583845084.88,5583845084.88
2019-01-14,'300292,吴通控股,4.53,4.6,4.21,4.38,4.34,0.19,4.3779,6.4895,82730939,364448937.1,5775072656.28,5775072656.28
2019-01-11,'300292,吴通控股,4.34,4.62,4.3,4.33,4.36,-0.02,-0.4587,6.9673,88822100,395002104.11,5532851065.84,5532851065.84
2019-01-10,'300292,吴通控股,4.36,4.56,4.11,4.17,4.22,0.14,3.3175,9.2819,118330959,505990988.54,5558348075.36,5558348075.36
2019-01-09,'300292,吴通控股,4.22,4.36,3.9,3.96,3.96,0.26,6.5657,10.3448,131880744,560806182.98,5379869008.72,5379869008.72
2019-01-08,'300292,吴通控股,3.96,4.05,3.84,3.94,3.98,-0.02,-0.5025,2.9965,38200281,151193076.44,5048407884.96,5048407884.96
2019-01-07,'300292,吴通控股,3.98,4.01,3.8,3.81,3.79,0.19,5.0132,3.2104,40928049,160638175.87,5073904894.48,5073904894.48
2019-01-04,'300292,吴通控股,3.79,3.82,3.56,3.6,3.65,0.14,3.8356,2.5561,32586230,122551870.88,4831683304.04,4831683304.04
2019-01-03,'300292,吴通控股,3.65,3.89,3.61,3.88,3.9,-0.25,-6.4103,2.9653,37803490,141116470.4,4653204237.4,4653204237.4
2019-01-02,'300292,吴通控股,3.9,3.96,3.81,3.85,3.82,0.08,2.0942,2.2382,28534301,111042882.89,4971916856.4,4971916856.4
2018-12-28,'300292,吴通控股,3.82,3.98,3.81,3.98,3.98,-0.16,-4.0201,2.8895,36836182,142499875.23,4869928818.32,4869928818.32
2018-12-27,'300292,吴通控股,3.98,4.09,3.96,4.05,4.0,-0.02,-0.5,2.9007,36980225,148810447.66,5073904894.48,5073904894.48
2018-12-26,'300292,吴通控股,4.0,4.17,4.0,4.12,4.23,-0.23,-5.4374,4.9848,63548200,259188607.34,5099401904.0,5099401904.0
2018-12-25,'300292,吴通控股,4.23,4.29,3.94,4.07,4.15,0.08,1.9277,7.0812,90274575,370812059.85,5392617513.48,5392617513.48
2018-12-24,'300292,吴通控股,4.15,4.15,3.88,3.88,3.91,0.24,6.1381,5.6275,71742266,291164482.53,5290629475.4,5290629475.4
2018-12-21,'300292,吴通控股,3.91,4.07,3.86,3.95,3.98,-0.07,-1.7588,3.2718,41710478,165576881.85,4984665361.16,4984665361.16
2018-12-20,'300292,吴通控股,3.98,3.99,3.8,3.83,3.88,0.1,2.5773,2.61,33273766,130097726.15,5073904894.48,5073904894.48
