日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002567,唐人神,16.63,17.33,15.83,16.91,17.51,-0.88,-5.0257,5.7838,44942529,742379735.35,13912172387.4,12922311649.1
2019-04-25,'002567,唐人神,17.51,18.82,16.95,17.45,17.82,-0.31,-1.7396,7.0188,54539192,975616334.97,14648354690.5,13606114069.5
2019-04-24,'002567,唐人神,17.82,18.24,17.0,17.0,17.37,0.45,2.5907,6.7018,52076096,917842342.51,14907691638.2,13846999013.1
2019-04-23,'002567,唐人神,17.37,18.5,16.52,18.0,17.44,-0.07,-0.4014,9.9541,77347951,1361955306.66,14531234778.6,13497327320.9
2019-04-22,'002567,唐人神,17.44,17.44,16.06,16.06,15.85,1.59,10.0315,4.4713,34744390,589763016.09,14589794734.6,13551720695.2
2019-04-19,'002567,唐人神,15.85,16.11,15.0,15.24,15.18,0.67,4.4137,6.3388,49255571,770228154.23,13259647164.1,12316214049.2
2019-04-18,'002567,唐人神,15.18,16.37,14.96,15.1,15.51,-0.33,-2.1277,9.3211,72429054,1135761934.41,12699144728.8,11795591751.9
2019-04-17,'002567,唐人神,15.51,15.51,13.81,14.0,14.1,1.41,10.0,10.1996,79256017,1199201592.3,12975213092.5,12052017659.5
2019-04-16,'002567,唐人神,14.1,14.5,13.35,14.08,14.3,-0.2,-1.3986,3.5955,27938679,388002452.31,11795648265.9,10956379690.5
2019-04-15,'002567,唐人神,14.3,15.36,14.06,14.87,14.63,-0.33,-2.2556,5.5304,42974009,628465144.22,11962962425.7,11111789331.5
2019-04-12,'002567,唐人神,14.63,14.63,12.91,13.15,13.3,1.33,10.0,6.4877,50412520,717801251.65,12239030789.4,11368215239.1
2019-04-11,'002567,唐人神,13.3,13.75,13.07,13.21,13.18,0.12,0.9105,3.1563,24526294,330262423.09,11126391626.7,10334741126.5
2019-04-10,'002567,唐人神,13.18,13.72,12.88,13.39,13.45,-0.27,-2.0074,2.5216,19593895,259914060.98,11026003130.8,10241495341.9
2019-04-09,'002567,唐人神,13.45,14.0,13.27,13.65,14.04,-0.59,-4.2023,3.8117,29618793,402339489.53,11251877246.5,10451298357.2
2019-04-08,'002567,唐人神,14.04,14.79,13.5,14.4,14.4,-0.36,-2.5,5.6677,44040822,624112477.79,11745454018.0,10909756798.2
2019-04-04,'002567,唐人神,14.4,14.99,13.5,13.99,13.9,0.5,3.5971,6.5279,50725116,718785995.12,12046619505.6,11189494152.0
2019-04-03,'002567,唐人神,13.9,14.12,13.6,13.8,14.13,-0.23,-1.6277,2.9384,22832689,316773026.82,11628334106.1,10800970049.5
