»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'603008,œ≤¡Ÿ√≈,11.15,11.6,11.04,11.45,11.66,-0.51,-4.3739,1.6751,5353067,60164627.0,4402664325.05,3563094000.0
2019-04-25,'603008,œ≤¡Ÿ√≈,11.66,12.2,11.52,12.2,12.26,-0.6,-4.894,1.7308,5530949,65291665.0,4604041796.42,3726069600.0
2019-04-24,'603008,œ≤¡Ÿ√≈,12.26,12.33,12.05,12.24,12.15,0.11,0.9053,1.1032,3525505,43096162.0,4840956468.62,3917805600.0
2019-04-23,'603008,œ≤¡Ÿ√≈,12.15,12.42,12.01,12.3,12.21,-0.06,-0.4914,1.3862,4429691,54183378.0,4797522112.05,3882654000.0
2019-04-22,'603008,œ≤¡Ÿ√≈,12.21,13.11,11.96,13.08,13.04,-0.83,-6.365,3.223,10299277,127461579.0,4821213579.27,3901827600.0
2019-04-19,'603008,œ≤¡Ÿ√≈,13.04,13.04,12.73,12.8,12.88,0.16,1.2422,1.9099,6103223,79091097.0,5148945542.48,4167062400.0
2019-04-18,'603008,œ≤¡Ÿ√≈,12.88,13.05,12.66,13.0,13.14,-0.26,-1.9787,1.9986,6386835,81972585.0,5085768296.56,4115932800.0
2019-04-17,'603008,œ≤¡Ÿ√≈,13.14,13.19,12.76,13.1,13.32,-0.18,-1.3514,3.5072,11207627,145029165.0,5188431321.18,4199018400.0
2019-04-16,'603008,œ≤¡Ÿ√≈,13.32,13.59,12.82,13.09,13.36,-0.04,-0.2994,4.3879,14021849,184169437.0,5259505722.84,4256539200.0
2019-04-15,'603008,œ≤¡Ÿ√≈,13.36,13.83,12.58,12.71,12.98,0.38,2.9276,9.1074,29103540,387801684.0,5275300034.32,4269321600.0
2019-04-12,'603008,œ≤¡Ÿ√≈,12.98,12.98,11.84,11.95,11.8,1.18,10.0,5.6346,18005890,226178004.0,5125254075.26,4147888800.0
2019-04-11,'603008,œ≤¡Ÿ√≈,11.8,12.36,11.75,12.28,12.26,-0.46,-3.752,2.7087,8655800,103938804.0,4659321886.6,3770808000.0
2019-04-10,'603008,œ≤¡Ÿ√≈,12.26,12.6,11.41,11.48,11.57,0.69,5.9637,4.7404,15148470,182643335.0,4840956468.62,3917805600.0
2019-04-09,'603008,œ≤¡Ÿ√≈,11.57,11.64,11.25,11.25,11.24,0.33,2.9359,2.2548,7205567,82624247.0,4568504595.59,3697309200.0
2019-04-08,'603008,œ≤¡Ÿ√≈,11.24,11.64,11.12,11.64,11.55,-0.31,-2.684,2.0872,6669875,75671327.0,4438201525.88,3591854400.0
2019-04-04,'603008,œ≤¡Ÿ√≈,11.55,11.75,11.47,11.68,11.7,-0.15,-1.2821,2.5987,8304459,96189344.0,4560607439.85,3690918000.0
2019-04-03,'603008,œ≤¡Ÿ√≈,11.7,11.7,11.15,11.41,11.4,0.3,2.6316,3.3913,10837260,124215512.0,4619836107.9,3738852000.0
2019-04-02,'603008,œ≤¡Ÿ√≈,11.4,11.87,11.32,11.8,11.7,-0.3,-2.5641,3.7089,11852250,137338938.0,4501378771.8,3642984000.0
2019-04-01,'603008,œ≤¡Ÿ√≈,11.7,11.86,10.61,10.9,10.9,0.8,7.3394,4.6713,14927650,171246037.0,4619836107.9,3738852000.0
2019-03-29,'603008,œ≤¡Ÿ√≈,10.9,10.96,10.42,10.66,10.65,0.25,2.3474,1.7562,5612100,60191589.0,4303949878.3,3483204000.0
2019-03-28,'603008,œ≤¡Ÿ√≈,10.65,10.98,10.55,10.67,10.69,-0.04,-0.3742,1.6305,5210306,55965916.0,4205235431.55,3403314000.0
2019-03-27,'603008,œ≤¡Ÿ√≈,10.69,10.97,10.48,10.9,10.9,-0.21,-1.9266,1.9467,6220844,66176283.0,4221029743.03,3416096400.0
2019-03-26,'603008,œ≤¡Ÿ√≈,10.9,11.33,10.84,11.27,11.25,-0.35,-3.1111,2.3259,7432504,82309510.0,4303949878.3,3483204000.0
2019-03-25,'603008,œ≤¡Ÿ√≈,11.25,11.3,10.78,10.9,11.22,0.03,0.2674,2.6326,8412605,93645739.0,4442150103.75,3595050000.0
2019-03-22,'603008,œ≤¡Ÿ√≈,11.22,11.35,10.81,11.09,11.07,0.15,1.355,3.415,10913037,121466985.0,4430304370.14,3585463200.0
2019-03-21,'603008,œ≤¡Ÿ√≈,11.07,11.19,10.56,10.7,10.65,0.42,3.9437,3.9588,12650664,138185684.0,4371075702.09,3537529200.0
2019-03-20,'603008,œ≤¡Ÿ√≈,10.65,10.8,10.45,10.8,10.81,-0.16,-1.4801,2.2423,7165387,76224404.0,4205235431.55,3403314000.0
2019-03-19,'603008,œ≤¡Ÿ√≈,10.81,10.83,10.57,10.6,10.61,0.2,1.885,2.7812,8887553,95443592.0,4268412677.47,3454443600.0
2019-03-18,'603008,œ≤¡Ÿ√≈,10.61,10.65,10.29,10.4,10.37,0.24,2.3144,2.8877,9227928,97127281.0,4189441120.07,3390531600.0
2019-03-15,'603008,œ≤¡Ÿ√≈,10.37,10.64,10.25,10.42,10.32,0.05,0.4845,3.1189,9966901,103919874.0,4094675251.19,3313837200.0
2019-03-14,'603008,œ≤¡Ÿ√≈,10.32,11.04,10.08,11.01,11.01,-0.69,-6.267,3.4782,11114894,116306693.0,4074932361.84,3297859200.0
2019-03-13,'603008,œ≤¡Ÿ√≈,11.01,11.3,10.96,11.3,11.33,-0.32,-2.8244,2.4851,7941528,88536094.0,4347384234.87,3518355600.0
2019-03-12,'603008,œ≤¡Ÿ√≈,11.33,11.64,11.11,11.43,11.41,-0.08,-0.7011,3.666,11714918,133048261.0,4473738726.71,3620614800.0
2019-03-11,'603008,œ≤¡Ÿ√≈,11.41,11.64,11.02,11.41,11.42,-0.01,-0.0876,3.0816,9847689,111015785.0,4505327349.67,3646179600.0
2019-03-08,'603008,œ≤¡Ÿ√≈,11.42,12.15,11.28,11.9,12.14,-0.72,-5.9308,3.0634,9789286,114386261.0,4509275927.54,3649375200.0
2019-03-07,'603008,œ≤¡Ÿ√≈,12.14,12.5,11.44,11.7,11.75,0.39,3.3191,3.7093,11853434,140698823.0,4793573534.18,3879458400.0
2019-03-06,'603008,œ≤¡Ÿ√≈,11.75,11.75,10.62,10.62,10.72,1.03,9.6082,4.7182,15077556,168235310.0,4639578997.25,3754830000.0
2019-03-05,'603008,œ≤¡Ÿ√≈,10.72,10.72,10.11,10.25,10.23,0.49,4.7898,3.1777,10154705,106295226.0,4232875476.64,3425683200.0
2019-03-04,'603008,œ≤¡Ÿ√≈,10.23,10.36,10.06,10.16,10.07,0.16,1.5889,3.8692,12364284,126531609.0,4039395161.01,3269098800.0
