日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601107,四川成渝,4.19,4.24,4.14,4.17,4.19,0.0,0.0,0.3106,6716972,28140571.0,12813271400.0,9061880600.0
2019-04-25,'601107,四川成渝,4.19,4.37,4.17,4.36,4.37,-0.18,-4.119,0.463,10013000,42704050.0,12813271400.0,9061880600.0
2019-04-24,'601107,四川成渝,4.37,4.39,4.28,4.31,4.32,0.05,1.1574,0.3989,8627329,37384978.0,13363722200.0,9451173800.0
2019-04-23,'601107,四川成渝,4.32,4.45,4.3,4.45,4.44,-0.12,-2.7027,0.6845,14804086,64420052.0,13210819200.0,9343036800.0
2019-04-22,'601107,四川成渝,4.44,4.58,4.41,4.57,4.58,-0.14,-3.0568,0.8741,18905400,84896962.0,13577786400.0,9602565600.0
2019-04-19,'601107,四川成渝,4.58,4.59,4.47,4.5,4.52,0.06,1.3274,0.9503,20552249,93315634.0,14005914800.0,9905349200.0
2019-04-18,'601107,四川成渝,4.52,4.57,4.48,4.53,4.52,0.0,0.0,0.9185,19865749,89820089.0,13822431200.0,9775584800.0
2019-04-17,'601107,四川成渝,4.52,4.6,4.48,4.59,4.59,-0.07,-1.5251,1.2583,27214579,122886413.0,13822431200.0,9775584800.0
2019-04-16,'601107,四川成渝,4.59,4.65,4.38,4.59,4.62,-0.03,-0.6494,1.6649,36007680,162489005.0,14036495400.0,9926976600.0
2019-04-15,'601107,四川成渝,4.62,4.89,4.61,4.66,4.65,-0.03,-0.6452,1.461,31598649,148837162.0,14128237200.0,9991858800.0
2019-04-12,'601107,四川成渝,4.65,4.84,4.56,4.8,4.88,-0.23,-4.7131,1.5486,33491410,155873738.0,14219979000.0,10056741000.0
2019-04-11,'601107,四川成渝,4.88,5.18,4.85,4.92,5.02,-0.14,-2.7888,2.8196,60981029,303660006.0,14923332800.0,10554171200.0
2019-04-10,'601107,四川成渝,5.02,5.13,4.57,4.65,4.66,0.36,7.7253,3.9619,85685898,425353452.0,15351461200.0,10856954800.0
2019-04-09,'601107,四川成渝,4.66,4.83,4.47,4.55,4.59,0.07,1.5251,1.7184,37165074,172614450.0,14250559600.0,10078368400.0
2019-04-08,'601107,四川成渝,4.59,4.63,4.4,4.41,4.41,0.18,4.0816,1.9634,42462792,192591899.0,14036495400.0,9926976600.0
2019-04-04,'601107,四川成渝,4.41,4.45,4.38,4.43,4.44,-0.03,-0.6757,0.7658,16562445,73094819.0,13486044600.0,9537683400.0
2019-04-03,'601107,四川成渝,4.44,4.45,4.35,4.38,4.4,0.04,0.9091,0.7759,16780619,74035272.0,13577786400.0,9602565600.0
2019-04-02,'601107,四川成渝,4.4,4.49,4.38,4.49,4.49,-0.09,-2.0045,1.3281,28723916,127035970.0,13455464000.0,9516056000.0
2019-04-01,'601107,四川成渝,4.49,4.49,4.37,4.41,4.4,0.09,2.0455,1.2965,28040078,124482321.0,13730689400.0,9710702600.0
2019-03-29,'601107,四川成渝,4.4,4.41,4.26,4.31,4.34,0.06,1.3825,1.0189,22035882,95697464.0,13455464000.0,9516056000.0
2019-03-28,'601107,四川成渝,4.34,4.46,4.29,4.37,4.41,-0.07,-1.5873,0.9102,19684788,86115338.0,13271980400.0,9386291600.0
2019-03-27,'601107,四川成渝,4.41,4.52,4.34,4.5,4.5,-0.09,-2.0,1.2991,28095713,123638424.0,13486044600.0,9537683400.0
