日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600678,四川金顶,7.03,7.23,6.97,7.16,7.14,-0.11,-1.5406,3.1137,10866484,76590315.0,2453399700.0,2453399700.0
2019-04-25,'600678,四川金顶,7.14,7.83,7.02,7.78,7.76,-0.62,-7.9897,5.1186,17863320,132881309.0,2491788600.0,2491788600.0
2019-04-24,'600678,四川金顶,7.76,7.76,7.58,7.69,7.63,0.13,1.7038,3.087,10773311,82985290.0,2708162400.0,2708162400.0
2019-04-23,'600678,四川金顶,7.63,7.78,7.59,7.68,7.63,0.0,0.0,3.0041,10483943,80557228.0,2662793700.0,2662793700.0
2019-04-22,'600678,四川金顶,7.63,7.89,7.56,7.88,7.88,-0.25,-3.1726,4.6588,16258646,125280675.0,2662793700.0,2662793700.0
2019-04-19,'600678,四川金顶,7.88,7.98,7.7,7.92,7.93,-0.05,-0.6305,5.1093,17830955,139780579.0,2750041200.0,2750041200.0
2019-04-18,'600678,四川金顶,7.93,8.09,7.78,7.87,7.88,0.05,0.6345,6.7598,23590882,187765898.0,2767490700.0,2767490700.0
2019-04-17,'600678,四川金顶,7.88,8.1,7.85,8.07,8.05,-0.17,-2.1118,6.8085,23761065,188762523.0,2750041200.0,2750041200.0
2019-04-16,'600678,四川金顶,8.05,8.15,7.71,8.0,8.16,-0.11,-1.348,8.0495,28091778,222482151.0,2809369500.0,2809369500.0
2019-04-15,'600678,四川金顶,8.16,8.75,8.11,8.43,8.66,-0.5,-5.7737,11.4693,40026722,339016955.0,2847758400.0,2847758400.0
2019-04-12,'600678,四川金顶,8.66,8.75,8.03,8.7,8.66,0.0,0.0,17.4725,60977231,510680243.0,3022253400.0,3022253400.0
2019-04-11,'600678,四川金顶,8.66,8.66,7.87,7.88,7.87,0.79,10.0381,9.0726,31662369,263182393.0,3022253400.0,3022253400.0
2019-04-10,'600678,四川金顶,7.87,8.07,7.42,7.58,7.73,0.14,1.8111,10.9838,38332421,298753538.0,2746551300.0,2746551300.0
2019-04-09,'600678,四川金顶,7.73,8.22,7.58,7.62,7.56,0.17,2.2487,13.1213,45792040,357463184.0,2697692700.0,2697692700.0
2019-04-08,'600678,四川金顶,7.56,7.56,7.15,7.37,7.37,0.19,2.578,7.2601,25336907,186839824.0,2638364400.0,2638364400.0
2019-04-04,'600678,四川金顶,7.37,7.57,7.31,7.45,7.44,-0.07,-0.9409,6.1103,21324472,158239704.0,2572056300.0,2572056300.0
2019-04-03,'600678,四川金顶,7.44,7.49,7.29,7.39,7.38,0.06,0.813,5.6857,19842576,146770075.0,2596485600.0,2596485600.0
2019-04-02,'600678,四川金顶,7.38,7.45,7.22,7.29,7.23,0.15,2.0747,7.0423,24576943,180578856.0,2575546200.0,2575546200.0
2019-04-01,'600678,四川金顶,7.23,7.28,7.05,7.06,7.05,0.18,2.5532,5.212,18189186,130911991.0,2523197700.0,2523197700.0
2019-03-29,'600678,四川金顶,7.05,7.06,6.73,6.9,6.91,0.14,2.026,3.5749,12476051,86528967.0,2460379500.0,2460379500.0
2019-03-28,'600678,四川金顶,6.91,7.15,6.89,7.0,7.12,-0.21,-2.9494,3.0841,10763300,75330785.0,2411520900.0,2411520900.0
2019-03-27,'600678,四川金顶,7.12,7.26,6.76,6.87,6.83,0.29,4.246,4.8486,16920970,117972498.0,2484808800.0,2484808800.0
2019-03-26,'600678,四川金顶,6.83,7.09,6.79,7.0,7.0,-0.17,-2.4286,3.8668,13494745,93750780.0,2383601700.0,2383601700.0
2019-03-25,'600678,四川金顶,7.0,7.18,6.98,7.08,7.28,-0.28,-3.8462,5.3621,18713192,132706391.0,2442930000.0,2442930000.0
2019-03-22,'600678,四川金顶,7.28,7.39,7.13,7.34,7.41,-0.13,-1.7544,5.679,19819113,143528567.0,2540647200.0,2540647200.0
2019-03-21,'600678,四川金顶,7.41,7.52,7.34,7.52,7.52,-0.11,-1.4628,6.9855,24378837,180923560.0,2586015900.0,2586015900.0
2019-03-20,'600678,四川金顶,7.52,7.6,7.31,7.39,7.38,0.14,1.897,7.7434,27023829,201665729.0,2624404800.0,2624404800.0
2019-03-19,'600678,四川金顶,7.38,7.57,7.3,7.53,7.59,-0.21,-2.7668,7.7807,27153815,201462805.0,2575546200.0,2575546200.0
2019-03-18,'600678,四川金顶,7.59,7.64,7.32,7.54,7.73,-0.14,-1.8111,12.1446,42383345,317247148.0,2648834100.0,2648834100.0
2019-03-15,'600678,四川金顶,7.73,7.84,6.87,7.01,7.13,0.6,8.4151,16.562,57799810,428754477.0,2697692700.0,2697692700.0
2019-03-14,'600678,四川金顶,7.13,7.55,7.01,7.22,7.14,-0.01,-0.1401,9.5496,33327256,243042629.0,2488298700.0,2488298700.0
2019-03-13,'600678,四川金顶,7.14,7.3,7.05,7.11,7.09,0.05,0.7052,6.1933,21613902,154518707.0,2491788600.0,2491788600.0
2019-03-12,'600678,四川金顶,7.09,7.22,6.92,7.13,7.05,0.04,0.5674,6.2255,21726522,154438699.0,2474339100.0,2474339100.0
2019-03-11,'600678,四川金顶,7.05,7.1,6.73,6.79,6.79,0.26,3.8292,5.2319,18258968,126470161.0,2460379500.0,2460379500.0
2019-03-08,'600678,四川金顶,6.79,7.38,6.79,7.38,7.54,-0.75,-9.9469,9.9547,34740734,246583655.0,2369642100.0,2369642100.0
2019-03-07,'600678,四川金顶,7.54,7.93,7.28,7.4,7.4,0.14,1.8919,12.6945,44302688,336274640.0,2631384600.0,2631384600.0
2019-03-06,'600678,四川金顶,7.4,7.41,7.14,7.32,7.37,0.03,0.4071,10.8965,38027831,276704670.0,2582526000.0,2582526000.0
2019-03-05,'600678,四川金顶,7.37,7.37,7.06,7.17,7.33,0.04,0.5457,11.7273,40927271,295329058.0,2572056300.0,2572056300.0
2019-03-04,'600678,四川金顶,7.33,7.68,7.06,7.16,7.12,0.21,2.9494,20.2564,70692776,519278972.0,2558096700.0,2558096700.0
2019-03-01,'600678,四川金顶,7.12,7.12,6.48,6.53,6.47,0.65,10.0464,18.1271,63261783,443862183.0,2484808800.0,2484808800.0
2019-02-28,'600678,四川金顶,6.47,6.58,6.38,6.42,6.39,0.08,1.252,4.283,14947305,96564417.0,2257965300.0,2257965300.0
2019-02-27,'600678,四川金顶,6.39,6.56,6.29,6.33,6.41,-0.02,-0.312,6.31,22021289,141620391.0,2230046100.0,2230046100.0
2019-02-26,'600678,四川金顶,6.41,6.63,6.21,6.44,6.4,0.01,0.1563,7.9006,27572407,177910244.0,2237025900.0,2237025900.0
2019-02-25,'600678,四川金顶,6.4,6.43,6.11,6.11,6.1,0.3,4.918,6.6059,23054086,144609513.0,2233536000.0,2233536000.0
2019-02-22,'600678,四川金顶,6.1,6.2,5.83,5.87,5.93,0.17,2.8668,5.8648,20467616,122886570.0,2128839000.0,2128839000.0
2019-02-21,'600678,四川金顶,5.93,6.08,5.9,6.02,6.02,-0.09,-1.495,4.5835,15995823,95664182.0,2069510700.0,2069510700.0
2019-02-20,'600678,四川金顶,6.02,6.03,5.86,5.9,5.89,0.13,2.2071,4.343,15156741,90297911.0,2100919800.0,2100919800.0
2019-02-19,'600678,四川金顶,5.89,5.99,5.77,5.97,5.91,-0.02,-0.3384,3.9684,13849402,81464665.0,2055551100.0,2055551100.0
2019-02-18,'600678,四川金顶,5.91,5.95,5.76,5.76,5.73,0.18,3.1414,3.3848,11812647,69067635.0,2062530900.0,2062530900.0
