日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002749,国光股份,20.46,20.82,20.21,20.22,20.8,-0.34,-1.6346,0.7289,1579924,32391902.19,4487257123.8,4434705000.0
2019-04-25,'002749,国光股份,20.8,21.4,20.64,21.32,21.45,-0.65,-3.0303,0.7632,1654324,34803061.1,4561825424.0,4508400000.0
2019-04-24,'002749,国光股份,21.45,21.74,20.85,21.5,21.5,-0.05,-0.2326,0.7892,1710536,36154680.38,4704382468.5,4649287500.0
2019-04-23,'002749,国光股份,21.5,21.95,21.38,21.71,21.69,-0.19,-0.876,0.6723,1457194,31536162.78,4715348395.0,4660125000.0
2019-04-22,'002749,国光股份,21.69,22.44,21.58,22.12,22.08,-0.39,-1.7663,0.7014,1520315,33530442.16,4757018915.7,4701307500.0
2019-04-19,'002749,国光股份,22.08,22.2,21.93,22.05,22.04,0.04,0.1815,0.539,1168376,25762521.34,4842553142.4,4785840000.0
2019-04-18,'002749,国光股份,22.04,22.69,21.9,22.48,22.3,-0.26,-1.1659,0.8034,1741462,38712451.49,4833780401.2,4777170000.0
2019-04-17,'002749,国光股份,22.3,22.7,22.19,22.65,22.65,-0.35,-1.5453,0.7793,1689205,37762816.75,4890803219.0,4833525000.0
2019-04-16,'002749,国光股份,22.65,22.7,22.01,22.45,22.48,0.17,0.7562,0.7921,1716906,38417785.87,4967564704.5,4909387500.0
2019-04-15,'002749,国光股份,22.48,23.25,22.41,22.95,23.3,-0.82,-3.5193,1.472,3190587,72742058.04,4930280554.4,4872540000.0
2019-04-12,'002749,国光股份,23.3,24.34,23.18,23.58,23.67,-0.37,-1.5632,0.551,1194324,28077452.05,5110121749.0,5050275000.0
2019-04-11,'002749,国光股份,23.67,24.76,22.99,24.76,24.77,-1.1,-4.4409,0.8586,1861101,44574302.39,5191269605.1,5130472500.0
2019-04-10,'002749,国光股份,24.77,25.13,23.97,24.01,24.36,0.41,1.6831,0.7395,1602921,39560218.88,5432519988.1,5368897500.0
2019-04-09,'002749,国光股份,24.36,24.98,23.85,24.98,24.96,-0.6,-2.4038,0.947,2052697,49814389.46,5342599390.8,5280030000.0
2019-04-08,'002749,国光股份,24.96,25.77,24.65,25.55,24.98,-0.02,-0.0801,1.1233,2434657,61375937.15,5474190508.8,5410080000.0
2019-04-04,'002749,国光股份,24.98,26.07,24.69,25.62,25.49,-0.51,-2.0008,1.2277,2660939,66772207.1,5478576879.4,5414415000.0
2019-04-03,'002749,国光股份,25.49,26.0,25.32,25.7,25.72,-0.23,-0.8942,0.8452,1832077,46934523.24,5590429329.7,5524957500.0
2019-04-02,'002749,国光股份,25.72,26.28,24.23,24.3,24.31,1.41,5.8001,1.6727,3625561,93004075.71,5640872591.6,5574810000.0
2019-04-01,'002749,国光股份,24.31,24.65,23.6,24.0,23.78,0.53,2.2288,0.8494,1841055,44804088.07,5331633464.3,5269192500.0
2019-03-29,'002749,国光股份,23.78,23.78,22.6,22.9,22.86,0.92,4.0245,0.6237,1351837,31621166.21,5215394643.4,5154315000.0
2019-03-28,'002749,国光股份,22.86,23.26,22.62,22.77,22.76,0.1,0.4394,0.4493,973892,22310085.18,5013621595.8,4954905000.0
2019-03-27,'002749,国光股份,22.76,23.34,22.56,23.2,23.03,-0.27,-1.1724,0.5598,1213464,27712533.53,4991689742.8,4933230000.0
2019-03-26,'002749,国光股份,23.03,24.15,23.01,23.79,23.79,-0.76,-3.1946,0.7364,1596051,37525407.66,5050905745.9,4991752500.0
2019-03-25,'002749,国光股份,23.79,24.89,22.2,22.5,22.72,1.07,4.7095,1.5836,3432417,81220973.88,5217587828.7,5156482500.0
2019-03-22,'002749,国光股份,22.72,22.79,22.15,22.5,22.62,0.1,0.4421,0.4183,906742,20364390.93,4982917001.6,4924560000.0
2019-03-21,'002749,国光股份,22.62,22.88,22.33,22.46,22.45,0.17,0.7572,0.5878,1274113,28923713.36,4960985148.6,4902885000.0
2019-03-20,'002749,国光股份,22.45,22.78,21.9,22.53,22.84,-0.39,-1.7075,0.698,1512965,33849652.5,4923700998.5,4866037500.0
2019-03-19,'002749,国光股份,22.84,23.1,22.6,23.0,22.91,-0.07,-0.3055,0.6127,1328026,30201394.46,5009235225.2,4950570000.0
2019-03-18,'002749,国光股份,22.91,22.93,22.15,22.55,22.55,0.36,1.5965,0.842,1824994,41129806.17,5024587522.3,4965742500.0
2019-03-15,'002749,国光股份,22.55,22.65,22.02,22.1,22.08,0.47,2.1286,0.8128,1761648,39527338.96,4945632851.5,4887712500.0
2019-03-14,'002749,国光股份,22.08,22.66,21.28,22.1,22.19,-0.11,-0.4957,0.8088,1753001,38330581.41,4842553142.4,4785840000.0
2019-03-13,'002749,国光股份,22.19,23.0,22.08,22.5,22.51,-0.32,-1.4216,1.0009,2169468,48744524.08,4866678180.7,4809682500.0
2019-03-12,'002749,国光股份,22.51,22.97,22.09,22.22,22.0,0.51,2.3182,1.1217,2431330,54768293.35,4936860110.3,4879042500.0
2019-03-11,'002749,国光股份,22.0,22.2,21.26,21.26,21.26,0.74,3.4807,1.2826,2779944,60922979.08,4825007660.0,4768500000.0
2019-03-08,'002749,国光股份,21.26,22.07,21.2,21.88,22.3,-1.04,-4.6637,1.0907,2364115,51095218.44,4662711947.8,4608105000.0
2019-03-07,'002749,国光股份,22.3,22.68,21.97,22.5,22.49,-0.19,-0.8448,1.2489,2706884,60231530.92,4890803219.0,4833525000.0
2019-03-06,'002749,国光股份,22.49,23.32,22.09,22.6,22.6,-0.11,-0.4867,1.825,3955769,89444930.09,4932473739.7,4874707500.0
2019-03-05,'002749,国光股份,22.6,23.4,21.2,21.28,21.27,1.33,6.2529,1.7442,3780516,84985748.37,4956598778.0,4898550000.0
2019-03-04,'002749,国光股份,21.27,22.05,20.66,21.01,20.97,0.3,1.4306,1.5684,3399546,73189706.44,4664905133.1,4610272500.0
2019-03-01,'002749,国光股份,20.97,20.97,20.08,20.1,19.96,1.01,5.0601,1.6487,3573649,73156785.26,4599109574.1,4545247500.0
2019-02-28,'002749,国光股份,19.96,20.27,19.86,20.2,19.8,0.16,0.8081,0.5988,1297920,25951211.32,4377597858.8,4326330000.0
2019-02-27,'002749,国光股份,19.8,20.24,19.65,19.97,19.96,-0.16,-0.8016,0.6542,1417878,28325528.12,4342506894.0,4291650000.0
2019-02-26,'002749,国光股份,19.96,20.33,19.58,20.2,19.9,0.06,0.3015,1.1951,2590284,51755495.23,4377597858.8,4326330000.0
2019-02-25,'002749,国光股份,19.9,19.93,19.02,19.25,19.2,0.7,3.6458,1.1964,2593163,50540206.43,4364438747.0,4313325000.0
2019-02-22,'002749,国光股份,19.2,19.27,18.95,19.12,19.1,0.1,0.5236,0.4987,1080837,20629236.92,4210915776.0,4161600000.0
2019-02-21,'002749,国光股份,19.1,19.5,19.03,19.16,19.11,-0.01,-0.0523,0.581,1259341,24305246.39,4188983923.0,4139925000.0
2019-02-20,'002749,国光股份,19.11,19.3,18.93,19.2,19.21,-0.1,-0.5206,0.5383,1166716,22313210.72,4191177108.3,4142092500.0
