日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000004,国农科技,22.18,22.6,21.05,21.63,21.67,0.51,2.3535,1.8825,1579921,34532581.22,1862602851.12,1861493851.12
2019-04-25,'000004,国农科技,21.67,22.64,21.2,21.2,21.36,0.31,1.4513,2.3317,1956902,42993090.18,1819774742.28,1818691242.28
2019-04-24,'000004,国农科技,21.36,21.5,20.51,20.71,20.71,0.65,3.1386,1.0316,865800,18181056.88,1793741970.24,1792673970.24
2019-04-23,'000004,国农科技,20.71,21.27,20.4,21.0,21.12,-0.41,-1.9413,1.0536,884217,18421180.94,1739157125.64,1738121625.64
2019-04-22,'000004,国农科技,21.12,22.78,21.05,21.93,22.12,-1.0,-4.5208,1.8075,1517000,32636483.56,1773587566.08,1772531566.08
2019-04-19,'000004,国农科技,22.12,22.8,21.11,21.23,21.3,0.82,3.8498,2.194,1841346,40419104.31,1857564250.08,1856458250.08
2019-04-18,'000004,国农科技,21.3,21.6,21.06,21.15,21.2,0.1,0.4717,1.28,1074252,22915582.56,1788703369.2,1787638369.2
2019-04-17,'000004,国农科技,21.2,21.7,20.8,21.06,21.08,0.12,0.5693,2.0713,1738373,37033916.47,1780305700.8,1779245700.8
2019-04-16,'000004,国农科技,21.08,21.3,20.18,21.1,21.51,-0.43,-1.9991,2.4553,2060622,42788769.08,1770228498.72,1769174498.72
2019-04-15,'000004,国农科技,21.51,22.58,21.38,21.82,22.48,-0.97,-4.3149,2.6128,2192877,48279075.78,1806338472.84,1805262972.84
2019-04-12,'000004,国农科技,22.48,24.3,22.42,24.28,24.91,-2.43,-9.7551,4.1212,3458790,79517603.54,1887795856.32,1886671856.32
2019-04-11,'000004,国农科技,24.91,26.22,22.9,26.22,23.84,1.07,4.4883,7.4564,6257941,154439414.53,2091859198.44,2090613698.44
2019-04-10,'000004,国农科技,23.84,23.84,23.84,23.84,21.67,2.17,10.0138,0.4103,344344,8209160.96,2002004146.56,2000812146.56
2019-04-09,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-04-08,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-04-04,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-04-03,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-04-02,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-04-01,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
2019-03-29,'000004,国农科技,0.0,0.0,0.0,0.0,21.67,None,None,0.0,0,0.0,1819774742.28,1818691242.28
