日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300661,圣邦股份,93.8,94.9,91.15,91.15,93.07,0.73,0.7844,0.872,371753,34811255.21,7460227761.0,3998843704.8
2019-04-25,'300661,圣邦股份,93.07,95.78,92.5,94.5,96.05,-2.98,-3.1026,1.4403,614012,57782383.0,7402168419.15,3967722639.72
2019-04-24,'300661,圣邦股份,96.05,96.18,91.01,93.8,94.35,1.7,1.8018,2.7157,1157738,108611950.74,7639177787.25,4094764795.8
2019-04-23,'300661,圣邦股份,94.35,96.24,87.26,88.25,88.03,6.32,7.1794,2.4492,1044113,96427506.62,7503971100.75,4022291082.6
2019-04-22,'300661,圣邦股份,88.03,89.5,87.26,88.69,87.85,0.18,0.2049,0.9673,412386,36402952.78,7001320360.35,3752859395.88
2019-04-19,'300661,圣邦股份,87.85,88.0,85.11,85.11,85.01,2.84,3.3408,1.2331,525683,45648890.97,6987004358.25,3745185708.6
2019-04-18,'300661,圣邦股份,85.01,86.6,84.8,85.66,86.33,-1.32,-1.529,0.6559,279612,24018605.6,6761129658.45,3624111975.96
2019-04-17,'300661,圣邦股份,86.33,87.49,85.34,86.55,86.55,-0.22,-0.2542,0.9788,417280,36071863.0,6866113673.85,3680385682.68
2019-04-16,'300661,圣邦股份,86.55,87.31,82.38,84.19,84.2,2.35,2.791,1.7025,725783,61284488.8,6883611009.75,3689764633.8
2019-04-15,'300661,圣邦股份,84.2,88.4,84.11,85.7,84.91,-0.71,-0.8362,1.6538,705038,60880565.2,6696707649.0,3589580383.2
2019-04-12,'300661,圣邦股份,84.91,85.72,83.58,85.23,85.28,-0.37,-0.4339,1.7625,751394,63358726.93,6753176323.95,3619848816.36
2019-04-11,'300661,圣邦股份,85.28,87.33,85.21,86.99,87.0,-1.72,-1.977,1.2605,537369,46147234.81,6782603661.6,3635622506.88
2019-04-10,'300661,圣邦股份,87.0,87.75,85.9,86.66,87.52,-0.52,-0.5941,1.4671,625430,54299162.92,6919401015.0,3708948852.0
2019-04-09,'300661,圣邦股份,87.52,90.19,86.89,89.16,88.93,-1.41,-1.5855,1.6064,684831,60129912.19,6960758354.4,3731117281.92
2019-04-08,'300661,圣邦股份,88.93,92.99,88.59,90.24,90.24,-1.31,-1.4517,1.9686,839266,75999069.9,7072900370.85,3791227832.28
2019-04-04,'300661,圣邦股份,90.24,91.58,89.3,89.95,90.17,0.07,0.0776,2.1134,900978,81751005.4,7177089052.8,3847075223.04
2019-04-03,'300661,圣邦股份,90.17,92.55,86.46,88.28,92.73,-2.56,-2.7607,4.0412,1722830,152753612.99,7171521718.65,3844091011.32
2019-04-02,'300661,圣邦股份,92.73,96.28,92.15,94.15,94.16,-1.43,-1.5187,2.3647,1008093,94224713.02,7375127081.85,3953227897.08
2019-04-01,'300661,圣邦股份,94.16,95.43,93.5,93.8,93.3,0.86,0.9218,1.9535,832790,78647159.88,7488859765.2,4014191079.36
2019-03-29,'300661,圣邦股份,93.3,93.93,88.1,89.92,89.9,3.4,3.782,2.3649,1008198,91909917.31,7420461088.5,3977527906.8
2019-03-28,'300661,圣邦股份,89.9,91.85,87.88,88.29,88.75,1.15,1.2958,2.427,1034682,93434586.88,7150047715.5,3832580480.4
2019-03-27,'300661,圣邦股份,88.75,90.49,86.56,89.93,89.12,-0.37,-0.4152,1.534,653960,57750416.89,7058584368.75,3783554145.0
2019-03-26,'300661,圣邦股份,89.12,93.83,88.8,92.69,90.93,-1.81,-1.9905,2.1519,917371,83966096.4,7088011706.4,3799327835.52
2019-03-25,'300661,圣邦股份,90.93,94.8,90.05,91.6,94.1,-3.17,-3.3688,2.3014,981140,90857219.8,7231967060.85,3876491024.28
2019-03-22,'300661,圣邦股份,94.1,96.4,93.59,94.64,94.6,-0.5,-0.5285,1.6894,720219,68332624.42,7484087764.5,4011633183.6
2019-03-21,'300661,圣邦股份,94.6,95.0,92.86,93.88,93.9,0.7,0.7455,2.189,933197,87699514.68,7523854437.0,4032948981.6
2019-03-20,'300661,圣邦股份,93.9,96.22,92.12,96.22,95.35,-1.45,-1.5207,1.8711,797672,74954356.6,7468181095.5,4003106864.4
2019-03-19,'300661,圣邦股份,95.35,97.0,94.0,96.88,96.0,-0.65,-0.6771,2.9059,1238824,118387470.7,7583504445.75,4064922678.6
2019-03-18,'300661,圣邦股份,96.0,97.83,93.4,95.12,94.88,1.12,1.1804,2.6082,1111904,105651947.02,7635201120.0,4092633216.0
2019-03-15,'300661,圣邦股份,94.88,97.92,94.11,95.85,96.09,-1.21,-1.2592,1.6238,692257,66167385.75,7546123773.6,4044885828.48
2019-03-14,'300661,圣邦股份,96.09,101.66,93.36,99.81,99.29,-3.2,-3.2229,1.9011,810464,78289320.51,7642359121.05,4096470059.64
2019-03-13,'300661,圣邦股份,99.29,106.49,97.12,105.74,106.87,-7.58,-7.0927,2.1774,928272,94492565.37,7896865825.05,4232891166.84
2019-03-12,'300661,圣邦股份,106.87,109.3,104.45,106.04,106.95,-0.08,-0.0748,2.2575,962423,102607780.94,8499728580.15,4556038664.52
2019-03-11,'300661,圣邦股份,106.95,110.97,102.72,106.0,106.0,0.95,0.8962,3.1898,1359866,145427469.37,8506091247.75,4559449192.2
2019-03-08,'300661,圣邦股份,106.0,111.1,95.57,101.3,101.0,5.0,4.9505,4.1878,1785338,191616456.81,8430534570.0,4518949176.0
2019-03-07,'300661,圣邦股份,101.0,104.39,99.0,101.41,104.5,-3.5,-3.3493,2.3655,1008461,103104020.47,8032867845.0,4305791196.0
2019-03-06,'300661,圣邦股份,104.5,111.0,98.01,105.28,101.54,2.96,2.9151,4.5878,1955850,198860430.72,8311234552.5,4455001782.0
2019-03-05,'300661,圣邦股份,101.54,101.54,91.36,92.0,92.31,9.23,9.9989,1.9901,848403,82840450.67,8075815851.3,4328812257.84
2019-03-04,'300661,圣邦股份,92.31,94.62,88.8,88.8,88.48,3.83,4.3287,2.3773,1013473,93141637.29,7341723076.95,3935322626.76
2019-03-01,'300661,圣邦股份,88.48,89.0,86.93,86.93,87.6,0.88,1.0046,1.3731,585363,51486016.51,7037110365.6,3772043614.08
2019-02-28,'300661,圣邦股份,87.6,90.73,87.35,89.66,88.6,-1.0,-1.1287,1.6757,714383,63373410.47,6967121022.0,3734527809.6
2019-02-27,'300661,圣邦股份,88.6,95.6,88.4,92.18,92.18,-3.58,-3.8837,2.7486,1171766,107055041.85,7046654367.0,3777159405.6
2019-02-26,'300661,圣邦股份,92.18,96.67,87.2,89.5,89.27,2.91,3.2598,3.4157,1456176,135821996.83,7331383742.1,3929780519.28
