日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'900903,大众Ｂ股,0.526,0.53,0.523,0.524,0.528,-0.002,-0.3788,0.095,760367,400878.0,8369818126.14,2835133850.82
2019-04-25,'900903,大众Ｂ股,0.528,0.536,0.526,0.535,0.535,-0.007,-1.3084,0.1123,899275,476865.0,8401642529.66,2845913827.44
2019-04-24,'900903,大众Ｂ股,0.535,0.537,0.529,0.531,0.533,0.002,0.3752,0.0727,582502,309970.0,8500126923.52,2879273744.54
2019-04-23,'900903,大众Ｂ股,0.533,0.537,0.53,0.534,0.536,-0.003,-0.5597,0.0829,663718,354180.0,8452851795.02,2863260097.04
2019-04-22,'900903,大众Ｂ股,0.536,0.546,0.535,0.543,0.542,-0.006,-1.107,0.0922,738310,398790.0,8494473123.69,2877358615.79
2019-04-19,'900903,大众Ｂ股,0.542,0.545,0.54,0.541,0.541,0.001,0.1848,0.0468,374449,202799.0,8590585593.08,2909915083.73
2019-04-18,'900903,大众Ｂ股,0.541,0.548,0.54,0.544,0.547,-0.006,-1.0969,0.1002,802427,435138.0,8557853129.96,2898827517.33
2019-04-17,'900903,大众Ｂ股,0.547,0.549,0.545,0.548,0.548,-0.001,-0.1825,0.0515,412407,225822.0,8678498811.55,2939694194.56
2019-04-16,'900903,大众Ｂ股,0.548,0.548,0.537,0.537,0.542,0.006,1.107,0.0904,723587,392787.0,8692680238.96,2944497912.43
2019-04-15,'900903,大众Ｂ股,0.542,0.549,0.541,0.541,0.539,0.003,0.5566,0.1045,836889,457926.0,8599426939.76,2912909939.88
2019-04-12,'900903,大众Ｂ股,0.539,0.545,0.535,0.541,0.541,-0.002,-0.3697,0.0863,690977,372422.0,8565590667.69,2901448476.93
2019-04-11,'900903,大众Ｂ股,0.541,0.549,0.541,0.543,0.548,-0.007,-1.2774,0.1141,913834,497173.0,8580491261.27,2906495800.14
2019-04-10,'900903,大众Ｂ股,0.548,0.551,0.541,0.547,0.55,-0.002,-0.3636,0.0946,757780,413849.0,8694364440.09,2945068406.98
2019-04-09,'900903,大众Ｂ股,0.55,0.551,0.546,0.546,0.55,0.0,0.0,0.0586,469173,257503.0,8730256553.41,2957226251.26
2019-04-08,'900903,大众Ｂ股,0.55,0.558,0.541,0.558,0.559,-0.009,-1.61,0.2221,1778373,980286.0,8737928132.1,2959824868.36
2019-04-04,'900903,大众Ｂ股,0.559,0.56,0.55,0.556,0.555,0.004,0.7207,0.2415,1933715,1074615.0,8861617858.28,3001722664.03
2019-04-03,'900903,大众Ｂ股,0.555,0.556,0.544,0.548,0.546,0.009,1.6484,0.3244,2598020,1434953.0,8816445380.66,2986421253.84
2019-04-02,'900903,大众Ｂ股,0.546,0.554,0.544,0.549,0.549,-0.003,-0.5464,0.1549,1240776,679909.0,8669216319.53,2936549907.92
2019-04-01,'900903,大众Ｂ股,0.549,0.552,0.534,0.538,0.538,0.011,2.0446,0.2474,1981239,1082233.0,8721002667.28,2954091654.38
2019-03-29,'900903,大众Ｂ股,0.538,0.539,0.523,0.525,0.527,0.011,2.0873,0.1514,1212683,645998.0,8564325861.95,2901020045.45
2019-03-28,'900903,大众Ｂ股,0.527,0.536,0.526,0.531,0.531,-0.004,-0.7533,0.1036,829882,440525.0,8380248399.81,2838666929.02
2019-03-27,'900903,大众Ｂ股,0.531,0.536,0.528,0.535,0.531,0.0,0.0,0.0985,789000,419174.0,8428540337.55,2855025003.4
2019-03-26,'900903,大众Ｂ股,0.531,0.55,0.528,0.546,0.544,-0.013,-2.3897,0.2316,1854672,995411.0,8416112380.06,2850815243.71
2019-03-25,'900903,大众Ｂ股,0.544,0.555,0.542,0.55,0.555,-0.011,-1.982,0.1937,1551150,851170.0,8629358626.52,2923048790.81
