日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600635,大众公用,6.49,6.73,6.45,6.72,6.76,-0.27,-3.9941,2.7922,67537183,443175491.0,19161301040.8,15697957970.8
2019-04-25,'600635,大众公用,6.76,7.17,6.75,7.01,7.1,-0.34,-4.7887,3.2008,77421481,538713812.0,19958458403.0,16351031723.0
2019-04-24,'600635,大众公用,7.1,7.38,6.95,7.38,7.39,-0.29,-3.9242,4.2353,102442348,726124831.0,20962286192.5,17173420892.5
2019-04-23,'600635,大众公用,7.39,7.43,7.06,7.1,7.11,0.28,3.9381,6.6594,161078194,1178342692.0,21818492248.2,17874870478.2
2019-04-22,'600635,大众公用,7.11,7.33,6.96,7.0,6.95,0.16,2.3022,4.5913,111052790,796190800.0,20991810539.2,17197608809.2
2019-04-19,'600635,大众公用,6.95,7.05,6.89,7.0,7.01,-0.06,-0.8559,1.7851,43178879,299992862.0,20519420991.2,16810602141.2
2019-04-18,'600635,大众公用,7.01,7.1,6.95,7.1,7.14,-0.13,-1.8207,2.3856,57701621,405302703.0,20696567071.8,16955729641.8
2019-04-17,'600635,大众公用,7.14,7.23,7.05,7.09,7.09,0.05,0.7052,2.9358,71010038,507997914.0,21080383579.5,17270172559.5
2019-04-16,'600635,大众公用,7.09,7.1,6.72,6.96,6.98,0.11,1.5759,3.1414,75985100,527498194.0,20932761845.8,17149232975.8
2019-04-15,'600635,大众公用,6.98,7.26,6.97,7.1,7.02,-0.04,-0.5698,2.6774,64759857,461717203.0,20607994031.5,16883165891.5
2019-04-12,'600635,大众公用,7.02,7.13,6.97,7.0,7.0,0.02,0.2857,1.7143,41466425,291624826.0,20726091418.5,16979917558.5
2019-04-11,'600635,大众公用,7.0,7.16,6.99,7.08,7.1,-0.1,-1.4085,2.4338,58868857,416465820.0,20667042725.0,16931541725.0
2019-04-10,'600635,大众公用,7.1,7.26,7.08,7.23,7.31,-0.21,-2.8728,3.4377,83151406,592351511.0,20962286192.5,17173420892.5
2019-04-09,'600635,大众公用,7.31,7.38,7.07,7.19,7.2,0.11,1.5278,3.5734,86432904,629268532.0,21582297474.2,17681367144.2
2019-04-08,'600635,大众公用,7.2,7.43,7.02,7.38,7.39,-0.19,-2.571,5.2152,126144537,908383924.0,21257529660.0,17415300060.0
2019-04-04,'600635,大众公用,7.39,7.68,7.38,7.64,7.61,-0.22,-2.8909,5.5578,134432179,1006701257.0,21818492248.2,17874870478.2
2019-04-03,'600635,大众公用,7.61,7.74,7.46,7.57,7.67,-0.06,-0.7823,4.8177,116530959,883637717.0,22468027876.8,18407004646.8
2019-04-02,'600635,大众公用,7.67,8.03,7.5,7.74,7.62,0.05,0.6562,7.5402,182381353,1415867942.0,22645173957.2,18552132147.2
2019-04-01,'600635,大众公用,7.62,7.75,7.37,7.45,7.46,0.16,2.1448,6.8291,165182704,1250430236.0,22497552223.5,18431192563.5
2019-03-29,'600635,大众公用,7.46,7.51,6.8,7.3,7.38,0.08,1.084,7.3894,178734343,1286064845.0,22025162675.5,18044185895.5
2019-03-28,'600635,大众公用,7.38,7.84,7.32,7.65,7.54,-0.16,-2.122,7.0332,170117929,1293311559.0,21788967901.5,17850682561.5
2019-03-27,'600635,大众公用,7.54,7.81,7.2,7.75,7.67,-0.13,-1.6949,5.8043,140394817,1050081564.0,22261357449.5,18237689229.5
2019-03-26,'600635,大众公用,7.67,8.45,7.56,8.29,8.18,-0.51,-6.2347,10.2186,247166443,1958370562.0,22645173957.2,18552132147.2
2019-03-25,'600635,大众公用,8.18,8.72,7.89,8.0,8.24,-0.06,-0.7282,13.4088,324331307,2700170370.0,24150915641.5,19785715901.5
2019-03-22,'600635,大众公用,8.24,8.24,7.49,7.56,7.49,0.75,10.0134,13.4427,325150546,2590002526.0,24328061722.0,19930843402.0
2019-03-21,'600635,大众公用,7.49,7.83,7.2,7.3,7.3,0.19,2.6027,9.9578,240858863,1818693125.0,22113735715.8,18116749645.8
2019-03-20,'600635,大众公用,7.3,7.55,7.1,7.26,7.23,0.07,0.9682,6.3146,152736789,1117326014.0,21552773127.5,17657179227.5
