日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600892,大晟文化,6.13,6.47,5.93,6.37,6.59,-0.46,-6.9803,3.2058,17297404,106139250.0,3429515472.44,3307553654.48
2019-04-25,'600892,大晟文化,6.59,6.9,6.55,6.89,6.89,-0.3,-4.3541,2.6353,14219500,95164680.0,3686868998.92,3555755070.64
2019-04-24,'600892,大晟文化,6.89,7.08,6.82,7.08,7.11,-0.22,-3.0942,2.2995,12407372,85817418.0,3854708255.32,3717625559.44
2019-04-23,'600892,大晟文化,7.11,7.25,6.81,6.96,6.96,0.15,2.1552,3.3752,18211376,128556554.0,3977790376.68,3836330584.56
2019-04-22,'600892,大晟文化,6.96,7.18,6.72,6.77,6.72,0.24,3.5714,3.8255,20641104,144385064.0,3893870748.48,3755395340.16
2019-04-19,'600892,大晟文化,6.72,6.78,6.65,6.72,6.67,0.05,0.7496,1.5758,8502404,57052164.0,3759599343.36,3625898949.12
2019-04-18,'600892,大晟文化,6.67,6.79,6.66,6.73,6.74,-0.07,-1.0386,2.723,14692300,99013611.0,3731626133.96,3598920534.32
2019-04-17,'600892,大晟文化,6.74,6.77,6.59,6.61,6.61,0.13,1.9667,2.0873,11262332,75547589.0,3770788627.12,3636690315.04
2019-04-16,'600892,大晟文化,6.61,6.65,6.33,6.45,6.52,0.09,1.3804,1.6183,8731699,56594620.0,3698058282.68,3566546436.56
2019-04-15,'600892,大晟文化,6.52,6.78,6.5,6.72,6.71,-0.19,-2.8316,1.7077,9214000,61589534.0,3647706505.76,3517985289.92
2019-04-12,'600892,大晟文化,6.71,6.9,6.68,6.8,6.79,-0.08,-1.1782,1.9477,10509132,70936194.0,3754004701.48,3620503266.16
2019-04-11,'600892,大晟文化,6.79,6.91,6.66,6.7,6.7,0.09,1.3433,3.1893,17208415,117010525.0,3798761836.52,3663668729.84
2019-04-10,'600892,大晟文化,6.7,6.73,6.6,6.68,6.7,0.0,0.0,1.6496,8900904,59339599.0,3748410059.6,3615107583.2
2019-04-09,'600892,大晟文化,6.7,6.71,6.5,6.66,6.66,0.04,0.6006,1.708,9215903,61175236.0,3748410059.6,3615107583.2
2019-04-08,'600892,大晟文化,6.66,6.77,6.56,6.77,6.73,-0.07,-1.0401,2.3863,12875600,86067593.0,3726031492.08,3593524851.36
2019-04-04,'600892,大晟文化,6.73,6.86,6.68,6.8,6.77,-0.04,-0.5908,2.0056,10821499,73054855.0,3765193985.24,3631294632.08
2019-04-03,'600892,大晟文化,6.77,6.85,6.65,6.7,6.74,0.03,0.4451,2.9633,15989162,108222455.0,3787572552.76,3652877363.92
2019-04-02,'600892,大晟文化,6.74,6.9,6.68,6.85,6.76,-0.02,-0.2959,2.9929,16148999,109533500.0,3770788627.12,3636690315.04
2019-04-01,'600892,大晟文化,6.76,6.84,6.52,6.56,6.56,0.2,3.0488,3.042,16413799,110183496.0,3781977910.88,3647481680.96
2019-03-29,'600892,大晟文化,6.56,6.59,6.37,6.4,6.42,0.14,2.1807,2.8699,15485140,100686003.0,3670085073.28,3539568021.76
