日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600558,大西洋,3.99,4.09,3.99,4.03,4.09,-0.1,-2.445,0.9415,8450750,34004594.0,3581443275.69,3581443275.69
2019-04-25,'600558,大西洋,4.09,4.34,4.06,4.34,4.35,-0.26,-5.977,1.507,13526753,56485979.0,3671203758.79,3671203758.79
2019-04-24,'600558,大西洋,4.35,4.36,4.25,4.35,4.32,0.03,0.6944,0.7546,6773351,29208402.0,3904581014.85,3904581014.85
2019-04-23,'600558,大西洋,4.32,4.43,4.28,4.42,4.42,-0.1,-2.2624,1.0958,9836199,42664076.0,3877652869.92,3877652869.92
2019-04-22,'600558,大西洋,4.42,4.55,4.41,4.53,4.52,-0.1,-2.2124,0.9806,8801696,39336559.0,3967413353.02,3967413353.02
2019-04-19,'600558,大西洋,4.52,4.52,4.42,4.49,4.48,0.04,0.8929,0.8732,7837744,35125742.0,4057173836.12,4057173836.12
2019-04-18,'600558,大西洋,4.48,4.51,4.44,4.45,4.48,0.0,0.0,0.8434,7570523,33848541.0,4021269642.88,4021269642.88
2019-04-17,'600558,大西洋,4.48,4.55,4.41,4.43,4.43,0.05,1.1287,1.1599,10411737,46794618.0,4021269642.88,4021269642.88
2019-04-16,'600558,大西洋,4.43,4.45,4.27,4.38,4.41,0.02,0.4535,1.1359,10195542,44365764.0,3976389401.33,3976389401.33
2019-04-15,'600558,大西洋,4.41,4.51,4.38,4.46,4.41,0.0,0.0,0.9355,8396699,37398791.0,3958437304.71,3958437304.71
2019-04-12,'600558,大西洋,4.41,4.56,4.36,4.49,4.5,-0.09,-2.0,1.262,11327500,50414012.0,3958437304.71,3958437304.71
2019-04-11,'600558,大西洋,4.5,4.64,4.48,4.53,4.51,-0.01,-0.2217,1.7123,15369503,70019351.0,4039221739.5,4039221739.5
2019-04-10,'600558,大西洋,4.51,4.57,4.45,4.5,4.54,-0.03,-0.6608,1.1268,10114424,45540411.0,4048197787.81,4048197787.81
2019-04-09,'600558,大西洋,4.54,4.58,4.45,4.53,4.52,0.02,0.4425,0.9874,8862743,40050445.0,4075125932.74,4075125932.74
2019-04-08,'600558,大西洋,4.52,4.63,4.41,4.61,4.58,-0.06,-1.31,1.5301,13734075,62168014.0,4057173836.12,4057173836.12
2019-04-04,'600558,大西洋,4.58,4.67,4.5,4.66,4.66,-0.08,-1.7167,1.9178,17214613,78862542.0,4111030125.98,4111030125.98
2019-04-03,'600558,大西洋,4.66,4.72,4.59,4.63,4.64,0.02,0.431,1.8115,16260087,75568122.0,4182838512.46,4182838512.46
