日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300390,天华超净,9.97,10.12,9.75,9.8,9.81,0.16,1.631,1.8065,5938661,59112603.18,3435138575.0,3277435019.27
2019-04-25,'300390,天华超净,9.81,10.27,9.8,10.23,10.24,-0.43,-4.1992,2.3858,7842768,78584640.13,3380010975.0,3224838268.71
2019-04-24,'300390,天华超净,10.24,10.26,10.02,10.19,10.16,0.08,0.7874,1.4986,4926455,49957864.0,3528166400.0,3366192035.84
2019-04-23,'300390,天华超净,10.16,10.53,10.12,10.5,10.58,-0.42,-3.9698,2.361,7761200,79819811.87,3500602600.0,3339893660.56
2019-04-22,'300390,天华超净,10.58,10.65,10.35,10.41,10.45,0.13,1.244,2.4567,8075975,84740567.0,3645312550.0,3477960130.78
2019-04-19,'300390,天华超净,10.45,10.45,10.22,10.3,10.24,0.21,2.0508,1.6892,5552805,57593439.15,3600521375.0,3435225270.95
2019-04-18,'300390,天华超净,10.24,10.49,10.24,10.42,10.43,-0.19,-1.8217,1.6674,5481350,56891394.56,3528166400.0,3366192035.84
2019-04-17,'300390,天华超净,10.43,10.48,10.2,10.24,10.29,0.14,1.3605,2.3796,7822540,81360155.61,3593630425.0,3428650677.13
2019-04-16,'300390,天华超净,10.29,10.32,9.8,10.0,10.12,0.17,1.6798,2.6936,8854652,88967262.31,3545393775.0,3382628520.39
2019-04-15,'300390,天华超净,10.12,10.53,10.1,10.5,10.56,-0.44,-4.1667,3.6715,12069244,125211455.95,3486820700.0,3326744472.92
2019-04-12,'300390,天华超净,10.56,10.64,10.36,10.36,10.41,0.15,1.4409,1.921,6314877,66364283.48,3638421600.0,3471385536.96
2019-04-11,'300390,天华超净,10.41,10.81,10.38,10.7,10.72,-0.31,-2.8918,2.631,8649000,91506510.47,3586739475.0,3422076083.31
2019-04-10,'300390,天华超净,10.72,10.88,10.55,10.87,10.97,-0.25,-2.2789,3.248,10677180,114595131.8,3693549200.0,3523982287.52
2019-04-09,'300390,天华超净,10.97,11.14,10.69,10.72,10.55,0.42,3.981,5.2954,17407538,190103517.2,3779686075.0,3606164710.27
2019-04-08,'300390,天华超净,10.55,10.89,10.31,10.86,10.77,-0.22,-2.0427,3.2566,10705477,113864702.74,3634976125.0,3468098240.05
2019-04-04,'300390,天华超净,10.77,11.05,10.7,10.92,10.92,-0.15,-1.3736,3.9085,12848506,139643366.83,3710776575.0,3540418772.07
2019-04-03,'300390,天华超净,10.92,10.93,10.71,10.89,10.89,0.03,0.2755,3.2248,10600784,114885360.96,3762458700.0,3589728225.72
2019-04-02,'300390,天华超净,10.89,11.1,10.76,11.1,10.96,-0.07,-0.6387,4.7012,15454392,168464285.23,3752122275.0,3579866334.99
2019-04-01,'300390,天华超净,10.96,11.08,10.58,10.58,10.54,0.42,3.9848,4.6495,15284231,165972303.97,3776240600.0,3602877413.36
2019-03-29,'300390,天华超净,10.54,10.58,10.07,10.28,10.28,0.26,2.5292,4.2133,13850286,143373565.02,3631530650.0,3464810943.14
2019-03-28,'300390,天华超净,10.28,10.77,10.27,10.61,10.82,-0.54,-4.9908,4.1061,13497847,141871079.38,3541948300.0,3379341223.48
2019-03-27,'300390,天华超净,10.82,10.96,10.37,10.8,10.72,0.1,0.9328,5.0106,16471446,175792561.42,3728003950.0,3556855256.62
2019-03-26,'300390,天华超净,10.72,11.13,10.7,11.01,11.09,-0.37,-3.3363,5.206,17113572,186264265.36,3693549200.0,3523982287.52
2019-03-25,'300390,天华超净,11.09,11.45,10.6,10.68,10.98,0.11,1.0018,7.1775,23594493,262202754.11,3821031775.0,3645612273.19
2019-03-22,'300390,天华超净,10.98,11.26,10.85,11.24,11.52,-0.54,-4.6875,8.7848,28878141,318544486.75,3783131550.0,3609452007.18
2019-03-21,'300390,天华超净,11.52,12.12,11.23,11.23,11.35,0.17,1.4978,13.8533,45539873,531073127.12,3969187200.0,3786966040.32
2019-03-20,'300390,天华超净,11.35,12.5,11.33,11.66,11.41,-0.06,-0.5259,18.65,61308006,725897926.85,3910614125.0,3731081992.85
2019-03-19,'300390,天华超净,11.41,11.41,10.45,10.8,10.37,1.04,10.0289,13.1571,43251192,465914310.85,3931286975.0,3750805774.31
2019-03-18,'300390,天华超净,10.37,10.37,10.37,10.37,9.43,0.94,9.9682,1.9957,6560546,68032862.02,3572957575.0,3408926895.67
2019-03-15,'300390,天华超净,9.43,9.62,9.27,9.3,9.28,0.15,1.6164,3.763,12370200,116517632.73,3249082925.0,3099920986.13
2019-03-14,'300390,天华超净,9.28,9.91,9.17,9.88,9.96,-0.68,-6.8273,5.0976,16757360,158897457.3,3197400800.0,3050611532.48
2019-03-13,'300390,天华超净,9.96,10.68,9.93,10.3,10.32,-0.36,-3.4884,6.5673,21588758,223930581.1,3431693100.0,3274147722.36
2019-03-12,'300390,天华超净,10.32,10.6,10.02,10.35,10.37,-0.05,-0.4822,7.4938,24634468,253939019.99,3555730200.0,3392490411.12
2019-03-11,'300390,天华超净,10.37,10.4,9.82,10.1,9.9,0.47,4.7475,5.8976,19387179,197099776.94,3572957575.0,3408926895.67
2019-03-08,'300390,天华超净,9.9,10.72,9.65,9.9,10.19,-0.29,-2.8459,10.4944,34498345,353450593.2,3411020250.0,3254423940.9
2019-03-07,'300390,天华超净,10.19,10.19,9.12,9.24,9.26,0.93,10.0432,7.298,23990613,229150430.3,3510939025.0,3349755551.29
2019-03-06,'300390,天华超净,9.26,9.28,8.96,9.21,9.18,0.08,0.8715,5.7407,18871293,172140223.45,3190509850.0,3044036938.66
2019-03-05,'300390,天华超净,9.18,9.39,8.72,8.75,8.77,0.41,4.675,6.6522,21867849,198439422.62,3162946050.0,3017738563.38
2019-03-04,'300390,天华超净,8.77,8.99,8.72,8.85,8.7,0.07,0.8046,4.1427,13618425,120262050.25,3021681575.0,2882959390.07
2019-03-01,'300390,天华超净,8.7,8.85,8.59,8.79,8.78,-0.08,-0.9112,2.0136,6619187,57443944.18,2997563250.0,2859948311.7
2019-02-28,'300390,天华超净,8.78,8.92,8.55,8.56,8.59,0.19,2.2119,3.0738,10104639,88441657.85,3025127050.0,2886246686.98
2019-02-27,'300390,天华超净,8.59,8.84,8.45,8.73,8.76,-0.17,-1.9406,3.5956,11819820,102789692.74,2959663025.0,2823788045.69
2019-02-26,'300390,天华超净,8.76,9.0,8.62,8.87,9.03,-0.27,-2.99,5.4907,18049692,158800003.33,3018236100.0,2879672093.16
2019-02-25,'300390,天华超净,9.03,9.29,8.6,8.75,8.61,0.42,4.878,6.4555,21221287,188768697.39,3111263925.0,2968429109.73
2019-02-22,'300390,天华超净,8.61,8.65,8.31,8.33,8.35,0.26,3.1138,3.6046,11849277,100988248.67,2966553975.0,2830362639.51
2019-02-21,'300390,天华超净,8.35,8.62,8.3,8.3,8.43,-0.08,-0.949,2.9063,9554000,80705315.0,2876971625.0,2744892919.85
2019-02-20,'300390,天华超净,8.43,8.54,8.26,8.4,8.43,0.0,0.0,2.4158,7941347,66825745.72,2904535425.0,2771191295.13
2019-02-19,'300390,天华超净,8.43,8.62,8.25,8.41,8.46,-0.03,-0.3546,3.8198,12556897,106106477.63,2904535425.0,2771191295.13
2019-02-18,'300390,天华超净,8.46,8.47,8.16,8.23,8.16,0.3,3.6765,3.5213,11575508,96364723.61,2914871850.0,2781053185.86
2019-02-15,'300390,天华超净,8.16,8.8,8.11,8.25,8.14,0.02,0.2457,4.2094,13837686,116084040.12,2811507600.0,2682434278.56
2019-02-14,'300390,天华超净,8.14,8.3,8.06,8.09,8.18,-0.04,-0.489,2.7685,9100882,74212708.37,2804616650.0,2675859684.74
2019-02-13,'300390,天华超净,8.18,8.21,7.85,7.92,7.92,0.26,3.2828,2.9511,9701037,78266045.74,2818398550.0,2689008872.38
2019-02-12,'300390,天华超净,7.92,7.98,7.66,7.67,7.68,0.24,3.125,1.6866,5544450,43478658.0,2728816200.0,2603539152.72
2019-02-11,'300390,天华超净,7.68,7.69,7.48,7.51,7.5,0.18,2.4,1.1248,3697700,28201294.0,2646124800.0,2524644026.88
2019-02-01,'300390,天华超净,7.5,7.58,7.31,7.31,7.26,0.24,3.3058,1.0794,3548400,26581199.0,2584106250.0,2465472682.5
2019-01-31,'300390,天华超净,7.26,7.51,7.23,7.4,7.4,-0.14,-1.8919,1.0214,3357700,24723602.0,2501414850.0,2386577556.66
2019-01-30,'300390,天华超净,7.4,7.56,7.38,7.49,7.48,-0.08,-1.0695,0.8286,2723700,20283745.0,2549651500.0,2432599713.4
2019-01-29,'300390,天华超净,7.48,7.9,7.22,7.89,7.92,-0.44,-5.5556,1.7907,5886550,44014786.5,2577215300.0,2458898088.68
2019-01-28,'300390,天华超净,7.92,8.28,7.89,8.2,8.19,-0.27,-3.2967,1.6657,5475551,44141515.22,2728816200.0,2603539152.72
2019-01-25,'300390,天华超净,8.19,8.24,8.06,8.13,8.13,0.06,0.738,1.6803,5523649,45000558.88,2821844025.0,2692296169.29
2019-01-24,'300390,天华超净,8.13,8.37,8.1,8.2,8.27,-0.14,-1.6929,2.6073,8571099,70302314.83,2801171175.0,2672572387.83
2019-01-23,'300390,天华超净,8.27,8.34,7.8,7.88,7.95,0.32,4.0252,3.8713,12726238,104210135.75,2849407825.0,2718594544.57
2019-01-22,'300390,天华超净,7.95,8.1,7.76,7.88,7.87,0.08,1.0165,1.7158,5640446,44897489.2,2739152625.0,2613401043.45
2019-01-21,'300390,天华超净,7.87,7.97,7.79,7.93,7.77,0.1,1.287,1.0586,3479800,27463992.57,2711588825.0,2587102668.17
2019-01-18,'300390,天华超净,7.77,7.88,7.72,7.85,7.85,-0.08,-1.0191,1.18,3878999,30168538.06,2677134075.0,2554229699.07
2019-01-17,'300390,天华超净,7.85,8.09,7.81,7.89,7.87,-0.02,-0.2541,1.506,4950618,39282639.27,2704697875.0,2580528074.35
2019-01-16,'300390,天华超净,7.87,8.15,7.86,7.97,7.97,-0.1,-1.2547,1.7238,5666600,45362582.0,2711588825.0,2587102668.17
2019-01-15,'300390,天华超净,7.97,7.98,7.7,7.74,7.75,0.22,2.8387,1.3937,4581600,36064038.0,2746043575.0,2619975637.27
2019-01-14,'300390,天华超净,7.75,7.96,7.72,7.89,7.89,-0.14,-1.7744,0.9574,3147125,24561314.5,2670243125.0,2547655105.25
2019-01-11,'300390,天华超净,7.89,7.97,7.7,7.83,7.8,0.09,1.1538,1.3206,4341275,33977540.5,2718479775.0,2593677261.99
2019-01-10,'300390,天华超净,7.8,7.98,7.73,7.79,7.84,-0.04,-0.5102,1.3685,4498671,35487455.96,2687470500.0,2564091589.8
2019-01-09,'300390,天华超净,7.84,8.07,7.83,7.93,7.87,-0.03,-0.3812,1.7436,5731885,45581964.66,2701252400.0,2577240777.44
2019-01-08,'300390,天华超净,7.87,7.93,7.77,7.84,7.92,-0.05,-0.6313,1.2625,4150098,32606552.29,2711588825.0,2587102668.17
2019-01-07,'300390,天华超净,7.92,8.01,7.73,7.98,7.86,0.06,0.7634,2.0987,6899175,54290545.1,2728816200.0,2603539152.72
2019-01-04,'300390,天华超净,7.86,7.97,7.28,7.32,7.55,0.31,4.106,2.4431,8031110,62240476.24,2708143350.0,2583815371.26
2019-01-03,'300390,天华超净,7.55,7.77,7.54,7.73,7.68,-0.13,-1.6927,1.8239,5995635,45899985.2,2601333625.0,2481909167.05
2019-01-02,'300390,天华超净,7.68,8.07,7.21,7.35,7.34,0.34,4.6322,2.447,8044006,62264011.7,2646124800.0,2524644026.88
2018-12-28,'300390,天华超净,7.34,7.4,7.24,7.36,7.29,0.05,0.6859,0.6344,2085500,15278225.25,2528978650.0,2412875931.94
2018-12-27,'300390,天华超净,7.29,7.64,7.28,7.6,7.5,-0.21,-2.8,0.8611,2830735,21177256.75,2511751275.0,2396439447.39
2018-12-26,'300390,天华超净,7.5,7.62,7.44,7.56,7.6,-0.1,-1.3158,0.7815,2569125,19339828.5,2584106250.0,2465472682.5
2018-12-25,'300390,天华超净,7.6,7.68,7.21,7.68,7.77,-0.17,-2.1879,1.5833,4917787,36521452.89,2618561000.0,2360642703.2
2018-12-24,'300390,天华超净,7.77,7.8,7.6,7.6,7.66,0.11,1.436,0.8554,2656988,20530431.0,2677134075.0,2413446553.14
2018-12-21,'300390,天华超净,7.66,7.73,7.6,7.69,7.69,-0.03,-0.3901,0.8586,2667000,20455477.0,2639233850.0,2379279356.12
