日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300205,天喻信息,14.55,15.06,14.36,14.5,14.89,-0.34,-2.2834,2.8662,12326363,180503516.06,6257314800.0,6257314800.0
2019-04-25,'300205,天喻信息,14.89,15.27,14.75,14.88,15.03,-0.14,-0.9315,3.01,12944543,194615500.74,6403533840.0,6403533840.0
2019-04-24,'300205,天喻信息,15.03,15.5,14.83,15.3,14.81,0.22,1.4855,3.1032,13345474,202116979.58,6463741680.0,6463741680.0
2019-04-23,'300205,天喻信息,14.81,15.58,14.63,14.83,14.98,-0.17,-1.1348,3.6727,15794827,239003981.33,6369129360.0,6369129360.0
2019-04-22,'300205,天喻信息,14.98,15.15,14.08,14.36,14.27,0.71,4.9755,4.401,18926881,277550456.43,6442238880.0,6442238880.0
2019-04-19,'300205,天喻信息,14.27,14.42,13.98,14.2,14.21,0.06,0.4222,2.2976,9880872,140597346.77,6136899120.0,6136899120.0
2019-04-18,'300205,天喻信息,14.21,14.37,14.08,14.28,14.28,-0.07,-0.4902,1.8139,7800704,110914189.16,6111095760.0,6111095760.0
2019-04-17,'300205,天喻信息,14.28,14.78,14.14,14.74,14.58,-0.3,-2.0576,3.0037,12917805,185440683.28,6141199680.0,6141199680.0
2019-04-16,'300205,天喻信息,14.58,14.87,13.48,13.83,14.02,0.56,3.9943,3.8451,16535943,234162306.74,6270216480.0,6270216480.0
2019-04-15,'300205,天喻信息,14.02,14.78,14.02,14.61,14.5,-0.48,-3.3103,3.307,14222156,205217590.09,6029385120.0,6029385120.0
2019-04-12,'300205,天喻信息,14.5,14.94,14.26,14.5,14.5,0.0,0.0,2.261,9723750,142056542.0,6235812000.0,6235812000.0
2019-04-11,'300205,天喻信息,14.5,15.2,14.05,14.7,15.0,-0.5,-3.3333,3.6565,15724917,229133254.54,6235812000.0,6235812000.0
2019-04-10,'300205,天喻信息,15.0,15.5,14.63,15.5,15.73,-0.73,-4.6408,4.9133,21129759,317307708.26,6450840000.0,6450840000.0
2019-04-09,'300205,天喻信息,15.73,15.77,14.36,14.58,14.75,0.98,6.6441,5.0669,21790315,330966111.89,6764780880.0,6764780880.0
2019-04-08,'300205,天喻信息,14.75,15.16,13.8,14.15,14.24,0.51,3.5815,4.3651,18772459,269173111.39,6343326000.0,6343326000.0
2019-04-04,'300205,天喻信息,14.24,14.48,13.22,13.22,13.21,1.03,7.7971,5.4938,23626603,329017730.3,6123997440.0,6123997440.0
2019-04-03,'300205,天喻信息,13.21,13.6,13.0,13.5,13.6,-0.39,-2.8676,4.8785,20980448,277451835.73,5681039760.0,5681039760.0
2019-04-02,'300205,天喻信息,13.6,14.11,13.3,13.53,13.56,0.04,0.295,5.6039,24099998,332123167.0,5848761600.0,5848761600.0
2019-04-01,'300205,天喻信息,13.56,13.56,12.23,12.69,12.33,1.23,9.9757,6.5242,28057560,362710770.35,5831559360.0,5831559360.0
2019-03-29,'300205,天喻信息,12.33,12.44,11.48,11.48,11.52,0.81,7.0313,4.236,18217355,218824621.56,5302590480.0,5302590480.0
2019-03-28,'300205,天喻信息,11.52,11.97,11.5,11.68,11.74,-0.22,-1.8739,2.9204,12559319,147346389.31,4954245120.0,4954245120.0
2019-03-27,'300205,天喻信息,11.74,12.1,11.3,11.5,11.33,0.41,3.6187,3.698,15903437,185250091.72,5048857440.0,5048857440.0
2019-03-26,'300205,天喻信息,11.33,11.51,11.18,11.44,11.36,-0.03,-0.2641,2.0784,8938189,101066359.0,4872534480.0,4872534480.0
2019-03-25,'300205,天喻信息,11.36,11.7,11.21,11.3,11.66,-0.3,-2.5729,2.2127,9515725,108546546.99,4885436160.0,4885436160.0
2019-03-22,'300205,天喻信息,11.66,12.13,11.44,12.11,12.03,-0.37,-3.0756,3.5164,15122335,176746873.54,5014452960.0,5014452960.0
2019-03-21,'300205,天喻信息,12.03,12.06,11.4,11.55,11.4,0.63,5.5263,3.9836,17131704,202705237.37,5173573680.0,5173573680.0
2019-03-20,'300205,天喻信息,11.4,11.75,11.03,11.54,11.49,-0.09,-0.7833,2.5073,10782928,123249229.64,4902638400.0,4902638400.0
2019-03-19,'300205,天喻信息,11.49,11.81,11.22,11.5,11.75,-0.26,-2.2128,2.685,11547155,133307387.59,4941343440.0,4941343440.0
2019-03-18,'300205,天喻信息,11.75,12.1,11.57,11.65,11.93,-0.18,-1.5088,2.0929,9000511,105257580.29,5053158000.0,5053158000.0
2019-03-15,'300205,天喻信息,11.93,12.0,11.33,11.7,11.55,0.38,3.29,3.3636,14465279,168805375.59,5130568080.0,5130568080.0
2019-03-14,'300205,天喻信息,11.55,11.95,10.99,11.79,11.75,-0.2,-1.7021,2.8295,12168243,138700874.13,4967146800.0,4967146800.0
2019-03-13,'300205,天喻信息,11.75,12.67,11.61,12.56,12.56,-0.81,-6.449,2.8731,12356044,149339917.8,5053158000.0,5053158000.0
2019-03-12,'300205,天喻信息,12.56,12.65,12.18,12.32,12.23,0.33,2.6983,3.4916,15015746,186060378.08,5401503360.0,5401503360.0
2019-03-11,'300205,天喻信息,12.23,12.47,11.91,12.29,11.84,0.39,3.2939,3.5007,15055093,184094892.61,5259584880.0,5259584880.0
2019-03-08,'300205,天喻信息,11.84,12.67,11.1,11.4,11.64,0.2,1.7182,4.2563,18304428,220385830.95,5091863040.0,5091863040.0
2019-03-07,'300205,天喻信息,11.64,11.83,11.39,11.82,11.85,-0.21,-1.7722,2.8608,12303207,142800520.24,5005851840.0,5005851840.0
2019-03-06,'300205,天喻信息,11.85,11.97,11.46,11.97,11.55,0.3,2.5974,3.201,13766008,161155332.77,5096163600.0,5096163600.0
2019-03-05,'300205,天喻信息,11.55,11.63,11.3,11.3,11.34,0.21,1.8519,2.5568,10995777,125890441.55,4967146800.0,4967146800.0
2019-03-04,'300205,天喻信息,11.34,11.75,11.27,11.46,11.46,-0.12,-1.0471,3.7366,16069348,184746744.67,4876835040.0,4876835040.0
2019-03-01,'300205,天喻信息,11.46,11.76,10.91,11.0,11.03,0.43,3.8985,2.6509,11400246,128951487.99,4928441760.0,4928441760.0
2019-02-28,'300205,天喻信息,11.03,11.08,10.61,10.61,10.6,0.43,4.0566,2.5931,11151573,121663477.24,4743517680.0,4743517680.0
2019-02-27,'300205,天喻信息,10.6,10.82,10.41,10.41,10.53,0.07,0.6648,1.9928,8570047,90975982.21,4558593600.0,4558593600.0
2019-02-26,'300205,天喻信息,10.53,11.1,10.47,11.1,10.84,-0.31,-2.8598,3.3169,14264539,152490574.3,4528489680.0,4528489680.0
2019-02-25,'300205,天喻信息,10.84,10.89,10.24,10.24,9.9,0.94,9.4949,4.6122,19835124,211467275.79,4661807040.0,4661807040.0
2019-02-22,'300205,天喻信息,9.9,10.15,9.27,9.27,9.4,0.5,5.3191,3.2162,13831464,134804766.83,4257554400.0,4257554400.0
2019-02-21,'300205,天喻信息,9.4,9.58,9.2,9.38,9.4,0.0,0.0,2.8634,12314218,115709599.76,4042526400.0,4042526400.0
2019-02-20,'300205,天喻信息,9.4,9.43,8.32,9.15,9.12,0.28,3.0702,2.6215,11273858,103945703.68,4042526400.0,4042526400.0
2019-02-19,'300205,天喻信息,9.12,9.25,8.98,9.12,9.07,0.05,0.5513,2.2449,9654442,87949618.9,3922110720.0,3922110720.0
2019-02-18,'300205,天喻信息,9.07,9.07,8.7,8.7,8.71,0.36,4.1332,1.9019,8179229,73178896.49,3900607920.0,3900607920.0
2019-02-15,'300205,天喻信息,8.71,8.83,8.64,8.82,8.77,-0.06,-0.6842,1.0211,4391242,38396909.77,3745787760.0,3745787760.0
2019-02-14,'300205,天喻信息,8.77,8.82,8.62,8.68,8.68,0.09,1.0369,1.3035,5605593,48931429.99,3771591120.0,3771591120.0
2019-02-13,'300205,天喻信息,8.68,8.81,8.45,8.49,8.47,0.21,2.4793,1.4987,6445432,55636208.83,3732886080.0,3732886080.0
2019-02-12,'300205,天喻信息,8.47,8.52,8.37,8.44,8.42,0.05,0.5938,0.8588,3693141,31233875.61,3642574320.0,3642574320.0
2019-02-11,'300205,天喻信息,8.42,8.44,8.13,8.25,8.2,0.22,2.6829,0.8869,3814104,31793236.82,3621071520.0,3621071520.0
2019-02-01,'300205,天喻信息,8.2,8.27,8.05,8.05,8.05,0.15,1.8634,0.8702,3742548,30599133.38,3526459200.0,3526459200.0
2019-01-31,'300205,天喻信息,8.05,8.27,7.96,8.24,8.2,-0.15,-1.8293,0.8259,3551713,28708609.83,3461950800.0,3461950800.0
2019-01-30,'300205,天喻信息,8.2,8.43,8.11,8.32,8.33,-0.13,-1.5606,0.7705,3313769,27303727.55,3526459200.0,3526459200.0
2019-01-29,'300205,天喻信息,8.33,8.5,8.02,8.46,8.45,-0.12,-1.4201,0.9337,4015361,33158175.26,3582366480.0,3582366480.0
2019-01-28,'300205,天喻信息,8.45,8.63,8.41,8.49,8.48,-0.03,-0.3538,0.7806,3357030,28548576.55,3633973200.0,3633973200.0
2019-01-25,'300205,天喻信息,8.48,8.66,8.42,8.55,8.57,-0.09,-1.0502,0.8212,3531551,30200898.28,3646874880.0,3646874880.0
2019-01-24,'300205,天喻信息,8.57,8.59,8.33,8.33,8.41,0.16,1.9025,0.9388,4037173,34283616.99,3685579920.0,3685579920.0
2019-01-23,'300205,天喻信息,8.41,8.82,8.0,8.75,8.84,-0.43,-4.8643,2.1261,9143419,76858856.09,3616770960.0,3616770960.0
2019-01-22,'300205,天喻信息,8.84,8.99,8.77,8.99,8.98,-0.14,-1.559,0.7411,3187150,28126846.17,3801695040.0,3801695040.0
2019-01-21,'300205,天喻信息,8.98,9.19,8.92,9.16,8.94,0.04,0.4474,1.3865,5962615,53823885.11,3861902880.0,3861902880.0
2019-01-18,'300205,天喻信息,8.94,8.94,8.7,8.76,8.75,0.19,2.1714,0.9056,3894404,34307926.0,3844700640.0,3844700640.0
2019-01-17,'300205,天喻信息,8.75,8.92,8.7,8.92,8.92,-0.17,-1.9058,0.9142,3931742,34684190.07,3762990000.0,3762990000.0
2019-01-16,'300205,天喻信息,8.92,9.08,8.83,8.88,8.89,0.03,0.3375,1.3637,5864489,52542713.06,3836099520.0,3836099520.0
2019-01-15,'300205,天喻信息,8.89,8.89,8.74,8.86,8.8,0.09,1.0227,1.0448,4493040,39638262.45,3823197840.0,3823197840.0
2019-01-14,'300205,天喻信息,8.8,8.92,8.72,8.89,8.85,-0.05,-0.565,0.8051,3462534,30465055.34,3784492800.0,3784492800.0
2019-01-11,'300205,天喻信息,8.85,8.98,8.81,8.91,8.88,-0.03,-0.3378,0.8039,3457279,30727264.58,3805995600.0,3805995600.0
2019-01-10,'300205,天喻信息,8.88,8.97,8.81,8.86,8.89,-0.01,-0.1125,0.9345,4019061,35732856.92,3818897280.0,3818897280.0
2019-01-09,'300205,天喻信息,8.89,9.1,8.79,8.93,8.9,-0.01,-0.1124,1.6424,7063088,63044303.01,3823197840.0,3823197840.0
2019-01-08,'300205,天喻信息,8.9,8.98,8.83,8.86,8.91,-0.01,-0.1122,1.4892,6404439,56962803.46,3827498400.0,3827498400.0
2019-01-07,'300205,天喻信息,8.91,8.98,8.56,8.59,8.59,0.32,3.7253,2.54,10923453,96486977.58,3831798960.0,3831798960.0
2019-01-04,'300205,天喻信息,8.59,8.65,8.21,8.33,8.4,0.19,2.2619,1.3567,5834377,49623686.99,3694181040.0,3694181040.0
2019-01-03,'300205,天喻信息,8.4,8.53,8.2,8.26,8.24,0.16,1.9417,1.0728,4613549,38700093.98,3612470400.0,3612470400.0
2019-01-02,'300205,天喻信息,8.24,8.31,8.12,8.13,8.14,0.1,1.2285,0.5273,2267569,18689457.49,3543661440.0,3543661440.0
2018-12-28,'300205,天喻信息,8.14,8.36,8.08,8.24,8.22,-0.08,-0.9732,0.5686,2445101,20086459.23,3500655840.0,3500655840.0
2018-12-27,'300205,天喻信息,8.22,8.56,8.22,8.53,8.46,-0.24,-2.8369,0.7263,3123711,26281978.56,3535060320.0,3535060320.0
2018-12-26,'300205,天喻信息,8.46,8.7,8.45,8.59,8.61,-0.15,-1.7422,0.9171,3943832,33702480.72,3638273760.0,3638273760.0
2018-12-25,'300205,天喻信息,8.61,8.64,8.27,8.45,8.55,0.06,0.7018,1.1265,4844763,41006981.69,3702782160.0,3702782160.0
2018-12-24,'300205,天喻信息,8.55,8.56,8.29,8.41,8.34,0.21,2.518,0.8996,3868682,32702548.74,3676978800.0,3676978800.0
2018-12-21,'300205,天喻信息,8.34,8.43,8.25,8.33,8.35,-0.01,-0.1198,0.4331,1862645,15585969.2,3586667040.0,3586667040.0
2018-12-20,'300205,天喻信息,8.35,8.4,8.25,8.34,8.36,-0.01,-0.1196,0.5115,2199609,18336849.39,3590967600.0,3590967600.0
2018-12-19,'300205,天喻信息,8.36,8.44,8.29,8.3,8.35,0.01,0.1198,0.5275,2268356,18974001.04,3595268160.0,3595268160.0
2018-12-18,'300205,天喻信息,8.35,8.38,8.15,8.21,8.28,0.07,0.8454,0.5603,2409598,19960096.04,3590967600.0,3590967600.0
2018-12-17,'300205,天喻信息,8.28,8.42,8.22,8.26,8.26,0.02,0.2421,0.6008,2583700,21465648.0,3560863680.0,3560863680.0
2018-12-14,'300205,天喻信息,8.26,8.51,8.23,8.51,8.55,-0.29,-3.3918,0.8617,3705648,31152885.13,3552262560.0,3552262560.0
2018-12-13,'300205,天喻信息,8.55,8.57,8.36,8.45,8.47,0.08,0.9445,1.0222,4396205,37155582.25,3676978800.0,3676978800.0
2018-12-12,'300205,天喻信息,8.47,8.64,8.41,8.64,8.59,-0.12,-1.397,0.8855,3808067,32321505.31,3642574320.0,3642574320.0
2018-12-11,'300205,天喻信息,8.59,8.65,8.5,8.5,8.46,0.13,1.5366,0.812,3491877,29959367.16,3694181040.0,3694181040.0
2018-12-10,'300205,天喻信息,8.46,8.65,8.41,8.52,8.54,-0.08,-0.9368,0.6424,2762781,23587956.98,3638273760.0,3638273760.0
