日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603725,天安新材,11.53,11.79,11.35,11.66,11.69,-0.16,-1.3687,1.6801,1578865,18219955.0,1691220400.0,1083512425.72
2019-04-25,'603725,天安新材,11.69,12.56,11.55,12.54,12.48,-0.79,-6.3301,2.0037,1882990,22827890.0,1714689200.0,1098548157.56
2019-04-24,'603725,天安新材,12.48,12.56,12.2,12.25,12.31,0.17,1.381,1.791,1683039,20900284.0,1830566400.0,1172787083.52
2019-04-23,'603725,天安新材,12.31,12.83,12.26,12.83,12.8,-0.49,-3.8281,1.8188,1709200,21420580.0,1805630800.0,1156811618.44
2019-04-22,'603725,天安新材,12.8,13.01,12.75,12.9,12.96,-0.16,-1.2346,2.1254,1997300,25670320.0,1877504000.0,1202858547.2
2019-04-19,'603725,天安新材,12.96,12.98,12.62,12.8,12.8,0.16,1.25,2.3556,2213598,28286546.0,1900972800.0,1217894279.04
2019-04-18,'603725,天安新材,12.8,12.95,12.7,12.95,12.93,-0.13,-1.0054,1.677,1575900,20215059.0,1877504000.0,1202858547.2
2019-04-17,'603725,天安新材,12.93,12.99,12.8,12.85,12.82,0.11,0.858,1.7127,1609500,20753779.0,1896572400.0,1215075079.32
2019-04-16,'603725,天安新材,12.82,12.89,12.39,12.6,12.6,0.22,1.746,1.9271,1811000,22959093.0,1880437600.0,1204738013.68
2019-04-15,'603725,天安新材,12.6,13.07,12.58,12.74,12.68,-0.08,-0.6309,1.6867,1585084,20388723.0,1848168000.0,1184063882.4
2019-04-12,'603725,天安新材,12.68,12.73,12.52,12.57,12.6,0.08,0.6349,1.4924,1402484,17751080.0,1859902400.0,1191581748.32
2019-04-11,'603725,天安新材,12.6,13.11,12.5,13.1,13.1,-0.5,-3.8168,2.5036,2352761,30205964.0,1848168000.0,1184063882.4
2019-04-10,'603725,天安新材,13.1,13.34,13.0,13.34,13.33,-0.23,-1.7254,1.9499,1832400,24056598.0,1921508000.0,1231050544.4
2019-04-09,'603725,天安新材,13.33,13.33,12.9,13.06,13.06,0.27,2.0674,2.3432,2202003,28954157.0,1955244400.0,1252664408.92
2019-04-08,'603725,天安新材,13.06,13.4,12.91,13.34,13.24,-0.18,-1.3595,2.5519,2398103,31548529.0,1915640800.0,1227291611.44
2019-04-04,'603725,天安新材,13.24,13.56,13.15,13.55,13.49,-0.25,-1.8532,3.3288,3128143,41592142.0,1942043200.0,1244206809.76
2019-04-03,'603725,天安新材,13.49,13.61,13.27,13.41,13.41,0.08,0.5966,3.2536,3057556,41178140.0,1978713200.0,1267700140.76
2019-04-02,'603725,天安新材,13.41,13.7,13.34,13.7,13.85,-0.44,-3.1769,6.254,5877093,79138121.0,1966978800.0,1260182274.84
