日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002220,天宝食品,3.02,3.21,3.0,3.19,3.23,-0.21,-6.5015,3.5596,27283560,84260321.6,2314770062.06,2314770062.06
2019-04-25,'002220,天宝食品,3.23,3.58,3.22,3.45,3.44,-0.21,-6.1047,5.1759,39672417,136394963.52,2475730894.19,2475730894.19
2019-04-24,'002220,天宝食品,3.44,3.44,3.31,3.39,3.38,0.06,1.7751,2.7005,20699129,69664891.84,2636691726.32,2636691726.32
2019-04-23,'002220,天宝食品,3.38,3.52,3.3,3.38,3.4,-0.02,-0.5882,4.4671,34239430,117044879.24,2590702917.14,2590702917.14
2019-04-22,'002220,天宝食品,3.4,3.55,3.39,3.45,3.41,-0.01,-0.2933,3.4718,26610767,91958394.81,2606032520.2,2606032520.2
2019-04-19,'002220,天宝食品,3.41,3.48,3.34,3.37,3.37,0.04,1.1869,3.0658,23498506,80018077.61,2613697321.73,2613697321.73
2019-04-18,'002220,天宝食品,3.37,3.45,3.31,3.33,3.35,0.02,0.597,3.8067,29177946,98258930.77,2583038115.61,2583038115.61
2019-04-17,'002220,天宝食品,3.35,3.36,3.25,3.28,3.27,0.08,2.4465,3.7184,28501030,94565322.45,2567708512.55,2567708512.55
2019-04-16,'002220,天宝食品,3.27,3.27,3.16,3.2,3.2,0.07,2.1875,1.8129,13895446,44833168.74,2506390100.31,2506390100.31
2019-04-15,'002220,天宝食品,3.2,3.34,3.19,3.28,3.26,-0.06,-1.8405,2.1342,16357883,53702845.96,2452736489.6,2452736489.6
2019-04-12,'002220,天宝食品,3.26,3.33,3.25,3.29,3.29,-0.03,-0.9119,2.1194,16244785,53424666.37,2498725298.78,2498725298.78
2019-04-11,'002220,天宝食品,3.29,3.34,3.25,3.28,3.3,-0.01,-0.303,2.9973,22973643,75736469.0,2521719703.37,2521719703.37
2019-04-10,'002220,天宝食品,3.3,3.34,3.2,3.33,3.4,-0.1,-2.9412,3.7368,28641674,94045537.48,2529384504.9,2529384504.9
2019-04-09,'002220,天宝食品,3.4,3.44,3.26,3.3,3.28,0.12,3.6585,3.1791,24367463,81280347.3,2606032520.2,2606032520.2
2019-04-08,'002220,天宝食品,3.28,3.4,3.22,3.36,3.36,-0.08,-2.381,2.467,18908863,62723674.41,2514054901.84,2514054901.84
2019-04-04,'002220,天宝食品,3.36,3.46,3.32,3.36,3.34,0.02,0.5988,2.8934,22177500,75094763.2,2575373314.08,2575373314.08
2019-04-03,'002220,天宝食品,3.34,3.36,3.26,3.28,3.29,0.05,1.5198,2.2192,17009604,56360761.04,2560043711.02,2560043711.02
2019-04-02,'002220,天宝食品,3.29,3.32,3.25,3.27,3.26,0.03,0.9202,2.0195,15479025,50848144.72,2521719703.37,2521719703.37
