日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300209,天泽信息,12.56,12.82,12.4,12.44,12.46,0.1,0.8026,1.1213,3259079,40997717.65,3650648679.52,3650648679.52
2019-04-25,'300209,天泽信息,12.46,13.21,12.41,13.1,13.21,-0.75,-5.6775,1.3154,3823301,48968199.88,3621583005.32,3621583005.32
2019-04-24,'300209,天泽信息,13.21,13.4,12.81,13.4,13.32,-0.11,-0.8258,1.2638,3673222,48048157.59,3839575561.82,3839575561.82
2019-04-23,'300209,天泽信息,13.32,13.92,13.21,13.92,13.99,-0.67,-4.7891,1.6905,4913594,65938212.86,3871547803.44,3871547803.44
2019-04-22,'300209,天泽信息,13.99,14.06,13.63,13.81,13.81,0.18,1.3034,1.4759,4289841,59556816.66,4066287820.58,4066287820.58
2019-04-19,'300209,天泽信息,13.81,13.89,13.5,13.65,13.6,0.21,1.5441,0.9754,2834967,38843232.14,4013969607.02,4013969607.02
2019-04-18,'300209,天泽信息,13.6,14.15,13.57,13.99,13.91,-0.31,-2.2286,1.2077,3510282,48432261.36,3952931691.2,3952931691.2
2019-04-17,'300209,天泽信息,13.91,14.07,13.8,13.87,13.89,0.02,0.144,1.2565,3652196,50850380.83,4043035281.22,4043035281.22
2019-04-16,'300209,天泽信息,13.89,13.92,13.2,13.47,13.41,0.48,3.5794,1.2004,3488914,47443042.67,4037222146.38,4037222146.38
2019-04-15,'300209,天泽信息,13.41,13.86,13.38,13.6,13.34,0.07,0.5247,1.0543,3064396,41944192.05,3897706910.22,3897706910.22
2019-04-12,'300209,天泽信息,13.34,13.71,13.21,13.62,13.54,-0.2,-1.4771,0.8242,2395453,32167306.77,3877360938.28,3877360938.28
2019-04-11,'300209,天泽信息,13.54,13.87,13.5,13.75,13.9,-0.36,-2.5899,1.4812,4305184,58733708.78,3935492286.68,3935492286.68
2019-04-10,'300209,天泽信息,13.9,14.3,13.84,14.15,14.77,-0.87,-5.8903,2.0973,6095964,85429046.2,4040128713.8,4040128713.8
2019-04-09,'300209,天泽信息,14.77,14.92,14.29,14.33,14.39,0.38,2.6407,1.2709,3693848,53875522.1,4293000079.34,4293000079.34
2019-04-08,'300209,天泽信息,14.39,15.06,14.09,14.9,14.88,-0.49,-3.293,1.6681,4848345,70319652.2,4182550517.38,4182550517.38
2019-04-04,'300209,天泽信息,14.88,15.13,14.7,14.94,14.95,-0.07,-0.4682,1.6361,4755534,70768343.98,4324972320.96,4324972320.96
2019-04-03,'300209,天泽信息,14.95,15.1,14.47,14.66,14.72,0.23,1.5625,2.2938,6667054,99061015.42,4345318292.9,4345318292.9
2019-04-02,'300209,天泽信息,14.72,15.12,14.45,14.8,14.7,0.02,0.1361,1.974,5737557,84995933.78,4278467242.24,4278467242.24
2019-04-01,'300209,天泽信息,14.7,14.83,14.07,14.41,14.14,0.56,3.9604,1.6187,4704956,68464922.49,4272654107.4,4272654107.4
2019-03-29,'300209,天泽信息,14.14,14.21,13.4,13.47,13.74,0.4,2.9112,1.1239,3266578,44985285.93,4109886331.88,4109886331.88
2019-03-28,'300209,天泽信息,13.74,14.32,13.7,14.13,14.12,-0.38,-2.6912,0.8069,2345384,32808777.51,3993623635.08,3993623635.08
