日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002113,ST天润,2.94,2.94,2.87,2.87,2.8,0.14,5.0,1.9587,16159123,47251551.3,4506117214.2,2425525563.3
2019-04-25,'002113,ST天润,2.8,2.94,2.8,2.94,2.95,-0.15,-5.0847,3.5464,29258008,83809342.58,4291540204.0,2310024346.0
2019-04-24,'002113,ST天润,2.95,3.0,2.9,2.96,2.99,-0.04,-1.3378,2.679,22101632,64950539.08,4521444143.5,2433775650.25
2019-04-23,'002113,ST天润,2.99,3.15,2.99,3.14,3.15,-0.16,-5.0794,4.5535,37567137,114047633.73,4582751860.7,2466775998.05
2019-04-22,'002113,ST天润,3.15,3.22,3.15,3.16,3.16,-0.01,-0.3165,2.4801,20461440,64963567.7,4827982729.5,2598777389.25
2019-04-19,'002113,ST天润,3.16,3.22,3.12,3.19,3.2,-0.04,-1.25,2.9645,24457177,77295175.38,4843309658.8,2607027476.2
2019-04-18,'002113,ST天润,3.2,3.28,3.2,3.28,3.28,-0.08,-2.439,3.0539,25194607,81504855.57,4904617376.0,2640027824.0
2019-04-17,'002113,ST天润,3.28,3.31,3.21,3.22,3.25,0.03,0.9231,3.2283,26633465,87444783.54,5027232810.4,2706028519.6
2019-04-16,'002113,ST天润,3.25,3.28,3.14,3.28,3.3,-0.05,-1.5152,4.1515,34249897,109721256.2,4981252022.5,2681278258.75
2019-04-15,'002113,ST天润,3.3,3.4,3.3,3.36,3.38,-0.08,-2.3669,3.6855,30405463,101643065.58,5057886669.0,2722528693.5
2019-04-12,'002113,ST天润,3.38,3.54,3.36,3.49,3.54,-0.16,-4.5198,5.8797,48508398,166284141.81,5180502103.4,2788529389.1
2019-04-11,'002113,ST天润,3.54,3.54,3.32,3.36,3.37,0.17,5.0445,8.0999,66825058,231425486.49,5425732972.2,2920530780.3
2019-04-10,'002113,ST天润,3.37,3.37,3.26,3.3,3.34,0.03,0.8982,3.6561,30163247,100519391.9,5165175174.1,2780279302.15
2019-04-09,'002113,ST天润,3.34,3.38,3.27,3.27,3.27,0.07,2.1407,4.1742,34437221,114683638.39,5119194386.2,2755529041.3
2019-04-08,'002113,ST天润,3.27,3.44,3.24,3.41,3.41,-0.14,-4.1056,6.4394,53125555,175986268.9,5011905881.1,2697778432.65
2019-04-04,'002113,ST天润,3.41,3.54,3.4,3.51,3.5,-0.09,-2.5714,5.6074,46261560,160223979.85,5226482891.3,2813279649.95
2019-04-03,'002113,ST天润,3.5,3.6,3.47,3.6,3.64,-0.14,-3.8462,6.9835,57614309,202377034.99,5364425255.0,2887530432.5
2019-04-02,'002113,ST天润,3.64,3.74,3.64,3.64,3.83,-0.19,-4.9608,11.9993,98995082,361793030.82,5579002265.2,3003031649.8
2019-04-01,'002113,ST天润,3.83,3.84,3.49,3.49,3.67,0.16,4.3597,10.1634,83849078,297591637.68,5870213921.9,3159783301.85
2019-03-29,'002113,ST天润,3.67,3.67,3.67,3.67,3.86,-0.19,-4.9223,0.2295,1893700,6949879.0,5624983053.1,3027781910.65
2019-03-28,'002113,ST天润,3.86,3.86,3.86,3.86,4.06,-0.2,-4.9261,0.0825,680800,2627888.0,5916194709.8,3184533562.7
2019-03-27,'002113,天润数娱,0.0,0.0,0.0,0.0,4.06,None,None,0.0,0,0.0,6222733295.8,3349535301.7
2019-03-26,'002113,天润数娱,4.06,4.36,4.0,4.29,4.27,-0.21,-4.918,4.9065,40478912,167762955.82,6222733295.8,3349535301.7
2019-03-25,'002113,天润数娱,4.27,4.43,4.22,4.43,4.48,-0.21,-4.6875,4.0715,33590190,145219291.4,6544598811.1,3522787127.65
2019-03-22,'002113,天润数娱,4.48,4.64,4.39,4.48,4.48,0.0,0.0,6.9928,57690817,259242281.07,6866464326.4,3696038953.6
2019-03-21,'002113,天润数娱,4.48,4.55,4.24,4.29,4.27,0.21,4.918,7.6894,63438029,279259081.04,6866464326.4,3696038953.6
2019-03-20,'002113,天润数娱,4.27,4.31,4.16,4.28,4.31,-0.04,-0.9281,4.2675,35207087,148889700.42,6544598811.1,3522787127.65
2019-03-19,'002113,天润数娱,4.31,4.41,4.26,4.35,4.41,-0.1,-2.2676,4.4319,36563415,158532545.38,6605906528.3,3555787475.45
2019-03-18,'002113,天润数娱,4.41,4.45,4.15,4.21,4.35,0.06,1.3793,6.2384,51467241,220754099.95,6759175821.3,3638288344.95
2019-03-15,'002113,天润数娱,4.35,4.59,4.27,4.29,4.39,-0.04,-0.9112,7.0657,58292966,257204351.37,6667214245.5,3588787823.25
2019-03-14,'002113,天润数娱,4.39,4.72,4.37,4.65,4.86,-0.47,-9.6708,11.2384,92717396,415133463.2,6728521962.7,3621788171.05
2019-03-13,'002113,天润数娱,4.86,5.15,4.7,4.99,4.68,0.18,3.8462,22.6634,186974793,925230327.44,7448887639.8,4009542257.7
2019-03-12,'002113,天润数娱,4.68,4.68,4.24,4.27,4.25,0.43,10.1176,8.0058,66048856,301045475.2,7173002912.4,3861040692.6
2019-03-11,'002113,天润数娱,4.25,4.25,3.96,3.99,4.03,0.22,5.4591,7.518,62023909,256778248.22,6513944952.5,3506286953.75
2019-03-08,'002113,天润数娱,4.03,4.45,4.03,4.34,4.48,-0.45,-10.0446,9.6354,79492508,334157508.35,6176752507.9,3324785040.85
2019-03-07,'002113,天润数娱,4.48,4.58,4.18,4.22,4.27,0.21,4.918,11.8343,97633778,428332434.88,6866464326.4,3696038953.6
2019-03-06,'002113,天润数娱,4.27,4.32,4.02,4.17,4.11,0.16,3.8929,11.1187,91730240,382379326.13,6544598811.1,3522787127.65
2019-03-05,'002113,天润数娱,4.11,4.12,3.89,3.97,3.95,0.16,4.0506,8.291,68401750,275545699.27,6299367942.3,3390785736.45
2019-03-04,'002113,天润数娱,3.95,4.06,3.81,3.81,3.79,0.16,4.2216,7.0029,57774359,227128079.79,6054137073.5,3258784345.25
2019-03-01,'002113,天润数娱,3.79,3.88,3.75,3.84,3.83,-0.04,-1.0444,3.38,27885013,105700942.73,5808906204.7,3126782954.05
2019-02-28,'002113,天润数娱,3.83,3.99,3.79,3.87,3.95,-0.12,-3.038,5.2559,43361946,167919377.48,5870213921.9,3159783301.85
2019-02-27,'002113,天润数娱,3.95,4.01,3.86,3.86,4.02,-0.07,-1.7413,6.1763,50954786,200645304.11,6054137073.5,3258784345.25
2019-02-26,'002113,天润数娱,4.02,4.17,3.91,4.07,4.08,-0.06,-1.4706,9.5261,78590845,317310332.71,6161425578.6,3316534953.9
2019-02-25,'002113,天润数娱,4.08,4.18,3.91,3.95,3.95,0.13,3.2911,11.4254,94260167,380709596.7,6253387154.4,3366035475.6
2019-02-22,'002113,天润数娱,3.95,3.95,3.54,3.55,3.59,0.36,10.0279,9.6037,79231731,302183379.13,6054137073.5,3258784345.25
2019-02-21,'002113,天润数娱,3.59,3.73,3.56,3.66,3.64,-0.05,-1.3736,3.5536,29317683,107495231.3,5502367618.7,2961781215.05
2019-02-20,'002113,天润数娱,3.64,3.83,3.61,3.83,3.75,-0.11,-2.9333,3.7216,30703537,113168351.78,5579002265.2,3003031649.8
2019-02-19,'002113,天润数娱,3.75,3.82,3.6,3.64,3.6,0.15,4.1667,5.5024,45395682,168078964.11,5747598487.5,3093782606.25
2019-02-18,'002113,天润数娱,3.6,3.6,3.49,3.55,3.49,0.11,3.1519,3.1808,26241629,93187922.18,5517694548.0,2970031302.0
2019-02-15,'002113,天润数娱,3.49,3.55,3.44,3.46,3.49,0.0,0.0,2.6628,21968480,76685962.54,5349098325.7,2879280345.55
2019-02-14,'002113,天润数娱,3.49,3.54,3.39,3.42,3.41,0.08,2.346,3.7572,30997336,107694661.86,5349098325.7,2879280345.55
2019-02-13,'002113,天润数娱,3.41,3.47,3.37,3.39,3.43,-0.02,-0.5831,3.5103,28960353,98934657.94,5226482891.3,2813279649.95
2019-02-12,'002113,天润数娱,3.43,3.57,3.32,3.32,3.4,0.03,0.8824,3.7667,31075724,106586996.0,5257136749.9,2829779823.85
2019-02-11,'002113,天润数娱,3.4,3.52,3.27,3.27,3.27,0.13,3.9755,4.4564,36765754,124551730.66,5211155962.0,2805029563.0
2019-02-01,'002113,天润数娱,3.27,3.27,2.83,2.83,2.97,0.3,10.101,2.3551,19429427,60299097.99,5011905881.1,2697778432.65
2019-01-31,'002113,天润数娱,2.97,2.97,2.97,2.97,3.3,-0.33,-10.0,0.3819,3150600,9357282.0,4552098002.1,2450275824.15
2019-01-30,'002113,天润数娱,3.3,3.3,3.3,3.3,3.67,-0.37,-10.0817,0.538,4438400,14646720.0,5057886669.0,2722528693.5
2019-01-29,'002113,天润数娱,3.67,3.79,3.45,3.79,3.82,-0.15,-3.9267,2.3185,19127900,69646487.7,5624983053.1,3027781910.65
2019-01-28,'002113,天润数娱,3.82,3.95,3.82,3.95,3.9,-0.08,-2.0513,1.5727,12975117,50202754.94,5854886992.6,3151533214.9
2019-01-25,'002113,天润数娱,3.9,3.98,3.86,3.89,3.87,0.03,0.7752,2.6091,21525530,84588099.4,5977502427.0,3217533910.5
2019-01-24,'002113,天润数娱,3.87,3.95,3.8,3.87,3.87,0.0,0.0,2.0128,16605980,64320869.7,5931521639.1,3192783649.65
2019-01-23,'002113,天润数娱,3.87,3.94,3.84,3.87,3.88,-0.01,-0.2577,1.4639,12077187,46858184.23,5931521639.1,3192783649.65
2019-01-22,'002113,天润数娱,3.88,4.0,3.87,4.0,3.99,-0.11,-2.7569,1.9955,16463010,64667179.0,5946848568.4,3201033736.6
2019-01-21,'002113,天润数娱,3.99,4.04,3.92,3.97,3.97,0.02,0.5038,2.6965,22246730,88676568.0,6115444790.7,3291784693.05
