日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300047,天源迪科,16.27,16.59,15.82,15.85,15.84,0.43,2.7146,3.2325,11969674,195066195.23,6493094402.2,6024584930.23
2019-04-25,'300047,天源迪科,15.84,16.85,15.8,16.7,16.7,-0.86,-5.1497,2.9044,10754801,175401393.1,6321488342.4,5865361112.16
2019-04-24,'300047,天源迪科,16.7,16.78,16.21,16.32,16.27,0.43,2.6429,2.173,8046311,133033257.46,6664700462.0,6183808748.3
2019-04-23,'300047,天源迪科,16.27,16.6,16.0,16.3,16.39,-0.12,-0.7322,1.9923,7377318,120400690.94,6493094402.2,6024584930.23
2019-04-22,'300047,天源迪科,16.39,17.33,16.31,17.21,17.24,-0.85,-4.9304,3.3646,12458609,209264994.96,6540984465.4,6069019484.11
2019-04-19,'300047,天源迪科,17.24,17.28,16.79,16.91,16.96,0.28,1.6509,2.253,8342516,142082661.8,6880205746.4,6383764240.76
2019-04-18,'300047,天源迪科,16.96,17.35,16.92,16.98,16.93,0.03,0.1772,2.2377,8285781,141583720.52,6768462265.6,6280083615.04
2019-04-17,'300047,天源迪科,16.93,17.31,16.91,17.25,17.18,-0.25,-1.4552,2.6751,9905476,169347490.71,6756489749.8,6268974976.57
2019-04-16,'300047,天源迪科,17.18,17.36,15.61,16.02,16.08,1.1,6.8408,4.3057,15943456,264948081.49,6856260714.8,6361546963.82
2019-04-15,'300047,天源迪科,16.08,17.24,15.9,16.88,16.57,-0.49,-2.9572,3.5132,13009038,216292477.28,6417268468.8,5954230219.92
2019-04-12,'300047,天源迪科,16.57,17.0,16.34,16.84,16.83,-0.26,-1.5449,1.8907,7000963,116640080.25,6612819560.2,6135671314.93
2019-04-11,'300047,天源迪科,16.83,17.55,16.81,17.41,17.49,-0.66,-3.7736,2.1359,7909000,134993929.65,6716581363.8,6231946181.67
2019-04-10,'300047,天源迪科,17.49,17.76,17.18,17.45,17.69,-0.2,-1.1306,2.3122,8561982,149644186.08,6979976711.4,6476336228.01
2019-04-09,'300047,天源迪科,17.69,17.89,16.91,17.05,17.0,0.69,4.0588,3.7827,14006904,245475588.54,7059793483.4,6550393817.81
2019-04-08,'300047,天源迪科,17.0,17.78,16.75,17.59,17.59,-0.59,-3.3542,2.9489,10919501,187667703.32,6784425620.0,6294895133.0
2019-04-04,'300047,天源迪科,17.59,18.22,17.16,17.41,17.32,0.27,1.5589,5.4704,20256322,358028488.09,7019885097.4,6513365022.91
2019-04-03,'300047,天源迪科,17.32,17.7,17.16,17.24,17.32,0.0,0.0,3.0512,11298362,196396113.62,6912132455.2,6413387276.68
2019-04-02,'300047,天源迪科,17.32,17.85,17.29,17.85,17.77,-0.45,-2.5324,3.8136,14121146,247048513.52,6912132455.2,6413387276.68
2019-04-01,'300047,天源迪科,17.77,17.87,16.42,16.51,16.38,1.39,8.486,6.0916,22556613,384054047.94,7091720192.2,6580016853.73
2019-03-29,'300047,天源迪科,16.38,16.53,15.37,15.93,15.96,0.42,2.6316,4.665,17273773,273699797.0,6536993626.8,6065316604.62
2019-03-28,'300047,天源迪科,15.96,16.58,15.9,16.21,16.31,-0.35,-2.1459,2.2079,8175705,132728765.12,6369378405.6,5909795666.04
2019-03-27,'300047,天源迪科,16.31,16.89,15.99,16.85,16.63,-0.32,-1.9242,2.5285,9362910,152912597.04,6509057756.6,6039396448.19
2019-03-26,'300047,天源迪科,16.63,17.25,16.51,16.85,16.78,-0.15,-0.8939,2.6472,9802166,165132659.44,6636764591.8,6157888591.87
2019-03-25,'300047,天源迪科,16.78,17.39,16.74,16.82,17.2,-0.42,-2.4419,2.981,11038336,188251092.16,6696627170.8,6213431784.22
