日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000829,天音控股,6.5,6.62,6.32,6.4,6.39,0.11,1.7214,1.3212,12296303,79884269.95,6744617451.0,6049558554.0
2019-04-25,'000829,天音控股,6.39,6.83,6.33,6.83,6.76,-0.37,-5.4734,1.6233,15108044,99309419.8,6630477771.06,5947181409.24
2019-04-24,'000829,天音控股,6.76,6.92,6.62,6.84,6.87,-0.11,-1.6012,1.5549,14471732,97537321.0,7014402149.04,6291540896.16
2019-04-23,'000829,天音控股,6.87,7.05,6.78,6.94,6.94,-0.07,-1.0086,1.4124,13145658,90866643.89,7128541828.98,6393918040.92
2019-04-22,'000829,天音控股,6.94,7.25,6.92,7.23,7.29,-0.35,-4.8011,2.0848,19403489,136813614.6,7201176170.76,6459067133.04
2019-04-19,'000829,天音控股,7.29,7.35,7.16,7.24,7.24,0.05,0.6906,1.8119,16863133,122381602.66,7564347879.66,6784812593.64
2019-04-18,'000829,天音控股,7.24,7.38,7.11,7.26,7.41,-0.17,-2.2942,2.4922,23194538,168797310.74,7512466206.96,6738277527.84
2019-04-17,'000829,天音控股,7.41,7.61,7.25,7.43,7.63,-0.22,-2.8834,4.4346,41272530,305244533.09,7688863894.14,6896496751.56
2019-04-16,'000829,天音控股,7.63,7.9,7.11,7.41,7.26,0.37,5.0964,6.9853,65012646,481777569.85,7917143254.02,7101251041.08
2019-04-15,'000829,天音控股,7.26,7.26,6.66,6.66,6.6,0.66,10.0,3.7495,34896468,247988920.94,7533218876.04,6756891554.16
2019-04-12,'000829,天音控股,6.6,6.81,6.5,6.8,6.76,-0.16,-2.3669,1.0511,9782899,64849251.74,6848380796.4,6142628685.6
2019-04-11,'000829,天音控股,6.76,7.05,6.7,6.9,6.84,-0.08,-1.1696,1.3946,12979713,89058916.49,7014402149.04,6291540896.16
2019-04-10,'000829,天音控股,6.84,6.92,6.75,6.9,6.92,-0.08,-1.1561,0.9874,9189461,62813134.25,7097412825.36,6365997001.44
2019-04-09,'000829,天音控股,6.92,7.03,6.71,6.82,6.76,0.16,2.3669,1.825,16984943,117469136.96,7180423501.68,6440453106.72
2019-04-08,'000829,天音控股,6.76,6.98,6.59,6.93,6.92,-0.16,-2.3121,1.3164,12252101,83109840.63,7014402149.04,6291540896.16
2019-04-04,'000829,天音控股,6.92,6.98,6.85,6.91,6.91,0.01,0.1447,1.3337,12413045,85748373.85,7180423501.68,6440453106.72
2019-04-03,'000829,天音控股,6.91,6.96,6.75,6.83,6.8,0.11,1.6176,1.352,12583437,86539246.2,7170047167.14,6431146093.56
2019-04-02,'000829,天音控股,6.8,7.0,6.77,6.9,6.86,-0.06,-0.8746,1.3013,12111075,83219806.12,7055907487.2,6328768948.8
2019-04-01,'000829,天音控股,6.86,6.9,6.62,6.65,6.57,0.29,4.414,1.5572,14492519,98806047.1,7118165494.44,6384611027.76
2019-03-29,'000829,天音控股,6.57,6.62,6.27,6.36,6.36,0.21,3.3019,1.231,11457165,74249689.25,6817251792.78,6114707646.12
2019-03-28,'000829,天音控股,6.36,6.68,6.28,6.35,6.38,-0.02,-0.3135,1.23,11448077,74226747.22,6599348767.44,5919260369.76
2019-03-27,'000829,天音控股,6.38,6.63,6.11,6.35,6.29,0.09,1.4308,0.9981,9288900,58680410.75,6620101436.52,5937874396.08
2019-03-26,'000829,天音控股,6.29,6.88,6.16,6.85,6.78,-0.49,-7.2271,2.0501,19080222,123789007.14,6526714425.66,5854111277.64
2019-03-25,'000829,天音控股,6.78,6.87,6.67,6.7,6.82,-0.04,-0.5865,1.19,11075519,75101562.47,7035154818.12,6310154922.48
