ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002078,Ì«ÑôÖ½Òµ,7.0,7.14,7.0,7.04,7.06,-0.06,-0.8499,1.1146,28511846,201287446.18,18140859674.0,17906835674.0
2019-04-25,'002078,Ì«ÑôÖ½Òµ,7.06,7.38,7.06,7.35,7.4,-0.34,-4.5946,1.3404,34290290,247637026.81,18296352756.9,18060322836.9
2019-04-24,'002078,Ì«ÑôÖ½Òµ,7.4,7.42,7.18,7.31,7.27,0.13,1.7882,1.5407,39413753,287312474.1,19177480226.8,18930083426.8
2019-04-23,'002078,Ì«ÑôÖ½Òµ,7.27,7.57,7.19,7.52,7.55,-0.28,-3.7086,2.0833,53293179,389128366.93,18840578547.1,18597527907.1
2019-04-22,'002078,Ì«ÑôÖ½Òµ,7.55,7.83,7.52,7.8,7.81,-0.26,-3.3291,1.4333,36665484,278765407.68,19566212934.1,19313801334.1
2019-04-19,'002078,Ì«ÑôÖ½Òµ,7.81,7.91,7.67,7.84,7.76,0.05,0.6443,1.1754,30068749,234022837.82,20240016293.4,19978912373.4
2019-04-18,'002078,Ì«ÑôÖ½Òµ,7.76,7.92,7.73,7.86,7.83,-0.07,-0.894,0.8914,22802413,178643039.56,20110438724.3,19851006404.3
2019-04-17,'002078,Ì«ÑôÖ½Òµ,7.83,7.97,7.76,7.82,7.85,-0.02,-0.2548,1.0796,27617769,216697090.41,20291847321.1,20030074761.1
2019-04-16,'002078,Ì«ÑôÖ½Òµ,7.85,7.85,7.62,7.67,7.7,0.15,1.9481,1.2812,32774073,253320218.49,20343678348.7,20081237148.7
2019-04-15,'002078,Ì«ÑôÖ½Òµ,7.7,8.18,7.66,8.15,8.0,-0.3,-3.75,1.9389,49600090,389936900.76,19954945641.4,19697519241.4
2019-04-12,'002078,Ì«ÑôÖ½Òµ,8.0,8.21,7.9,8.04,8.13,-0.13,-1.599,1.2429,31795883,255458565.82,20732411056.0,20464955056.0
2019-04-11,'002078,Ì«ÑôÖ½Òµ,8.13,8.38,7.94,8.32,8.42,-0.29,-3.4442,1.9131,48938884,397843477.41,21069312735.7,20797510575.7
2019-04-10,'002078,Ì«ÑôÖ½Òµ,8.42,8.51,8.22,8.29,8.3,0.12,1.4458,1.6875,43169260,361321915.91,21820862636.4,21539365196.4
