日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300650,太龙照明,14.92,15.2,14.85,15.2,15.24,-0.32,-2.0997,2.1189,1574388,23562449.2,1601685872.0,1108609712.0
2019-04-25,'300650,太龙照明,15.24,15.79,15.11,15.73,15.73,-0.49,-3.1151,2.0738,1540899,23885359.6,1636038384.0,1132386864.0
2019-04-24,'300650,太龙照明,15.73,15.85,15.4,15.71,15.57,0.16,1.0276,2.0109,1494148,23385785.3,1688640668.0,1168795628.0
2019-04-23,'300650,太龙照明,15.57,16.25,15.19,16.25,16.35,-0.78,-4.7706,2.2483,1670541,26316717.64,1671464412.0,1156907052.0
2019-04-22,'300650,太龙照明,16.35,16.74,16.27,16.7,16.54,-0.19,-1.1487,1.6532,1228401,20270813.5,1755198660.0,1214863860.0
2019-04-19,'300650,太龙照明,16.54,16.58,16.27,16.48,16.43,0.11,0.6695,1.5846,1177418,19349841.52,1775595464.0,1228981544.0
2019-04-18,'300650,太龙照明,16.43,16.56,16.33,16.56,16.45,-0.02,-0.1216,1.5792,1173430,19276710.92,1763786788.0,1220808148.0
2019-04-17,'300650,太龙照明,16.45,16.59,16.3,16.32,16.42,0.03,0.1827,2.2167,1647068,27086010.96,1765933820.0,1222294220.0
2019-04-16,'300650,太龙照明,16.42,16.47,15.8,16.0,15.9,0.52,3.2704,1.7347,1288981,20840684.45,1762713272.0,1220065112.0
2019-04-15,'300650,太龙照明,15.9,16.53,15.81,16.3,16.21,-0.31,-1.9124,1.3215,981900,16023442.1,1706890440.0,1181427240.0
2019-04-12,'300650,太龙照明,16.21,16.26,16.02,16.12,16.12,0.09,0.5583,1.4673,1090250,17647276.0,1740169436.0,1204461356.0
2019-04-11,'300650,太龙照明,16.12,16.6,16.08,16.6,16.49,-0.37,-2.2438,1.4291,1061869,17304497.56,1730507792.0,1197774032.0
2019-04-10,'300650,太龙照明,16.49,16.65,16.33,16.62,16.8,-0.31,-1.8452,1.8633,1384529,22806168.36,1770227884.0,1225266364.0
2019-04-09,'300650,太龙照明,16.8,16.82,16.46,16.81,16.74,0.06,0.3584,1.613,1198508,19933130.84,1803506880.0,1248300480.0
2019-04-08,'300650,太龙照明,16.74,17.18,16.43,16.95,16.9,-0.16,-0.9467,2.0369,1513461,25396274.5,1797065784.0,1243842264.0
2019-04-04,'300650,太龙照明,16.9,17.1,16.78,16.9,16.87,0.03,0.1778,2.0142,1496610,25303470.0,1814242040.0,1255730840.0
2019-04-03,'300650,太龙照明,16.87,17.05,16.66,16.86,17.05,-0.18,-1.0557,2.6474,1967130,33100211.0,1811021492.0,1253501732.0
2019-04-02,'300650,太龙照明,17.05,17.87,16.37,16.67,16.5,0.55,3.3333,3.8658,2872404,48883905.87,1830344780.0,1266876380.0
2019-04-01,'300650,太龙照明,16.5,16.6,16.0,16.2,16.12,0.38,2.3573,2.1818,1621130,26630071.5,1771301400.0,1226009400.0
2019-03-29,'300650,太龙照明,16.12,16.2,15.2,15.51,15.4,0.72,4.6753,1.9812,1472112,23327279.3,1730507792.0,1197774032.0
2019-03-28,'300650,太龙照明,15.4,15.87,15.38,15.55,15.62,-0.22,-1.4085,1.5749,1170240,18318438.15,1653214640.0,1144275440.0
2019-03-27,'300650,太龙照明,15.62,16.1,15.39,16.01,15.85,-0.23,-1.4511,1.697,1260920,19708408.5,1676831992.0,1160622232.0
2019-03-26,'300650,太龙照明,15.85,16.35,15.79,16.29,16.0,-0.15,-0.9375,2.018,1499451,24217995.62,1701522860.0,1177712060.0
2019-03-25,'300650,太龙照明,16.0,16.34,15.55,15.55,16.18,-0.18,-1.1125,1.6086,1195243,19240653.09,1717625600.0,1188857600.0
2019-03-22,'300650,太龙照明,16.18,16.33,15.85,16.33,16.24,-0.06,-0.3695,1.5288,1135939,18278748.43,1736948888.0,1202232248.0
2019-03-21,'300650,太龙照明,16.24,16.39,16.03,16.15,16.15,0.09,0.5573,1.8818,1398225,22690580.37,1743389984.0,1206690464.0
2019-03-20,'300650,太龙照明,16.15,16.5,15.8,16.11,16.13,0.02,0.124,2.4309,1806269,29147696.91,1733728340.0,1200003140.0
2019-03-19,'300650,太龙照明,16.13,16.3,15.94,16.15,16.15,-0.02,-0.1238,1.3553,1007069,16202371.18,1731581308.0,1198517068.0
2019-03-18,'300650,太龙照明,16.15,16.17,15.59,15.88,15.72,0.43,2.7354,1.5946,1184868,18808382.6,1733728340.0,1200003140.0
2019-03-15,'300650,太龙照明,15.72,15.8,15.38,15.55,15.35,0.37,2.4104,1.7796,1322280,20711661.06,1687567152.0,1168052592.0
2019-03-14,'300650,太龙照明,15.35,16.03,15.19,15.83,15.87,-0.52,-3.2766,1.7273,1283438,19927334.02,1647847060.0,1140560260.0
2019-03-13,'300650,太龙照明,15.87,16.38,15.78,16.28,16.28,-0.41,-2.5184,2.1921,1628814,26191484.59,1703669892.0,1179198132.0
2019-03-12,'300650,太龙照明,16.28,16.53,15.94,16.53,16.25,0.03,0.1846,2.2862,1698755,27681129.95,1747684048.0,1209662608.0
2019-03-11,'300650,太龙照明,16.25,16.3,15.5,15.57,15.57,0.68,4.3674,2.2664,1684008,26697892.74,1744463500.0,1207433500.0
2019-03-08,'300650,太龙照明,15.57,16.27,15.41,16.08,16.24,-0.67,-4.1256,2.2647,1682790,26604534.99,1671464412.0,1156907052.0
2019-03-07,'300650,太龙照明,16.24,16.35,15.83,15.94,15.94,0.3,1.8821,3.0474,2264306,36566009.13,1743389984.0,1206690464.0
2019-03-06,'300650,太龙照明,15.94,16.15,15.66,16.15,15.93,0.01,0.0628,2.8527,2119630,33608804.1,1711184504.0,1184399384.0
2019-03-05,'300650,太龙照明,15.93,15.93,15.21,15.21,15.19,0.74,4.8716,3.1879,2368746,36989925.75,1710110988.0,1183656348.0
2019-03-04,'300650,太龙照明,15.19,15.69,15.06,15.09,15.03,0.16,1.0645,2.4889,1849318,28352445.92,1630670804.0,1128671684.0
2019-03-01,'300650,太龙照明,15.03,15.25,14.82,15.15,15.15,-0.12,-0.7921,1.592,1182912,17770459.72,1613494548.0,1116783108.0
2019-02-28,'300650,太龙照明,15.15,15.25,14.94,14.99,14.93,0.22,1.4735,1.5847,1177485,17790476.78,1626376740.0,1125699540.0
2019-02-27,'300650,太龙照明,14.93,15.18,14.76,14.95,15.08,-0.15,-0.9947,2.0273,1506345,22603117.33,1602759388.0,1109352748.0
2019-02-26,'300650,太龙照明,15.08,15.38,14.83,15.07,15.07,0.01,0.0664,2.9251,2173462,32746193.63,1618862128.0,1120498288.0
2019-02-25,'300650,太龙照明,15.07,15.12,14.56,14.64,14.55,0.52,3.5739,2.6786,1990297,29565042.5,1617788612.0,1119755252.0
2019-02-22,'300650,太龙照明,14.55,14.6,14.26,14.3,14.25,0.3,2.1053,2.005,1489758,21592613.58,1561965780.0,1081117380.0
2019-02-21,'300650,太龙照明,14.25,14.6,14.15,14.6,14.39,-0.14,-0.9729,2.0429,1517970,21860554.9,1529760300.0,1058826300.0
2019-02-20,'300650,太龙照明,14.39,14.69,14.23,14.69,14.51,-0.12,-0.827,1.3211,981598,14123682.5,1544789524.0,1069228804.0
2019-02-19,'300650,太龙照明,14.51,14.8,14.21,14.65,14.5,0.01,0.069,2.057,1528398,22328233.3,1557671716.0,1078145236.0
2019-02-18,'300650,太龙照明,14.5,14.58,14.05,14.11,14.02,0.48,3.4237,1.9841,1474292,21239410.5,1556598200.0,1077402200.0
2019-02-15,'300650,太龙照明,14.02,14.3,14.0,14.2,14.14,-0.12,-0.8487,1.2013,892644,12623965.35,1505069432.0,1041736472.0
2019-02-14,'300650,太龙照明,14.14,14.33,14.0,14.04,13.99,0.15,1.0722,1.6797,1248076,17694606.86,1517951624.0,1050652904.0
2019-02-13,'300650,太龙照明,13.99,14.05,13.7,13.78,13.71,0.28,2.0423,1.293,960737,13401889.59,1501848884.0,1039507364.0
2019-02-12,'300650,太龙照明,13.71,13.77,13.46,13.51,13.47,0.24,1.7817,0.9936,738259,10057185.55,1471790436.0,1018702356.0
2019-02-11,'300650,太龙照明,13.47,13.52,13.17,13.17,13.18,0.29,2.2003,0.8407,624661,8381207.92,1446026052.0,1000869492.0
2019-02-01,'300650,太龙照明,13.18,13.24,12.86,12.99,12.81,0.37,2.8884,0.7725,574024,7512958.9,1414894088.0,979321448.0
2019-01-31,'300650,太龙照明,12.81,13.26,12.69,13.26,13.16,-0.35,-2.6596,1.0046,746465,9721552.9,1375173996.0,951829116.0
2019-01-30,'300650,太龙照明,13.16,13.53,13.13,13.53,13.45,-0.29,-2.1561,0.7968,592080,7875031.1,1412747056.0,977835376.0
2019-01-29,'300650,太龙照明,13.45,14.03,13.2,13.88,13.97,-0.52,-3.7223,1.4001,1040310,14046362.0,1443879020.0,999383420.0
2019-01-28,'300650,太龙照明,13.97,14.33,13.9,14.1,14.1,-0.13,-0.922,0.8594,638600,9030675.5,1499701852.0,1038021292.0
2019-01-25,'300650,太龙照明,14.1,14.35,14.1,14.26,14.32,-0.22,-1.5363,0.8885,660190,9393849.8,1513657560.0,1047680760.0
2019-01-24,'300650,太龙照明,14.32,14.39,14.08,14.14,14.12,0.2,1.4164,1.1873,882170,12587992.1,1537274912.0,1064027552.0
2019-01-23,'300650,太龙照明,14.12,14.18,14.01,14.02,14.17,-0.05,-0.3529,0.8427,626140,8809494.8,1515804592.0,1049166832.0
2019-01-22,'300650,太龙照明,14.17,14.36,14.1,14.23,14.07,0.1,0.7107,1.5827,1176000,16739097.1,1521172172.0,1052882012.0
2019-01-21,'300650,太龙照明,14.07,14.18,13.98,13.98,13.99,0.08,0.5718,0.8361,621250,8748029.6,1510437012.0,1045451652.0
2019-01-18,'300650,太龙照明,13.99,14.03,13.82,13.83,13.86,0.13,0.938,0.8892,660698,9205345.34,1501848884.0,1039507364.0
2019-01-17,'300650,太龙照明,13.86,14.25,13.86,14.25,14.16,-0.3,-2.1186,0.9678,719130,10057087.8,1487893176.0,1029847896.0
2019-01-16,'300650,太龙照明,14.16,14.21,13.96,13.96,14.03,0.13,0.9266,1.3149,976990,13773637.9,1520098656.0,1052138976.0
2019-01-15,'300650,太龙照明,14.03,14.05,13.61,13.65,13.77,0.26,1.8882,1.3021,967490,13436338.9,1506142948.0,1042479508.0
2019-01-14,'300650,太龙照明,13.77,14.29,13.75,14.2,13.91,-0.14,-1.0065,1.6199,1203681,16902289.37,1478231532.0,1023160572.0
2019-01-11,'300650,太龙照明,13.91,13.94,13.73,13.75,13.88,0.03,0.2161,0.6182,459316,6363405.3,1493260756.0,1033563076.0
2019-01-10,'300650,太龙照明,13.88,13.91,13.63,13.69,13.79,0.09,0.6526,1.1078,823140,11351792.64,1490040208.0,1031333968.0
2019-01-09,'300650,太龙照明,13.79,14.1,13.71,13.99,13.97,-0.18,-1.2885,1.6734,1243395,17363927.65,1480378564.0,1024646644.0
2019-01-08,'300650,太龙照明,13.97,14.05,13.65,13.82,13.86,0.11,0.7937,1.0366,770200,10681271.8,1499701852.0,1038021292.0
2019-01-07,'300650,太龙照明,13.86,13.96,13.64,13.64,13.62,0.24,1.7621,0.8404,624455,8649622.5,1487893176.0,1029847896.0
2019-01-04,'300650,太龙照明,13.62,13.69,13.11,13.17,13.38,0.24,1.7937,0.6986,519055,7007490.45,1462128792.0,1012015032.0
2019-01-03,'300650,太龙照明,13.38,13.79,13.3,13.6,13.6,-0.22,-1.6176,0.7866,584505,7896642.1,1436364408.0,994182168.0
2019-01-02,'300650,太龙照明,13.6,13.8,13.45,13.8,13.46,0.14,1.0401,0.6055,449880,6100394.43,1459981760.0,1010528960.0
2018-12-28,'300650,太龙照明,13.46,13.75,13.42,13.55,13.5,-0.04,-0.2963,0.5909,439064,5964046.51,1444952536.0,1000126456.0
2018-12-27,'300650,太龙照明,13.5,14.06,13.4,13.85,13.75,-0.25,-1.8182,0.9737,723463,9971733.1,1449246600.0,1003098600.0
2018-12-26,'300650,太龙照明,13.75,13.97,13.75,13.78,13.76,-0.01,-0.0727,0.8503,631810,8754965.7,1476084500.0,1021674500.0
2018-12-25,'300650,太龙照明,13.76,13.88,13.4,13.72,13.78,-0.02,-0.1451,1.0912,810830,11011405.5,1477158016.0,1022417536.0
2018-12-24,'300650,太龙照明,13.78,13.78,13.48,13.48,13.44,0.34,2.5298,0.7385,548699,7516103.55,1479305048.0,1023903608.0
2018-12-21,'300650,太龙照明,13.44,13.62,13.36,13.36,13.49,-0.05,-0.3706,0.6429,477670,6447115.55,1442805504.0,998640384.0
2018-12-20,'300650,太龙照明,13.49,13.55,13.28,13.4,13.34,0.15,1.1244,0.6608,490979,6596296.86,1448173084.0,1002355564.0
2018-12-19,'300650,太龙照明,13.34,13.83,13.34,13.73,13.73,-0.39,-2.8405,0.9377,696759,9430584.37,1432070344.0,991210024.0
2018-12-18,'300650,太龙照明,13.73,14.01,13.56,14.01,13.82,-0.09,-0.6512,0.85,631564,8702269.88,1473937468.0,1020188428.0
2018-12-17,'300650,太龙照明,13.82,13.92,13.7,13.85,13.85,-0.03,-0.2166,0.8288,615840,8502365.31,1483599112.0,1026875752.0
2018-12-14,'300650,太龙照明,13.85,14.28,13.73,14.15,14.17,-0.32,-2.2583,0.9588,712420,10004370.4,1486819660.0,1029104860.0
2018-12-13,'300650,太龙照明,14.17,14.33,13.91,14.01,14.01,0.16,1.142,1.0364,770061,10923227.52,1521172172.0,1052882012.0
2018-12-12,'300650,太龙照明,14.01,14.08,13.9,13.94,13.86,0.15,1.0823,0.6735,500420,7009840.9,1503995916.0,1040993436.0
2018-12-11,'300650,太龙照明,13.86,13.95,13.76,13.88,13.71,0.15,1.0941,0.645,479236,6649065.28,1487893176.0,1029847896.0
2018-12-10,'300650,太龙照明,13.71,13.94,13.65,13.9,13.95,-0.24,-1.7204,0.7029,522258,7206472.08,1471790436.0,1018702356.0
2018-12-07,'300650,太龙照明,13.95,13.99,13.76,13.88,13.83,0.12,0.8677,0.8089,601010,8354298.8,1497554820.0,1036535220.0
2018-12-06,'300650,太龙照明,13.83,14.27,13.71,14.14,14.21,-0.38,-2.6742,1.2322,915600,12823917.9,1484672628.0,1027618788.0
2018-12-05,'300650,太龙照明,14.21,14.37,13.93,14.0,14.34,-0.13,-0.9066,1.0499,780139,11064064.34,1525466236.0,1055854156.0
2018-12-04,'300650,太龙照明,14.34,14.36,14.13,14.13,14.22,0.12,0.8439,1.0386,771700,11006199.0,1539421944.0,1065513624.0
2018-12-03,'300650,太龙照明,14.22,14.29,13.91,13.92,13.69,0.53,3.8714,1.4581,1083400,15273802.5,1526539752.0,1056597192.0
2018-11-30,'300650,太龙照明,13.69,13.79,13.35,13.58,13.49,0.2,1.4826,0.8855,657939,8919717.78,1469643404.0,1017216284.0
2018-11-29,'300650,太龙照明,13.49,14.12,13.43,14.06,13.98,-0.49,-3.505,1.1975,889800,12255508.2,1448173084.0,1002355564.0
2018-11-28,'300650,太龙照明,13.98,14.02,13.6,13.9,13.9,0.08,0.5755,1.0556,784339,10848962.35,1500775368.0,1038764328.0
2018-11-27,'300650,太龙照明,13.9,14.0,13.76,13.85,13.77,0.13,0.9441,0.7552,561140,7776550.86,1492187240.0,1032820040.0
