日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603001,奥康国际,11.03,11.32,11.0,11.28,11.38,-0.35,-3.0756,0.5154,2066457,22984272.0,4422809400.0,4422809400.0
2019-04-25,'603001,奥康国际,11.38,11.83,11.38,11.82,11.81,-0.43,-3.641,0.2874,1152510,13399526.0,4563152400.0,4563152400.0
2019-04-24,'603001,奥康国际,11.81,11.87,11.69,11.8,11.76,0.05,0.4252,0.1802,722700,8518929.0,4735573800.0,4735573800.0
2019-04-23,'603001,奥康国际,11.76,11.92,11.76,11.9,11.9,-0.14,-1.1765,0.2445,980504,11606388.0,4715524800.0,4715524800.0
2019-04-22,'603001,奥康国际,11.9,12.12,11.88,12.09,12.07,-0.17,-1.4085,0.2546,1021054,12250933.0,4771662000.0,4771662000.0
2019-04-19,'603001,奥康国际,12.07,12.13,11.92,12.05,12.06,0.01,0.0829,0.3476,1393731,16760641.0,4839828600.0,4839828600.0
2019-04-18,'603001,奥康国际,12.06,12.17,12.02,12.15,12.14,-0.08,-0.659,0.2634,1056100,12793728.0,4835818800.0,4835818800.0
2019-04-17,'603001,奥康国际,12.14,12.2,12.06,12.1,12.11,0.03,0.2477,0.3151,1263547,15329981.0,4867897200.0,4867897200.0
2019-04-16,'603001,奥康国际,12.11,12.12,11.79,11.95,12.0,0.11,0.9167,0.4186,1678585,20006849.0,4855867800.0,4855867800.0
2019-04-15,'603001,奥康国际,12.0,12.21,12.0,12.13,12.03,-0.03,-0.2494,0.2867,1149800,13962354.0,4811760000.0,4811760000.0
2019-04-12,'603001,奥康国际,12.03,12.2,11.99,12.13,12.1,-0.07,-0.5785,0.2516,1008814,12190074.0,4823789400.0,4823789400.0
2019-04-11,'603001,奥康国际,12.1,12.33,12.09,12.33,12.31,-0.21,-1.7059,0.3991,1600150,19495431.0,4851858000.0,4851858000.0
2019-04-10,'603001,奥康国际,12.31,12.39,12.1,12.21,12.34,-0.03,-0.2431,0.4135,1658101,20285793.0,4936063800.0,4936063800.0
2019-04-09,'603001,奥康国际,12.34,12.35,12.18,12.33,12.3,0.04,0.3252,0.3996,1602470,19676631.0,4948093200.0,4948093200.0
2019-04-08,'603001,奥康国际,12.3,12.6,12.15,12.45,12.4,-0.1,-0.8065,0.6,2405827,29786551.0,4932054000.0,4932054000.0
2019-04-04,'603001,奥康国际,12.4,12.43,12.22,12.38,12.37,0.03,0.2425,0.5502,2206280,27230612.0,4972152000.0,4972152000.0
2019-04-03,'603001,奥康国际,12.37,12.38,12.01,12.08,12.06,0.31,2.5705,0.7169,2874786,35259847.0,4960122600.0,4960122600.0
2019-04-02,'603001,奥康国际,12.06,12.28,12.01,12.08,12.05,0.01,0.083,0.6106,2448314,29667493.0,4835818800.0,4835818800.0
2019-04-01,'603001,奥康国际,12.05,12.14,11.84,11.85,11.82,0.23,1.9459,0.8324,3337922,40124546.0,4831809000.0,4831809000.0
