日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603956,威派格,24.6,25.35,23.56,25.01,24.85,-0.25,-1.006,19.4161,8270504,202855997.0,10478618460.0,1047864060.0
2019-04-25,'603956,威派格,24.85,25.94,24.82,24.9,24.95,-0.1,-0.4008,18.9133,8056337,205106208.0,10585108485.0,1058513085.0
2019-04-24,'603956,威派格,24.95,25.77,24.8,25.4,25.8,-0.85,-3.2946,16.3565,6967216,174679598.0,10627704495.0,1062772695.0
2019-04-23,'603956,威派格,25.8,26.94,25.68,26.12,26.73,-0.93,-3.4792,19.5248,8316810,218341649.0,10989770580.0,1098979380.0
2019-04-22,'603956,威派格,26.73,27.38,25.0,26.08,26.03,0.7,2.6892,29.4686,12552482,328979648.0,11385913473.0,1138593753.0
2019-04-19,'603956,威派格,26.03,26.36,25.67,25.76,25.96,0.07,0.2696,15.9855,6809212,177620138.0,11087741403.0,1108776483.0
2019-04-18,'603956,威派格,25.96,26.9,25.89,26.8,27.2,-1.24,-4.5588,26.8282,11427773,301161246.0,11057924196.0,1105794756.0
2019-04-17,'603956,威派格,27.2,27.74,27.05,27.3,27.41,-0.21,-0.7661,20.7046,8819372,241512494.0,11586114720.0,1158613920.0
2019-04-16,'603956,威派格,27.41,27.88,26.61,27.68,28.07,-0.66,-2.3513,24.0394,10239851,279001732.0,11675566341.0,1167559101.0
2019-04-15,'603956,威派格,28.07,28.6,27.2,27.41,27.18,0.89,3.2745,34.8536,14846294,414148690.0,11956700007.0,1195672527.0
2019-04-12,'603956,威派格,27.18,27.55,26.77,27.21,27.4,-0.22,-0.8029,18.0438,7685948,208979025.0,11577595518.0,1157761998.0
2019-04-11,'603956,威派格,27.4,27.97,26.83,27.77,27.8,-0.4,-1.4388,26.6168,11337740,310245640.0,11671306740.0,1167133140.0
2019-04-10,'603956,威派格,27.8,28.88,27.59,28.08,28.7,-0.9,-3.1359,36.7924,15672134,440625304.0,11841690780.0,1184171580.0
2019-04-09,'603956,威派格,28.7,30.38,28.54,30.07,31.6,-2.9,-9.1772,56.1219,23905749,702758558.0,12225054870.0,1222508070.0
2019-04-08,'603956,威派格,31.6,38.62,31.6,37.0,35.11,-3.51,-9.9972,76.8989,32755931,1149617170.0,13460339160.0,1346036760.0
2019-04-04,'603956,威派格,35.11,35.11,33.52,34.5,31.92,3.19,9.9937,51.5395,21953806,764261706.0,14955459111.0,1495549071.0
2019-04-03,'603956,威派格,31.92,31.92,29.02,29.98,29.02,2.9,9.9931,46.6357,19864981,616118049.0,13596646392.0,1359667512.0
2019-04-02,'603956,威派格,29.02,29.02,26.13,26.5,26.38,2.64,10.0076,44.3704,18900080,519604828.0,12361362102.0,1236138822.0
2019-04-01,'603956,威派格,26.38,26.6,25.23,25.23,25.7,0.68,2.6459,33.5326,14283565,372509610.0,11236827438.0,1123685118.0
2019-03-29,'603956,威派格,25.7,26.35,25.09,26.2,25.59,0.11,0.4299,35.906,15294548,396146684.0,10947174570.0,1094719770.0
2019-03-28,'603956,威派格,25.59,26.68,24.58,26.15,27.12,-1.53,-5.6416,44.5649,18982922,487389721.0,10900318959.0,1090034199.0
2019-03-27,'603956,威派格,27.12,28.7,26.78,27.56,26.9,0.22,0.8178,60.8659,25926485,719248589.0,11552037912.0,1155206232.0
2019-03-26,'603956,威派格,26.9,26.9,24.25,24.73,24.45,2.45,10.0204,42.8511,18252890,477084737.0,11458326690.0,1145835090.0
2019-03-25,'603956,威派格,24.45,25.8,24.2,25.63,26.6,-2.15,-8.0827,34.2627,14594587,367873785.0,10414724445.0,1041474645.0
2019-03-22,'603956,威派格,26.6,27.55,26.5,27.25,27.89,-1.29,-4.6253,33.2608,14167824,382163387.0,11330538660.0,1133056260.0
2019-03-21,'603956,威派格,27.89,28.9,27.56,28.07,28.25,-0.36,-1.2743,37.8708,16131471,455829821.0,11880027189.0,1188005229.0
