ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002048,Äþ²¨»ªÏè,13.02,13.36,12.94,13.28,13.38,-0.36,-2.6906,1.2345,7584240,99685771.04,8153479628.28,7999182772.14
2019-04-25,'002048,Äþ²¨»ªÏè,13.38,13.86,13.19,13.5,13.45,-0.07,-0.5204,1.6323,10028210,136724647.23,8378921461.32,8220358332.66
2019-04-24,'002048,Äþ²¨»ªÏè,13.45,13.66,13.2,13.22,13.2,0.25,1.8939,1.4146,8691032,117072287.89,8422757373.3,8263364691.65
2019-04-23,'002048,Äþ²¨»ªÏè,13.2,13.75,13.16,13.75,13.76,-0.56,-4.0698,1.3627,8372281,111915146.19,8266200544.8,8109770552.4
2019-04-22,'002048,Äþ²¨»ªÏè,13.76,14.1,13.62,14.03,13.95,-0.19,-1.362,0.9949,6112656,84420086.02,8616887840.64,8453821424.32
2019-04-19,'002048,Äþ²¨»ªÏè,13.95,14.07,13.6,13.98,14.0,-0.05,-0.3571,0.9303,5715339,79269055.75,8735871030.3,8570552970.15
2019-04-18,'002048,Äþ²¨»ªÏè,14.0,14.3,13.94,14.14,14.11,-0.11,-0.7796,1.1958,7346573,103251950.85,8767182396.0,8601271798.0
2019-04-17,'002048,Äþ²¨»ªÏè,14.11,14.29,13.71,13.83,13.87,0.24,1.7304,1.606,9866964,138813531.18,8836067400.54,8668853219.27
2019-04-16,'002048,Äþ²¨»ªÏè,13.87,13.92,13.58,13.65,13.65,0.22,1.6117,1.2939,7949684,109496640.45,8685772845.18,8521402845.59
2019-04-15,'002048,Äþ²¨»ªÏè,13.65,14.65,13.56,14.65,14.3,-0.65,-4.5455,2.3636,14521410,204272358.6,8548002836.1,8386240003.05
2019-04-12,'002048,Äþ²¨»ªÏè,14.3,14.45,13.81,13.95,14.0,0.3,2.1429,2.2372,13744585,195692712.65,8955050590.2,8785584765.1
2019-04-11,'002048,Äþ²¨»ªÏè,14.0,14.68,13.89,13.99,13.97,0.03,0.2147,2.5997,15972051,227666480.96,8767182396.0,8601271798.0
2019-04-10,'002048,Äþ²¨»ªÏè,13.97,14.36,13.73,13.84,13.84,0.13,0.9393,1.9323,11871365,166676132.76,8748395576.58,8582840501.29
2019-04-09,'002048,Äþ²¨»ªÏè,13.84,14.15,13.7,14.0,14.02,-0.18,-1.2839,1.7065,10484183,145540262.62,8666986025.76,8502971548.88
2019-04-08,'002048,Äþ²¨»ªÏè,14.02,14.5,13.83,14.29,14.28,-0.26,-1.8207,1.9079,11721873,165208475.48,8779706942.28,8613559329.14
2019-04-04,'002048,Äþ²¨»ªÏè,14.28,14.35,13.79,13.97,13.89,0.39,2.8078,2.4073,14790007,209262765.67,8942526043.92,8773297233.96
2019-04-03,'002048,Äþ²¨»ªÏè,13.89,13.96,13.6,13.68,13.74,0.15,1.0917,1.5455,9495090,131010965.22,8698297391.46,8533690376.73
2019-04-02,'002048,Äþ²¨»ªÏè,13.74,13.95,13.5,13.5,13.47,0.27,2.0045,2.4514,15061126,207030521.06,8604363294.36,8441533893.18
2019-04-01,'002048,Äþ²¨»ªÏè,13.47,13.5,12.8,12.8,12.75,0.72,5.6471,2.0111,12355429,163764255.67,8435281919.58,8275652222.79
