日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603088,宁波精达,14.44,14.97,14.42,14.56,14.43,0.01,0.0693,2.0442,2289486,33558525.0,1617280000.0,1617280000.0
2019-04-25,'603088,宁波精达,14.43,15.39,14.38,15.37,15.41,-0.98,-6.3595,2.3342,2614321,39017698.0,1616160000.0,1616160000.0
2019-04-24,'603088,宁波精达,15.41,15.94,15.04,15.61,15.82,-0.41,-2.5917,3.39,3796778,58367416.0,1725920000.0,1725920000.0
2019-04-23,'603088,宁波精达,15.82,16.67,15.37,15.89,15.72,0.1,0.6361,5.4666,6122582,97594450.0,1771840000.0,1771840000.0
2019-04-22,'603088,宁波精达,15.72,15.94,15.15,15.3,15.15,0.57,3.7624,3.9558,4430477,68897390.0,1760640000.0,1760640000.0
2019-04-19,'603088,宁波精达,15.15,15.34,14.9,15.34,15.34,-0.19,-1.2386,2.6437,2960897,44760023.0,1696800000.0,1696800000.0
2019-04-18,'603088,宁波精达,15.34,15.63,14.61,14.61,14.73,0.61,4.1412,3.6221,4056763,61625796.0,1718080000.0,1718080000.0
2019-04-17,'603088,宁波精达,14.73,14.98,14.42,14.59,14.49,0.24,1.6563,2.0309,2274633,33635759.0,1649760000.0,1649760000.0
2019-04-16,'603088,宁波精达,14.49,14.54,13.92,14.2,14.2,0.29,2.0423,1.3923,1559351,22191169.0,1622880000.0,1622880000.0
2019-04-15,'603088,宁波精达,14.2,14.63,13.5,14.45,14.42,-0.22,-1.5257,1.2267,1373900,19907221.0,1590400000.0,1590400000.0
2019-04-12,'603088,宁波精达,14.42,14.5,14.26,14.42,14.42,0.0,0.0,0.9384,1051049,15138081.0,1615040000.0,1615040000.0
2019-04-11,'603088,宁波精达,14.42,14.72,14.35,14.66,14.64,-0.22,-1.5027,1.3088,1465880,21231144.0,1615040000.0,1615040000.0
2019-04-10,'603088,宁波精达,14.64,14.79,14.55,14.6,14.77,-0.13,-0.8802,1.6482,1846038,27018839.0,1639680000.0,1639680000.0
2019-04-09,'603088,宁波精达,14.77,14.8,14.28,14.52,14.39,0.38,2.6407,1.9786,2215980,32125888.0,1654240000.0,1654240000.0
2019-04-08,'603088,宁波精达,14.39,14.85,14.17,14.78,14.71,-0.32,-2.1754,2.1233,2378060,34468211.0,1611680000.0,1611680000.0
2019-04-04,'603088,宁波精达,14.71,15.13,14.67,14.89,14.88,-0.17,-1.1425,2.1988,2462613,36450974.0,1647520000.0,1647520000.0
2019-04-03,'603088,宁波精达,14.88,14.91,14.33,14.35,14.35,0.53,3.6934,2.7756,3108687,45529343.0,1666560000.0,1666560000.0
2019-04-02,'603088,宁波精达,14.35,14.8,14.32,14.8,14.5,-0.15,-1.0345,1.784,1998126,28897512.0,1607200000.0,1607200000.0
2019-04-01,'603088,宁波精达,14.5,14.56,14.13,14.13,14.11,0.39,2.764,2.0019,2242173,32378889.0,1624000000.0,1624000000.0
2019-03-29,'603088,宁波精达,14.11,14.12,13.55,13.71,13.71,0.4,2.9176,1.2297,1377260,19180988.0,1580320000.0,1580320000.0
2019-03-28,'603088,宁波精达,13.71,14.05,13.65,13.81,13.81,-0.1,-0.7241,0.9474,1061037,14741919.0,1535520000.0,1535520000.0
2019-03-27,'603088,宁波精达,13.81,14.09,13.66,13.85,13.99,-0.18,-1.2866,1.1794,1320938,18302680.0,1546720000.0,1546720000.0
2019-03-26,'603088,宁波精达,13.99,14.32,13.87,14.27,14.18,-0.19,-1.3399,1.6608,1860131,26189931.0,1566880000.0,1566880000.0
2019-03-25,'603088,宁波精达,14.18,14.37,14.05,14.18,14.4,-0.22,-1.5278,1.4829,1660880,23588474.0,1588160000.0,1588160000.0
2019-03-22,'603088,宁波精达,14.4,14.53,14.12,14.43,14.42,-0.02,-0.1387,1.4672,1643224,23421019.0,1612800000.0,1612800000.0
2019-03-21,'603088,宁波精达,14.42,14.59,14.23,14.37,14.4,0.02,0.1389,1.9297,2161275,31216113.0,1615040000.0,1615040000.0
2019-03-20,'603088,宁波精达,14.4,14.76,14.09,14.6,14.7,-0.3,-2.0408,2.8976,3245307,46665302.0,1612800000.0,1612800000.0
2019-03-19,'603088,宁波精达,14.7,15.17,14.14,14.14,14.08,0.62,4.4034,5.3439,5985149,87900277.0,1646400000.0,1646400000.0
2019-03-18,'603088,宁波精达,14.08,14.08,13.46,13.69,13.58,0.5,3.6819,1.7896,2004395,27832619.0,1576960000.0,1576960000.0
2019-03-15,'603088,宁波精达,13.58,13.74,13.4,13.44,13.36,0.22,1.6467,2.3117,2589133,35128079.0,1520960000.0,1520960000.0
2019-03-14,'603088,宁波精达,13.36,14.16,13.3,14.12,14.12,-0.76,-5.3824,2.2715,2544029,34662392.0,1496320000.0,1496320000.0
2019-03-13,'603088,宁波精达,14.12,14.5,14.03,14.18,14.05,0.07,0.4982,3.2931,3688222,52470162.0,1581440000.0,1581440000.0
2019-03-12,'603088,宁波精达,14.05,14.85,13.66,14.0,13.92,0.13,0.9339,3.6571,4095903,58122742.0,1573600000.0,1573600000.0
2019-03-11,'603088,宁波精达,13.92,13.92,13.28,13.4,13.4,0.52,3.8806,3.0354,3399642,46203833.0,1559040000.0,1559040000.0
