日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002903,宇环数控,17.04,17.29,16.89,16.9,16.89,0.15,0.8881,4.1651,2748954,46976311.73,2556000000.0,1124640000.0
2019-04-25,'002903,宇环数控,16.89,17.86,16.89,17.85,18.02,-1.13,-6.2708,7.1478,4717520,82017485.52,2533500000.0,1114740000.0
2019-04-24,'002903,宇环数控,18.02,19.02,17.08,18.79,18.9,-0.88,-4.6561,9.628,6354466,115037469.21,2703000000.0,1189320000.0
2019-04-23,'002903,宇环数控,18.9,19.49,18.85,19.4,19.53,-0.63,-3.2258,5.9672,3938356,75427551.87,2835000000.0,1247400000.0
2019-04-22,'002903,宇环数控,19.53,20.27,19.5,20.0,20.36,-0.83,-4.0766,7.7855,5138427,102099189.33,2929500000.0,1288980000.0
2019-04-19,'002903,宇环数控,20.36,20.95,20.21,20.71,21.24,-0.88,-4.1431,12.8538,8483529,173575722.16,3054000000.0,1343760000.0
2019-04-18,'002903,宇环数控,21.24,21.5,20.5,21.02,20.65,0.59,2.8571,22.0449,14549623,307807911.36,3186000000.0,1401840000.0
2019-04-17,'002903,宇环数控,20.65,21.5,19.84,19.94,19.85,0.8,4.0302,14.179,9358167,192596440.31,3097500000.0,1362900000.0
2019-04-16,'002903,宇环数控,19.85,19.85,19.3,19.42,19.45,0.4,2.0566,4.8463,3198532,63028087.66,2977500000.0,1310100000.0
2019-04-15,'002903,宇环数控,19.45,19.9,19.4,19.68,19.55,-0.1,-0.5115,4.6766,3086584,60905567.1,2917500000.0,1283700000.0
2019-04-12,'002903,宇环数控,19.55,19.62,19.11,19.32,19.11,0.44,2.3025,4.3651,2880983,56087917.58,2932500000.0,1290300000.0
2019-04-11,'002903,宇环数控,19.11,19.71,19.1,19.68,19.66,-0.55,-2.7976,4.8899,3227350,62460577.0,2866500000.0,1261260000.0
2019-04-10,'002903,宇环数控,19.66,19.94,19.4,19.94,20.05,-0.39,-1.9451,5.9664,3937815,77305554.0,2949000000.0,1297560000.0
2019-04-09,'002903,宇环数控,20.05,20.15,19.7,19.74,19.85,0.2,1.0076,4.53,2989770,59696860.19,3007500000.0,1323300000.0
2019-04-08,'002903,宇环数控,19.85,20.71,19.62,20.53,20.53,-0.68,-3.3122,8.2912,5472198,110096816.0,2977500000.0,1310100000.0
2019-04-04,'002903,宇环数控,20.53,20.87,20.43,20.61,20.62,-0.09,-0.4365,7.5903,5009600,103375432.0,3079500000.0,1354980000.0
2019-04-03,'002903,宇环数控,20.62,20.67,20.17,20.45,20.6,0.02,0.0971,8.6956,5739119,117149133.79,3093000000.0,1360920000.0
2019-04-02,'002903,宇环数控,20.6,21.06,20.52,21.06,21.12,-0.52,-2.4621,13.1536,8681360,180146726.66,3090000000.0,1359600000.0
2019-04-01,'002903,宇环数控,21.12,21.15,20.2,20.31,20.76,0.36,1.7341,17.8886,11806477,245388759.42,3168000000.0,1393920000.0
2019-03-29,'002903,宇环数控,20.76,21.4,20.12,21.2,22.35,-1.59,-7.1141,23.8527,15742758,324618135.33,3114000000.0,1370160000.0
2019-03-28,'002903,宇环数控,22.35,23.5,21.02,21.25,21.38,0.97,4.537,27.4631,18125675,401400449.59,3352500000.0,1475100000.0
2019-03-27,'002903,宇环数控,21.38,21.38,20.56,21.25,21.37,0.01,0.0468,13.2212,8725977,183544880.56,3207000000.0,1411080000.0
2019-03-26,'002903,宇环数控,21.37,21.5,20.32,20.4,20.5,0.87,4.2439,19.8327,13089601,274450130.46,3205500000.0,1410420000.0
2019-03-25,'002903,宇环数控,20.5,20.89,19.44,19.64,19.97,0.53,2.654,10.9901,7253491,147609926.03,3075000000.0,1353000000.0
2019-03-22,'002903,宇环数控,19.97,20.38,19.63,20.31,20.36,-0.39,-1.9155,6.3563,4195159,83681678.91,2995500000.0,1318020000.0
2019-03-21,'002903,宇环数控,20.36,20.51,19.95,20.11,20.06,0.3,1.4955,7.6347,5038872,102192711.0,3054000000.0,1343760000.0
2019-03-20,'002903,宇环数控,20.06,20.38,19.52,20.35,20.19,-0.13,-0.6439,5.3479,3529627,70349470.42,3009000000.0,1323960000.0
2019-03-19,'002903,宇环数控,20.19,20.5,19.91,20.5,20.54,-0.35,-1.704,6.174,4074809,82505203.6,3028500000.0,1332540000.0
2019-03-18,'002903,宇环数控,20.54,20.55,19.75,19.88,19.82,0.72,3.6327,6.6138,4365118,88192123.3,3081000000.0,1355640000.0
2019-03-15,'002903,宇环数控,19.82,19.9,19.48,19.67,19.51,0.31,1.5889,5.8502,3861109,76244375.21,2973000000.0,1308120000.0
2019-03-14,'002903,宇环数控,19.51,20.47,19.32,20.26,20.23,-0.72,-3.5591,7.3286,4836850,95883946.14,2926500000.0,1287660000.0
2019-03-13,'002903,宇环数控,20.23,21.0,20.05,21.0,21.0,-0.77,-3.6667,9.0544,5975918,123072523.07,3034500000.0,1335180000.0
2019-03-12,'002903,宇环数控,21.0,21.39,20.59,21.25,20.9,0.1,0.4785,12.8304,8468038,177674172.31,3150000000.0,1386000000.0
2019-03-11,'002903,宇环数控,20.9,20.93,20.01,20.01,20.03,0.87,4.3435,10.1528,6700858,138192566.97,3135000000.0,1379400000.0
2019-03-08,'002903,宇环数控,20.03,21.28,19.8,21.03,21.81,-1.78,-8.1614,15.1825,10020459,206685564.94,3004500000.0,1321980000.0
2019-03-07,'002903,宇环数控,21.81,22.35,21.2,21.5,21.49,0.32,1.4891,23.9959,15837324,346213741.8,3271500000.0,1439460000.0
2019-03-06,'002903,宇环数控,21.49,21.5,20.55,21.0,21.5,-0.01,-0.0465,23.8916,15768457,331340303.76,3223500000.0,1418340000.0
2019-03-05,'002903,宇环数控,21.5,22.0,20.11,20.2,20.1,1.4,6.9652,36.4286,24042889,504702361.76,3225000000.0,1419000000.0
2019-03-04,'002903,宇环数控,20.1,20.1,18.22,18.39,18.27,1.83,10.0164,28.3351,18701167,366120698.2,3015000000.0,1326600000.0
