日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603658,安图生物,62.02,62.3,60.45,61.07,61.39,0.63,1.0262,0.7688,1049696,64898005.0,26048400000.0,8468074356.0
2019-04-25,'603658,安图生物,61.39,62.32,61.0,61.7,60.94,0.45,0.7384,0.8721,1190734,73437542.0,25783800000.0,8382055542.0
2019-04-24,'603658,安图生物,60.94,61.41,60.15,60.88,60.8,0.14,0.2303,0.6087,831101,50609644.0,25594800000.0,8320613532.0
2019-04-23,'603658,安图生物,60.8,62.49,60.59,61.42,61.32,-0.52,-0.848,0.6933,946577,57972271.0,25536000000.0,8301498240.0
2019-04-22,'603658,安图生物,61.32,63.2,60.39,62.36,62.26,-0.94,-1.5098,1.0724,1464274,90998527.0,25754400000.0,8372497896.0
2019-04-19,'603658,安图生物,62.26,63.7,61.61,62.35,62.25,0.01,0.0161,0.78,1065015,66592434.0,26149200000.0,8500843428.0
2019-04-18,'603658,安图生物,62.25,63.25,61.8,62.79,62.85,-0.6,-0.9547,0.4238,578699,36038225.0,26145000000.0,8499478050.0
2019-04-17,'603658,安图生物,62.85,64.38,62.63,63.13,63.14,-0.29,-0.4593,1.0031,1369572,86710012.0,26397000000.0,8581400730.0
2019-04-16,'603658,安图生物,63.14,63.45,61.3,62.68,62.38,0.76,1.2183,0.7843,1070818,67047551.0,26518800000.0,8620996692.0
2019-04-15,'603658,安图生物,62.38,67.38,61.8,66.78,66.03,-3.65,-5.5278,2.0526,2802585,178744765.0,26199600000.0,8517227964.0
2019-04-12,'603658,安图生物,66.03,68.88,65.0,68.59,68.44,-2.41,-3.5213,0.6779,925652,61897742.0,27732600000.0,9015590934.0
2019-04-11,'603658,安图生物,68.44,69.93,67.03,68.89,68.75,-0.31,-0.4509,1.5036,2053009,141221649.0,28744800000.0,9344647032.0
