日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600299,安迪苏,12.6,12.88,12.38,12.88,12.96,-0.36,-2.7778,0.5162,13842773,174678538.0,33791956039.8,33791956039.8
2019-04-25,'600299,安迪苏,12.96,13.99,12.96,13.89,14.4,-1.44,-10.0,1.1272,30229902,402830697.0,34757440498.1,34757440498.1
2019-04-24,'600299,安迪苏,14.4,14.6,14.18,14.5,14.52,-0.12,-0.8264,0.3483,9340505,133777474.0,38619378331.2,38619378331.2
2019-04-23,'600299,安迪苏,14.52,15.08,14.35,14.88,14.88,-0.36,-2.4194,0.416,11156114,162918677.0,38941206484.0,38941206484.0
2019-04-22,'600299,安迪苏,14.88,15.55,14.78,15.34,15.15,-0.27,-1.7822,0.5474,14681184,222308387.0,39906690942.2,39906690942.2
2019-04-19,'600299,安迪苏,15.15,15.5,14.86,15.05,14.85,0.3,2.0202,0.6434,17254874,262041613.0,40630804285.9,40630804285.9
2019-04-18,'600299,安迪苏,14.85,15.18,14.6,14.66,14.54,0.31,2.132,0.6083,16314638,243686659.0,39826233904.1,39826233904.1
2019-04-17,'600299,安迪苏,14.54,14.66,14.2,14.4,14.43,0.11,0.7623,0.4542,12181980,175799500.0,38994844509.4,38994844509.4
2019-04-16,'600299,安迪苏,14.43,14.68,14.0,14.53,14.7,-0.27,-1.8367,0.6572,17626640,252377126.0,38699835369.4,38699835369.4
2019-04-15,'600299,安迪苏,14.7,15.56,14.6,15.15,14.88,-0.18,-1.2097,0.7329,19655724,294202226.0,39423948713.1,39423948713.1
2019-04-12,'600299,安迪苏,14.88,15.6,14.75,15.26,15.21,-0.33,-2.1696,0.8076,21657786,326067085.0,39906690942.2,39906690942.2
2019-04-11,'600299,安迪苏,15.21,15.8,14.5,14.8,14.36,0.85,5.9192,1.6597,44512682,680031165.0,40791718362.3,40791718362.3
2019-04-10,'600299,安迪苏,14.36,14.36,12.88,12.93,13.05,1.31,10.0383,1.2581,33742137,469260685.0,38512102280.3,38512102280.3
2019-04-09,'600299,安迪苏,13.05,13.28,12.85,13.28,13.22,-0.17,-1.2859,0.3982,10679502,138902554.0,34998811612.7,34998811612.7
2019-04-08,'600299,安迪苏,13.22,13.5,12.76,13.0,12.74,0.48,3.7677,0.815,21857673,287753884.0,35454734829.1,35454734829.1
2019-04-04,'600299,安迪苏,12.74,12.95,12.58,12.59,12.58,0.16,1.2719,0.5274,14143999,180626724.0,34167422218.0,34167422218.0
2019-04-03,'600299,安迪苏,12.58,12.65,12.44,12.51,12.57,0.01,0.0796,0.3817,10238034,128158165.0,33738318014.3,33738318014.3
2019-04-02,'600299,安迪苏,12.57,12.8,12.52,12.7,12.67,-0.1,-0.7893,0.5317,14260500,180230758.0,33711499001.6,33711499001.6
2019-04-01,'600299,安迪苏,12.67,12.97,12.48,12.54,12.49,0.18,1.4412,0.795,21320787,271073128.0,33979689128.9,33979689128.9
2019-03-29,'600299,安迪苏,12.49,12.58,12.19,12.3,12.35,0.14,1.1336,0.4517,12113294,150504889.0,33496946899.8,33496946899.8
2019-03-28,'600299,安迪苏,12.35,13.14,12.31,12.75,12.83,-0.48,-3.7412,0.6442,17277271,219730273.0,33121480721.5,33121480721.5
2019-03-27,'600299,安迪苏,12.83,13.07,12.5,12.7,12.75,0.08,0.6275,0.5199,13943873,178900597.0,34408793332.6,34408793332.6
2019-03-26,'600299,安迪苏,12.75,13.49,12.34,12.35,12.33,0.42,3.4063,0.819,21964512,282179364.0,34194241230.8,34194241230.8
2019-03-25,'600299,安迪苏,12.33,12.64,12.05,12.16,12.37,-0.04,-0.3234,0.4177,11202004,138877310.0,33067842696.1,33067842696.1
2019-03-22,'600299,安迪苏,12.37,12.38,12.04,12.25,12.23,0.14,1.1447,0.3619,9705983,118953581.0,33175118747.0,33175118747.0
2019-03-21,'600299,安迪苏,12.23,12.49,12.09,12.27,12.09,0.14,1.158,0.4768,12787843,156853775.0,32799652568.8,32799652568.8
