日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300144,宋城演艺,22.11,22.58,22.0,22.22,22.32,-0.21,-0.9409,0.6561,9522102,212147580.03,32117158458.0,32086607545.4
2019-04-25,'300144,宋城演艺,22.32,23.05,22.28,22.45,22.43,-0.11,-0.4904,0.8497,12330547,279703109.02,32422206096.0,32391365011.9
2019-04-24,'300144,宋城演艺,22.43,22.82,22.06,22.79,22.74,-0.31,-1.3632,0.7534,10934119,244116627.56,32581992954.0,32550999875.3
2019-04-23,'300144,宋城演艺,22.74,23.18,22.53,22.75,22.74,0.0,0.0,0.5427,7875791,179758617.15,33032301372.0,33000879944.9
2019-04-22,'300144,宋城演艺,22.74,23.47,22.58,23.23,23.02,-0.28,-1.2163,0.9332,13543331,311778616.46,33032301372.0,33000879944.9
2019-04-19,'300144,宋城演艺,23.02,23.18,22.65,22.79,22.87,0.15,0.6559,0.6961,10101944,231451749.68,33439031556.0,33407223233.6
2019-04-18,'300144,宋城演艺,22.87,22.88,22.37,22.77,22.81,0.06,0.263,0.5309,7704972,174459072.47,33221140386.0,33189539329.0
2019-04-17,'300144,宋城演艺,22.81,23.04,22.71,22.95,22.99,-0.18,-0.7829,0.6151,8926673,203900627.0,33133983918.0,33102465767.1
2019-04-16,'300144,宋城演艺,22.99,23.02,22.23,22.4,22.32,0.67,3.0018,0.6002,8710640,197376602.2,33395453322.0,33363686452.7
2019-04-15,'300144,宋城演艺,22.32,23.05,22.23,22.72,22.51,-0.19,-0.8441,0.5893,8552521,194149082.82,32422206096.0,32391365011.9
2019-04-12,'300144,宋城演艺,22.51,22.92,22.32,22.6,22.72,-0.21,-0.9243,0.5274,7654163,172804201.79,32698201578.0,32667097957.8
2019-04-11,'300144,宋城演艺,22.72,23.31,22.58,23.26,23.15,-0.43,-1.8575,0.6933,10061978,230042958.33,33003249216.0,32971855424.3
2019-04-10,'300144,宋城演艺,23.15,23.22,22.86,23.16,23.22,-0.07,-0.3015,0.7334,10643762,244942656.15,33627870570.0,33595882617.7
2019-04-09,'300144,宋城演艺,23.22,23.48,22.91,23.29,23.3,-0.08,-0.3433,0.8063,11700909,270381450.8,33729553116.0,33697468439.8
2019-04-08,'300144,宋城演艺,23.3,24.24,23.08,24.07,24.05,-0.75,-3.1185,0.9349,13568224,318382226.12,33845761740.0,33813566522.3
2019-04-04,'300144,宋城演艺,24.05,24.45,23.74,23.91,23.83,0.22,0.9232,0.7033,10206650,246096521.92,34935217590.0,34901986045.6
2019-04-03,'300144,宋城演艺,23.83,24.14,23.51,23.81,23.85,-0.02,-0.0839,0.7158,10387307,246973407.0,34615643874.0,34582716318.7
2019-04-02,'300144,宋城演艺,23.85,23.97,23.45,23.89,23.61,0.24,1.0165,0.8572,12440047,295453410.51,34644696030.0,34611740839.3
2019-04-01,'300144,宋城演艺,23.61,24.1,23.5,23.65,23.2,0.41,1.7672,1.1663,16925523,402134395.02,34296070158.0,34263446591.9
2019-03-29,'300144,宋城演艺,23.2,23.41,22.23,22.53,22.36,0.84,3.7567,1.1666,16930612,388607664.92,33700500960.0,33668443919.2
2019-03-28,'300144,宋城演艺,22.36,23.21,22.24,22.88,22.91,-0.55,-2.4007,0.946,13728471,310330937.51,32480310408.0,32449414053.2
2019-03-27,'300144,宋城演艺,22.91,22.97,22.36,22.49,22.31,0.6,2.6894,0.6127,8892101,201835114.22,33279244698.0,33247588370.2
2019-03-26,'300144,宋城演艺,22.31,22.82,22.26,22.6,22.68,-0.37,-1.6314,0.7849,11390026,256352078.44,32407680018.0,32376852751.6
2019-03-25,'300144,宋城演艺,22.68,23.59,22.6,23.3,23.69,-1.01,-4.2634,1.0822,15705032,361615549.63,32945144904.0,32913806383.1
2019-03-22,'300144,宋城演艺,23.69,23.97,22.51,22.8,22.71,0.98,4.3153,1.6816,24403432,570366955.53,34412278782.0,34379544674.4
2019-03-21,'300144,宋城演艺,22.71,23.14,22.22,22.35,22.45,0.26,1.1581,1.2155,17639412,401473527.46,32988723138.0,32957343164.0
2019-03-20,'300144,宋城演艺,22.45,22.9,21.9,22.02,22.0,0.45,2.0455,1.3614,19756749,443812412.56,32611045110.0,32580024396.0
2019-03-19,'300144,宋城演艺,22.0,22.39,21.81,22.2,22.15,-0.15,-0.6772,0.8209,11913517,263078499.91,31957371600.0,31926972682.0
2019-03-18,'300144,宋城演艺,22.15,22.16,21.4,21.97,21.73,0.42,1.9328,0.9531,13831535,301913850.06,32175262770.0,32144656586.7
2019-03-15,'300144,宋城演艺,21.73,22.13,21.58,21.9,21.79,-0.06,-0.2754,0.7409,10751663,234457066.94,31565167494.0,31535141653.6
2019-03-14,'300144,宋城演艺,21.79,22.38,21.58,21.66,21.99,-0.2,-0.9095,0.8342,12106674,265180902.23,31652323962.0,31622215215.5
2019-03-13,'300144,宋城演艺,21.99,22.95,21.8,22.49,22.41,-0.42,-1.8742,0.9687,14058114,313960843.8,31942845522.0,31912460421.7
