日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300726,宏达电子,19.81,20.13,19.7,19.89,19.89,-0.08,-0.4022,2.3865,2675247,53192950.4,7925981000.0,2220701000.0
2019-04-25,'300726,宏达电子,19.89,20.99,19.89,20.86,20.93,-1.04,-4.9689,3.0367,3404100,69492603.6,7957989000.0,2229669000.0
2019-04-24,'300726,宏达电子,20.93,20.98,20.41,20.58,20.56,0.37,1.7996,2.5418,2849390,59157925.0,8374093000.0,2346253000.0
2019-04-23,'300726,宏达电子,20.56,21.46,20.51,21.07,21.23,-0.67,-3.1559,3.5705,4002560,83796517.6,8226056000.0,2304776000.0
2019-04-22,'300726,宏达电子,21.23,22.0,21.21,22.0,21.89,-0.66,-3.0151,3.6199,4057943,87602032.88,8494123000.0,2379883000.0
2019-04-19,'300726,宏达电子,21.89,22.15,21.45,21.84,21.89,0.0,0.0,3.9027,4374940,95331625.51,8758189000.0,2453869000.0
2019-04-18,'300726,宏达电子,21.89,22.18,21.56,21.7,21.78,0.11,0.5051,5.6551,6339400,138927514.0,8758189000.0,2453869000.0
2019-04-17,'300726,宏达电子,21.78,21.98,21.34,21.73,21.7,0.08,0.3687,5.036,5645300,122264701.65,8714178000.0,2441538000.0
2019-04-16,'300726,宏达电子,21.7,21.75,20.3,20.62,20.8,0.9,4.3269,5.3946,6047385,128407269.79,8682170000.0,2432570000.0
2019-04-15,'300726,宏达电子,20.8,21.5,20.8,20.98,20.78,0.02,0.0962,3.3373,3741100,79201635.0,8322080000.0,2331680000.0
2019-04-12,'300726,宏达电子,20.78,20.96,20.5,20.66,20.7,0.08,0.3865,1.9874,2227900,46097446.0,8314078000.0,2329438000.0
2019-04-11,'300726,宏达电子,20.7,21.13,20.62,20.94,20.84,-0.14,-0.6718,2.6254,2943100,61456196.0,8282070000.0,2320470000.0
2019-04-10,'300726,宏达电子,20.84,21.1,20.16,21.1,21.14,-0.3,-1.4191,2.5496,2858092,59353557.64,8338084000.0,2336164000.0
2019-04-09,'300726,宏达电子,21.14,21.37,20.62,20.92,20.91,0.23,1.1,3.1101,3486457,73624817.44,8458114000.0,2369794000.0
2019-04-08,'300726,宏达电子,20.91,22.09,20.71,21.88,21.89,-0.98,-4.4769,5.2466,5881384,125190403.86,8366091000.0,2344011000.0
2019-04-04,'300726,宏达电子,21.89,22.26,21.73,22.15,21.99,-0.1,-0.4548,4.9939,5598196,122779860.68,8758189000.0,2453869000.0
2019-04-03,'300726,宏达电子,21.99,22.2,21.57,21.75,21.98,0.01,0.0455,4.6737,5239245,114369655.5,8798199000.0,2465079000.0
2019-04-02,'300726,宏达电子,21.98,22.46,21.3,21.4,21.26,0.72,3.3866,7.7171,8650848,188521510.03,8794198000.0,2463958000.0
2019-04-01,'300726,宏达电子,21.26,21.27,20.64,20.64,20.55,0.71,3.455,4.9396,5537241,116789482.89,8506126000.0,2383246000.0
2019-03-29,'300726,宏达电子,20.55,20.55,19.95,20.22,20.09,0.46,2.2897,4.0182,4504372,91646509.92,8222055000.0,2303655000.0
2019-03-28,'300726,宏达电子,20.09,20.6,19.92,20.2,20.25,-0.16,-0.7901,3.0379,3405500,69161561.0,8038009000.0,2252089000.0
2019-03-27,'300726,宏达电子,20.25,20.56,20.01,20.3,20.28,-0.03,-0.1479,2.8952,3245560,65801502.0,8102025000.0,2270025000.0
2019-03-26,'300726,宏达电子,20.28,21.88,20.02,21.74,21.65,-1.37,-6.3279,5.8663,6576162,137535790.01,8114028000.0,2273388000.0
2019-03-25,'300726,宏达电子,21.65,22.1,20.82,20.95,21.28,0.37,1.7387,7.1821,8051181,173952622.4,8662165000.0,2426965000.0
2019-03-22,'300726,宏达电子,21.28,21.36,20.86,21.16,21.16,0.12,0.5671,3.8808,4350424,92008469.6,8514128000.0,2385488000.0
2019-03-21,'300726,宏达电子,21.16,21.33,20.96,21.16,21.0,0.16,0.7619,4.1849,4691324,99292929.72,8466116000.0,2372036000.0
2019-03-20,'300726,宏达电子,21.0,21.35,20.65,21.35,21.29,-0.29,-1.3621,3.7165,4166242,87408255.85,8402100000.0,2354100000.0
2019-03-19,'300726,宏达电子,21.29,21.67,21.08,21.4,21.3,-0.01,-0.0469,4.4925,5036074,107636733.3,8518129000.0,2386609000.0
2019-03-18,'300726,宏达电子,21.3,21.43,20.73,21.13,21.11,0.19,0.9,5.0331,5642063,119513678.82,8522130000.0,2387730000.0
2019-03-15,'300726,宏达电子,21.11,21.36,20.65,21.15,21.08,0.03,0.1423,4.7272,5299149,111986633.34,8446111000.0,2366431000.0
2019-03-14,'300726,宏达电子,21.08,21.98,20.55,21.5,21.76,-0.68,-3.125,5.9842,6708246,142038469.4,8434108000.0,2363068000.0
2019-03-13,'300726,宏达电子,21.76,23.05,21.51,22.57,22.6,-0.84,-3.7168,7.944,8905273,198617781.42,8706176000.0,2439296000.0
2019-03-12,'300726,宏达电子,22.6,23.55,22.34,23.5,22.7,-0.1,-0.4405,11.8305,13261979,302658803.22,9042260000.0,2533460000.0
2019-03-11,'300726,宏达电子,22.7,22.88,21.4,21.81,21.22,1.48,6.9746,10.3028,11549482,256255188.51,9082270000.0,2544670000.0
2019-03-08,'300726,宏达电子,21.22,22.98,20.52,20.78,21.2,0.02,0.0943,11.5061,12898374,280567796.23,8490122000.0,2378762000.0
2019-03-07,'300726,宏达电子,21.2,21.5,20.74,20.79,21.04,0.16,0.7605,8.3955,9411409,199029433.68,8482120000.0,2376520000.0
2019-03-06,'300726,宏达电子,21.04,21.35,20.56,21.09,21.18,-0.14,-0.661,7.8762,8829253,184401809.84,8418104000.0,2358584000.0
2019-03-05,'300726,宏达电子,21.18,21.2,19.8,20.01,20.21,0.97,4.7996,9.9949,11204289,230886069.53,8474118000.0,2374278000.0
2019-03-04,'300726,宏达电子,20.21,20.67,20.11,20.3,20.1,0.11,0.5473,7.8668,8818687,180017708.66,8086021000.0,2265541000.0
2019-03-01,'300726,宏达电子,20.1,20.16,19.73,20.0,20.15,-0.05,-0.2481,3.7416,4194300,83561966.6,8042010000.0,2253210000.0
2019-02-28,'300726,宏达电子,20.15,20.78,19.69,20.21,20.22,-0.07,-0.3462,6.2825,7042721,141751564.85,8062015000.0,2258815000.0
2019-02-27,'300726,宏达电子,20.22,20.93,19.8,19.81,20.0,0.22,1.1,8.7495,9808193,199492766.61,8090022000.0,2266662000.0
2019-02-26,'300726,宏达电子,20.0,20.33,19.53,20.03,20.35,-0.35,-1.7199,8.5708,9607905,191428694.68,8002000000.0,2242000000.0
2019-02-25,'300726,宏达电子,20.35,20.72,18.92,19.32,18.97,1.38,7.2746,12.0262,13481410,264635210.98,8142035000.0,2281235000.0
2019-02-22,'300726,宏达电子,18.97,18.98,18.12,18.23,18.48,0.49,2.6515,5.868,6578040,122956387.12,7589897000.0,2126537000.0
2019-02-21,'300726,宏达电子,18.48,19.08,18.25,18.47,18.52,-0.04,-0.216,6.4718,7254869,135697270.43,7393848000.0,2071608000.0
2019-02-20,'300726,宏达电子,18.52,18.59,18.17,18.59,18.66,-0.14,-0.7503,3.4714,3891492,71404885.58,7409852000.0,2076092000.0
