日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300328,宜安科技,9.37,9.57,9.29,9.39,9.26,0.11,1.1879,1.2579,5789763,54581187.02,4312846088.0,4312846088.0
2019-04-25,'300328,宜安科技,9.26,9.78,9.2,9.71,9.78,-0.52,-5.317,1.4682,6757743,64222227.04,4262215024.0,4262215024.0
2019-04-24,'300328,宜安科技,9.78,9.84,9.5,9.66,9.6,0.18,1.875,1.3647,6281500,60956857.6,4501561872.0,4501561872.0
2019-04-23,'300328,宜安科技,9.6,10.0,9.55,9.94,9.94,-0.34,-3.4205,1.7486,8048636,78144392.64,4418711040.0,4418711040.0
2019-04-22,'300328,宜安科技,9.94,10.32,9.92,10.2,10.26,-0.32,-3.1189,2.047,9421840,95001545.6,4575207056.0,4575207056.0
2019-04-19,'300328,宜安科技,10.26,10.47,9.98,10.33,10.26,0.0,0.0,2.3151,10656093,107842144.21,4722497424.0,4722497424.0
2019-04-18,'300328,宜安科技,10.26,10.67,10.16,10.58,10.53,-0.27,-2.5641,2.9203,13441649,139014129.23,4722497424.0,4722497424.0
2019-04-17,'300328,宜安科技,10.53,11.29,10.53,11.06,11.14,-0.61,-5.4758,3.6611,16851374,183949466.22,4846773672.0,4846773672.0
2019-04-16,'300328,宜安科技,11.14,11.2,10.58,10.66,10.8,0.34,3.1481,3.8305,17630911,193508007.33,5127545936.0,5127545936.0
2019-04-15,'300328,宜安科技,10.8,10.88,10.41,10.72,10.55,0.25,2.3697,3.4384,15826553,168184795.82,4971049920.0,4971049920.0
2019-04-12,'300328,宜安科技,10.55,10.85,10.28,10.58,10.58,-0.03,-0.2836,3.6462,16782691,178019892.83,4855979320.0,4855979320.0
2019-04-11,'300328,宜安科技,10.58,11.1,9.99,10.18,10.18,0.4,3.9293,6.8804,31669073,330583235.87,4869787792.0,4869787792.0
2019-04-10,'300328,宜安科技,10.18,10.25,9.6,9.93,9.87,0.31,3.1408,3.8567,17751658,176076675.8,4685674832.0,4685674832.0
2019-04-09,'300328,宜安科技,9.87,9.89,9.51,9.75,9.67,0.2,2.0683,1.9534,8991145,87677325.47,4542987288.0,4542987288.0
2019-04-08,'300328,宜安科技,9.67,9.97,9.53,9.78,9.73,-0.06,-0.6166,2.0387,9383834,91473591.1,4450930808.0,4450930808.0
2019-04-04,'300328,宜安科技,9.73,9.99,9.71,9.98,9.89,-0.16,-1.6178,1.5824,7283437,71524189.26,4478547752.0,4478547752.0
2019-04-03,'300328,宜安科技,9.89,10.0,9.75,9.87,9.86,0.03,0.3043,1.7812,8198424,80800185.6,4552192936.0,4552192936.0
2019-04-02,'300328,宜安科技,9.86,10.18,9.83,10.0,10.0,-0.14,-1.4,2.5474,11725382,117286307.36,4538384464.0,4538384464.0
2019-04-01,'300328,宜安科技,10.0,10.15,9.56,9.56,9.5,0.5,5.2632,2.9334,13502063,134465169.69,4602824000.0,4602824000.0
2019-03-29,'300328,宜安科技,9.5,9.62,9.26,9.32,9.4,0.1,1.0638,1.6804,7734700,73291434.68,4372682800.0,4372682800.0
2019-03-28,'300328,宜安科技,9.4,9.71,9.3,9.41,9.36,0.04,0.4274,1.8355,8448500,80398700.8,4326654560.0,4326654560.0
