ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'601011,±¦Ì©Â¡,7.04,7.18,7.01,7.01,7.09,-0.05,-0.7052,2.5781,41229133,292272365.0,11341296362.9,11258510186.9
2019-04-25,'601011,±¦Ì©Â¡,7.09,7.55,7.05,7.55,7.67,-0.58,-7.5619,5.1634,82574384,602257580.0,11421845342.7,11338471196.7
2019-04-24,'601011,±¦Ì©Â¡,7.67,7.78,7.37,7.38,7.4,0.27,3.6486,5.6717,90703050,691641488.0,12356213509.0,12266018911.0
2019-04-23,'601011,±¦Ì©Â¡,7.4,7.88,7.3,7.8,8.11,-0.71,-8.7546,8.0535,128793906,977375763.0,11921249017.8,11834229457.8
2019-04-22,'601011,±¦Ì©Â¡,8.11,8.7,8.07,8.51,7.93,0.18,2.2699,14.1871,226883359,1902167250.0,13065044531.7,12969675797.7
2019-04-19,'601011,±¦Ì©Â¡,7.93,7.93,7.3,7.41,7.21,0.72,9.9861,10.1129,161728132,1257233636.0,12775068204.2,12681816162.2
2019-04-18,'601011,±¦Ì©Â¡,7.21,7.5,6.74,6.97,7.03,0.18,2.5605,5.6405,90203421,632701433.0,11615162894.4,11530377620.4
2019-04-17,'601011,±¦Ì©Â¡,7.03,7.09,6.95,7.0,7.01,0.02,0.2853,1.7851,28546902,200591401.0,11325186566.9,11242517984.9
2019-04-16,'601011,±¦Ì©Â¡,7.01,7.03,6.76,6.78,6.86,0.15,2.1866,1.6967,27134078,188367789.0,11292966975.0,11210533581.0
2019-04-15,'601011,±¦Ì©Â¡,6.86,7.1,6.85,7.02,6.95,-0.09,-1.295,1.8475,29544981,207177132.0,11051320035.4,10970650551.4
2019-04-12,'601011,±¦Ì©Â¡,6.95,7.03,6.87,6.99,6.98,-0.03,-0.4298,1.4532,23240546,160962333.0,11196308199.1,11114580369.1
2019-04-11,'601011,±¦Ì©Â¡,6.98,7.22,6.98,7.12,7.14,-0.16,-2.2409,2.0304,32470796,230042380.0,11244637587.1,11162556975.1
2019-04-10,'601011,±¦Ì©Â¡,7.14,7.25,7.01,7.12,7.2,-0.06,-0.8333,2.0185,32279637,229398359.0,11502394322.6,11418432206.6
2019-04-09,'601011,±¦Ì©Â¡,7.2,7.38,7.12,7.38,7.47,-0.27,-3.6145,3.3524,53611556,386447525.0,11599053098.4,11514385418.4
2019-04-08,'601011,±¦Ì©Â¡,7.47,7.75,7.33,7.47,7.37,0.1,1.3569,6.3172,101025855,761025319.0,12034017589.6,11946174871.6
2019-04-04,'601011,±¦Ì©Â¡,7.37,7.49,7.1,7.12,7.1,0.27,3.8028,5.4285,86813592,635901672.0,11872919629.9,11786252851.9
2019-04-03,'601011,±¦Ì©Â¡,7.1,7.35,7.05,7.1,7.2,-0.1,-1.3889,3.4365,54956900,393356610.0,11437955138.7,11354463398.7
2019-04-02,'601011,±¦Ì©Â¡,7.2,7.45,6.74,6.82,6.8,0.4,5.8824,5.2053,83244505,586330625.0,11599053098.4,11514385418.4
2019-04-01,'601011,±¦Ì©Â¡,6.8,6.84,6.61,6.65,6.61,0.19,2.8744,2.3849,38140258,257790891.0,10954661259.6,10874697339.6
2019-03-29,'601011,±¦Ì©Â¡,6.61,6.62,6.41,6.45,6.45,0.16,2.4806,1.7733,28358850,185554398.0,10648575136.2,10570845502.2
2019-03-28,'601011,±¦Ì©Â¡,6.45,6.55,6.42,6.51,6.52,-0.07,-1.0736,1.1545,18462647,119584700.0,10390818400.6,10314970270.6
2019-03-27,'601011,±¦Ì©Â¡,6.52,6.58,6.45,6.5,6.45,0.07,1.0853,1.2463,19930712,129669210.0,10503586972.4,10426915684.4
2019-03-26,'601011,±¦Ì©Â¡,6.45,6.78,6.44,6.73,6.68,-0.23,-3.4431,1.945,31105602,204684285.0,10390818400.6,10314970270.6
