�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'300246,惘應杻,14.44,15.24,14.43,15.18,15.28,-0.84,-5.4974,2.432,3552831,52974506.54,2109510720.0,2109510720.0
2019-04-25,'300246,惘應杻,15.28,16.08,15.26,15.9,15.76,-0.48,-3.0457,3.6749,5368546,83945731.94,2232224640.0,2232224640.0
2019-04-24,'300246,惘應杻,15.76,15.78,14.97,15.2,15.32,0.44,2.8721,4.1675,6088246,94401054.37,2302346880.0,2302346880.0
2019-04-23,'300246,惘應杻,15.32,15.5,14.53,14.75,14.66,0.66,4.502,3.9308,5742393,87345618.74,2238068160.0,2238068160.0
2019-04-22,'300246,惘應杻,14.66,15.25,14.63,15.25,15.2,-0.54,-3.5526,1.9531,2853207,42528850.16,2141650080.0,2141650080.0
2019-04-19,'300246,惘應杻,15.2,15.25,14.84,14.91,14.54,0.66,4.5392,2.9074,4247365,64047491.57,2220537600.0,2220537600.0
2019-04-18,'300246,惘應杻,14.54,14.77,14.53,14.74,14.74,-0.2,-1.3569,0.9408,1374379,20085772.22,2124119520.0,2124119520.0
2019-04-17,'300246,惘應杻,14.74,14.91,14.62,14.82,14.85,-0.11,-0.7407,1.2048,1760024,26009655.96,2153337120.0,2153337120.0
2019-04-16,'300246,惘應杻,14.85,14.89,14.21,14.43,14.48,0.37,2.5552,1.3822,2019220,29299168.59,2169406800.0,2169406800.0
2019-04-15,'300246,惘應杻,14.48,15.07,14.48,14.82,14.76,-0.28,-1.897,1.53,2235100,33143808.0,2115354240.0,2115354240.0
2019-04-12,'300246,惘應杻,14.76,15.09,14.67,14.9,15.0,-0.24,-1.6,1.5858,2316701,34308383.75,2156258880.0,2156258880.0
2019-04-11,'300246,惘應杻,15.0,15.36,14.8,15.2,15.05,-0.05,-0.3322,2.2831,3335300,50356600.01,2191320000.0,2191320000.0
2019-04-10,'300246,惘應杻,15.05,15.35,14.74,14.76,15.28,-0.23,-1.5052,2.4759,3617060,54389393.98,2198624400.0,2198624400.0
2019-04-09,'300246,惘應杻,15.28,15.42,14.94,14.98,14.99,0.29,1.9346,1.9229,2809100,42712218.16,2232224640.0,2232224640.0
2019-04-08,'300246,惘應杻,14.99,15.5,14.82,15.49,15.31,-0.32,-2.0901,2.1629,3159793,47657754.21,2189859120.0,2189859120.0
2019-04-04,'300246,惘應杻,15.31,15.62,15.16,15.6,15.57,-0.26,-1.6699,2.2567,3296762,50471873.0,2236607280.0,2236607280.0
2019-04-03,'300246,惘應杻,15.57,15.82,15.25,15.41,15.53,0.04,0.2576,2.2236,3248439,50446901.67,2274590160.0,2274590160.0
2019-04-02,'300246,惘應杻,15.53,16.4,15.46,15.46,14.96,0.57,3.8102,4.5391,6631139,104765558.98,2268746640.0,2268746640.0
2019-04-01,'300246,惘應杻,14.96,14.97,14.41,14.47,14.41,0.55,3.8168,2.4481,3576322,52911781.76,2185476480.0,2185476480.0
2019-03-29,'300246,惘應杻,14.41,14.43,13.72,13.85,13.83,0.58,4.1938,1.6058,2345860,33100683.4,2105128080.0,2105128080.0
2019-03-28,'300246,惘應杻,13.83,14.19,13.81,14.14,14.11,-0.28,-1.9844,1.1669,1704700,23903546.0,2020397040.0,2020397040.0
2019-03-27,'300246,惘應杻,14.11,14.12,13.82,13.94,13.8,0.31,2.2464,1.5211,2222205,31134951.43,2061301680.0,2061301680.0
2019-03-26,'300246,惘應杻,13.8,14.4,13.71,14.37,14.27,-0.47,-3.2936,1.3391,1956200,27561389.0,2016014400.0,2016014400.0
2019-03-25,'300246,惘應杻,14.27,14.44,14.08,14.18,14.45,-0.18,-1.2457,0.9926,1450044,20708436.98,2084675760.0,2084675760.0
2019-03-22,'300246,惘應杻,14.45,14.47,14.08,14.36,14.5,-0.05,-0.3448,1.3601,1986991,28369614.41,2110971600.0,2110971600.0
2019-03-21,'300246,惘應杻,14.5,14.56,14.2,14.3,14.28,0.22,1.5406,1.6384,2393519,34457801.1,2118276000.0,2118276000.0
2019-03-20,'300246,惘應杻,14.28,14.33,13.9,14.31,14.32,-0.04,-0.2793,1.2524,1829644,25927693.76,2086136640.0,2086136640.0
2019-03-19,'300246,惘應杻,14.32,14.39,14.09,14.22,14.3,0.02,0.1399,1.4847,2169020,30920396.69,2091980160.0,2091980160.0
2019-03-18,'300246,惘應杻,14.3,14.32,13.78,13.92,13.9,0.4,2.8777,1.4967,2186440,30799692.5,2089058400.0,2089058400.0
2019-03-15,'300246,惘應杻,13.9,14.06,13.62,13.84,13.69,0.21,1.534,1.1649,1701738,23611130.62,2030623200.0,2030623200.0
2019-03-14,'300246,惘應杻,13.69,14.27,13.45,14.18,14.22,-0.53,-3.7271,2.029,2964083,40766483.76,1999944720.0,1999944720.0
2019-03-13,'300246,惘應杻,14.22,14.7,14.02,14.58,14.54,-0.32,-2.2008,1.7261,2521583,36242545.28,2077371360.0,2077371360.0
2019-03-12,'300246,惘應杻,14.54,14.97,14.23,14.9,14.5,0.04,0.2759,3.2976,4817462,70179976.77,2124119520.0,2124119520.0
2019-03-11,'300246,惘應杻,14.5,14.5,13.66,13.66,13.61,0.89,6.5393,2.6324,3845558,54392274.36,2118276000.0,2118276000.0
2019-03-08,'300246,惘應杻,13.61,14.39,13.51,14.2,14.47,-0.86,-5.9433,2.4152,3528301,49425022.58,1988257680.0,1988257680.0
2019-03-07,'300246,惘應杻,14.47,14.63,14.1,14.16,14.23,0.24,1.6866,2.4117,3523203,50598885.63,2113893360.0,2113893360.0
2019-03-06,'300246,惘應杻,14.23,14.28,13.85,14.0,13.95,0.28,2.0072,2.6907,3930812,55356188.58,2078832240.0,2078832240.0
2019-03-05,'300246,惘應杻,13.95,13.95,13.65,13.71,13.79,0.16,1.1603,2.082,3041550,41971329.01,2037927600.0,2037927600.0
2019-03-04,'300246,惘應杻,13.79,14.05,13.66,13.8,13.75,0.04,0.2909,2.9545,4316156,59704209.9,2014553520.0,2014553520.0
2019-03-01,'300246,惘應杻,13.75,14.02,13.52,14.0,13.94,-0.19,-1.363,2.5794,3768232,51501289.85,2008710000.0,2008710000.0
2019-02-28,'300246,惘應杻,13.94,13.95,13.25,13.31,13.29,0.65,4.8909,2.8306,4135136,56315121.64,2036466720.0,2036466720.0
2019-02-27,'300246,惘應杻,13.29,13.72,13.11,13.11,13.23,0.06,0.4535,2.1035,3072999,41220070.03,1941509520.0,1941509520.0
2019-02-26,'300246,惘應杻,13.23,13.78,13.05,13.18,13.2,0.03,0.2273,2.8768,4202662,56519386.45,1932744240.0,1932744240.0
2019-02-25,'300246,惘應杻,13.2,13.2,12.61,12.76,12.6,0.6,4.7619,2.6789,3913588,50750508.06,1928361600.0,1928361600.0
