日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601968,宝钢包装,5.06,5.07,4.95,5.06,5.07,-0.01,-0.1972,0.4933,4110556,20570903.0,4216666498.0,4216666498.0
2019-04-25,'601968,宝钢包装,5.07,5.31,5.06,5.31,5.33,-0.26,-4.878,0.7505,6253900,32324795.0,4224999831.0,4224999831.0
2019-04-24,'601968,宝钢包装,5.33,5.34,5.2,5.24,5.24,0.09,1.7176,0.5383,4485800,23653921.0,4441666489.0,4441666489.0
2019-04-23,'601968,宝钢包装,5.24,5.41,5.18,5.4,5.36,-0.12,-2.2388,0.564,4700300,24875664.0,4366666492.0,4366666492.0
2019-04-22,'601968,宝钢包装,5.36,5.54,5.34,5.53,5.51,-0.15,-2.7223,0.7053,5877300,31785099.0,4466666488.0,4466666488.0
2019-04-19,'601968,宝钢包装,5.51,5.52,5.41,5.46,5.44,0.07,1.2868,0.4747,3956000,21671513.0,4591666483.0,4591666483.0
2019-04-18,'601968,宝钢包装,5.44,5.5,5.43,5.49,5.46,-0.02,-0.3663,0.3922,3268613,17856017.0,4533333152.0,4533333152.0
2019-04-17,'601968,宝钢包装,5.46,5.55,5.44,5.54,5.54,-0.08,-1.444,0.6049,5041113,27617532.0,4549999818.0,4549999818.0
2019-04-16,'601968,宝钢包装,5.54,5.55,5.35,5.48,5.5,0.04,0.7273,0.7386,6155239,33652752.0,4616666482.0,4616666482.0
2019-04-15,'601968,宝钢包装,5.5,5.81,5.45,5.7,5.65,-0.15,-2.6549,1.3034,10861713,61403711.0,4583333150.0,4583333150.0
2019-04-12,'601968,宝钢包装,5.65,5.65,5.5,5.51,5.56,0.09,1.6187,0.9093,7577766,42150951.0,4708333145.0,4708333145.0
2019-04-11,'601968,宝钢包装,5.56,5.62,5.53,5.59,5.61,-0.05,-0.8913,0.6344,5286300,29469732.0,4633333148.0,4633333148.0
2019-04-10,'601968,宝钢包装,5.61,5.67,5.48,5.62,5.67,-0.06,-1.0582,1.0148,8456893,47088139.0,4674999813.0,4674999813.0
2019-04-09,'601968,宝钢包装,5.67,5.74,5.59,5.65,5.7,-0.03,-0.5263,1.5179,12649131,71702646.0,4724999811.0,4724999811.0
2019-04-08,'601968,宝钢包装,5.7,5.7,5.3,5.5,5.47,0.23,4.2048,1.9785,16487543,90538766.0,4749999810.0,4749999810.0
2019-04-04,'601968,宝钢包装,5.47,5.64,5.43,5.64,5.69,-0.22,-3.8664,1.7088,14240372,78372331.0,4558333151.0,4558333151.0
2019-04-03,'601968,宝钢包装,5.69,5.76,5.41,5.49,5.49,0.2,3.643,2.707,22558530,124756458.0,4741666477.0,4741666477.0
2019-04-02,'601968,宝钢包装,5.49,5.49,5.18,5.2,5.16,0.33,6.3953,2.3105,19254561,103553041.0,4574999817.0,4574999817.0
