日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300612,宣亚国际,20.86,21.15,20.5,20.79,20.66,0.2,0.9681,3.9554,1842239,38528196.08,3379320000.0,971554500.0
2019-04-25,'300612,宣亚国际,20.66,22.55,20.32,22.26,22.4,-1.74,-7.7679,5.1048,2377550,51295542.72,3346920000.0,962239500.0
2019-04-24,'300612,宣亚国际,22.4,22.5,21.77,22.06,22.06,0.34,1.5413,4.0697,1895486,41939868.53,3628800000.0,1043280000.0
2019-04-23,'300612,宣亚国际,22.06,22.49,21.93,22.14,21.92,0.14,0.6387,3.3836,1575910,34948424.75,3573720000.0,1027444500.0
2019-04-22,'300612,宣亚国际,21.92,22.85,21.86,22.7,22.75,-0.83,-3.6484,4.41,2053958,45801854.57,3551040000.0,1020924000.0
2019-04-19,'300612,宣亚国际,22.75,23.0,22.4,22.62,22.49,0.26,1.1561,3.3586,1564288,35456606.46,3685500000.0,1059581250.0
2019-04-18,'300612,宣亚国际,22.49,23.0,22.33,23.0,22.91,-0.42,-1.8333,4.0493,1885949,42688561.58,3643380000.0,1047471750.0
2019-04-17,'300612,宣亚国际,22.91,23.3,22.78,23.0,23.15,-0.24,-1.0367,4.6675,2173875,50010626.85,3711420000.0,1067033250.0
2019-04-16,'300612,宣亚国际,23.15,23.45,22.05,23.0,23.52,-0.37,-1.5731,6.6183,3082463,70168628.71,3750300000.0,1078211250.0
2019-04-15,'300612,宣亚国际,23.52,24.74,23.51,24.58,24.05,-0.53,-2.2037,4.8267,2248031,54217164.26,3810240000.0,1095444000.0
2019-04-12,'300612,宣亚国际,24.05,24.2,23.2,23.48,23.35,0.7,2.9979,5.7079,2658432,63204014.8,3896100000.0,1120128750.0
2019-04-11,'300612,宣亚国际,23.35,23.87,23.3,23.43,23.59,-0.24,-1.0174,4.1543,1934846,45590706.23,3782700000.0,1087526250.0
2019-04-10,'300612,宣亚国际,23.59,24.42,23.52,24.0,24.84,-1.25,-5.0322,7.9112,3684659,87830614.46,3821580000.0,1098704250.0
2019-04-09,'300612,宣亚国际,24.84,25.19,23.35,24.31,24.31,0.53,2.1802,8.2231,3829932,94356723.88,4024080000.0,1156923000.0
2019-04-08,'300612,宣亚国际,24.31,25.9,24.31,25.9,25.58,-1.27,-4.9648,9.8128,4570293,113472291.36,3938220000.0,1132238250.0
2019-04-04,'300612,宣亚国际,25.58,27.12,25.58,27.0,26.92,-1.34,-4.9777,12.4693,5807593,151036031.91,4143960000.0,1191388500.0
2019-04-03,'300612,宣亚国际,26.92,27.67,26.7,27.3,28.14,-1.22,-4.3355,14.3933,6703668,181700596.88,4361040000.0,1253799000.0
2019-04-02,'300612,宣亚国际,28.14,29.2,26.73,27.31,27.29,0.85,3.1147,23.5528,10969721,304531964.17,4558680000.0,1310620500.0
2019-04-01,'300612,宣亚国际,27.29,28.64,26.6,27.5,26.04,1.25,4.8003,20.5854,9587651,263350670.61,4420980000.0,1271031750.0
2019-03-29,'300612,宣亚国际,26.04,26.5,23.8,24.09,24.6,1.44,5.8537,17.0013,7918338,200209743.34,4218480000.0,1212813000.0
2019-03-28,'300612,宣亚国际,24.6,25.8,23.18,23.23,24.08,0.52,2.1595,12.4571,5801917,141336681.63,3985200000.0,1145745000.0
2019-03-27,'300612,宣亚国际,24.08,24.87,23.01,24.5,25.04,-0.96,-3.8339,8.42,3921617,93921604.38,3900960000.0,1121526000.0
2019-03-26,'300612,宣亚国际,25.04,26.5,24.5,24.5,24.17,0.87,3.5995,15.3968,7171044,183460705.06,4056480000.0,1166238000.0
2019-03-25,'300612,宣亚国际,24.17,24.66,23.01,23.5,24.0,0.17,0.7083,7.784,3625375,87300950.64,3915540000.0,1125717750.0
2019-03-22,'300612,宣亚国际,24.0,24.25,22.93,24.22,24.45,-0.45,-1.8405,9.6204,4480707,106355078.96,3888000000.0,1117800000.0
2019-03-21,'300612,宣亚国际,24.45,25.44,23.54,24.05,23.91,0.54,2.2585,14.7264,6858804,167715261.36,3960900000.0,1138758750.0
2019-03-20,'300612,宣亚国际,23.91,24.33,22.9,24.3,24.42,-0.51,-2.0885,7.4093,3450890,81687638.67,3873420000.0,1113608250.0
2019-03-19,'300612,宣亚国际,24.42,24.71,23.85,24.21,24.45,-0.03,-0.1227,7.0713,3293469,79552455.41,3956040000.0,1137361500.0
2019-03-18,'300612,宣亚国际,24.45,24.5,23.23,24.0,23.55,0.9,3.8217,7.1744,3341484,80503299.03,3960900000.0,1138758750.0
2019-03-15,'300612,宣亚国际,23.55,24.43,23.1,24.08,23.68,-0.13,-0.549,5.8721,2734931,65041008.63,3815100000.0,1096841250.0
2019-03-14,'300612,宣亚国际,23.68,24.9,22.9,24.7,24.7,-1.02,-4.1296,6.9176,3221850,76054841.5,3836160000.0,1102896000.0
2019-03-13,'300612,宣亚国际,24.7,26.0,24.22,25.8,26.3,-1.6,-6.0837,10.4506,4867349,121252265.31,4001400000.0,1150402500.0
2019-03-12,'300612,宣亚国际,26.3,26.74,25.4,25.7,25.7,0.6,2.3346,14.4737,6741112,175516603.38,4260600000.0,1224922500.0
2019-03-11,'300612,宣亚国际,25.7,26.47,23.52,24.91,25.49,0.21,0.8239,17.0101,7922462,195493859.54,4163400000.0,1196977500.0
2019-03-08,'300612,宣亚国际,25.49,27.1,25.49,26.01,28.32,-2.83,-9.9929,13.477,6276892,163906780.3,4129380000.0,1187196750.0
2019-03-07,'300612,宣亚国际,28.32,29.53,26.96,28.4,29.95,-1.63,-5.4424,19.1937,8939482,251721162.88,4587840000.0,1319004000.0
2019-03-06,'300612,宣亚国际,29.95,31.18,27.2,28.25,28.84,1.11,3.8488,16.9582,7898285,226114644.12,4851900000.0,1394921250.0
2019-03-05,'300612,宣亚国际,28.84,30.1,26.8,28.02,27.83,1.01,3.6292,18.2379,8494297,240855192.4,4672080000.0,1343223000.0
2019-03-04,'300612,宣亚国际,27.83,27.83,25.7,25.7,25.3,2.53,10.0,12.6271,5881065,161948341.0,4508460000.0,1296182250.0
2019-03-01,'300612,宣亚国际,25.3,25.3,22.71,23.08,23.0,2.3,10.0,19.1156,8903070,215900845.55,4098600000.0,1178347500.0
2019-02-28,'300612,宣亚国际,23.0,24.97,21.3,24.97,22.7,0.3,1.3216,25.4105,11834943,280844969.7,3726000000.0,1071225000.0
2019-02-27,'300612,宣亚国际,22.7,22.7,21.18,22.7,20.64,2.06,9.9806,30.0826,14010949,316656235.95,3677400000.0,1057252500.0
2019-02-26,'300612,宣亚国际,20.64,20.64,20.64,20.64,18.76,1.88,10.0213,0.7941,369875,7634220.0,3343680000.0,961308000.0
2019-02-25,'300612,宣亚国际,18.76,18.76,18.76,18.76,17.05,1.71,10.0293,2.0252,943249,17695351.24,3039120000.0,873747000.0
2019-02-22,'300612,宣亚国际,17.05,17.05,15.61,15.61,15.5,1.55,10.0,13.4314,6255676,104015262.05,2762100000.0,794103750.0
2019-02-21,'300612,宣亚国际,15.5,15.7,15.24,15.3,15.8,-0.3,-1.8987,11.9018,5543265,85590926.05,2511000000.0,721912500.0
2019-02-20,'300612,宣亚国际,15.8,16.69,15.8,16.0,15.17,0.63,4.1529,16.5304,7699034,125997213.5,2559600000.0,735885000.0
2019-02-19,'300612,宣亚国际,15.17,15.68,14.95,15.04,15.04,0.13,0.8644,7.114,3313350,50410909.75,2457540000.0,706542750.0
2019-02-18,'300612,宣亚国际,15.04,15.13,14.51,14.63,14.5,0.54,3.7241,6.5354,3043875,45351915.0,2436480000.0,700488000.0
