ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300613,¸»å«Î¢,95.5,98.16,95.5,98.16,98.18,-2.68,-2.7297,2.5415,328980,31895214.0,4327668450.0,1236199750.0
2019-04-25,'300613,¸»å«Î¢,98.18,101.77,98.17,101.77,101.8,-3.62,-3.556,2.4895,322257,32162341.68,4449115062.0,1270891010.0
2019-04-24,'300613,¸»å«Î¢,101.8,102.15,99.5,100.16,100.14,1.66,1.6577,2.0688,267793,27037160.85,4613158620.0,1317750100.0
2019-04-23,'300613,¸»å«Î¢,100.14,101.6,100.14,101.6,101.3,-1.16,-1.1451,1.8433,238600,23995515.0,4537934226.0,1296262230.0
2019-04-22,'300613,¸»å«Î¢,101.3,103.47,101.3,103.47,103.32,-2.02,-1.9551,1.969,254883,26075199.9,4590500670.0,1311277850.0
2019-04-19,'300613,¸»å«Î¢,103.32,103.88,101.8,103.66,103.29,0.03,0.029,2.0804,269300,27645580.0,4682038788.0,1337425740.0
2019-04-18,'300613,¸»å«Î¢,103.29,105.1,103.15,105.0,105.1,-1.81,-1.7222,2.0833,269679,27989344.19,4680679311.0,1337037405.0
2019-04-17,'300613,¸»å«Î¢,105.1,105.48,103.97,104.52,104.6,0.5,0.478,2.5385,328595,34414994.55,4762701090.0,1360466950.0
2019-04-16,'300613,¸»å«Î¢,104.6,104.6,100.1,103.01,103.73,0.87,0.8387,3.9438,510508,52303760.52,4740043140.0,1353994700.0
2019-04-15,'300613,¸»å«Î¢,103.73,105.5,103.73,105.5,103.86,-0.13,-0.1252,2.5354,328200,34364140.94,4700618307.0,1342732985.0
2019-04-12,'300613,¸»å«Î¢,103.86,105.19,103.3,104.6,104.4,-0.54,-0.5172,2.4999,323600,33620233.0,4706509374.0,1344415770.0
2019-04-11,'300613,¸»å«Î¢,104.4,105.81,104.0,105.11,105.48,-1.08,-1.0239,2.3872,309017,32392994.9,4730979960.0,1351405800.0
2019-04-10,'300613,¸»å«Î¢,105.48,107.94,105.0,107.76,107.8,-2.32,-2.1521,4.1167,532881,56465325.82,4779921132.0,1365385860.0
2019-04-09,'300613,¸»å«Î¢,107.8,108.03,105.0,107.03,106.85,0.95,0.8891,2.3776,307772,32969174.8,4885054020.0,1395417100.0
2019-04-08,'300613,¸»å«Î¢,106.85,110.87,105.66,110.02,109.88,-3.03,-2.7576,3.6256,469315,50598010.72,4842003915.0,1383119825.0
2019-04-04,'300613,¸»å«Î¢,109.88,112.87,109.01,110.99,110.37,-0.49,-0.444,3.6463,472000,52419446.0,4979311092.0,1422341660.0
2019-04-03,'300613,¸»å«Î¢,110.37,111.44,109.01,110.33,111.32,-0.95,-0.8534,3.4893,451667,49749748.12,5001515883.0,1428684465.0
2019-04-02,'300613,¸»å«Î¢,111.32,113.94,109.69,111.96,111.19,0.13,0.1169,5.485,710000,79319644.36,5044565988.0,1440981740.0
2019-04-01,'300613,¸»å«Î¢,111.19,111.56,108.9,109.59,108.6,2.59,2.3849,4.0657,526284,58282330.59,5038674921.0,1439298955.0
2019-03-29,'300613,¸»å«Î¢,108.6,108.8,105.11,105.58,106.3,2.3,2.1637,3.2117,415741,44649463.48,4921306740.0,1405772700.0
2019-03-28,'300613,¸»å«Î¢,106.3,110.36,105.0,106.69,106.8,-0.5,-0.4682,3.5938,465202,50322245.77,4817080170.0,1376000350.0
2019-03-27,'300613,¸»å«Î¢,106.8,107.08,103.89,106.62,106.52,0.28,0.2629,2.4621,318711,33717733.56,4839738120.0,1382472600.0
2019-03-26,'300613,¸»å«Î¢,106.52,108.86,103.91,107.96,108.13,-1.61,-1.4889,4.0198,520343,55092483.6,4827049668.0,1378848140.0
2019-03-25,'300613,¸»å«Î¢,108.13,109.18,105.63,105.63,108.92,-0.79,-0.7253,3.4199,442684,47526142.12,4900008267.0,1399688785.0
2019-03-22,'300613,¸»å«Î¢,108.92,112.8,107.88,110.65,110.53,-1.61,-1.4566,5.1458,666100,73019366.0,4935807828.0,1409914940.0
2019-03-21,'300613,¸»å«Î¢,110.53,112.3,109.02,110.41,110.41,0.12,0.1087,4.0535,524700,58248519.0,5008766427.0,1430755585.0
2019-03-20,'300613,¸»å«Î¢,110.41,113.97,108.0,112.45,111.0,-0.59,-0.5315,3.862,499916,55474063.2,5003328519.0,1429202245.0
2019-03-19,'300613,¸»å«Î¢,111.0,115.0,110.14,112.0,111.4,-0.4,-0.3591,3.685,477000,53447829.0,5030064900.0,1436839500.0
2019-03-18,'300613,¸»å«Î¢,111.4,111.4,108.1,109.31,109.0,2.4,2.2018,2.6746,346216,38039696.28,5048191260.0,1442017300.0
2019-03-15,'300613,¸»å«Î¢,109.0,111.43,107.55,109.49,109.47,-0.47,-0.4293,3.223,417200,45802456.7,4939433100.0,1410950500.0
2019-03-14,'300613,¸»å«Î¢,109.47,115.84,106.7,114.77,113.79,-4.32,-3.7965,5.1723,669529,73737767.51,4960731573.0,1417034415.0
2019-03-13,'300613,¸»å«Î¢,113.79,122.38,113.13,122.37,122.37,-8.58,-7.0115,8.1108,1049900,123443365.52,5156496261.0,1472954655.0
2019-03-12,'300613,¸»å«Î¢,122.37,125.0,120.1,121.0,123.95,-1.58,-1.2747,8.3506,1080947,132267573.69,5545306683.0,1584018465.0
2019-03-11,'300613,¸»å«Î¢,123.95,127.14,119.0,124.54,121.11,2.84,2.345,7.6414,989147,121590703.37,5616905805.0,1604470775.0
2019-03-08,'300613,¸»å«Î¢,121.11,128.3,115.8,116.0,119.22,1.89,1.5853,11.286,1460921,181592562.77,5488208649.0,1567708395.0
2019-03-07,'300613,¸»å«Î¢,119.22,121.79,116.16,118.58,119.05,0.17,0.1428,7.1168,921236,109630587.32,5402561598.0,1543243290.0
2019-03-06,'300613,¸»å«Î¢,119.05,123.1,116.11,118.0,118.89,0.16,0.1346,10.2722,1329689,157892801.94,5394857895.0,1541042725.0
2019-03-05,'300613,¸»å«Î¢,118.89,118.99,107.45,108.49,108.62,10.27,9.455,12.5423,1623538,185461623.69,5387607351.0,1538971605.0
2019-03-04,'300613,¸»å«Î¢,108.62,114.0,107.45,114.0,106.82,1.8,1.6851,11.1526,1443653,159473226.7,4922213058.0,1406031590.0
2019-03-01,'300613,¸»å«Î¢,106.82,110.34,104.95,104.95,116.61,-9.79,-8.3955,15.0068,1942553,205565730.52,4840644438.0,1382731490.0
2019-02-28,'300613,¸»å«Î¢,116.61,116.7,112.0,112.0,111.96,4.65,4.1533,7.3467,951000,109256391.34,5284287099.0,1509458145.0
2019-02-27,'300613,¸»å«Î¢,111.96,113.95,110.0,111.4,111.31,0.65,0.584,4.2556,550865,61836271.73,5073568164.0,1449266220.0
2019-02-26,'300613,¸»å«Î¢,111.31,117.13,107.1,111.0,110.11,1.2,1.0898,7.5236,973894,109069065.23,5044112829.0,1440852295.0
2019-02-25,'300613,¸»å«Î¢,110.11,112.68,104.9,104.9,103.22,6.89,6.6751,7.4359,962545,104939218.15,4989733749.0,1425318895.0
2019-02-22,'300613,¸»å«Î¢,103.22,103.88,99.21,101.0,100.87,2.35,2.3297,3.4889,451619,45877923.35,4677507198.0,1336131290.0
2019-02-21,'300613,¸»å«Î¢,100.87,104.86,100.7,101.1,101.28,-0.41,-0.4048,4.7422,613850,63321808.0,4571014833.0,1305711715.0
2019-02-20,'300613,¸»å«Î¢,101.28,102.23,100.01,102.2,102.23,-0.95,-0.9293,2.3794,308000,31120823.0,4589594352.0,1311018960.0
2019-02-19,'300613,¸»å«Î¢,102.23,103.14,100.25,102.17,103.15,-0.92,-0.8919,4.6151,597399,60743232.14,4632644457.0,1323316235.0
2019-02-18,'300613,¸»å«Î¢,103.15,104.77,96.51,96.8,96.3,6.85,7.1132,7.0443,911853,91836924.45,4674335085.0,1335225175.0
2019-02-15,'300613,¸»å«Î¢,96.3,97.9,95.3,96.15,96.21,0.09,0.0935,2.4914,322499,31166404.19,4363921170.0,1246555350.0
2019-02-14,'300613,¸»å«Î¢,96.21,97.09,95.11,96.81,96.81,-0.6,-0.6198,2.9239,378483,36396859.83,4359842739.0,1245390345.0
2019-02-13,'300613,¸»å«Î¢,96.81,99.87,93.0,93.99,93.64,3.17,3.3853,4.6305,599399,58120264.22,4387032279.0,1253157045.0
2019-02-12,'300613,¸»å«Î¢,93.64,94.89,91.68,92.0,92.2,1.44,1.5618,2.9395,380504,35647594.44,4243380876.0,1212122980.0
2019-02-11,'300613,¸»å«Î¢,92.2,92.66,82.67,92.0,91.86,0.34,0.3701,3.2438,419900,38370209.55,4178125980.0,1193482900.0
2019-02-01,'300613,¸»å«Î¢,91.86,93.0,89.2,89.6,88.8,3.06,3.4459,2.3001,297739,27090126.15,4162718574.0,1189081770.0
2019-01-31,'300613,¸»å«Î¢,88.8,90.5,87.8,87.8,87.66,1.14,1.3005,3.2374,419064,37436091.36,4024051920.0,1149471600.0
2019-01-30,'300613,¸»å«Î¢,87.66,92.85,86.0,86.0,92.89,-5.23,-5.6303,5.4894,710570,62826794.93,3972391794.0,1134714870.0
2019-01-29,'300613,¸»å«Î¢,92.89,98.9,92.8,96.5,97.67,-4.78,-4.894,7.2537,938949,88757262.09,4209393951.0,1202414605.0
2019-01-28,'300613,¸»å«Î¢,97.67,103.0,97.12,99.87,101.17,-3.5,-3.4595,7.0328,910363,90574544.24,4426003953.0,1264289315.0
2019-01-25,'300613,¸»å«Î¢,101.17,106.66,100.3,104.01,101.73,-0.56,-0.5505,12.2335,1583570,164386113.33,4584609603.0,1309595065.0
2019-01-24,'300613,¸»å«Î¢,101.73,101.73,92.35,92.59,92.48,9.25,10.0022,7.2365,936727,92736544.43,4609986507.0,1316843985.0
2019-01-23,'300613,¸»å«Î¢,92.48,92.79,91.26,91.78,91.86,0.62,0.6749,1.5443,199908,18450624.76,4190814432.0,1197107360.0
2019-01-22,'300613,¸»å«Î¢,91.86,92.93,91.21,92.0,92.23,-0.37,-0.4012,1.379,178500,16432941.0,4162718574.0,1189081770.0
2019-01-21,'300613,¸»å«Î¢,92.23,92.41,91.08,91.99,91.7,0.53,0.578,1.4474,187364,17217501.4,4179485457.0,1193871235.0
2019-01-18,'300613,¸»å«Î¢,91.7,91.88,90.19,90.4,90.76,0.94,1.0357,1.4004,181272,16508154.32,4155468030.0,1187010650.0
2019-01-17,'300613,¸»å«Î¢,90.76,93.5,90.65,93.5,93.1,-2.34,-2.5134,2.3168,299900,27474683.0,4112871084.0,1174842820.0
2019-01-16,'300613,¸»å«Î¢,93.1,94.2,92.6,92.82,93.01,0.09,0.0968,1.7146,221943,20734681.45,4218910290.0,1205132950.0
2019-01-15,'300613,¸»å«Î¢,93.01,93.08,91.5,91.85,91.98,1.03,1.1198,1.3221,171143,15836337.76,4214831859.0,1203967945.0
2019-01-14,'300613,¸»å«Î¢,91.98,93.75,91.61,93.2,93.5,-1.52,-1.6257,1.5945,206400,19138858.0,4168156482.0,1190635110.0
2019-01-11,'300613,¸»å«Î¢,93.5,94.1,92.55,93.39,93.35,0.15,0.1607,1.8046,233600,21766931.0,4237036650.0,1210310750.0
