日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603021,山东华鹏,6.68,6.98,6.65,6.9,6.9,-0.22,-3.1884,0.8761,2764607,18790549.0,2137253107.6,2108046838.32
2019-04-25,'603021,山东华鹏,6.9,7.27,6.88,7.08,7.07,-0.17,-2.4045,1.0814,3412789,24086379.0,2207641683.0,2177473530.6
2019-04-24,'603021,山东华鹏,7.07,7.12,6.93,6.99,6.99,0.08,1.1445,0.6767,2135442,15042737.0,2262032854.9,2231121429.18
2019-04-23,'603021,山东华鹏,6.99,7.24,6.8,7.24,7.18,-0.19,-2.6462,1.1254,3551510,24930684.0,2236437009.3,2205875359.26
2019-04-22,'603021,山东华鹏,7.18,7.46,7.17,7.41,7.39,-0.21,-2.8417,0.8411,2654220,19361131.0,2297227142.6,2265834775.32
2019-04-19,'603021,山东华鹏,7.39,7.48,7.34,7.37,7.38,0.01,0.1355,0.5406,1706060,12609429.0,2364416237.3,2332105708.86
2019-04-18,'603021,山东华鹏,7.38,7.53,7.37,7.53,7.5,-0.12,-1.6,0.986,3111680,23097539.0,2361216756.6,2328949950.12
2019-04-17,'603021,山东华鹏,7.5,7.63,7.41,7.5,7.5,0.0,0.0,1.3535,4271257,32070158.0,2399610525.0,2366819055.0
2019-04-16,'603021,山东华鹏,7.5,7.74,7.35,7.73,7.74,-0.24,-3.1008,1.999,6308485,47142793.0,2399610525.0,2366819055.0
2019-04-15,'603021,山东华鹏,7.74,7.78,7.34,7.34,7.43,0.31,4.1723,1.5383,4854520,37213360.0,2476398061.8,2442557264.76
2019-04-12,'603021,山东华鹏,7.43,7.56,7.32,7.48,7.49,-0.06,-0.8011,0.7647,2413322,17908951.0,2377214160.1,2344728743.82
2019-04-11,'603021,山东华鹏,7.49,7.75,7.42,7.59,7.63,-0.14,-1.8349,1.0568,3334928,25110809.0,2396411044.3,2363663296.26
2019-04-10,'603021,山东华鹏,7.63,7.68,7.42,7.62,7.62,0.01,0.1312,1.1142,3516129,26570384.0,2441203774.1,2407843918.62
2019-04-09,'603021,山东华鹏,7.62,7.65,7.31,7.41,7.38,0.24,3.252,1.4408,4546720,34359715.0,2438004293.4,2404688159.88
2019-04-08,'603021,山东华鹏,7.38,7.7,7.2,7.44,7.51,-0.13,-1.731,1.504,4746149,35094252.0,2361216756.6,2328949950.12
2019-04-04,'603021,山东华鹏,7.51,7.8,7.41,7.55,7.5,0.01,0.1333,1.9823,6255678,47343862.0,2402810005.7,2369974813.74
2019-04-03,'603021,山东华鹏,7.5,7.5,7.26,7.34,7.3,0.2,2.7397,1.7033,5375072,39908304.0,2399610525.0,2366819055.0
2019-04-02,'603021,山东华鹏,7.3,7.43,7.16,7.29,7.28,0.02,0.2747,1.9983,6306297,46042885.0,2335620911.0,2303703880.2
2019-04-01,'603021,山东华鹏,7.28,7.35,7.09,7.09,7.05,0.23,3.2624,1.8458,5825040,42319978.0,2329221949.6,2297392362.72
2019-03-29,'603021,山东华鹏,7.05,7.09,6.82,7.03,6.96,0.09,1.2931,1.3749,4338900,30204883.0,2255633893.5,2224809911.7
2019-03-28,'603021,山东华鹏,6.96,7.24,6.84,7.2,7.25,-0.29,-4.0,1.7628,5563114,39039190.0,2226838567.2,2196408083.04
2019-03-27,'603021,山东华鹏,7.25,7.25,6.83,6.88,6.88,0.37,5.3779,1.6007,5051285,35821515.0,2319623507.5,2287925086.5
2019-03-26,'603021,山东华鹏,6.88,7.17,6.85,7.09,7.09,-0.21,-2.9619,0.832,2625610,18414270.0,2201242721.6,2171162013.12
2019-03-25,'603021,山东华鹏,7.09,7.27,6.97,7.07,7.11,-0.02,-0.2813,0.894,2821380,20067176.0,2268431816.3,2237432946.66
2019-03-22,'603021,山东华鹏,7.11,7.16,7.0,7.16,7.14,-0.03,-0.4202,0.7517,2372199,16775223.0,2274830777.7,2243744464.14
2019-03-21,'603021,山东华鹏,7.14,7.22,6.99,6.99,7.04,0.1,1.4205,1.1646,3675350,26131263.0,2284429219.8,2253211740.36
2019-03-20,'603021,山东华鹏,7.04,7.07,6.87,7.07,7.02,0.02,0.2849,0.8736,2756800,19275481.0,2252434412.8,2221654152.96
