日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'200152,山 航Ｂ,10.0,10.1,9.95,9.95,10.05,-0.05,-0.4975,0.1537,215200,2154029.65,3432120000.0,1201242000.0
2019-04-25,'200152,山 航Ｂ,10.05,10.2,10.01,10.18,10.18,-0.13,-1.277,0.1225,171517,1734715.34,3450888600.0,1207811010.0
2019-04-24,'200152,山 航Ｂ,10.18,10.21,10.07,10.16,10.16,0.02,0.1969,0.0855,119700,1214192.0,3489989040.0,1221496164.0
2019-04-23,'200152,山 航Ｂ,10.16,10.28,10.03,10.28,10.23,-0.07,-0.6843,0.1938,271300,2755701.0,3475004480.0,1216251568.0
2019-04-22,'200152,山 航Ｂ,10.23,10.38,10.21,10.35,10.4,-0.17,-1.6346,0.3212,449652,4629807.44,3496245720.0,1223686002.0
2019-04-19,'200152,山 航Ｂ,10.4,10.52,10.31,10.52,10.5,-0.1,-0.9524,0.1489,208452,2173905.12,3555052800.0,1244268480.0
2019-04-18,'200152,山 航Ｂ,10.5,10.55,10.33,10.4,10.4,0.1,0.9615,0.1369,191700,2006216.25,3581718000.0,1253601300.0
2019-04-17,'200152,山 航Ｂ,10.4,10.4,10.29,10.33,10.26,0.14,1.3645,0.2419,338595,3502347.5,3559046400.0,1245666240.0
2019-04-16,'200152,山 航Ｂ,10.26,10.59,10.0,10.55,10.61,-0.35,-3.2988,0.6648,930691,9477418.85,3513270240.0,1229644584.0
2019-04-15,'200152,山 航Ｂ,10.61,11.45,10.61,11.45,11.79,-1.18,-10.0085,1.1629,1628100,17684576.0,3631463480.0,1271012218.0
2019-04-12,'200152,山 航Ｂ,11.79,11.84,11.75,11.84,11.85,-0.06,-0.5063,0.1091,152700,1801813.0,4040998920.0,1414349622.0
2019-04-11,'200152,山 航Ｂ,11.85,12.07,11.84,12.07,11.97,-0.12,-1.0025,0.1405,196702,2344707.88,4057060800.0,1419971280.0
2019-04-10,'200152,山 航Ｂ,11.97,12.04,11.9,11.96,12.04,-0.07,-0.5814,0.1668,233462,2791970.14,4099294080.0,1434752928.0
2019-04-09,'200152,山 航Ｂ,12.04,12.12,11.96,11.96,12.01,0.03,0.2498,0.2008,281050,3384221.21,4121869920.0,1442654472.0
2019-04-08,'200152,山 航Ｂ,12.01,12.29,11.93,12.1,12.17,-0.16,-1.3147,0.2885,403942,4850394.1,4112848520.0,1439496982.0
2019-04-04,'200152,山 航Ｂ,12.17,12.86,12.0,12.86,11.72,0.45,3.8396,1.5809,2213276,27588183.09,4158635040.0,1455522264.0
